Artist,Song,Song_ID,Surface,Tags,Lemma,Entity
Mate Miso Kovac,"Živim danas, ne mislim na sutra",Zwn2Yv0K_102,ne,Qz,ne,O
Mate Miso Kovac,"Živim danas, ne mislim na sutra",Zwn2Yv0K_102,mislim,Vmr1s,misliti,O
Mate Miso Kovac,"Živim danas, ne mislim na sutra",Zwn2Yv0K_102,na,Sa,na,O
Mate Miso Kovac,"Živim danas, ne mislim na sutra",Zwn2Yv0K_102,sutra,Rgp,sutra,O
Mate Miso Kovac,Adios amor,Zwn2Yv0K_0,Adios,Npmsn,Adios,B-per
Mate Miso Kovac,Adios amor,Zwn2Yv0K_0,amor,Npmsn,Amor,I-per
Mate Miso Kovac,Ako sam ikad ljubav dao,Zwn2Yv0K_1,Ako,Cs,ako,O
Mate Miso Kovac,Ako sam ikad ljubav dao,Zwn2Yv0K_1,sam,Var1s,biti,O
Mate Miso Kovac,Ako sam ikad ljubav dao,Zwn2Yv0K_1,ikad,Rgp,ikad,O
Mate Miso Kovac,Ako sam ikad ljubav dao,Zwn2Yv0K_1,ljubav,Ncfsa,ljubav,O
Mate Miso Kovac,Ako sam ikad ljubav dao,Zwn2Yv0K_1,dao,Vmp-sm,dati,O
Mate Miso Kovac,Ako spavaš vilo moja,Zwn2Yv0K_2,Ako,Cs,ako,O
Mate Miso Kovac,Ako spavaš vilo moja,Zwn2Yv0K_2,spavaš,Vmr2s,spavati,O
Mate Miso Kovac,Ako spavaš vilo moja,Zwn2Yv0K_2,vilo,Vmp-sn,viti,O
Mate Miso Kovac,Ako spavaš vilo moja,Zwn2Yv0K_2,moja,Ps1fsn,moj,O
Mate Miso Kovac,Ako tvoja duša moju pjesmu sluša,Zwn2Yv0K_3,Ako,Cs,ako,O
Mate Miso Kovac,Ako tvoja duša moju pjesmu sluša,Zwn2Yv0K_3,tvoja,Ps2fsn,tvoj,O
Mate Miso Kovac,Ako tvoja duša moju pjesmu sluša,Zwn2Yv0K_3,duša,Ncfsn,duša,O
Mate Miso Kovac,Ako tvoja duša moju pjesmu sluša,Zwn2Yv0K_3,moju,Agpfsay,moj,O
Mate Miso Kovac,Ako tvoja duša moju pjesmu sluša,Zwn2Yv0K_3,pjesmu,Ncfsa,pjesma,O
Mate Miso Kovac,Ako tvoja duša moju pjesmu sluša,Zwn2Yv0K_3,sluša,Vmr3s,slušati,O
Mate Miso Kovac,Balada o zelenim očima,Zwn2Yv0K_4,Balada,Ncfsn,balada,O
Mate Miso Kovac,Balada o zelenim očima,Zwn2Yv0K_4,o,Sl,o,O
Mate Miso Kovac,Balada o zelenim očima,Zwn2Yv0K_4,zelenim,Agpfply,zelen,O
Mate Miso Kovac,Balada o zelenim očima,Zwn2Yv0K_4,očima,Ncfpl,oko,O
Mate Miso Kovac,Bez tebe ja polako umirem,Zwn2Yv0K_5,Bez,Sg,bez,O
Mate Miso Kovac,Bez tebe ja polako umirem,Zwn2Yv0K_5,tebe,Pp2-sg,ti,O
Mate Miso Kovac,Bez tebe ja polako umirem,Zwn2Yv0K_5,ja,Pp1-sn,ja,O
Mate Miso Kovac,Bez tebe ja polako umirem,Zwn2Yv0K_5,polako,Rgp,polako,O
Mate Miso Kovac,Bez tebe ja polako umirem,Zwn2Yv0K_5,umirem,Vmr1s,umirati,O
Mate Miso Kovac,Bila je kao pjesma,Zwn2Yv0K_6,Bila,Vap-sf,biti,O
Mate Miso Kovac,Bila je kao pjesma,Zwn2Yv0K_6,je,Var3s,biti,O
Mate Miso Kovac,Bila je kao pjesma,Zwn2Yv0K_6,kao,Cs,kao,O
Mate Miso Kovac,Bila je kao pjesma,Zwn2Yv0K_6,pjesma,Ncfsn,pjesma,O
Mate Miso Kovac,Bit ću daleko,Zwn2Yv0K_7,Bit,Van,biti,O
Mate Miso Kovac,Bit ću daleko,Zwn2Yv0K_7,ću,Var1s,htjeti,O
Mate Miso Kovac,Bit ću daleko,Zwn2Yv0K_7,daleko,Rgp,daleko,O
Mate Miso Kovac,Brod bez luke,Zwn2Yv0K_8,Brod,Ncmsn,brod,O
Mate Miso Kovac,Brod bez luke,Zwn2Yv0K_8,bez,Sg,bez,O
Mate Miso Kovac,Brod bez luke,Zwn2Yv0K_8,luke,Ncfsg,luka,O
Mate Miso Kovac,Budi jaka,Zwn2Yv0K_9,Budi,Vmr3s,buditi,O
Mate Miso Kovac,Budi jaka,Zwn2Yv0K_9,jaka,Agpfsny,jak,O
Mate Miso Kovac,Čemu da živim,Zwn2Yv0K_10,Čemu,Npmsd,Čem,B-per
Mate Miso Kovac,Čemu da živim,Zwn2Yv0K_10,da,Cs,da,O
Mate Miso Kovac,Čemu da živim,Zwn2Yv0K_10,živim,Vmr1s,živjeti,O
Mate Miso Kovac,Čuvajte mi pismu,Zwn2Yv0K_11,Čuvajte,Vmm2p,čuvati,O
