artist_name,artist_name_diskografija,url_tekstovinet,url_cuspajz,artist_id_discogs
Vinko Coce,Vinko Coce,"https://tekstovi.net/2,972,0.html",https://cuspajz.com/tekstovi-pjesama/izvodjac/vinko-coce.html,995276
Jasmin Stavros,Jasmin Stavros,"https://tekstovi.net/2,536,0.html",https://cuspajz.com/tekstovi-pjesama/izvodjac/jasmin-stavros.html,1135414
Boris Novković,Boris Novković,"https://tekstovi.net/2,328,0.html",https://cuspajz.com/tekstovi-pjesama/izvodjac/boris-novkovic.html,474052
Maja Šuput & EnJoy,Maja Šuput,"https://tekstovi.net/2,630,0.html",https://cuspajz.com/tekstovi-pjesama/izvodjac/maja-suput-and-en-joy.html,2070194
Magazin,Magazin,"https://tekstovi.net/2,95,0.html",https://cuspajz.com/tekstovi-pjesama/izvodjac/magazin.html,345842
Goran Karan,Goran Karan,"https://tekstovi.net/2,238,0.html",https://cuspajz.com/tekstovi-pjesama/izvodjac/goran-karan.html,473814
Ivan Zak,Ivan Zak,"https://tekstovi.net/2,1727,0.html",https://cuspajz.com/tekstovi-pjesama/izvodjac/ivan-volaric-zak.html,2338371
Divlje Jagode,Divlje Jagode,"https://tekstovi.net/2,2,0.html",https://cuspajz.com/tekstovi-pjesama/izvodjac/divlje-jagode.html,846484
Gazde,Gazde,"https://tekstovi.net/2,962,0.html",https://cuspajz.com/tekstovi-pjesama/izvodjac/gazde.html,1014131
Dalmatino,Dalmatino,"https://tekstovi.net/2,726,0.html",https://cuspajz.com/tekstovi-pjesama/izvodjac/dalmatino.html,1829303
Krunoslav Kićo Slabinac,Kićo,"https://tekstovi.net/2,686,0.html",https://cuspajz.com/tekstovi-pjesama/izvodjac/krunoslav-kico-slabinac.html,880968
