Artist,Song,Song_ID,Lyrics,Url
Novi fosili,"Joj, joj",oOIOCzZV_10,"Čići se i Peri
Rodi tako sinčić drag
Nisu bili svjesni
Kakav će to biti vrag

Igračke prve mu bile
Gušteri, zmije i pračke
A kada je pošao u vrtić
Okrenuo ga naglavačke

Joj, joj, joj, joj, joj
Joj, joj, joj, joj, joj
Grozne stvari
Joj, joj, joj, joj, joj
Koko moj moj
Koko moj

Kad je Koko bio veći
Gore bile su psihoze
Svjedodžbe su njemu bile
Kao listić od prognoze

Dok se Koko u svom domu
Zabavljao s društvom fino
Čića s Perom svaku večer
Išla bi u kino

Čića i Pero štede
Na vodi su i grahu
Sinčić njihov želi
Motor si Jamahu

Koko je pjevač punka
a Pero se drži šanka
Čića se sjeti lijeka
Rodi se malena seka

Problemima tu nije kraj
Jer sad tek nastaje rat
Mala seka je bila
Pljunuti stariji brat",https://cuspajz.com//tekstovi-pjesama/pjesma/novi-fosili/joj-joj.html
Novi fosili,Kad budemo ja i ti,oOIOCzZV_11,"Ako ti dozvolim
da me sad poljubis
nesto mi obecaj
da me ne izgubis

Ako budem bolesna i vruca 39
hoces li mi donjeti topli caj u krevet
hoces li me cuvati i biti pored mene
a ne negdje ljubiti
neke druge zene,priznaj mi

Hoces li me maziti
hoces li me paziti
hoces li me voljeti
kad budemo ja i ti 63

Hoces li se sjetiti uvijek kupit cvijeca
bez obzira na to
koliko torta ima svijeca
ako jednom budem ja debela i stara
hoces li me zvati
ti sreco moja mala, priznaj mi",https://cuspajz.com//tekstovi-pjesama/pjesma/novi-fosili/kad-budemo-ja-i-ti.html
Novi fosili,Kad naš brod plovi,oOIOCzZV_12,"Kad naš brod plovi plovi i ribu lovi
Na jarbolima stojimo mi
A da smo dečki dečki mi to znaju riba ribari
Kad uz gitare pjevamo mi

Cijelo ljeto sunce prži nas
Zimi bura nadjača naš glas
A kad zvijezde prekriju sav svod
Morem plovi raspjevani brod

Kad naš brod tone tone a zvona zvone
Na jarbolima stojimo mi
A da smo dečki dečki mi to znaju riba ribari
Kad uz gitare pjevamo mi

Kad naš brod krene krene u lov na žene
Na jarbolima stojimo mi
A da smo dečki dečki mi to znaju riba ribari
Kad uz gitare pjevamo mi",https://cuspajz.com//tekstovi-pjesama/pjesma/novi-fosili/kad-nas-brod-plovi.html
Novi fosili,Ključ je ispod otirača,oOIOCzZV_13,"U pocetku sve je tako sjajno
Traje ljubav jaka jaca
Volimo se dugo tajno
S kljucem ispod otiraca

Traje prica neobicna skliska
S mirisama koromaca
Srca budu manje bliska
Kljuc je ispod otiraca

Ide vrijeme ljubav drobi
Poput tvrdog otpiraca
Svasta zbiva se u sobi
Kljuc je ispod otiraca
Dani teski noci duge
Skupa ispod pokrivaca
Sanjamo vec snove druge
S kjlucem ispod otiraca

Sto je s tobom, sto te opet nema
Znas li da sam od svega jaca
Slutim da se nesto sprema
Kljuc je ispod otiraca

Ne znam das cu i da l' cu doci kuci
Ali imas voca i kolaca
Jastuci su cisti vruci
Kljuc je ispod otiraca

Nemoj pravit vise scene
Ne kuni se i bez placa
Ne racunaj sad na mene
Kljuc je ispod otiraca

Ono staro sad ne vazi
A u srcu raste draca
Ne zovi me i ne trazi
Kljuc je ispod otiraca

I na kraju sve je opet sjajno
Ljubav je od sveg jaca
Nova prica pocne tajno
S kljucem ispod otiraca ...",https://cuspajz.com//tekstovi-pjesama/pjesma/novi-fosili/kljuc-je-ispod-otiraca.html
Novi fosili,Kuca srce moje,oOIOCzZV_14,,https://cuspajz.com//tekstovi-pjesama/pjesma/novi-fosili/kuca-srce-moje.html
Novi fosili,Ljubav koja nema kraja,oOIOCzZV_15,"Sve na svijetu dao bih ti ja
svog zivota deset godina
suze svijeta ukrao bih ja
da ne bi ti nikad plakala

Ja bih tebe cuvala od zla
mjesto tebe ja bih plakala
da mi nebo dva zivota da
za tebe bi ih cuvala

Zauvijek u dobru i zlu
bit cu tu tebe da cuvam, cuvam

Ljubav vjecno veze nas
ljubav koja nema kraj
kada dodje sijedi sjaj
otici cu s tobom, znaj

Da mi nebo dva zivota da
bilo bi mi malo vremena
da te kazem koliko volim ja
jer moja je ljubav najveca

Zauvijek u dobru i zlu
bit cu tu tebe da cuvam, cuvam

Ljubav koja nema kraj",https://cuspajz.com//tekstovi-pjesama/pjesma/novi-fosili/ljubav-koja-nema-kraja.html
Novi fosili,Mali Ćiro,oOIOCzZV_16,"U neboderu jednom
U prizemlju dolje
Zivio je misic
Al' ne bas najbolje.

Usamljen je bio
I nesretan sav
Mjesecima gladan
I ne sasvim zdrav.

Bio je sve losije
I losije volje
Kuce nije volio
Sanjao je polje.

Jer kuce su samo
Za miseve od plisa
A ne za naseg Ciru
Pravog poljskog misa.

Mali Ciro, tuzni Ciro
Sasvim sam na svijetu tom
Mali Ciro, tuzni Ciro
Davno je napustio svoj dom.

Jednom se probudio
U misolovci sklupcan
A bas tad je susjed
Krenuo u ducan.

Izvadi ga djecak
Po imenu Darko
I nasega Ciru
On zavoli Zarko

Pronasli su brzo
Zajednicke teme
I misic mu rece
Sve svoje probleme.

Kasnije su skupa
Na bicikl oni sjeli
I sad se po polju
Nas Ciro veseli.",https://cuspajz.com//tekstovi-pjesama/pjesma/novi-fosili/mali-ciro.html
Novi fosili,Mario,oOIOCzZV_17,"Mozda bi opet mogli mi
bilo bi bolje sada
odjednom jasno mi je sve
bila sam premlada

Ponekad bude me iz sna
neki tudji koraci
otvaram vrata, ne, nisi to ti
kasni prolaznik

Mozda bi opet mogli mi
kada ti bi znao
zbog svega onog ranije
koliko mi je zao

Mozda bi opet mogli mi
na prozor ptice dozvati
i uz smijeh, i uz grijeh
sve preboljeti

O, Mario, moj Mario, kise su stale
ko da su znale da trebam te
o, Mario, moj Mario, ima jos snage
ima jos nade za nas",https://cuspajz.com//tekstovi-pjesama/pjesma/novi-fosili/mario.html
Novi fosili,Mimi,oOIOCzZV_18,"Noc je hladna i nije vazan grad
Tko zna s kim si, i tko zna gdje si sad
Ulicom vjetar lisce nosi
Pisem ti pismo dugo, pisem ti pismo dugo

A vani hladno i kisi kap po kap
U srcu ceznje odjednom citav slap
Bili smo jedno drugom grubi
Nejasno nesto nocas boli me
Tko te ljubi?

Mimi, o, o, Mimi, o, o, Mimi
Da l' jos nosis na dlanu
Mimi, o, o, Mimi, o, o, Mimi
Suzu gorku i slavnu
I cuvas li one davne ciklame
Cuvas li onaj sesir od slame
Daleko u njeznom kutu srca za me",https://cuspajz.com//tekstovi-pjesama/pjesma/novi-fosili/mimi.html
Novi fosili,Najdraže moje,oOIOCzZV_19,"Ako te izgubim, najdraže moje
Utopit će se zvijezde u valima tuge.
Ako te izgubim, ako jednom odeš
Nikada više ljubavi druge, najdraže moje.

Ako te izgubim jednoga dana
ugasnuti će sunce i nastat će tama.
Da ne vidi nitko, ni ptice, ni ljudi
Kad odem zauvijek, kad zauvijek odem,
Najdraže moje.

Najdraže moje, najdraže moje, najdraže moje,
Nikada više ljubavi nove, najdraže moje.
Tama će odnijet sve želje i snove, najdraže moje.
Nikada više ljubavi nove, najdraže moje.

Ooo, najdraže moje...",https://cuspajz.com//tekstovi-pjesama/pjesma/novi-fosili/najdraze-moje.html
Novi fosili,Ne plaši se,oOIOCzZV_20,"Tako zelim da ti pjevam pjesmu
posve tiho, njezno zanesena
postelju ti prostirem pod suncem
kao prava zaljubljena zena

Cesto sama i prazna se vracam
pa pomislim to je zadnje vece
a vec sutra ponovo te trazim
jer sigurno ne postoji trece

Ne plasi se jer dugo se znamo
kao ptice osjecamo jutra
i ne vrijedi da opet me pitas
da li cu te prepoznati sutra",https://cuspajz.com//tekstovi-pjesama/pjesma/novi-fosili/ne-plasi-se.html
Novi fosili,Neka vali gingolaju svoje barke,oOIOCzZV_21,"Upeklo je ludo sunce
svaku dracu, svaku valu
tamo di san luta cesto
vidija san sesnu malu

Zakucalo srce moje
uzavrilo sve u meni
pustija san da me nosi
ritam pisme, pamet luda

Neka vali gingolaju svoje barke
neka juga i bonace sniju sa nje
more donosi plamen ljubavi
ko li gori osim srca tvog i mog
tvog i mog

Zakucala srca nasa
uzavrilo sve u nama
zaplele se strane svita
i uzegla samo nada",https://cuspajz.com//tekstovi-pjesama/pjesma/novi-fosili/neka-vali-gingolaju-svoje-barke.html
Novi fosili,Neveni žuti,oOIOCzZV_22,"Niz prozore vecer kaplje
Cekam te i ove noci
Znas da prijatelja nema
I da nitko nece doci

A u onoj modroj vazi
Tvome daru s putovanja
Jedan strucak dva tri cvijeta
Sa mnom ceka, sa mnom sanja

Neveni zuti, zuti
Koje nosio si meni
Kad smo bili zagrljeni
Kad smo bili zaneseni

Neveni zuti, zuti
Sad su sneni prevareni
Umorni su uveli su
Kao ljubav ta u meni

Na radiju zadnje vijesti
Samo ovdje svijetlo gori
Ja sam kao zadnji putnik
Sto se jedva sa snom bori

Ne volim ja nista vise
Ni tebe ni privid srece
Kada dodes ako dodes
Nemoj nosit vise cvijece",https://cuspajz.com//tekstovi-pjesama/pjesma/novi-fosili/neveni-zuti.html
Novi fosili,Nikad više staro vino,oOIOCzZV_23,"Jos je uvijek sunce blago
jos su uvijek noci meke
jos je drago sto je drago
jos se cuju prave jeke, jos uvijek

Tvoja ruka moju trazi
mada imam kose sijede
nema prevara ni lazi
rijeci, srca dalje vrijede jos uvijek

Ali ipak nesto gusi
cijelo vrijeme, dugo vrijeme
nesto tesko je na dusi
neki kamen, neko breme

Nikad vise staro vino
nikad vise nece sjati
nikad vise srce moje
nece moci, nece znati

Stare pjesme da mi vrati
da mi vrati drage ljude
nikad vise, nikad isto
ona jutra da nas bude

Jos je uvijek ljubav prava
jos su uvijek tijela blizu
jos su isti san i java
stare strepnje uvijek grizu, zauvijek",https://cuspajz.com//tekstovi-pjesama/pjesma/novi-fosili/nikad-vise-staro-vino.html
