lemma,upos,Artist_name,Song,Song_ID,Lyrics_url,Views
Ludin,PROPN,Mišo Kovač,"Ja ne mogu drugo, nego da ga volin (feat.Sasa Antic)",zT3Xu5sD_1_32,"https://tekstovi.net/2,692,64606.html",4053
Mison,PROPN,Mišo Kovač,"Ja ne mogu drugo, nego da ga volin (feat.Sasa Antic)",zT3Xu5sD_1_32,"https://tekstovi.net/2,692,64606.html",4053
Poljud,PROPN,Mišo Kovač,"Ja ne mogu drugo, nego da ga volin (feat.Sasa Antic)",zT3Xu5sD_1_32,"https://tekstovi.net/2,692,64606.html",4053
Mišo,PROPN,Mišo Kovač,"Ja ne mogu drugo, nego da ga volin (feat.Sasa Antic)",zT3Xu5sD_1_32,"https://tekstovi.net/2,692,64606.html",4053
Bog,PROPN,Mišo Kovač,"Još se držim, još se ne dam",zT3Xu5sD_1_40,https://cuspajz.com//tekstovi-pjesama/pjesma/mate-miso-kovac/jos-se-drzim-jos-se-ne-dam.html,7239
Una,PROPN,Mišo Kovač,La Paloma,zT3Xu5sD_1_46,https://cuspajz.com//tekstovi-pjesama/pjesma/mate-miso-kovac/la-paloma.html,5587
Paloma,PROPN,Mišo Kovač,La Paloma,zT3Xu5sD_1_46,https://cuspajz.com//tekstovi-pjesama/pjesma/mate-miso-kovac/la-paloma.html,5587
Kristina,PROPN,Mišo Kovač,Moja Kristina,zT3Xu5sD_1_51,"https://tekstovi.net/2,692,49832.html",3435
Brala,PROPN,Mišo Kovač,Ne mogu da te zaboravim,zT3Xu5sD_1_56,"https://tekstovi.net/2,692,63142.html",624
Dalmacija,PROPN,Mišo Kovač,"Ne tuguj, Dalmacijo",zT3Xu5sD_1_60,"https://tekstovi.net/2,692,64061.html",312
Zagreb,PROPN,Mišo Kovač,Nema mi do tebe nikoga (duet Ivana Kovac),zT3Xu5sD_1_63,"https://tekstovi.net/2,692,18356.html",34631
Dalmacija,PROPN,Mišo Kovač,Noćas ćemo zemlji ko materi reći,zT3Xu5sD_1_68,https://cuspajz.com//tekstovi-pjesama/pjesma/mate-miso-kovac/nocas-cemo-zemlji-ko-materi-reci.html,9626
Bog,PROPN,Mišo Kovač,Od zivota digao sam ruke,zT3Xu5sD_1_73,"https://tekstovi.net/2,692,50294.html",2263
Refr,PROPN,Mišo Kovač,Odvest ću te na vjenčanje,zT3Xu5sD_1_76,https://lyricstranslate.com/en/odvest-cu-te-na-vjencanje-i-ll-wed-you-lit-i-ll-take-you-wedding.html,1596
Bog,PROPN,Mišo Kovač,Pjevajte do zore,zT3Xu5sD_1_83,"https://tekstovi.net/2,692,49048.html",2744
San,PROPN,Mišo Kovač,San Francisko,zT3Xu5sD_1_97,"https://tekstovi.net/2,692,41093.html",4868
Francisko,PROPN,Mišo Kovač,San Francisko,zT3Xu5sD_1_97,"https://tekstovi.net/2,692,41093.html",4868
zvoni,PROPN,Mišo Kovač,Šibenske kale,zT3Xu5sD_1_99,https://cuspajz.com//tekstovi-pjesama/pjesma/mate-miso-kovac/sibenske-kale.html,455
Split,PROPN,Mišo Kovač,"Splite grade, ja te volin (duet Zeljko Kerum)",zT3Xu5sD_1_103,"https://tekstovi.net/2,692,49446.html",2068
Marjan,PROPN,Mišo Kovač,"Splite grade, ja te volin (duet Zeljko Kerum)",zT3Xu5sD_1_103,"https://tekstovi.net/2,692,49446.html",2068
Jadran,PROPN,Mišo Kovač,"Splite grade, ja te volin (duet Zeljko Kerum)",zT3Xu5sD_1_103,"https://tekstovi.net/2,692,49446.html",2068
Bog,PROPN,Mišo Kovač,"Splite grade, ja te volin (duet Zeljko Kerum)",zT3Xu5sD_1_103,"https://tekstovi.net/2,692,49446.html",2068
Hajduk,PROPN,Mišo Kovač,"Splite grade, ja te volin (duet Zeljko Kerum)",zT3Xu5sD_1_103,"https://tekstovi.net/2,692,49446.html",2068
Duje,PROPN,Mišo Kovač,"Splite grade, ja te volin (duet Zeljko Kerum)",zT3Xu5sD_1_103,"https://tekstovi.net/2,692,49446.html",2068
Croatia,PROPN,Mišo Kovač,"Splite grade, ja te volin (duet Zeljko Kerum)",zT3Xu5sD_1_103,"https://tekstovi.net/2,692,49446.html",2068
Dalmacija,PROPN,Mišo Kovač,"Splite grade, ja te volin (duet Zeljko Kerum)",zT3Xu5sD_1_103,"https://tekstovi.net/2,692,49446.html",2068
Pjaca,PROPN,Mišo Kovač,"Splite grade, ja te volin (duet Zeljko Kerum)",zT3Xu5sD_1_103,"https://tekstovi.net/2,692,49446.html",2068
Riva,PROPN,Mišo Kovač,"Splite grade, ja te volin (duet Zeljko Kerum)",zT3Xu5sD_1_103,"https://tekstovi.net/2,692,49446.html",2068
Jugo,PROPN,Mišo Kovač,Stiga je brod,zT3Xu5sD_1_104,"https://tekstovi.net/2,692,56139.html",1326
Dalmacija,PROPN,Mišo Kovač,Takav sam rodjen,zT3Xu5sD_1_109,"https://tekstovi.net/2,692,52924.html",4392
Bog,PROPN,Mišo Kovač,Tiha noć,zT3Xu5sD_1_112,https://cuspajz.com//tekstovi-pjesama/pjesma/mate-miso-kovac/tiha-noc.html,5205
leut,PROPN,Mišo Kovač,"Vraćam ti se, Dalmacijo, mati",zT3Xu5sD_1_122,https://cuspajz.com//tekstovi-pjesama/pjesma/mate-miso-kovac/vracam-ti-se-dalmacijo-mati.html,16741
Dalmacija,PROPN,Mišo Kovač,"Vraćam ti se, Dalmacijo, mati",zT3Xu5sD_1_122,https://cuspajz.com//tekstovi-pjesama/pjesma/mate-miso-kovac/vracam-ti-se-dalmacijo-mati.html,16741
Nina,PROPN,Mišo Kovač,Vrbe,zT3Xu5sD_1_123,"https://tekstovi.net/2,692,63165.html",381
Rida,PROPN,Mišo Kovač,Vrijeme plakanja,zT3Xu5sD_1_125,https://cuspajz.com//tekstovi-pjesama/pjesma/mate-miso-kovac/vrijeme-plakanja.html,5667
Mery,PROPN,Mišo Kovač,Zelena trava doma mog,zT3Xu5sD_1_129,https://cuspajz.com//tekstovi-pjesama/pjesma/mate-miso-kovac/zelena-trava-doma-mog.html,10091
Zagreb,PROPN,Prljavo Kazalište,449,Xp4QBL1e_1_1,https://lyricstranslate.com/en/449-449.html,47653
Lake,PROPN,Prljavo Kazalište,Ako tražiš nekoga,Xp4QBL1e_1_6,https://lyricstranslate.com/en/ako-trazis-nekoga-if-your-looking-someone.html,298616
Amerika,PROPN,Prljavo Kazalište,Amerika,Xp4QBL1e_1_7,"https://tekstovi.net/2,206,41382.html",7037
Gevar,PROPN,Prljavo Kazalište,Amerika,Xp4QBL1e_1_7,"https://tekstovi.net/2,206,41382.html",7037
Aljende,PROPN,Prljavo Kazalište,Amerika,Xp4QBL1e_1_7,"https://tekstovi.net/2,206,41382.html",7037
Azra,PROPN,Prljavo Kazalište,Anarhist,Xp4QBL1e_1_8,https://cuspajz.com//tekstovi-pjesama/pjesma/prljavo-kazaliste/anarhist.html,22406
Parafa,PROPN,Prljavo Kazalište,Anarhist,Xp4QBL1e_1_8,https://cuspajz.com//tekstovi-pjesama/pjesma/prljavo-kazaliste/anarhist.html,22406
Pankrte,PROPN,Prljavo Kazalište,Anarhist,Xp4QBL1e_1_8,https://cuspajz.com//tekstovi-pjesama/pjesma/prljavo-kazaliste/anarhist.html,22406
Biblija,PROPN,Prljavo Kazalište,Anarhist,Xp4QBL1e_1_8,https://cuspajz.com//tekstovi-pjesama/pjesma/prljavo-kazaliste/anarhist.html,22406
Hari,PROPN,Prljavo Kazalište,Beznadežni slučaj,Xp4QBL1e_1_10,https://cuspajz.com//tekstovi-pjesama/pjesma/prljavo-kazaliste/beznadezni-slucaj.html,40139
Krišna,PROPN,Prljavo Kazalište,Beznadežni slučaj,Xp4QBL1e_1_10,https://cuspajz.com//tekstovi-pjesama/pjesma/prljavo-kazaliste/beznadezni-slucaj.html,40139
Rama,PROPN,Prljavo Kazalište,Beznadežni slučaj,Xp4QBL1e_1_10,https://cuspajz.com//tekstovi-pjesama/pjesma/prljavo-kazaliste/beznadezni-slucaj.html,40139
Turu-tu-tu-tu,PROPN,Prljavo Kazalište,Bit ce bolje,Xp4QBL1e_1_11,"https://tekstovi.net/2,206,22819.html",48363
Osijek,PROPN,Prljavo Kazalište,"Bye, Bye",Xp4QBL1e_1_14,"https://tekstovi.net/2,206,11806.html",26325
Pakrac,PROPN,Prljavo Kazalište,"Bye, Bye",Xp4QBL1e_1_14,"https://tekstovi.net/2,206,11806.html",26325
