Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Album_title_discogs,Album_year_discogs,Featuring_discogs,Album_year_title_discogs,All_albums_discogs
Ivan Zak,Ivan Zak,Adrenalin,2:39,Adrenalin,2010.0,,2010.0-Adrenalin,2010.0-Adrenalin
Ivan Zak,Ivan Zak,Tetovaža,3:20,Adrenalin,2010.0,Neda Ukraden,2010.0-Adrenalin,2010.0-Adrenalin
Ivan Zak,Ivan Zak,Dinamit,3:07,Adrenalin,2010.0,,2010.0-Adrenalin,2010.0-Adrenalin
Ivan Zak,Ivan Zak,Sve Sam Joj Krao,2:55,Adrenalin,2010.0,,2010.0-Adrenalin,2010.0-Adrenalin
Ivan Zak,Ivan Zak,Vodu Ne Pijem,4:08,Adrenalin,2010.0,,2010.0-Adrenalin,2010.0-Adrenalin
Ivan Zak,Ivan Zak,Svjedok,3:58,Adrenalin,2010.0,,2010.0-Adrenalin,2010.0-Adrenalin
Ivan Zak,Ivan Zak,Ako Padnem,3:49,Adrenalin,2010.0,,2010.0-Adrenalin,2010.0-Adrenalin
Ivan Zak,Ivan Zak,Na Mukama,2:47,Adrenalin,2010.0,,2010.0-Adrenalin,2010.0-Adrenalin
Ivan Zak,Ivan Zak,Moja Mrvice,2:55,Adrenalin,2010.0,,2010.0-Adrenalin,2010.0-Adrenalin
Ivan Zak,Ivan Zak,Taximetar,3:13,Adrenalin,2010.0,,2010.0-Adrenalin,2010.0-Adrenalin
Ivan Zak,Ivan Zak,Rulet,3:10,Adrenalin,2010.0,,2010.0-Adrenalin,2010.0-Adrenalin
Ivan Zak,Ivan Zak,Ludo Moja,2:57,Adrenalin,2010.0,,2010.0-Adrenalin,2010.0-Adrenalin
Ivan Zak,Ivan Zak,Za Gram Tvoje Ljubavi,3:54,Adrenalin,2010.0,,2010.0-Adrenalin,2010.0-Adrenalin
Ivan Zak,Ivan Zak,Nisam Ljubomoran,4:01,Adrenalin,2010.0,,2010.0-Adrenalin,2010.0-Adrenalin
Ivan Zak,Ivan Zak,Adrenalin (Remix),3:02,Adrenalin,2010.0,,2010.0-Adrenalin,2010.0-Adrenalin
Ivan Zak,Ivan Zak,Kao metak,4:02,Adrenalin,2010.0,,2010.0-Adrenalin,2010.0-Adrenalin
Ivan Zak,Ivan Zak,Zgrešio Bih S Tobom,3:30,Adrenalin,2010.0,,2010.0-Adrenalin,2010.0-Adrenalin
Ivan Zak,Ivan Zak,Dajem,4:01,Adrenalin,2010.0,,2010.0-Adrenalin,2010.0-Adrenalin
Ivan Zak,Ivan Zak,Bolja Od Najbolje,,Bolja Od Najbolje,2012.0,,2012.0-Bolja Od Najbolje,2012.0-Bolja Od Najbolje
Ivan Zak,Ivan Zak,Tko Mi Te Krade,,Bolja Od Najbolje,2012.0,,2012.0-Bolja Od Najbolje,2012.0-Bolja Od Najbolje
Ivan Zak,Ivan Zak,Zbogom Pameti,,Bolja Od Najbolje,2012.0,,2012.0-Bolja Od Najbolje,2012.0-Bolja Od Najbolje
