Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Album_title_discogs,Album_year_discogs,Music By_discogs,Arranged By_discogs,Piano_discogs,Saxophone [Solo]_discogs,Soloist_discogs,Vocals_discogs,Featuring_discogs,Choir_discogs,Lyrics By_discogs,Written-By_discogs,Backing Vocals_discogs,Adapted By_discogs,Saxophone_discogs,Tamburitza [Bisernica_discogs,Brač]_discogs,Vocals [Second]_discogs,Alto Saxophone_discogs,Vocals [Female]_discogs,Guitar_discogs,Tamburitza [Prim]_discogs,Saxophone [Alto]_discogs,Tamburitza_discogs,Performer_discogs,Strings [Šargija]_discogs,Violin_discogs,Tambura_discogs,Featuring [Duet]_discogs,Arranged By [Uncredited]_discogs,Vocals [Duet] _discogs,Vocals [Duet]_discogs,Album_year_title_discogs,All_albums_discogs
Željko Bebek,Željko Bebek,Tijana,4:03,"Gori Svijet, ..... Ti Ćeš Ga Ugasiti",,Miroslav Drljača Rus,Fedor Boić,,,,,,,Miroslav Drljača Rus,,,,,,,,,,,,,,,,,,,,,,"nan-Gori Svijet, ..... Ti Ćeš Ga Ugasiti","nan-Gori Svijet, ..... Ti Ćeš Ga Ugasiti/nan-18 Najvećih Hitova/nan-Zlatna Kolekcija/2008.0-Zlatna Kolekcija/2011.0-Najljepše Ljubavne Pjesme/nan-Antologija / Bebek / 40 Godina/2019.0-Live/2019.0-Live/2020.0-Bebek U Spaladiumu/2021.0-Bebek U Spaladiumu"
Željko Bebek,Željko Bebek,Dobila Si Što Si Tražila,4:07,"Gori Svijet, ..... Ti Ćeš Ga Ugasiti",,Miroslav Drljača Rus,Fedor Boić,,,,,,,Miroslav Drljača Rus,,,,,,,,,,,,,,,,,,,,,,"nan-Gori Svijet, ..... Ti Ćeš Ga Ugasiti","nan-Gori Svijet, ..... Ti Ćeš Ga Ugasiti/nan-Hit Do Hita"
Željko Bebek,Željko Bebek,Platio Sam Svoje,4:44,"Gori Svijet, ..... Ti Ćeš Ga Ugasiti",,Fedor Boić,Fedor Boić,,,,,,,Miroslav Drljača Rus,,,,,,,,,,,,,,,,,,,,,,"nan-Gori Svijet, ..... Ti Ćeš Ga Ugasiti","nan-Gori Svijet, ..... Ti Ćeš Ga Ugasiti"
Željko Bebek,Željko Bebek,Ljubav Nikad Ne Pazi Na Grijeh,3:33,"Gori Svijet, ..... Ti Ćeš Ga Ugasiti",,Branko Bogunović,Branko Bogunović,,,,,,,Miroslav Drljača Rus,,,,,,,,,,,,,,,,,,,,,,"nan-Gori Svijet, ..... Ti Ćeš Ga Ugasiti","nan-Gori Svijet, ..... Ti Ćeš Ga Ugasiti"
Željko Bebek,Željko Bebek,Ne Pitaj,4:16,"Gori Svijet, ..... Ti Ćeš Ga Ugasiti",,Miroslav Drljača Rus,Branko Bogunović,,,,,,,Miroslav Drljača Rus,,,,,,,,,,,,,,,,,,,,,,"nan-Gori Svijet, ..... Ti Ćeš Ga Ugasiti","nan-Gori Svijet, ..... Ti Ćeš Ga Ugasiti"
Željko Bebek,Željko Bebek,Puca Mi U Glavi,,Puca Mi U Glavi,1995.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995.0-Puca Mi U Glavi,1995.0-Puca Mi U Glavi/1995.0-Puca Mi U Glavi/nan-Puca Mi U Glavi/nan-Zlatna Kolekcija
Željko Bebek,Željko Bebek,Ja Nikad Ne Pijem Za Stare Ljubavi,,Puca Mi U Glavi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Puca Mi U Glavi,nan-Puca Mi U Glavi/nan-18 Najvećih Hitova/nan-Zlatna Kolekcija
Željko Bebek,Željko Bebek,Noćas Miriše Sve Na Tvoja Ramena,,Puca Mi U Glavi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Puca Mi U Glavi,nan-Puca Mi U Glavi/nan-Zlatna Kolekcija/nan-Hit Do Hita
Željko Bebek,Željko Bebek,Tko Je Mene Prokleo,,Puca Mi U Glavi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Puca Mi U Glavi,nan-Puca Mi U Glavi/2011.0-Najljepše Ljubavne Pjesme
Željko Bebek,Željko Bebek,Dala Mi Je Da Je Ljubim Malo,,Puca Mi U Glavi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Puca Mi U Glavi,nan-Puca Mi U Glavi/nan-18 Najvećih Hitova/nan-Zlatna Kolekcija
Željko Bebek,Željko Bebek,Lagano Umirem U Tvome Sjećanju,,Puca Mi U Glavi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Puca Mi U Glavi,nan-Puca Mi U Glavi/nan-Zlatna Kolekcija/2008.0-Zlatna Kolekcija/2011.0-Najljepše Ljubavne Pjesme/nan-Antologija / Bebek / 40 Godina
Željko Bebek,Željko Bebek,Ne Idi Sad,,Puca Mi U Glavi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Puca Mi U Glavi,nan-Puca Mi U Glavi
Željko Bebek,Željko Bebek,Ti Si Mi Promijenila Krv,,Puca Mi U Glavi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Puca Mi U Glavi,nan-Puca Mi U Glavi
Željko Bebek,Željko Bebek,Potukla Si Me Do Nogu,,Puca Mi U Glavi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Puca Mi U Glavi,nan-Puca Mi U Glavi
Željko Bebek,Željko Bebek,Na Zadnjem Sjedištu Moga Auta,,Puca Mi U Glavi,,,,,,,,,,,Goran Bregović,,,,,,,,,,,,,,,,,,,,,nan-Puca Mi U Glavi,nan-Puca Mi U Glavi/nan-Zlatna Kolekcija/nan-Antologija / Bebek / 40 Godina/2020.0-Bebek U Spaladiumu/2021.0-Bebek U Spaladiumu
