Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Album_title_discogs,Album_year_discogs,Music By_discogs,Arranged By_discogs,Piano_discogs,Saxophone [Solo]_discogs,Soloist_discogs,Vocals_discogs,Featuring_discogs,Choir_discogs,Lyrics By_discogs,Written-By_discogs,Backing Vocals_discogs,Adapted By_discogs,Saxophone_discogs,Tamburitza [Bisernica_discogs,Brač]_discogs,Vocals [Second]_discogs,Alto Saxophone_discogs,Vocals [Female]_discogs,Guitar_discogs,Tamburitza [Prim]_discogs,Saxophone [Alto]_discogs,Tamburitza_discogs,Performer_discogs,Strings [Šargija]_discogs,Violin_discogs,Tambura_discogs,Featuring [Duet]_discogs,Arranged By [Uncredited]_discogs,Vocals [Duet] _discogs,Vocals [Duet]_discogs,Album_year_title_discogs,All_albums_discogs
Željko Bebek,Željko Bebek,Fatima,,Pjevaj Moj Narode,,,,,,,,,,Božidar Jeremić,,,,,,,,,,,,,,,,,,,,,,nan-Pjevaj Moj Narode,nan-Pjevaj Moj Narode/nan-Sve Najbolje/nan-Zlatna Kolekcija/2008.0-Zlatna Kolekcija
Željko Bebek,Željko Bebek,Drugovi Se Moji Žene,,Pjevaj Moj Narode,,,,,,,,,,Božidar Jeremić,,,,,,,,,,,,,,,,,,,,,,nan-Pjevaj Moj Narode,nan-Pjevaj Moj Narode/nan-Sve Najbolje
Željko Bebek,Željko Bebek,"Ej, Ko Te Dušo Drugom Obeć'o",,Pjevaj Moj Narode,,,,,,,,,,Željko Pavičić,,,,,,,,,,,,,,,,,,,,,,nan-Pjevaj Moj Narode,nan-Pjevaj Moj Narode
Željko Bebek,Željko Bebek,Anava Ni Iveret (Ljubav Je Slijepa),,Pjevaj Moj Narode,,,,,,,,,,Miroslav Drljača Rus,,,,,,,,,,,,,,,,,,,,,,nan-Pjevaj Moj Narode,nan-Pjevaj Moj Narode
Željko Bebek,Željko Bebek,Laku Noć Svirači,,Pjevaj Moj Narode,,,,,,,,,,Zlatko Sabolek,,,,,,,,,,,,,,,,,,,,,,nan-Pjevaj Moj Narode,nan-Pjevaj Moj Narode/2008.0-Zlatna Kolekcija/nan-Hit Do Hita/2019.0-Live/2019.0-Live
Željko Bebek,Željko Bebek,Žuta Ruža,,Niko Više Ne Sanja,,,,,,,,,,,Đorđe Novković,,,,,,,,,,,,,,,,,,,,,nan-Niko Više Ne Sanja,nan-Niko Više Ne Sanja/nan-Sve Najbolje/nan-18 Najvećih Hitova/nan-Zlatna Kolekcija/2008.0-Zlatna Kolekcija/2011.0-Najljepše Ljubavne Pjesme/nan-Hit Do Hita/nan-Antologija / Bebek / 40 Godina/nan-Antologija / Bebek / 40 Godina/2019.0-Live/2019.0-Live/2020.0-Bebek U Spaladiumu/2021.0-Bebek U Spaladiumu
Željko Bebek,Željko Bebek,Nema Šanse Da Te Zavolim,,Niko Više Ne Sanja,,,,,,,,,,Marina Tucaković,,,,,,,,,,,,,,,,,,,,,,nan-Niko Više Ne Sanja,nan-Niko Više Ne Sanja
Željko Bebek,Željko Bebek,Pričaju Mi Za Tebe,,Niko Više Ne Sanja,,,,,,,,,,,,Ođila,,,,,,,,,,,,,,,,,,,,nan-Niko Više Ne Sanja,nan-Niko Više Ne Sanja
Željko Bebek,Željko Bebek,Ko Će Da Mi Sudi,,Niko Više Ne Sanja,,,,,,,,,,Marina Tucaković,,,,,,,,,,,,,,,,,,,,,,nan-Niko Više Ne Sanja,nan-Niko Više Ne Sanja/nan-Hit Do Hita
Željko Bebek,Željko Bebek,Da Je Sreće Bilo,,Niko Više Ne Sanja,,,,,,,,,,Alka Vuica,,,,,,,,,,,,,,,,,,,,,,nan-Niko Više Ne Sanja,nan-Niko Više Ne Sanja/nan-Sve Najbolje/nan-Zlatna Kolekcija/2008.0-Zlatna Kolekcija/2011.0-Najljepše Ljubavne Pjesme/nan-Hit Do Hita/nan-Antologija / Bebek / 40 Godina/2019.0-Live/2019.0-Live/2020.0-Bebek U Spaladiumu/2021.0-Bebek U Spaladiumu
Željko Bebek,Željko Bebek,Bijela Ptica,,Niko Više Ne Sanja,,,,,,,,,,,Zrinko Tutić,,,,,,,,,,,,,,,,,,,,,nan-Niko Više Ne Sanja,nan-Niko Više Ne Sanja
Željko Bebek,Željko Bebek,Niko Više Ne Sanja,,Niko Više Ne Sanja,,,,,,,,,,Arsen Dedić,,,,Ivica Murat,,,,,,,,,,,,,,,,,,nan-Niko Više Ne Sanja,nan-Niko Više Ne Sanja
Željko Bebek,Željko Bebek,Tri Daljine ...,,Niko Više Ne Sanja,,,,,,,,,,Željko Krznarić,,,,,,,,,,,,,,,,,,,,,,nan-Niko Više Ne Sanja,nan-Niko Više Ne Sanja
Željko Bebek,Željko Bebek,Šta Će Ti Biti,,Šta Će Ti Biti,1990.0,Zrinko Tutić,,,,,,,,Marina Tucaković,,,,,,,,,,,,,,,,,,,,,,1990.0-Šta Će Ti Biti,"1990.0-Šta Će Ti Biti/nan-... Karmin, Pjesma I Rakija/nan-Sve Najbolje/nan-18 Najvećih Hitova/nan-Zlatna Kolekcija/2008.0-Zlatna Kolekcija"
Željko Bebek,Željko Bebek,Dabogda Te Voda Odnijela,,Šta Će Ti Biti,1990.0,Miroslav Drljača Rus,,,,,,,,Miroslav Drljača Rus,,,,,,,,,,,,,,,,,,,,,,1990.0-Šta Će Ti Biti,1990.0-Šta Će Ti Biti/nan-Sve Najbolje/nan-Zlatna Kolekcija/2008.0-Zlatna Kolekcija/2011.0-Najljepše Ljubavne Pjesme/nan-Antologija / Bebek / 40 Godina/nan-Antologija / Bebek / 40 Godina/2019.0-Live/2019.0-Live/2020.0-Bebek U Spaladiumu/2021.0-Bebek U Spaladiumu
Željko Bebek,Željko Bebek,Ni Rakije Ni Njenih Usana,,"... Karmin, Pjesma I Rakija",,,,,,,,,,Fahrudin Pecikoza,,,,,,,,,,,,,,,,,,,,,,"nan-... Karmin, Pjesma I Rakija","nan-... Karmin, Pjesma I Rakija"
Željko Bebek,Željko Bebek,Da Bogda Te Voda Odnijela,,"... Karmin, Pjesma I Rakija",,,,,,,,,,,Miroslav Drljača Rus,,,,,,,,,,,,,,,,,,,,,"nan-... Karmin, Pjesma I Rakija","nan-... Karmin, Pjesma I Rakija"
Željko Bebek,Željko Bebek,Daj Mi Karmina,,"... Karmin, Pjesma I Rakija",,,,,,,,,,Fahrudin Pecikoza,,,,,,,,,,,,,,,,,,,,,,"nan-... Karmin, Pjesma I Rakija","nan-... Karmin, Pjesma I Rakija"
Željko Bebek,Željko Bebek,Budi Sretna,,"... Karmin, Pjesma I Rakija",,,,,,,,,,Marina Tucaković,,,,,,,,,,,,,,,,,,,,,,"nan-... Karmin, Pjesma I Rakija","nan-... Karmin, Pjesma I Rakija"
Željko Bebek,Željko Bebek,Čaša Otrova,,"... Karmin, Pjesma I Rakija",,,,,,,,,,Željko Pavičić,,,,,,,,,,,,,,,,,,,,,,"nan-... Karmin, Pjesma I Rakija","nan-... Karmin, Pjesma I Rakija/nan-Sve Najbolje/nan-18 Najvećih Hitova/nan-Zlatna Kolekcija/2008.0-Zlatna Kolekcija/nan-Hit Do Hita/nan-Antologija / Bebek / 40 Godina"
Željko Bebek,Željko Bebek,S Nogu Sam Te Mala Popio,,"... Karmin, Pjesma I Rakija",,,,,,,,,,Miroslav Drljača Rus,,,,,,,,,,,,,,,,,,,,,,"nan-... Karmin, Pjesma I Rakija","nan-... Karmin, Pjesma I Rakija"
Željko Bebek,Željko Bebek,I Bog Je Od Nas Digao Ruke,,"... Karmin, Pjesma I Rakija",,,,,,,,,,Željko Pavičić,,,,,,,,,,,,,,,,,,,,,,"nan-... Karmin, Pjesma I Rakija","nan-... Karmin, Pjesma I Rakija/nan-Sve Najbolje/nan-Zlatna Kolekcija/nan-Antologija / Bebek / 40 Godina"
Željko Bebek,Željko Bebek,Neka Sam Ti Ostario,,"... Karmin, Pjesma I Rakija",,,,,,,,,,Marina Tucaković,,,,,,,,,,,,,,,,,,,,,,"nan-... Karmin, Pjesma I Rakija","nan-... Karmin, Pjesma I Rakija"
Željko Bebek,Željko Bebek,Večeras Si Lijepa,,"... Karmin, Pjesma I Rakija",,Rajko Dujmić,,,,,,,,Miroslav Drljača Rus,,,,,,,,,,,,,,,,,,,,,,"nan-... Karmin, Pjesma I Rakija","nan-... Karmin, Pjesma I Rakija/nan-Zlatna Kolekcija/2008.0-Zlatna Kolekcija/2011.0-Najljepše Ljubavne Pjesme"
Željko Bebek,Željko Bebek,"Il' Me Ženi, Il' Tamburu Kupi",3:50,...A Svemir Miruje,,Zrinko Tutić,,,,,Klapa Nostalgija,,,Božidar Jeremić,,,,,,,,,,,,,,,,,,,,,,nan-...A Svemir Miruje,nan-...A Svemir Miruje/nan-Zlatna Kolekcija
Željko Bebek,Željko Bebek,"Kako Došlo, Tako Prošlo",3:45,...A Svemir Miruje,,Đorđe Novković,,,,,,,,Miroslav Drljača Rus,,,,,Hrvoje Majić,Hrvoje Majić,,,,,,,,,,,,,,,,nan-...A Svemir Miruje,nan-...A Svemir Miruje/nan-Sve Najbolje/nan-18 Najvećih Hitova/nan-Zlatna Kolekcija/nan-Antologija / Bebek / 40 Godina
