Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Written-By_discogs,Album_title_discogs,Album_year_discogs,Lyrics By_discogs,Music By_discogs,Arranged By_discogs,Adapted By_discogs,Keyboards_discogs,Lead Vocals_discogs,Film Director_discogs,Featuring_discogs,Album_year_title_discogs,All_albums_discogs
Divlje Jagode,Divlje Jagode,Đavolji Grad,3:19,,Čarobnjaci,,,,,,,,,,nan-Čarobnjaci,nan-Čarobnjaci/nan-Collection/nan-Biodinamička Ljubav/2018.0-Original Album Collection Vol. 1/2018.0-Original Album Collection Vol. 2
Divlje Jagode,Divlje Jagode,Čarobnjaci,4:10,,Čarobnjaci,,,,,,,,,,nan-Čarobnjaci,nan-Čarobnjaci/nan-The Very Best Of/2004.0-The Very Best Of - Let Na Drugi Svijet/nan-Collection/2008.0-The Ultimate Collection/nan-The Ultimate Collection/2018.0-Original Album Collection Vol. 1/2018.0-Original Album Collection Vol. 1
Divlje Jagode,Divlje Jagode,Svi Nisu Kao Ja,4:30,,Čarobnjaci,,,,,,,,,,nan-Čarobnjaci,nan-Čarobnjaci/nan-Collection/2008.0-The Ultimate Collection/2018.0-Original Album Collection Vol. 1
Divlje Jagode,Divlje Jagode,Pepeljuga,4:08,,Čarobnjaci,,Husein Dervišević,,,,,,,,nan-Čarobnjaci,nan-Čarobnjaci/nan-Collection/2018.0-Original Album Collection Vol. 1
Divlje Jagode,Divlje Jagode,Sama Si,,,Čarobnjaci,,,,,,,,,,nan-Čarobnjaci,nan-Čarobnjaci/nan-Čarobnjaci/nan-Antologija 1/2004.0-The Very Best Of - Let Na Drugi Svijet/nan-Collection/2018.0-Original Album Collection Vol. 1/nan-Jukebox
Divlje Jagode,Divlje Jagode,Metalni Radnici,5:10,,Čarobnjaci,,,,,,,,,,nan-Čarobnjaci,nan-Čarobnjaci/nan-Antologija 1/2004.0-The Very Best Of - Let Na Drugi Svijet/nan-The Very Best Of - Let Na Drugi Svijet/nan-Collection/2008.0-The Ultimate Collection/2018.0-Original Album Collection Vol. 1
Divlje Jagode,Divlje Jagode,Samo Tren,4:27,,Čarobnjaci,,,,,,,,,,nan-Čarobnjaci,nan-Čarobnjaci/nan-Antologija 2/nan-Collection/2018.0-Original Album Collection Vol. 1
Divlje Jagode,Divlje Jagode,Ciganka,,,Vatra,,Slobodan Đurasović,,,,,,,,nan-Vatra,"nan-Vatra/nan-Najbolje/nan-Antologija 1/nan-Sarajevo, Ti I Ja/nan-The Very Best Of/2004.0-The Very Best Of - Let Na Drugi Svijet/nan-The Very Best Of - Let Na Drugi Svijet/2006.0-Collection/nan-Collection/2008.0-The Ultimate Collection/2018.0-Original Album Collection Vol. 1"
Divlje Jagode,Divlje Jagode,Let Na Drugi Svijet,,,Vatra,,Slobodan Đurasović,,,,,,,,nan-Vatra,"nan-Vatra/nan-Antologija 1/nan-Sarajevo, Ti I Ja/2004.0-The Very Best Of - Let Na Drugi Svijet/nan-The Very Best Of - Let Na Drugi Svijet/2006.0-Collection/nan-Collection/2008.0-The Ultimate Collection/nan-Greatest Hits/2018.0-Original Album Collection Vol. 1"
Divlje Jagode,Divlje Jagode,Divljakuša,,,Vatra,,,,,,,,,,nan-Vatra,nan-Vatra/nan-The Very Best Of/nan-Collection/2018.0-Original Album Collection Vol. 1
Divlje Jagode,Divlje Jagode,Dinamit,,,Vatra,,,,,,,,,,nan-Vatra,nan-Vatra/nan-Collection/2018.0-Original Album Collection Vol. 1
Divlje Jagode,Divlje Jagode,"Cmokni Me, Srce",,,Vatra,,,,,,,,,,nan-Vatra,nan-Vatra/nan-Collection
Divlje Jagode,Divlje Jagode,Hopa-Cupa,,,Vatra,,,,,,,,,,nan-Vatra,nan-Vatra/nan-Najbolje
Divlje Jagode,Divlje Jagode,Vatra,,,Vatra,,,,,,,,,,nan-Vatra,nan-Vatra/nan-Collection/2018.0-Original Album Collection Vol. 1/2018.0-Original Album Collection Vol. 1
Divlje Jagode,Divlje Jagode,Touch Me Little Girl,,,Vatra,,Theo Werdin,Theo Werdin,Theo Werdin,,,,,,nan-Vatra,nan-Vatra/nan-Collection/2018.0-Original Album Collection Vol. 1
Divlje Jagode,Divlje Jagode,Moja Si ...,,,Vatra,,,,,,,,,,nan-Vatra,nan-Vatra
Divlje Jagode,Divlje Jagode,Auto-Stop,,,Najbolje,,Goran Petranović,,,,,,,,nan-Najbolje,"nan-Najbolje/nan-Sarajevo, Ti I Ja"
Divlje Jagode,Divlje Jagode,Turski Marš,6:03,Wolfgang Amadeus Mozart,Turski Marš / Konji,1988.0,,,,,,,,,1988.0-Turski Marš / Konji,"1988.0-Turski Marš / Konji/nan-Konji/nan-Antologija 1/nan-Sarajevo, Ti I Ja/2004.0-The Very Best Of - Let Na Drugi Svijet/2004.0-Live + video clips/nan-The Very Best Of - Let Na Drugi Svijet/2006.0-Collection/nan-Collection/2008.0-The Ultimate Collection/2011.0-Ne, Nisam Ja/nan-Greatest Hits/2018.0-Original Album Collection Vol. 2"
Divlje Jagode,Divlje Jagode,Konji,5:46,,Turski Marš / Konji,1988.0,Slobodan Đurasović,Sead Lipovača,,,,,,,1988.0-Turski Marš / Konji,1988.0-Turski Marš / Konji/nan-Konji/nan-Antologija 1/2004.0-The Very Best Of - Let Na Drugi Svijet/nan-The Very Best Of - Let Na Drugi Svijet/2006.0-Collection/nan-Collection/2008.0-The Ultimate Collection/nan-Greatest Hits/2018.0-Original Album Collection Vol. 2/2018.0-Original Album Collection Vol. 2
Divlje Jagode,Divlje Jagode,Ne Brini Sestro Večeras Sam Tvoj,,,Konji,,,,,,,,,,nan-Konji,nan-Konji
