Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Written-By_discogs,Album_title_discogs,Album_year_discogs,Lyrics By_discogs,Music By_discogs,Arranged By_discogs,Adapted By_discogs,Keyboards_discogs,Lead Vocals_discogs,Film Director_discogs,Featuring_discogs,Album_year_title_discogs,All_albums_discogs
Divlje Jagode,Divlje Jagode,Kako si topla i mila,5:05,,The Very Best Of,,,,,,,,,,nan-The Very Best Of,nan-The Very Best Of/2004.0-Najlepše Balade - Krivo Je More
Divlje Jagode,Divlje Jagode,Nasmješi se,5:04,,The Very Best Of,,,,,,,,,,nan-The Very Best Of,nan-The Very Best Of/2004.0-Najlepše Balade - Krivo Je More
Divlje Jagode,Divlje Jagode,Sve iz inata,2:52,,The Very Best Of,,,,,,,,,,nan-The Very Best Of,nan-The Very Best Of
Divlje Jagode,Divlje Jagode,Ne želiš kraj,3:14,,The Very Best Of,,,,,,,,,,nan-The Very Best Of,nan-The Very Best Of
Divlje Jagode,Divlje Jagode,Nazovi me,3:27,,The Very Best Of,,,,,,,,,,nan-The Very Best Of,nan-The Very Best Of
Divlje Jagode,Divlje Jagode,Sama si,5:12,,The Very Best Of,,,,,,,,,,nan-The Very Best Of,nan-The Very Best Of
Divlje Jagode,Divlje Jagode,Metalni radnici,5:10,,The Very Best Of,,,,,,,,,,nan-The Very Best Of,nan-The Very Best Of
Divlje Jagode,Divlje Jagode,Samo tren,4:41,,The Very Best Of,,,,,,,,,,nan-The Very Best Of,nan-The Very Best Of/2004.0-Najlepše Balade - Krivo Je More
Divlje Jagode,Divlje Jagode,Let na drugi svijet,3:08,,The Very Best Of,,,,,,,,,,nan-The Very Best Of,nan-The Very Best Of
Divlje Jagode,Divlje Jagode,Hopa cupa,3:50,,The Very Best Of,,,,,,,,,,nan-The Very Best Of,nan-The Very Best Of
Divlje Jagode,Divlje Jagode,Moja si...,3:08,,The Very Best Of,,,,,,,,,,nan-The Very Best Of,nan-The Very Best Of
Divlje Jagode,Divlje Jagode,Morrison,,,The Very Best Of - Let Na Drugi Svijet,2004.0,,,,,,,,,2004.0-The Very Best Of - Let Na Drugi Svijet,2004.0-The Very Best Of - Let Na Drugi Svijet/nan-The Very Best Of - Let Na Drugi Svijet/nan-Wild Strawberries/nan-Collection/nan-Collection/2008.0-The Ultimate Collection/nan-The Ultimate Collection/2018.0-Original Album Collection Vol. 1/2018.0-Original Album Collection Vol. 1
Divlje Jagode,Divlje Jagode,Cmokni Me Srce,,,The Very Best Of - Let Na Drugi Svijet,2004.0,,,,,,,,,2004.0-The Very Best Of - Let Na Drugi Svijet,2004.0-The Very Best Of - Let Na Drugi Svijet/2018.0-Original Album Collection Vol. 1
Divlje Jagode,Divlje Jagode,live DOM SPORTOVA:,,,Live + video clips,2004.0,,,,,,,,,2004.0-Live + video clips,2004.0-Live + video clips
Divlje Jagode,Divlje Jagode,Kap po kap,,,Live + video clips,2004.0,,,,,,,,,2004.0-Live + video clips,2004.0-Live + video clips
Divlje Jagode,Divlje Jagode,Za Elizu,,,Live + video clips,2004.0,,,,,,,,,2004.0-Live + video clips,2004.0-Live + video clips/nan-Jukebox
Divlje Jagode,Divlje Jagode,video spotovi:,,,Live + video clips,2004.0,,,,,,,,,2004.0-Live + video clips,2004.0-Live + video clips
Divlje Jagode,Divlje Jagode,Motori (2003),,,Live + video clips,2004.0,,,,,,,,,2004.0-Live + video clips,2004.0-Live + video clips/nan-The Ultimate Collection
Divlje Jagode,Divlje Jagode,Krivo Je More (2004),,,Live + video clips,2004.0,,,,,,,,,2004.0-Live + video clips,2004.0-Live + video clips
Divlje Jagode,Divlje Jagode,Krivo je more (New Version),,,Najlepše Balade - Krivo Je More,2004.0,,,,,,,,,2004.0-Najlepše Balade - Krivo Je More,2004.0-Najlepše Balade - Krivo Je More
Divlje Jagode,Divlje Jagode,Zauvijek tvoj,,,Najlepše Balade - Krivo Je More,2004.0,,,,,,,,,2004.0-Najlepše Balade - Krivo Je More,2004.0-Najlepše Balade - Krivo Je More
Divlje Jagode,Divlje Jagode,Mojoj ljubavi,,,Najlepše Balade - Krivo Je More,2004.0,,,,,,,,,2004.0-Najlepše Balade - Krivo Je More,2004.0-Najlepše Balade - Krivo Je More
Divlje Jagode,Divlje Jagode,"Sarajevo, ti i ja",,,Najlepše Balade - Krivo Je More,2004.0,,,,,,,,,2004.0-Najlepše Balade - Krivo Je More,2004.0-Najlepše Balade - Krivo Je More
Divlje Jagode,Divlje Jagode,Zvijezda sjevera,,,Najlepše Balade - Krivo Je More,2004.0,,,,,,,,,2004.0-Najlepše Balade - Krivo Je More,2004.0-Najlepše Balade - Krivo Je More
Divlje Jagode,Divlje Jagode,Potraži put,,,Najlepše Balade - Krivo Je More,2004.0,,,,,,,,,2004.0-Najlepše Balade - Krivo Je More,2004.0-Najlepše Balade - Krivo Je More
