Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Written-By_discogs,Album_title_discogs,Album_year_discogs,Lyrics By_discogs,Music By_discogs,Arranged By_discogs,Engineer_discogs,Vocals [Male]_discogs,Strings_discogs,Vocals [Guest]_discogs,Producer_discogs,Choir_discogs,Guest_discogs,Soprano Vocals_discogs,Piano_discogs,Bass_discogs,Featuring [Duet]_discogs,Producer [Partial]_discogs,Keyboards_discogs,Timbales_discogs,Vocals [Duet]_discogs,Vocals_discogs,Saxophone [Soprano_discogs,Tenor]_discogs,Lyrics By [Romani]_discogs,Featuring_discogs,Featuring [Uncredited]_discogs,Accordion_discogs,Performer_discogs,Album_year_title_discogs,All_albums_discogs
Magazin,Magazin,Vino Iz Makedonije,4:26,,Dama I Car,,,,,,,,,,,,,,,,,,,,,,,,Black Coffee (3),,,,nan-Dama I Car,nan-Dama I Car/2010.0-Godine S Ivanom 2006 - 2010
Magazin,Magazin,Čija Sam Kad Tvoja Nisam,4:09,,Dama I Car,,,,,,,,,,,,,,,,,,,,,,,,,,,KUD Filip Dević,nan-Dama I Car,nan-Dama I Car/2010.0-Godine S Ivanom 2006 - 2010/2013.0-100 Originalnih Pjesama
Magazin,Magazin,Dva Bora,3:44,,Dama I Car,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Dama I Car,nan-Dama I Car/2010.0-Godine S Ivanom 2006 - 2010
Magazin,Magazin,Teško Je Umrijeti Sretan,3:58,,Dama I Car,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Dama I Car,nan-Dama I Car/2010.0-Godine S Ivanom 2006 - 2010
Magazin,Magazin,Tri Sam Zime Šaptala Ime,3:59,,Bossa N'Magazin,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Bossa N'Magazin,nan-Bossa N'Magazin
Magazin,Magazin,Nebesa,,,Godine S Ivanom 2006 - 2010,2010.0,,,,,,,,,,,,,,,,,,,,,,,Igor Cukrov,,,,2010.0-Godine S Ivanom 2006 - 2010,2010.0-Godine S Ivanom 2006 - 2010/2013.0-100 Originalnih Pjesama
Magazin,Magazin,Kako Sam Te Samo Voljela (Bog Neka Ti Prosti Grijehe),,,Godine S Ivanom 2006 - 2010,2010.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2010.0-Godine S Ivanom 2006 - 2010,2010.0-Godine S Ivanom 2006 - 2010
Magazin,Magazin,Voda Teče,,,Godine S Ivanom 2006 - 2010,2010.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2010.0-Godine S Ivanom 2006 - 2010,2010.0-Godine S Ivanom 2006 - 2010
Magazin,Magazin,Što Bog Mi Oči Da,,,Godine S Ivanom 2006 - 2010,2010.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2010.0-Godine S Ivanom 2006 - 2010,2010.0-Godine S Ivanom 2006 - 2010/2013.0-100 Originalnih Pjesama
Magazin,Magazin,Ne Traži Od Mene,,,Godine S Ivanom 2006 - 2010,2010.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2010.0-Godine S Ivanom 2006 - 2010,2010.0-Godine S Ivanom 2006 - 2010
Magazin,Magazin,Care....(Zoveš Kad Je Teško),,,Godine S Ivanom 2006 - 2010,2010.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2010.0-Godine S Ivanom 2006 - 2010,2010.0-Godine S Ivanom 2006 - 2010
Magazin,Magazin,Migrena,,,Godine S Ivanom 2006 - 2010,2010.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2010.0-Godine S Ivanom 2006 - 2010,2010.0-Godine S Ivanom 2006 - 2010
Magazin,Magazin,Kako Sam Te Samo Volela,,,Hitovi,2011.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2011.0-Hitovi,2011.0-Hitovi
Magazin,Magazin,Dva Zrna Grožda,,,Hitovi,2011.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2011.0-Hitovi,2011.0-Hitovi
Magazin,Magazin,Care,,,100 Originalnih Pjesama,2013.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2013.0-100 Originalnih Pjesama,2013.0-100 Originalnih Pjesama
Magazin,Magazin,Kemija,,,100 Originalnih Pjesama,2013.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2013.0-100 Originalnih Pjesama,2013.0-100 Originalnih Pjesama
Magazin,Magazin,Pa Nek Živi Rad,,,100 Originalnih Pjesama,2013.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2013.0-100 Originalnih Pjesama,2013.0-100 Originalnih Pjesama
Magazin,Magazin,Još Se Ne Bi Udala,,,100 Originalnih Pjesama,2013.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2013.0-100 Originalnih Pjesama,2013.0-100 Originalnih Pjesama
Magazin,Magazin,Maslačak,,,100 Originalnih Pjesama,2013.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2013.0-100 Originalnih Pjesama,2013.0-100 Originalnih Pjesama
Magazin,Magazin,Uvenut` Će Ruzmarin,,,100 Originalnih Pjesama,2013.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2013.0-100 Originalnih Pjesama,2013.0-100 Originalnih Pjesama
Magazin,Magazin,Dušu Nemaš Da Me Na Njoj Nosiš,,,100 Originalnih Pjesama,2013.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2013.0-100 Originalnih Pjesama,2013.0-100 Originalnih Pjesama
Magazin,Magazin,Jel` Zbog Nje,,,100 Originalnih Pjesama,2013.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2013.0-100 Originalnih Pjesama,2013.0-100 Originalnih Pjesama
Magazin,Magazin,Dišpetožo Moja Mala,,,100 Originalnih Pjesama,2013.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2013.0-100 Originalnih Pjesama,2013.0-100 Originalnih Pjesama
Magazin,Magazin,Minut` Srca Tvog,,,100 Originalnih Pjesama,2013.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2013.0-100 Originalnih Pjesama,2013.0-100 Originalnih Pjesama
Magazin,Magazin,"Mir, Mir Do Neba",,,100 Originalnih Pjesama,2013.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2013.0-100 Originalnih Pjesama,2013.0-100 Originalnih Pjesama
Magazin,Magazin,Neću Plakat` Namjerno,,,100 Originalnih Pjesama,2013.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2013.0-100 Originalnih Pjesama,2013.0-100 Originalnih Pjesama
Magazin,Magazin,Sijamski Blizanci,,,100 Originalnih Pjesama,2013.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2013.0-100 Originalnih Pjesama,2013.0-100 Originalnih Pjesama
Magazin,Magazin,Nek` Se Ruke Rukuju,,,100 Originalnih Pjesama,2013.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2013.0-100 Originalnih Pjesama,2013.0-100 Originalnih Pjesama
Magazin,Magazin,Umrit il` Živit,,,100 Originalnih Pjesama,2013.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2013.0-100 Originalnih Pjesama,2013.0-100 Originalnih Pjesama
Magazin,Magazin,Nisam Tvoja,,,100 Originalnih Pjesama,2013.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2013.0-100 Originalnih Pjesama,2013.0-100 Originalnih Pjesama
Magazin,Magazin,Jutro Nakon,,,100 Originalnih Pjesama,2013.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2013.0-100 Originalnih Pjesama,2013.0-100 Originalnih Pjesama/nan-Mislim Pozitivno!
Magazin,Magazin,"No, No, No / Split '14",4:10,,Mislim Pozitivno!,,,,Boris Đurđević,,,,,,,,,,,,,,,,,,,,,,,,nan-Mislim Pozitivno!,nan-Mislim Pozitivno!
Magazin,Magazin,Isti Kao Ti / Split '13,3:45,,Mislim Pozitivno!,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Mislim Pozitivno!,nan-Mislim Pozitivno!
Magazin,Magazin,Maslačak / Split '11,3:54,,Mislim Pozitivno!,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Mislim Pozitivno!,nan-Mislim Pozitivno!
Magazin,Magazin,Kemija / Zadar '10,4:05,,Mislim Pozitivno!,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Mislim Pozitivno!,nan-Mislim Pozitivno!
Magazin,Magazin,Školovana Da Preživim / Cmc Festival '14,3:45,,Mislim Pozitivno!,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Mislim Pozitivno!,nan-Mislim Pozitivno!
Magazin,Magazin,Parada / Cmc Festival '13,3:59,,Mislim Pozitivno!,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Mislim Pozitivno!,nan-Mislim Pozitivno!
Magazin,Magazin,Dušu Nemaš Da Me Na Njoj Nosiš / Split '12,4:26,,Mislim Pozitivno!,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Mislim Pozitivno!,nan-Mislim Pozitivno!
Magazin,Magazin,Muško Bez Karaktera / Cmc Festival '12,3:47,,Mislim Pozitivno!,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Mislim Pozitivno!,nan-Mislim Pozitivno!
Magazin,Magazin,Luzer,3:42,,Mislim Pozitivno!,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Mislim Pozitivno!,nan-Mislim Pozitivno!
Magazin,Magazin,Još Se Ne Bi Udala / Cmc Festival '11,3:53,,Mislim Pozitivno!,,Nenad Ninčević,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Mislim Pozitivno!,nan-Mislim Pozitivno!
Magazin,Magazin,Sijamski Blizanci / Split '10,3:25,,Mislim Pozitivno!,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Mislim Pozitivno!,nan-Mislim Pozitivno!
Magazin,Magazin,Žena A Ne Broj,4:19,,Žena A Ne Broj,2017.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2017.0-Žena A Ne Broj,2017.0-Žena A Ne Broj
Magazin,Magazin,Kako Sam Te Voljela (Bog Neka Ti...),4:46,,The Best Of Collection,2018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2018.0-The Best Of Collection,2018.0-The Best Of Collection
Magazin,Magazin,Pa Nek’ Živi Rad,3:25,,The Best Of Collection,2018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2018.0-The Best Of Collection,2018.0-The Best Of Collection
