Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Lyrics By_discogs,Album_title_discogs,Album_year_discogs,Music By_discogs,Written-By_discogs,Choir_discogs,Producer_discogs,Arranged By_discogs,Trombone_discogs,Trumpet_discogs,Adapted By_discogs,Bagpipes_discogs,Flute [Dvojnica]_discogs,Guest_discogs,Vocals [Duet]_discogs,Backing Vocals_discogs,Featuring_discogs,Lead Vocals_discogs,Engineer_discogs,Performer_discogs,Guitar_discogs,Mixed By_discogs,Album_year_title_discogs,All_albums_discogs
Boris Novković,Boris Novković,Kraj Je Uvijek Glup,,,Kuda Idu Izgubljene Djevojke,,,,,,,,,,,,,,,,,,,,,nan-Kuda Idu Izgubljene Djevojke,nan-Kuda Idu Izgubljene Djevojke
Boris Novković,Boris Novković,Mi Smo Jači Od Sudbine,,,Mi Smo Jači Od Sudbine / Plakat Ću Sutra,1987.0,,,,,,,,,,,,,,,,,,,,1987.0-Mi Smo Jači Od Sudbine / Plakat Ću Sutra,1987.0-Mi Smo Jači Od Sudbine / Plakat Ću Sutra
Boris Novković,Boris Novković,Plakat Ću Sutra,,,Mi Smo Jači Od Sudbine / Plakat Ću Sutra,1987.0,,,,,,,,,,,,,,,,,,,,1987.0-Mi Smo Jači Od Sudbine / Plakat Ću Sutra,1987.0-Mi Smo Jači Od Sudbine / Plakat Ću Sutra/nan-The Best Of/nan-The Best Of.../2005.0-Zlatna Kolekcija/2007.0-Mojih Prvih 20 Live/2008.0-The Platinum Collection/nan-The Platinum Collection/2010.0-Najljepše Ljubavne Pjesme/nan-The Best Of Collection
Boris Novković,Boris Novković,Da Te Nisam Ljubio,,,Da Te Nisam Ljubio,1987.0,,,,,,,,,,,,,,,,,,,,1987.0-Da Te Nisam Ljubio,1987.0-Da Te Nisam Ljubio/nan-The Best Of.../2005.0-Zlatna Kolekcija/2008.0-The Platinum Collection/nan-The Platinum Collection/2010.0-Najljepše Ljubavne Pjesme
Boris Novković,Boris Novković,Digni Ruke,,,Da Te Nisam Ljubio,1987.0,,,,,,,,,,,,,,,,,,,,1987.0-Da Te Nisam Ljubio,1987.0-Da Te Nisam Ljubio
Boris Novković,Boris Novković,Kad Te Jednom Srce Zaboli,,,Kad Te Jednom Srce Zaboli / Ništa Se Ne Događa,1989.0,,,,,,,,,,,,,,,,,,,,1989.0-Kad Te Jednom Srce Zaboli / Ništa Se Ne Događa,1989.0-Kad Te Jednom Srce Zaboli / Ništa Se Ne Događa/2008.0-The Platinum Collection/2010.0-Najljepše Ljubavne Pjesme
Boris Novković,Boris Novković,Ništa Se Ne Događa,,,Kad Te Jednom Srce Zaboli / Ništa Se Ne Događa,1989.0,,,,,,,,,,,,,,,,,,,,1989.0-Kad Te Jednom Srce Zaboli / Ništa Se Ne Događa,1989.0-Kad Te Jednom Srce Zaboli / Ništa Se Ne Događa/nan-Struji Struja 
Boris Novković,Boris Novković,Opasna Zona (Za Ljubljenje Bombona) ,4:12,Stevo Cvikić,Opasna Zona (Za Ljubljenje Bombona) / Ti Si Tu,1991.0,Boris Novković,,,,,,,,,,,,,,,,,,,1991.0-Opasna Zona (Za Ljubljenje Bombona) / Ti Si Tu,1991.0-Opasna Zona (Za Ljubljenje Bombona) / Ti Si Tu
Boris Novković,Boris Novković,Ti Si Tu,4:12,Dino Dervišhalidović,Opasna Zona (Za Ljubljenje Bombona) / Ti Si Tu,1991.0,Dino Dervišhalidović,,,,,,,,,,,,,,,,,,,1991.0-Opasna Zona (Za Ljubljenje Bombona) / Ti Si Tu,1991.0-Opasna Zona (Za Ljubljenje Bombona) / Ti Si Tu/nan-100 X/nan-The Best Of/nan-The Best Of.../2005.0-Zlatna Kolekcija/2008.0-The Platinum Collection
Boris Novković,Boris Novković,Zora Zna,3:57,Boris Novković,100 X,,Božidar Kozjak,,,,,,,,,,,,,,,,,,,nan-100 X,nan-100 X
