,Song_ID,Song,Lyrics
11,4wxdBzAi_1_11,Kad me tvoja ljubav prekrije,"Odavno si moja želja. Cilj životu mom. Jer je meni jako dobro. U naručju tvom. Sa sjevera dok mi idu. Hladni vjetrovi. Ti me pališ, na me bacaš. Čini ljubavi. Dobro mi je, dobro mi je tu. Skrivenoj u tvome naručju. Dobro mi je, dobro, najbolje. Kad me tvoja ljubav prekrije. Toplo mi je, toplo mi je tu. Skrivenoj u tvome naručju. Dobro mi je, dobro, najbolje. Kad me tvoja ljubav prekrije. Jutro zimsko na prozoru. Kesten miriše. U sobi je puno svega. Tebe najviše. Toplo mi je. Dok odijevam još u polusnu. Košulju od tvoga tijela. Meku, svilenu"
12,4wxdBzAi_1_12,Kad sklopim oci,"O tebi vijesti sve ce rjedje srcu stizati, a ja cu dane k'o djerdane tuge nizati, niti glasam niti pismo, valjda tako skupa htjeli smo. Svaki put kad sklopim oci, cini mi se da ces doci, da korake tvoje cujem, povjerujem, laz je kao otrov, samu sebe trujem. Usne su nijeme al' se vidi sve iz pogleda, to poraz moj je i jos jedna tvoja pobjeda, niti glasa, niti pismo, valjda tako skupa htjeli smo. Svaki put kad sklopim oci, i cini mi se da ces doci, k'o da vecer malo vise zamirise, na poljupce tvoje, i na prve kise, i na prve kise"
13,4wxdBzAi_1_13,Ljubila sam kao mala,"Ljubila sam kao mala. Više ne znam ja. Nije igra niti šala. Sad sam odrasla. Dragi, cure žele da te dijele. Mene briga, nisam više ta. Jedna zove, dvije nove. A ja bih htjela biti jedina. I zato- idi, idi od mene. Netko treba takve. A ja neću nikad ne, o... o... o... Pa kaže:. Ljubila sam kao mala. Više ne znam ja. Nije igra niti šala. Sad sam odrasla. Nemam nikog da me voli. Ko što volim ja. Ljubila sam kao mala. Sad sam odrasla. Ne vjerujem tebi više. Jednom davno sam se zaklela. Znam da uvijek tvoje usne. Neku ljube bar u mislima. I zato- idi, idi... Ljubila sam..."
14,4wxdBzAi_1_14,Neka dobro je,"Vidim suzu u oku tvom. Najdražem mom. Srcu jedinom... Ti i neznaš kako je, Jer ne voliš me, Ne voliš, zar ne?. Ja nikad ne bih sa tobom. U srcu mom bi bio lom. Samo neka, neka dobro je. Neka traje, nikad ne stane. Samo neka, neka dobro je. Ja idem dalje, al' nikud bez tebe. Nikud bez tebe..."
15,4wxdBzAi_1_15,Nemam ja nikoga,"Danima, danima ja ne znam. Što me zanima. Na moj prozor sunce neće. Danima, svaki korak tebi kreće. Da sam sretna lažem ljudima. Noćima, tebi žure suze sve. U očima, Da te nađu, da te slome. Noćima, da te vrate tijelu mome. Da mi spavaš tu na grudima. Jer nemam ja nikoga. Do tebe jednoga. Ne, nemam ja nikoga. Ljubav me izdala. E da si tu, da si tu. Da se sreća za mnom okrene. Jer nemam ja nikoga. Ti si život za mene. Danima, da te vidim. Samo to me zanima. Sve što imam sve je tvoje. Danima, tebe čeka srce moje. Kao dobru vijest na vratima. Noćima, tebi žure suze sve. U očima, Da te nađu, da te slome. Noćima, da te vrate tijelu mome. Da mi spavaš tu na grudima"
16,4wxdBzAi_1_16,Nemam komentara,"Usao si u moj zivot ko u stih, imas oci, ali ne vidis kroz njih, imas srce, duso, ali ga ne koristis, bio si u mom zivotu najbolji, dva put umre ko se jednom zaljubi, dva put umre, duso, ko se tako zaljubi. Postavit' se mozes i na glavu, zena sam i znam da sam upravu, ti si taj sto bruku stvara, a vise nemam komentara. Kao dan si meni sto je bio los, sve sam tebi dala, sto bi htio jos, da te nosim, duso, kao da si zlatni bros"
17,4wxdBzAi_1_17,Nije mi važno,"U slučaju da ti me ne voliš. I na kraju pomisliš. Ja ne bih preživjela to. U slučaju da bog mi oprosti. Za sve što sam griješila. Ja sve bih sa tobom ponovo. I nije važno što ljudi misle o tom. Nije mi, vjeruj, nije važno. Jer ja ću opet po svom. Važan si mi samo ti, moja ljubavi"
18,4wxdBzAi_1_18,Obori me s' nogu,"Hajde, obori me s' nogu, pa da bez tebe ne mogu, bez tebe ne mogu. Njezno kao krila leptira, ja pozelim malo tvoga dodira, jer dodir srece trebam u vece. Svaku izdrzat' cu krizu, samo ti mi budi blizu, budi uvijek blizu"
19,4wxdBzAi_1_19,Onako kako ti to znas,"Kao tresnje u proljece, obrazi mi se zarumene, kad si blizu pored mene, sve mi naopako krene. Klecaju mi koljena, ko da mi je petnaest godina, stalno za nesto zapinjem, pa stojim, nikud ne idem. Jer volim kako, izgovaras moje ime, gorim, da li znas, od tvoje blizine, kad mi kazes: hej, kako si, nesto u meni malo poludi. Jer volim kako izgovaras, moje ime, gorim, da li znas, od tvoje blizine, zelim da mi to ponavljas, onako kako ti to znas. Klecaju mi koljena, ko da mi je petnaest godina, stalno za nesto zapinjem, pa stojim, nikud ne idem. Zelim da mi to ponavljas, onako kako ti to znas"
20,4wxdBzAi_1_20,Ovo malo duse,"Koju korist bi sada imala, da sam ko mene ti, ja tebe izdala, zid samoce da sam sazidala. Ma nista bolje se ne bi dogodilo, sve nas je to na kraj, precicom vodilo, previse me sve pogodilo. Kao trn u peti zasmetas, kada mi se u san dosetas. Ovo malo duse sto je ostalo, sad bih tebi dala, kad bih znala, da me volis imalo. Ovo malo duse sto je ostalo, neces, jer do mene, tebi nije, nije stalo ni malo. Grize li te bar savjest ikada, sto nisi volio svim srcem nikada, pola bola mog ti pripada. Kao trn u peti zasmetas, kada mi se u san dosetas"
