,Song_ID,Artist,Artist_diskografija,Song_tekstovinet,Views_tekstovinet,Lyrics_tekstovinet,Url_tekstovinet,Writer_lyricstranslate,Song_lyricstranslate,EngTitle_lyricstranslate,Album_lyricstranslate,Lyrics_lyricstranslate,EngLyrics_lyricstranslate,Url_lyricstranslate,Izvedba_diskografija,Url_diskografija,Song_diskografija,Skladba_diskografija,Stihovi_diskografija,Album_1_diskografija,Album_2_diskografija,Album_3_diskografija,Aranžman_diskografija
10,b1GNJHQO_1_10,Leteći Odred,Leteći Odred,Hej lutko lutkice,33743,"Ne bih rek'o da cu moci
ove noci da ti pridjem
kao sjena krenem
na srce ti sidjem

A vjetar puse do dna duse
i otvori se nova rana
kada nam je ljubav
pukla kao grana
 
Tebi ne znaci nista
jedan vise il' manje
a meni srce se steze
i sve mi je tanje

Ref.
Hej lutko lutkice
kad bi mog'o barem malcice
ove noci da ti pridjem

Hej lutko lutkice
mog' zivota konobarice
i na srce ti sidjem

Daj mi Boze ispod koze
da mi tece kao struja
i cijelo moje tijelo
zavrti k'o oluja

A vjetar puse do dna duse
i otvori se nova rana
kada nam je ljubav
pukla kao grana

Tebi ne znaci nista
jedan vise il' manje
a meni srce se steze
i sve mi je tanje

Ref.

Ref.","https://tekstovi.net/2,480,22496.html",,,,,,,,,,,,,,,,
11,b1GNJHQO_1_11,Leteći Odred,Leteći Odred,Ja sam mali Mate,35830,"Rodjen sam u Slavoniji i to volim, yes
obozavam Severinu is'o sam na ples
imam slike Pokemona, moram skupit sve
mijenj'o sam se sa Ivicom jos mi fale dvije

Slusam mamu, tatu, dida, baku, s 5 sam prosao
u Sibenik sam ja u vlaku jucer dosao
volim se u moru kupat skoro cijeli dan
kad poplavim, mama vice hajde Mate van
 
Nije dobar Stipe
nije dobar Ante
ko je dobar, ko nam treba
nego mali Mate
(2x)

Ref. 2x
Ja sam mali Mate, toliko da znate
kad narastem pjevac bicu, cure neka vicu
ja sam mali Mate od mame i tate
hajde sa mnom zapjevajte

Na radiju svakog dana slusam Turky party
narucio sam jednu pizzu, dida ce da plati
mogao bi sada popit dvije Coca Cole
i u hladu dugo sjedit, vec me noge bole

I tako sam vam drago drustvo dosao do kraja
vec me malo oci peku od reflektora sjaja 
vidio sam lijepih cura, ne znam da li znate
sada vracam se u Slavoniju pozdravlja vas Mate

Nije dobar Stipe
nije dobar Ante
ko je dobar, ko nam treba
nego mali Mate
(2x)

Ref. 3x","https://tekstovi.net/2,480,22497.html",,,,,,,https://lyricstranslate.com/en/translations/16/328?page=29,"['Leteći Odred', 'Mali Mate']",https://diskografija.com/pjesma/ja-sam-mali-mate-1448.htm,Ja sam mali Mate,,,2002 - Hrvatski Radijski Festival 2002,2005 - Turky party - prvih 10 godina 1,,
12,b1GNJHQO_1_12,Leteći Odred,Leteći Odred,Jednu mladost imam,35507,"Gdje je sada drustvo nase
jos se tebe sjetim cesto 
tamo ispod starog mosta
tu je bilo nase mjesto

Ja cu sada naglas reci
ono sto odavno znamo
bas je steta sto smo uvijek 
prijatelji bili samo
 
Ref. 2x
Jednu mladost imam
samo srce jedno
a mi nismo zajedno
generacija se rastaje i dijeli
tebe su mi uzeli

Bez tebe mi nema dana
tuga me za tebe veze
nije na mom srcu rana
to je nesto puno teze

Ljubav ubija me njezno
ubija me polagano
postalo je neizbjezno
da se i ne pozdravljamo

Ref. 2x","https://tekstovi.net/2,480,9499.html",,,,,,,,['Leteći Odred'],https://diskografija.com/pjesma/jednu-mladost-imam-139.htm,Jednu mladost imam,['Denis Dumančić'],['Faruk Buljubašić Fayo'],2003 - Hrvatski Radijski Festival 2003,2003 - Hrvatski Radijski Festival 2003 - 20 najboljih,2004 - Razglednice,['Denis Dumančić']
13,b1GNJHQO_1_13,Leteći Odred,Leteći Odred,Jesam li za tebe bio ja,10861,"Kuda me vodite, moje noge nemirne
zbog vas je otisla, vi rijeci nespretne
o, kad bih mogao bar malo slagati
jer gruba istina ne moze je vratiti, o, ne

Ref. 2x
Jesam li za tebe bio ja
samo Bog bi znao to
a koliko bi u oblak suza stalo
toliko bi ja isplak'o
 
Umorno srce mi bez tebe boluje
od takvih bolova, kazu, lako se umire
al' jos teze bilo bi bez tebe zivjeti
i zato neka uzmu me nebeski orlovi

Ref. 4x","https://tekstovi.net/2,480,26530.html",,,,,,,,['Leteći Odred'],https://diskografija.com/pjesma/jesam-li-za-tebe-bio-ja-140.htm,Jesam li za tebe bio ja,,,,,,
14,b1GNJHQO_1_14,Leteći Odred,Leteći Odred,Jos jednom Tamara,12421,"Godine lete, kao komete
donose razne nemire
a ja se trudim ostati dijete
jer teko manje boli me
kao a-mol, kao staniol
medju zubima
tako boli sve 
kad pozelim te ja
 
Ref.
Ja trebam tvoju ljubav Tamara
iako si vec davno njegova
i njemu vedris svijet
a meni divlji cvijet
zauvjek si duso ostala

Ja trebam tvoju ljubav Tamara 
pa makar ona bila nevjerna
i srusit cu taj svijet 
i ubrat divlji cvijet
jos jednom Tamara

U pola pjesme 
bas kad se ne smije
misli mi bjeze od tebe
ulice ove postaju tijesne
u svakom licu vidim te
kao a-mol, kao staniol
medju zubima
tako boli sve 
kad pozelim te ja

Ref.
","https://tekstovi.net/2,480,11109.html",,,,,,,,['Leteći Odred'],https://diskografija.com/pjesma/jos-jednom-tamara-141.htm,Još jednom Tamara,,,,,,
15,b1GNJHQO_1_15,Leteći Odred,Leteći Odred,Jutro poslije brijanja,1040,"Na lice zima prijanja
u jutro poslije brijanja
a svako jutro tako izgleda
kao da mi hladan samar da
hladniji od poljupca
od njenog poljupca
 
Ne vrijede stara pravila
a nova su me tek pokvarila
u zadnje vrijeme mracan kao mrak
ne dize mi se vise niti tlak
i sve mi je onak
tak-tak

Ref.
Jer svijet je drugaciji
biti moramo tudji, svaciji
a ja volio bi da
opet bar na tren budem samo njen
da budem samo njen

Dan si odugovlacim
na sumnjiva se mjesta dovlacim
u zadnje vrijeme mracan kao mrak
ne dize mi se vise niti tlak
i sve mi je onak
tak-tak

Ref.

Ref. x2","https://tekstovi.net/2,480,55469.html",,,,,,,,['Leteći Odred'],https://diskografija.com/pjesma/jutro-poslije-brijanja-11033.htm,Jutro poslije brijanja,,,,,,
16,b1GNJHQO_1_16,Leteći Odred,Leteći Odred,Kao ja ne kuzim,8762,"Kao sto je rijeka tekla
tako mi je jasno rekla
nismo vise zaljubljeni par
kao rodjendanske darove
svi mi nose poklone
ona kosaru mi donosi, na dar
 
A sanjao sam oblake
i njene vruce korake
kako lutaju, po mojoj postelji
a kad sam se probudio
skoro sam poludio
jer, bio sam, u mokroj nevolji

 Ref. 2x
O Boze, sta mi je, zena da mi je
jer kao, ja ne kuzim sto to ljubav je 
prolaze mi godine, ne znam sta mi je
ili ja ne kuzim sto to ljubav je

Kupio sam cipele
i krenuo na plesanje
ja mislio sam, ona bit' ce tu
i ona s' njim je stajala
u usta ga je ljubila
kao suze mi na lice kise padaju

Ref. 2x

(2x)
O, Boze, sta mu/ti je,zena da mu/ti je
jer kao ja ne kuzim, sto to ljubav je
prolaze mu/ti godine,ne zna/s sta mu/ti je
ili,ja ne kuzim,sto to ljubav je","https://tekstovi.net/2,480,29046.html",,,,,,,https://lyricstranslate.com/en/translations,['Leteći Odred'],https://diskografija.com/pjesma/kao-ja-ne-kuzim-143.htm,Kao ja ne kužim,,,,,,
17,b1GNJHQO_1_17,Leteći Odred,Leteći Odred,Kao stari moj,4328,"Jutro hladno i stari kaput
sa mnom putuje i zna
spaja nas ista sudbina

A stoji ona i stoji stanica
vjetar brise suze sa lica
na dlanu joj pise - vrati se
 
Ref. 2x
Svaka godina, nova nadanja
neka stanu svi ratovi
i kad prodje sve, bit cu opet svoj
bit cu kao stari moj

Zatvori oci i zamisli zelju
srce trazi lutanja
jer svaka cesta svoju tajnu zna

A jos te vidim na mostu nadanja
gledaj sto ti donosi
svaka rijeka kao i vrijeme prolazi

Ref. 4x","https://tekstovi.net/2,480,36543.html",,,,,,,,['Leteći Odred'],https://diskografija.com/pjesma/kao-stari-moj-2746.htm,Kao stari moj,,,1992 - Među zvijezdama,1994 - Kada odletim,,
18,b1GNJHQO_1_18,Leteći Odred,Leteći Odred,Kazu,16636,"Ref. 2x
Kazu da me varas
da se vidjas s drugim tajno
kazu mi da bit ce sutra
nase vece oprostajno

Pa mi kazu da me varas
i da ces me ostaviti
a dobro znas da sam bolan
i da necu ozdraviti nikada
 
Neka si moja nevolja
s drugom ne zelim srecu
ti si za mene najbolja
mijenjati tebe necu

Malo je reci da sam tvoj
pripadam ti i vise
znas li da cijeli zivot moj
na tvome dlanu pise

Ref.

Na tvome dlanu pise

Ref.","https://tekstovi.net/2,480,20246.html",,,,,,,,['Leteći Odred'],https://diskografija.com/pjesma/kazu-146.htm,Kažu,,,,,,
19,b1GNJHQO_1_19,Leteći Odred,Leteći Odred,Lijepa je nasa puna odlikasa,7222,"Ona je bacila mi liru da zivi u Sibiru 
i tamo joj je cijela rodbina
kako uzgajaju prvake i jako vole narodnjake
sve je isto ko u vrijeme Staljina

A ja sam joj tad rek'o 
kod nas tece med i mlijeko
situacija je jako vesela
ravnicom sve od zita puca
na moru ima puno sunca
a ljeti bude cak i turista
 
Ref.
Lijepa je nasa puna odlikasa
ona je puna nasmijanih tipova
i dok se vrijeme skita, ma, tko za pamet pita
ovdje je uvijek dobra zajebancija 

Ona je bijela poput sira
sunce joj lice bas ne dira
njena zemlja se sa morem ne spaja
radi od mraka sve do jutra
pobjegla bi vec i sutra
ali daleka je ta Amerika

Ref. 3x 
","https://tekstovi.net/2,480,24554.html",,,,,,,,['Leteći Odred'],https://diskografija.com/pjesma/lijepa-je-nasa-puna-odlikasa-148.htm,Lijepa je naša puna odlikaša,,,,,,
