Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Written-By_discogs,Album_title_discogs,Lyrics By_discogs,Music By_discogs,Vocals_discogs,Album_year_discogs,Arranged By_discogs,Transcription By_discogs,Composed By_discogs,Written By_discogs,Guest_discogs,Featuring_discogs,Vocals [Duet]_discogs,Vocals [Duet] _discogs,Performer_discogs,Album_year_title_discogs,All_albums_discogs
Vinko Coce,Vinko Coce,"Sićaš Li Se, Lungomare",4:06,Nenad Ninčević,"Mirno Spavaj, Ružo Moja",,,,,,,,,,,,,,"nan-Mirno Spavaj, Ružo Moja","nan-Mirno Spavaj, Ružo Moja"
Vinko Coce,Vinko Coce,"Mirno Spavaj, Ružo Moja",3:40,Nenad Ninčević,"Mirno Spavaj, Ružo Moja",,,,,,,,,,,,,,"nan-Mirno Spavaj, Ružo Moja","nan-Mirno Spavaj, Ružo Moja/nan-Sve Najbolje/2006.0-Zlatni Hitovi Dalmacije/2006.0-Zlatna Kolekcija/2008.0-Ne Damo Te Pismo Naša/2017.0-The Best Of Collection"
Vinko Coce,Vinko Coce,Siti Se Kad Ostariš,2:36,,"Mirno Spavaj, Ružo Moja",Nenad Ninčević,Miho Marušić,Zorica Kondža,,,,,,,,,,,"nan-Mirno Spavaj, Ružo Moja","nan-Mirno Spavaj, Ružo Moja"
Vinko Coce,Vinko Coce,"Hej, Živote Moj",2:57,Nenad Ninčević,"Mirno Spavaj, Ružo Moja",,,,,,,,,,,,,,"nan-Mirno Spavaj, Ružo Moja","nan-Mirno Spavaj, Ružo Moja/nan-Sve Najbolje/2017.0-The Best Of Collection"
Vinko Coce,Vinko Coce,U Zaljevu Malom,2:50,Traditional,"Mirno Spavaj, Ružo Moja",,,,,,,,,,,,,,"nan-Mirno Spavaj, Ružo Moja","nan-Mirno Spavaj, Ružo Moja"
Vinko Coce,Vinko Coce,"Dalmacijo, Sve Ti Cvitalo",3:30,Nenad Ninčević,"Mirno Spavaj, Ružo Moja",,,,,,,,,,,,,,"nan-Mirno Spavaj, Ružo Moja","nan-Mirno Spavaj, Ružo Moja/2008.0-Ne Damo Te Pismo Naša/2017.0-The Best Of Collection"
Vinko Coce,Vinko Coce,Da Je Meni S Tobom Kroz Pasike,3:09,Nenad Ninčević,"Mirno Spavaj, Ružo Moja",,,Tomislava Miše,,,,,,,,,,,"nan-Mirno Spavaj, Ružo Moja","nan-Mirno Spavaj, Ružo Moja/nan-Sve Najbolje/2006.0-Zlatni Hitovi Dalmacije/2006.0-Zlatna Kolekcija/2008.0-Ne Damo Te Pismo Naša/2011.0-Najljepše Ljubavne Pjesme/2017.0-The Best Of Collection"
Vinko Coce,Vinko Coce,Sve Ti Dajem Za Lipotu,3:06,,"Mirno Spavaj, Ružo Moja",Nenad Ninčević,Joško Banov,,,,,,,,,,,,"nan-Mirno Spavaj, Ružo Moja","nan-Mirno Spavaj, Ružo Moja/nan-Sve Najbolje/2006.0-Zlatni Hitovi Dalmacije/2006.0-Zlatna Kolekcija/2011.0-Najljepše Ljubavne Pjesme"
Vinko Coce,Vinko Coce,Klapa I Pisma,3:45,Petar Zanki,"Mirno Spavaj, Ružo Moja",,,,,,,,,,,,,,"nan-Mirno Spavaj, Ružo Moja","nan-Mirno Spavaj, Ružo Moja"
Vinko Coce,Vinko Coce,Koliko Te Na Rastanku Volim,4:12,Petar Zanki,"Mirno Spavaj, Ružo Moja",,,,,,,,,,,,,,"nan-Mirno Spavaj, Ružo Moja","nan-Mirno Spavaj, Ružo Moja/2011.0-Najljepše Ljubavne Pjesme"
Vinko Coce,Vinko Coce,Najdraže Moje,3:30,Nenad Ninčević,"Mirno Spavaj, Ružo Moja",,,,,,,,,,,,,,"nan-Mirno Spavaj, Ružo Moja","nan-Mirno Spavaj, Ružo Moja/nan-Sve Najbolje/2006.0-Zlatni Hitovi Dalmacije/2006.0-Zlatna Kolekcija/2011.0-Najljepše Ljubavne Pjesme/2017.0-The Best Of Collection/0.0-Dalmatinski Biseri"
Vinko Coce,Vinko Coce,"Mama, Adio",,,"Mama, Adio",,,,1995.0,,,,,,,,,,"1995.0-Mama, Adio","1995.0-Mama, Adio/nan-Sve Najbolje/2006.0-Zlatni Hitovi Dalmacije/2006.0-Zlatna Kolekcija/2017.0-The Best Of Collection"
Vinko Coce,Vinko Coce,Dalmatinac,,,"Mama, Adio",,,,1995.0,,,,,,,,,,"1995.0-Mama, Adio","1995.0-Mama, Adio"
Vinko Coce,Vinko Coce,Ti Si Cvitak,,,"Mama, Adio",,,,1995.0,,,,,,,,,,"1995.0-Mama, Adio","1995.0-Mama, Adio"
Vinko Coce,Vinko Coce,Noć U Saldunu,,,"Mama, Adio",,,,1995.0,,,,,,,,,,"1995.0-Mama, Adio","1995.0-Mama, Adio/2002.0-Tenori I Tenorine O Svome Trogiru"
Vinko Coce,Vinko Coce,Neka Zapiva Moja Dalmacija,,,"Mama, Adio",,,,1995.0,,,,,,,,,,"1995.0-Mama, Adio","1995.0-Mama, Adio/2006.0-Zlatni Hitovi Dalmacije/2006.0-Zlatna Kolekcija/2017.0-The Best Of Collection"
