,Song_ID,Song,Lyrics
11,pltir+OL_1_11,Dernek,"Noći, jutra isto mi je sve. Danas, sutra pomiješa se sve. Ej, kafano zato volim te. Tu dernek je svaki dan. Lijevo, desno nigdje mi je dom. Gore, dolje tu je sve po mom. Ej, kafano samo tebe znam. Kad dernek je, nisi sam. Ee, ma neka traje. Ee, to život daje. Ee, tu saznam tko sam. Noć je ko dana osam. Sve sam prevario. S tobom ljubavnice. Nisam požalio. Kafano, suđenice. Sve sam prevario. I prizn´o im u lice. Prerano i ostario. Zbog tebe, nesretnice. Laj laj laj. Dernek je svaki dan. Laj laj laj. Dernek je nisi sam"
12,pltir+OL_1_12,Dobila si što si tražila,"Sve je tebi bilo premalo, ja sam znao da je propalo. Sve je tuđe bilo bolje, bio sam ti preko volje, i na kraju ti si otišla. Sad mi kažeš daj, oprosti mi, ma ne mogu, to zaboravi. Nisam ni ja baš od juče, moje srce nemoguće, dobro pamti, ne zaboravlja. Dobila si što si tražila, samo mene si izgubila. U tom izlogu ljepota, morat ćeš na kraj života, tamo, gdje nas nosi sudbina. Dobila si što si tražila, samo mene si izgubila. Sad mi kažeš daj, oprosti mi, ma ne mogu, to zaboravi. Nisam ni ja baš od juče, moje srce nemoguće, dobro pamti, ne zaboravlja. Dobila si što si tražila, samo mene si izgubila. U tom izlogu ljepota, morat ćeš na kraj života, tamo, gdje nas nosi sudbina. Dobila si što si tražila, samo mene si izgubila. U tom izlogu ljepota, morat ćeš na kraj života, al' bez mene, moja jedina, al' bez mene, moja jedina, al' bez mene, moja jedina."
13,pltir+OL_1_13,Mojoj Dragoj BiH,"Da te volim, dusa zna, draga moja BiH, ispod behar gradova, huce Bosna i Neretva. Una Drinu doziva, preko vjecnih planina, tu su nasa ognjista, sto put krvlju placena. Bosno i Hercegovino, nasa domovino. Digni se iz pepela, kao sto put do sada, sad s mirisom ljiljana, ljubavi moja. Ispod Save do mora, puno boli, puno sna, svakoj majci srce zna, sevdah se od tuge tka. Zemljo mojih djedova, dok je tvojih sinova, ti ces biti prkosna, slobodna i ponosna, zemljo nasih djedova."
14,pltir+OL_1_14,Drugovi se moji žene,"Još se kunem majke mi, s tobom mnogo. Još se molim ne bi li mi. Bog pomogo. A ti ne znaš dušo, kako mi je, žao mi sve žalije. Kako mi se tuga, sama toči, a ja sanjam tvoje, crne oči. Ko ti sada dušo, njedra grije, žao mi sve žalije. Došla jesen, došlo vrijeme, drugovi se moji žene. A ja neću, tebe volim, i ne mogu, da te prebolim."
15,pltir+OL_1_15,Dunavom,"Metar tuge ako napada, nece sakriti sto mi srce otkida, mutna voda ako zaledi, nece bit' hladnija od tvoje ljubavi. Dunavom ja da otplovim, lagao bih da te ne volim, otplovim, i sve zaboravim, al' kome bol, bol da ostavim. Komad srece gdje da odlomim, komad srece da te nocas prezivim, gdje si sada, gdje se provodis, da me bar zavolis koliko me ne volis"
16,pltir+OL_1_16,"Ej, ko te dušo drugom obeć’o","Ej, ko te dušo drugom obeć’o, nikad mu jutro ne svanulo. Kažu da ležiš, da si bolesna, bilo je uvijek tužnih svatova. Ej, ko te dušo drugom obeć’o. Sve sam ja rane redom napio, na mojoj duši tri su planine, od tuge pjesma da me otruje. 100 dukata na nebu sja). Zlato prosipa. 100 dukata na nebu sja). A mi sirotinja."
17,pltir+OL_1_17,Fatima,"Tri godine ima, pijem s ciganima, žalim, žalim i umrijet ću, al' te prežaliti neću, nikada, tebe neću nikada. Oko mene laži, murja me traži, noćas svašta bit će, duša nebu poletit će, zbog tebe. Sad mi tvoja ljubav treba, i samo zbog tebe, ko da si mi sišla s neba. Fato, Fato, ej Fatima, kad sam s tobom nema zima, pile moje daj mi vina. Fato, Fato, ej Fatima, Bog si Fato."
18,pltir+OL_1_18,Gdje će ti duša,"Ja se samo pravim važan, da sam jak i da sam snažan, a slučajno ako zaspim, totalno se upropastim. Aj jaj joj, jako mi je stalo, Aj jaj joj, volim te budalo. Ubitačno ti me smetaš, kad kroz moje snove šetaš. Kad pomislim da je java, radujem se za badava. Gdje će ti duša?. U pakao, zna se. Gdje će ti duša, ko će da te spase?. Gdje će ti duša, kada se probudiš?. Gdje će ti duša?. Hoću da poludim, i uz prvu kafu ruke mi se tresu, tu se ipak radi o krvi i mesu. Gdje će ti duša, ko će da te spase?. Ti ceš dušo, u pakao, zna se."
19,pltir+OL_1_19,Gdje sam bio,"Nosiš suze u moj stan, Bojiš se da nisam sam. S kim bi' bio kad je moja duša s' tobom. Ono što ti kvari san, ružne riječi svaki dan. Ne znam kome smeta moja ljubav s tobom. Briši suze cvijete moj, Zagrli me još sam tvoj. Ni u ludilu te ne bih drugom' dao. Ali šta bi čaršija, da tu nismo ti i ja. Zato pusti priče zagrli me samo. Gdje sam bio, s' kim sam pio, Kog' sam ljubio. Svi znaju bolje nego ja. Pa ti reci draga kome više vjeruješ. Il' meni ili drugima. Gdje sam bio, s kim sam pio, Kog' sam ljubio. Lako mi se pripiše. Pa ti reci dal' će ljubav il' ljubomora. Sudbinu da napiše"
20,pltir+OL_1_20,Gola koljena,"Te sam noći pjevao tamo, gdje svjetla prestaju. Dobar znak bio je samo, u tvome dolasku. Bila si kao obala spasa, u moru očaja. Za tebe bi pjevao bez glasa, bez muzike, tijelom i rukama. Ne znaš ti što je u meni, i što me pokreće. Prošla si previše blizu, i sve se okreće. Bila si kao obala spasa, u moru očaja. Za tebe bi pjevao bez glasa, bez muzike, tijelom i rukama. Hej, na gola koljena, si suknju navukla, na na na. Hej, zbog moga pogleda, si suknju vratila, da da da. Ne znaš ti što je u meni, i što me pokreće. Prošla si previše blizu, i sve se okreće. Korak lak, ko koraci pume, tih i opasan. Ušla si nečujno u me, ma to je to, ja sam se slomio."
21,pltir+OL_1_21,Gospodari noći,Gospodari noći. Majstori svirači. Evo mene opet. Ne mogu je naći. Kad vidite oči. Mojih suza pune. Pogasite svjetla. Ne dirajte strune. Ako jednu pjesmu znate. U kojoj je ona. Svirajte je pa nek' košta. Trista miliona. I da je trista skuplja. Svirajte je opet. Sve plaća ovaj čovjek. Od ljubavi proklet. Ako jednu pjesmu znate. U kojoj je ona. Svirajte je pa nek' košta. Trista miliona. Noćas duša moja. Leti u visinu. Ako takve pjesme nema. Ja platit' ću tišinu
22,pltir+OL_1_22,"Grmi jako, malo kiše pada","Rekla si mi, da bi dala sve što ne daješ, da me čekaš cijeli zivot, da se predaješ. Mudrim pogledom me zvala, si sebe nudila, i u meni ovu divlju vatru si probudila. Grmi jako, malo kiše pada, nešto ne valja, bilo nam je tako dobro, zašto si odustala. Mala moja, pusti priče, nisam ja za bacanje, hajde leži malo bliže, da nam noć ne propadne. Rekla si mi: nemoj noćas, nešto ostavi, ima dana, tješila me, sutra nastavi. Gasila si vatru ovu, koju si zapalila, cijelu priču okrenula, sve si mi podvalila."
23,pltir+OL_1_23,I Bog je od nas digao ruke,"Mi nismo rođeni da se volimo. Ljubavi moja, loše glumimo. Ne znamo da praštamo, samo svoje tjeramo, i sve gubimo. Nisam ni ja čovjek iz tvoga sna. Ti nećeš nikad biti kraljica. Negdje među zvjezdama, ljubav nam se sakrila, gdje si ti, gdje sam ja?. I Bog je od nas digao ruke, moje je srce k'o tvoje ponosno. I ja bi prije umro od muke, nego k'o prosjak za ljubav molio."
24,pltir+OL_1_24,"Idu dani, lete godine","Idu dani, život prolazi, sunce sine, pa se ugasi. Ostalo je tako mało, znam da nikom nije stało, kao što je tebi do mene. U tvom oku nema ničega, čak ni nada nije ostala. Samo želja još me mine, odnese me u daljine, tamo smo se nekad voljeli. Idu dani, lete godine, nemoj nikad žalit' zbog mene. sve sam u životu, dao za ljepotu, za ljepotu, i za lutanje."
25,pltir+OL_1_25,Il' me zeni il' tamburu kupi,"Il' me zeni, il' tamburu kupi, ja u nesto udarati moram. Daj mi casu jednu, da se nocas napijemo, i da prezalimo sto se, vise ne volimo. Za sve sto je lijepo, i sto nikad nece biti, nocas ce se vino piti. Stani tu do mene, lakse cemo ostariti, ja bez tebe necu, pa nek' bude sta ce biti. Evo zora svice, niko vise nema para, nek' se pjeva pjesma stara. Drmni mala desno, lijevo, da Bog da ti Bebek pjev'o. Drmni mala gore, dole, nemoj da te Bog zove, drmni mala desno, lijevo, da Bog da ti Bebek pjev'o"
26,pltir+OL_1_26,Imam samo tebe,"Dao sam ti dio sebe. Dio svega zauvjek. K'o sto neki daju tijela. I ne boli ih praznina. Mozda ne razumijes rijeci. Ti si bila uvjek cudna. Cutala si tu kraj mene. Kao slika nijeme zene. Dao sam ti sve sto imam. I sto nemam, sve da gazis. Dao sam ti dio duse. Dao sam ti puno vise. Ostavi sad bar nesto za mene. Ne budi gruba. Ostavi sad bar nesto za mene. Ne budi gruba. Imam samo tebe. Dao sam ti svoju snagu. I svu slabost da je lomis. Kao kraljica samoce. Ti jos uvjek sebe gonis. Dao sam ti dio sunca. Dio vjetra, dio svijeta. Dao sam ti dio duse. Dao sam ti puno vise"
27,pltir+OL_1_27,Ja nikad ne pijem za stare ljubavi,"Ja ne znam kako je kad srce miruje, moje se raspada kad te dodiruje. Ja nebi mogao živjeti bez tebe, ja bi zalutao da nisi kraj mene. ):. Ja nikad ne pijem za stare ljubavi, ja pijem za tebe, ostani kraj mene, neka se sjećaju, meni to ne treba, ti si mi dovoljna ti si mi jedina. Malo se popilo pa se zaružilo, zbog davnih ljubavi sve se rastužilo, ja se i ne sjećam, nije to za mene, tješim ih pomalo i mislim na tebe."
28,pltir+OL_1_28,Ja po kafanama,"Što mi nisi dala da te znam, da ti ludo srce dam, pa da više nisam sam. Da sa starim društvom nazdravim, svaki dan da proslavim, kad se s tobom probudim. Sve sam noći propio, da bih tebe dobio, sve sam škole prošao, da bih tebi došao, i šta mi vrijedi. Ja po kafanama, i sad žalim za nama, što te nikad nisam ljubio. Lakše bih živio, da te nisam vidio, da ne znam koga sam izgubio. Što mi nisi dala da sam tvoj, uzela mi život moj, jer bez tebe nisam svoj. Sve sam noći propio, da bih tebe dobio, sve sam škole prošao, da bih tebi došao, i šta mi vrijedi. Ja po kafanama, i sad žalim za nama, što te nikad nisam ljubio. Lakše bih živio, da te nisam vidio, da ne znam koga sam izgubio. što te nikad nisam ljubio, lakše bih živio, da te nisam vidio, da ne znam koga sam izgubio"
29,pltir+OL_1_29,Ja sam tebi sve oprostio,"Opet si u srce stigla, sa zemlje svu tugu digla, opet si me nocas razbila, pada kisa od sto kila, meni treba dobra vila, meni treba netko stvarno drag. Nikad necu znati, mala, da l' si za mnom zaplakala, da l' si za mnom suzu pustila, ne govori sta me boli, samo jednom covjek voli, ne vjerujem tvojim usnama. Ja sam tebi sve oprostio, za tebe se Bogu molio, hajde, barem ove noci, malo srece mi natoci, ja sam tebi sve oprostio. Opet si u srce stigla, sa zemlje svu tugu digla, opet si me nocas razbila, ne govori sta me boli, samo jednom covjek voli, ne vjerujem tvojim usnama. Ej, kad bih se mog'o zakleti, da te necu vise voljeti, lakse bi se zapjevalo, lakse bi se umiralo, ja sam tebi sve oprostio"
30,pltir+OL_1_30,Kad mi suze zamute vid,"Svakome jednom potone brod, pukne oluja i polomi sve, a sutra sunce obasja svod, ja prezivim zbog tebe. Nebo, nebo pise jos pricu za nas, a neke stvari ne treba reci naglas. Svakome jednom potone brod, divlje more odnosi sve, a to je zivot, i to mi je kod, takve se stvari dogode. Nebo, nebo salje jos dane za nas, tko zna u kojem od njih su nada i spas. Zagrli me, i oko nas napravi zid, jedino s tobom, plakati nije me stid, kada mi suze pomute vid. Zagrli me, i ispred nas stani k'o stit, da ne mogu nista ni bure, ni vjetrovi zla, uzalud prijete, cuvam te ja. Cuvam te ja, cuvam te ja. Svakome jednom zaprijeti zlo, kad shvatis da je vrijedilo, i trebam nekog da prodje kroz to, kad sve se cini daleko. Snijeg ako padne na nas, i oci ne vide spas, to nije posljednji cas. Cuvam te ja, cuvam te ja"
31,pltir+OL_1_31,"Kakav otac, takav sin (feat. Zvonimir Bebek)","Sve sto govorio si meni, sada mi je puno, puno jasnije, u zivotu ti je tako, netko shvati prije, netko kasnije. Prolazi sve, ali moja ljubav nikad, ne, rekao si, nema toga sto ti necu oprostiti. Znam sto ljudi kazu kad nas vide, kakav otac, takav sin, ali, sve sto vrijeme dalje ide, mi smo nepobjediv tim. U zivotu svatko za sebe bira, ljubav, srecu i bol, da ti zivot tuzne tonove svira, ili da bude rock and roll. Rock and roll, nisi sam, natoci nam, rock and roll, nisi sam, natoci nam. Za zivot ne postoje skole, ali, ti si stvarno dobar ucitelj, sinovi se posebno vole, a ti si meni otac, brat i prijatelj. Rock and roll, nisi sam, natoci nam, nisi sam, natoci nam"
32,pltir+OL_1_32,"Kako došlo, tako prošlo","Neko nekom mora reći, da je gotovo. I vino je bilo dobro, pa se popilo. Kako došlo, tako prošlo, zar to ne vidiš. Otkrit ću ti jednu tajnu:, ti me ne voliš. One riječi što se šute, da se ne kažu, vidio sam u tvom oku, oči ne lažu. Kako došlo, tako prošlo, zar to ne vidiš. Otkrit ću ti jednu tajnu, ti me ne voliš. Težak put je od ljubavi, pa do sjećanja. Nekad bilo, nikad više, zbogom, jedina!"
33,pltir+OL_1_33,Kaldrma,Ispred tebe stari grad. Iza nas deset godina. Voljela si skitnicu. I gospodina. Sreća je kad imaš sve. Il' kad srce mirno je. Mili Bože. Koje sreće. Što me neće. A uvijek dobro nam je bilo. Stara kaldrma. Do mene te dovela. Medene usne gorka sjećanja. Staru ljubav vratila. Mahovina kestena. Bršljani sa zidova. Što je bilo. Samo mi znamo. Kad se pozdravljamo. A tako dobro nam je bilo. Stara kaldrma. Do mene te dovela. Medene usne gorka sjećanja. Staru ljubav vratila
34,pltir+OL_1_34,Kaži mi pile moje,"Otkako si otišla ti. Dani se vuku ko prosjaci. Mrtav sam ništa ne osjećam. Samo se opijam. Ne pitam s kim si. Pravim se lud. A srcu svom sam plaćam dug. Izgubih s tobom govora dar. A htio bih popravit stvar. Kaži mi, reci mi, pile moje ima li nade još za nas dvoje. Kaži mi, reci mi, dušo najmilija da li me želiš još kao nekada. Mislio sam proći će sve. Prošle su druge, ma mogu i bez nje. Al mrtav sam ništa ne osjećam. Samo se opijam. Rekla si idem dan nije loš, treba mi jedno parče još. Izgubio sam govora dar, a htio sam popravit stvar."
35,pltir+OL_1_35,Kćeri moja,"Nisam manje musko, ako sada zaplacem, godine su prosle, i bez da se okrenem, tvoj je stari, uvijek uz tebe, ne boj se, moj dobri andjele. Predivna, u bijelom, dosao je i taj dan, tu je covjek koga volis, pristao sam da te dam, kceri moja, ljubav nek' ti sja, nek' te voli, voli kao ja. Nek' te voli svakog vaseg jutra, vise nego jucer, a manje nego sutra. Nek' te voli, bas svakog Bozjeg dana, k'o meni mati tvoja, ti si njemu od neba izabrana."
36,pltir+OL_1_36,Kilometri tuge,"Jos se ponekad na te spotaknem, tamo u neke sitne sate, al' od tebe ne mogu da pobjegnem, misli se opet tebi vrate, cija si dok zvijezde padaju, jos si moja, il' me oci varaju. Medju nama kilometri tuge, ti si me pokvarila za druge, i kad s drugom spavam, slutim, dobro znam ko je kriv, za ovu bol u grudima, bez tebe ni sunca, a ni mjeseca, daleko od oka, a blizu kraj srca. Jos se ponekad na te spotaknem, tamo u neke sitne sate, kad bi mogle one noci pijane, da se meni vrate, cija si dok zvijezde padaju, jos si moja, il' me oci varaju"
37,pltir+OL_1_37,Ko će da mi sudi,"Ej, koliko je u godini dana, toliko je na mom srcu rana. Još te čuvam, kao list na vodi, ostala je pjesma moja, zbog koje se rodi. Ej, koliko je jeseni i zima, koliko u meni tuge ima. Veliku sam pregazio vodu, pjesmo moja, ti ostani kad svi odu. Ko će da mi sudi, ako zapjevam, šta će reći ljudi, ako zajecam. Ej, koliko je u godini dana, toliko je na mom srcu rana. Veliku sam pregazio vodu, pjesmo moja, ti ostani kad svi odu."
38,pltir+OL_1_38,Ko je mene prokleo,"Noćas sam tebe sanjao, bolje da nisam zaspao, jer kad se tebe prisjetim, ja potonem, pa poludim. Imaš što si željela, i brak i djecu, jedina. Samo kad sama ostaneš, vratiš se našim pjesmama. Ko je mene prokleo, kad sam te zavolio, kad sam, srećo moja, s tobom bio, tebe ljubio?. Evo, stiže proljeće, devedeset i neke... Neko tajno sluša Bijelo Dugme, pjesme ljubavne. Noćas sam tebe sanjao, u snu te dugo ljubio. Jutro je tugu donjelo, da se bar nisam budio. Ko je mene prokleo, kad sam te zavolio, kad sam, srećo moja, s tobom bio, tebe ljubio?. Evo, stiže proljeće, devedeset i neke... Neko tajno sluša Bijelo Dugme, pjesme ljubavne. Ko je mene prokleo, kad sam te zavolio, kad sam, srećo moja, s tobom bio, tebe ljubio?. Evo, stiže proljeće, devedeset i neke... Neko tajno sluša Bijelo Dugme, pjesme ljubavne."
39,pltir+OL_1_39,Kucka nevjerna,"Pogled hladan, usne kao med, u njoj živi i vatra i led. Ko je ne zna skupo platiće, čitav život za njom patiće. Postelja njena vrela je al' duša sjeverna, ona će uvijek ostati kučka nevjerna. Hej da mogu vratiti je ja, var'o bi je ispod prozora. Pa da vidi kako boli bol, kako boli laž i nevjera."
