Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Album_title_discogs,Album_year_discogs,Written-By_discogs,Vocals_discogs,Arranged By_discogs,Lyrics By_discogs,Mixed By_discogs,Music By_discogs,Programmed By_discogs,Keyboards_discogs,Bass Guitar_discogs,Guitar_discogs,Mastered By_discogs,Rap_discogs,Saxophone_discogs,Trumpet_discogs,Arranged By [Strings]_discogs,Conductor_discogs,Strings_discogs,Producer_discogs,Arranged By [Associate]_discogs,Acoustic Guitar_discogs,Featuring_discogs,Engineer_discogs,Bass_discogs,Percussion [Live]_discogs,Drum Programming_discogs,Saxophone [Sopran]_discogs,Double Bass_discogs,Drums_discogs,Piano_discogs,Guest_discogs,Vocals [Duet]_discogs,Accordion_discogs,Flute_discogs,Organ [Hammond]_discogs,Backing Vocals_discogs,Classical Guitar_discogs,Percussion_discogs,Violin_discogs,Solo Vocal_discogs,Written By_discogs,Album_year_title_discogs,All_albums_discogs
Vanna,Vanna (2),Rijeka Snova (Duet Neno Belan),,Zajedno 20 Godina,2013.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013.0-Zajedno 20 Godina,2013.0-Zajedno 20 Godina
Vanna,Vanna (2),Kad Žena Zavoli (Duet Tony Cetinski),,Zajedno 20 Godina,2013.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013.0-Zajedno 20 Godina,2013.0-Zajedno 20 Godina
Vanna,Vanna (2),Totalno Sam Lud (Feat. Tony Cetinski & Mario Huljev),,Zajedno 20 Godina,2013.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013.0-Zajedno 20 Godina,2013.0-Zajedno 20 Godina
Vanna,Vanna (2),DVD,,Zajedno 20 Godina,2013.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013.0-Zajedno 20 Godina,2013.0-Zajedno 20 Godina
Vanna,Vanna (2),Ja Ti Priznajem,,Zajedno 20 Godina,2013.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013.0-Zajedno 20 Godina,2013.0-Zajedno 20 Godina
Vanna,Vanna (2),Ledeni Doba,,Zajedno 20 Godina,2013.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013.0-Zajedno 20 Godina,2013.0-Zajedno 20 Godina
Vanna,Vanna (2),Ka`Vanna,,Zajedno 20 Godina,2013.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013.0-Zajedno 20 Godina,2013.0-Zajedno 20 Godina
Vanna,Vanna (2),Rijeka Snova,,Zajedno 20 Godina,2013.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013.0-Zajedno 20 Godina,2013.0-Zajedno 20 Godina
Vanna,Vanna (2),Kad Žena Zavoli,,Zajedno 20 Godina,2013.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013.0-Zajedno 20 Godina,2013.0-Zajedno 20 Godina
Vanna,Vanna (2),Totalno Sam Lud,,Zajedno 20 Godina,2013.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013.0-Zajedno 20 Godina,2013.0-Zajedno 20 Godina
Vanna,Vanna (2),L' Appuntamento (Susret),4:59,Ispuni Mi Želju - Koncert Povodom 25 Godina Glazbene Karijere,2016.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016.0-Ispuni Mi Želju - Koncert Povodom 25 Godina Glazbene Karijere,2016.0-Ispuni Mi Želju - Koncert Povodom 25 Godina Glazbene Karijere/2016.0-Ispuni Mi Želju - Koncert Povodom 25 Godina Glazbene Karijere
Vanna,Vanna (2),Kupi Mi,4:13,Ispuni Mi Želju - Koncert Povodom 25 Godina Glazbene Karijere,2016.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016.0-Ispuni Mi Želju - Koncert Povodom 25 Godina Glazbene Karijere,2016.0-Ispuni Mi Želju - Koncert Povodom 25 Godina Glazbene Karijere/2016.0-Ispuni Mi Želju - Koncert Povodom 25 Godina Glazbene Karijere
Vanna,Vanna (2),Ne Traži Ljubav / Ja Ti Priznajem / Da Ti Nisam Bila Dovoljna,6:32,Ispuni Mi Želju - Koncert Povodom 25 Godina Glazbene Karijere,2016.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016.0-Ispuni Mi Želju - Koncert Povodom 25 Godina Glazbene Karijere,2016.0-Ispuni Mi Želju - Koncert Povodom 25 Godina Glazbene Karijere/2016.0-Ispuni Mi Želju - Koncert Povodom 25 Godina Glazbene Karijere
Vanna,Vanna (2),Turning Tables,4:22,Ispuni Mi Želju - Koncert Povodom 25 Godina Glazbene Karijere,2016.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016.0-Ispuni Mi Želju - Koncert Povodom 25 Godina Glazbene Karijere,2016.0-Ispuni Mi Želju - Koncert Povodom 25 Godina Glazbene Karijere/2016.0-Ispuni Mi Želju - Koncert Povodom 25 Godina Glazbene Karijere
Vanna,Vanna (2),All Of Me,4:48,Ispuni Mi Želju - Koncert Povodom 25 Godina Glazbene Karijere,2016.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016.0-Ispuni Mi Želju - Koncert Povodom 25 Godina Glazbene Karijere,2016.0-Ispuni Mi Želju - Koncert Povodom 25 Godina Glazbene Karijere/2016.0-Ispuni Mi Želju - Koncert Povodom 25 Godina Glazbene Karijere
Vanna,Vanna (2),Wrecking Ball / Video Games / Stay,7:17,Ispuni Mi Želju - Koncert Povodom 25 Godina Glazbene Karijere,2016.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016.0-Ispuni Mi Želju - Koncert Povodom 25 Godina Glazbene Karijere,2016.0-Ispuni Mi Želju - Koncert Povodom 25 Godina Glazbene Karijere/2016.0-Ispuni Mi Želju - Koncert Povodom 25 Godina Glazbene Karijere
Vanna,Vanna (2),Sad Imaš Razloga Za Suze,,Ispuni Mi Želju - Koncert Povodom 25 Godina Glazbene Karijere,2016.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016.0-Ispuni Mi Želju - Koncert Povodom 25 Godina Glazbene Karijere,2016.0-Ispuni Mi Želju - Koncert Povodom 25 Godina Glazbene Karijere
Vanna,Vanna (2),Listen,,Ispuni Mi Želju - Koncert Povodom 25 Godina Glazbene Karijere,2016.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mia Negovetić,,2016.0-Ispuni Mi Želju - Koncert Povodom 25 Godina Glazbene Karijere,2016.0-Ispuni Mi Želju - Koncert Povodom 25 Godina Glazbene Karijere
Vanna,Vanna (2),I Dreamed A Dream,,Ispuni Mi Želju - Koncert Povodom 25 Godina Glazbene Karijere,2016.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016.0-Ispuni Mi Želju - Koncert Povodom 25 Godina Glazbene Karijere,2016.0-Ispuni Mi Želju - Koncert Povodom 25 Godina Glazbene Karijere
Vanna,Vanna (2),Memory,,Ispuni Mi Želju - Koncert Povodom 25 Godina Glazbene Karijere,2016.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valentina Fijačko Kobić,,2016.0-Ispuni Mi Želju - Koncert Povodom 25 Godina Glazbene Karijere,2016.0-Ispuni Mi Želju - Koncert Povodom 25 Godina Glazbene Karijere
Vanna,Vanna (2),Izmiješane Boje,4:47,Izmiješane Boje,,,,Ante Gelo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vanna (2),nan-Izmiješane Boje,nan-Izmiješane Boje
Vanna,Vanna (2),Tragom Tvojih Tragova,3:27,Izmiješane Boje,,,,Bojan Šalamon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ante Pecotić,nan-Izmiješane Boje,nan-Izmiješane Boje
Vanna,Vanna (2),Najbolji Ljudi,3:57,Izmiješane Boje,,,,Goran Kovačić (2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vanna (2),nan-Izmiješane Boje,nan-Izmiješane Boje
Vanna,Vanna (2),Gdje Počinje Kraj,4:08,Izmiješane Boje,,,,Ante Gelo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ante Pecotić,nan-Izmiješane Boje,nan-Izmiješane Boje
Vanna,Vanna (2),U Tebi,4:05,Izmiješane Boje,,,,Goran Kovačić (2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vanna (2),nan-Izmiješane Boje,nan-Izmiješane Boje
Vanna,Vanna (2),Loš Trenutak,4:15,Izmiješane Boje,,,,Goran Kovačić (2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vanna (2),nan-Izmiješane Boje,nan-Izmiješane Boje
Vanna,Vanna (2),Kad Smo Se Voljeli,3:33,Izmiješane Boje,,,,Goran Kovačić (2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vanna (2),nan-Izmiješane Boje,nan-Izmiješane Boje
Vanna,Vanna (2),Danas Tebe Slavim,4:06,Izmiješane Boje,,,,Goran Kovačić (2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aljoša Šerić,nan-Izmiješane Boje,nan-Izmiješane Boje
Vanna,Vanna (2),Probaj (CR Session),3:39,Izmiješane Boje,,,,Goran Kovačić (2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vanna (2),nan-Izmiješane Boje,nan-Izmiješane Boje
Vanna,Vanna (2),Lopov (CR Session),3:52,Izmiješane Boje,,,,Robert Vrbančić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vanna (2),nan-Izmiješane Boje,nan-Izmiješane Boje
Vanna,Vanna (2),Bonus Track,,Izmiješane Boje,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Izmiješane Boje,nan-Izmiješane Boje
Vanna,Vanna (2),Podravina Moja Spi,3:55,Izmiješane Boje,,,,Ante Gelo,Vanna (2),,Vanna (2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Izmiješane Boje,nan-Izmiješane Boje
