Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Album_title_discogs,Written-By_discogs,Album_year_discogs,Lyrics By_discogs,Lyrics By [Croatian]_discogs,Music By_discogs,Vocals_discogs,Arranged By_discogs,Performer_discogs,Remix_discogs,Recorded By_discogs,Producer_discogs,Featuring_discogs,Album_year_title_discogs,All_albums_discogs
Prljavo Kazalište,Prljavo Kazalište,17 Ti Je Godina Tek,3:22,Crno Bijeli Svijet,,,Kurt Schwabach,Mario Kinel,Mort Shuman,,,,,,,,nan-Crno Bijeli Svijet,nan-Crno Bijeli Svijet/1998.0-Hitovi
Prljavo Kazalište,Prljavo Kazalište,Neki Moji Prijatelji,3:01,Crno Bijeli Svijet,,,,,,,,,,,,,nan-Crno Bijeli Svijet,nan-Crno Bijeli Svijet
Prljavo Kazalište,Prljavo Kazalište,Sam,4:11,Crno Bijeli Svijet,,,Jasenko Houra,,Ivan Piko Stančić,,,,,,,,nan-Crno Bijeli Svijet,nan-Crno Bijeli Svijet
Prljavo Kazalište,Prljavo Kazalište,Mi Plešemo,4:34,Crno Bijeli Svijet,,,,,,,,,,,,,nan-Crno Bijeli Svijet,nan-Crno Bijeli Svijet/1989.0-Voljenom Gradu/nan-ZG Rock Forces Live!/nan-Sve Je Lako Kad Si Mlad - Live/1998.0-Hitovi/nan-77-99 Sve Je Lako Kad Si Mlad/nan-Best Of - Live/2010.0-Single Collection '79 - '90/2017.0-Antologija/2020.0-30 Godina Od Koncerta Na Trgu - Arena Zagreb/nan-30 Godina Od Koncerta Na Trgu - Arena Zagreb
Prljavo Kazalište,Prljavo Kazalište,Široke Ulice,4:30,Heroj Ulice,,,,,,,,,,,,,nan-Heroj Ulice,nan-Heroj Ulice/nan-Sve Je Lako Kad Si Mlad - Live/1998.0-Hitovi/nan-77-99 Sve Je Lako Kad Si Mlad/2010.0-Single Collection '79 - '90/2017.0-Antologija
Prljavo Kazalište,Prljavo Kazalište,Djevojke Bi,2:45,Heroj Ulice,,,,,,,,,,,,,nan-Heroj Ulice,nan-Heroj Ulice
Prljavo Kazalište,Prljavo Kazalište,Lupam Glavom U Radio,2:30,Heroj Ulice,,,,,,,,,,,,,nan-Heroj Ulice,nan-Heroj Ulice/nan-77-99 Sve Je Lako Kad Si Mlad
Prljavo Kazalište,Prljavo Kazalište,Noćas Sam Izašao Na Kišu,4:30,Heroj Ulice,,,,,,,,,,,,,nan-Heroj Ulice,nan-Heroj Ulice
Prljavo Kazalište,Prljavo Kazalište,Amerika,3:50,Heroj Ulice,,,,,,,,,,,,,nan-Heroj Ulice,nan-Heroj Ulice/nan-77-99 Sve Je Lako Kad Si Mlad
Prljavo Kazalište,Prljavo Kazalište,Sve Gradske Bitange,3:00,Heroj Ulice,,,,,,,,,,,,,nan-Heroj Ulice,nan-Heroj Ulice/nan-Sve Je Lako Kad Si Mlad - Live/1998.0-Hitovi/nan-77-99 Sve Je Lako Kad Si Mlad/2010.0-Single Collection '79 - '90 B Sides/2017.0-Antologija
Prljavo Kazalište,Prljavo Kazalište,Djevojka Snova,3:15,Heroj Ulice,,,,,,,,,,,,,nan-Heroj Ulice,nan-Heroj Ulice
Prljavo Kazalište,Prljavo Kazalište,Heroj Ulice,4:40,Heroj Ulice,,,,,,,,,,,,,nan-Heroj Ulice,"nan-Heroj Ulice/1989.0-Voljenom Gradu/nan-Sve Je Lako Kad Si Mlad - Live/nan-Rock Balade/nan-Zabranjeni Koncert/nan-Božićni Koncert 27.12.1994/nan-20 Godina/nan-77-99 Sve Je Lako Kad Si Mlad/nan-77-99 Sve Je Lako Kad Si Mlad/nan-Best Of - Live/nan-Best Of - Live/2009.0-XXX Godina - Službeno Otvorenje Arene Zagreb, 17.01.2009/2009.0-XXX Godina - Službeno Otvorenje Arene Zagreb, 17.01.2009/2010.0-Single Collection '79 - '90/2012.0-Live Kompilacija Najvećih Hitova + Ljubav Je.../2017.0-Antologija/2019.0-XL World Tour Finale - Stadion Zagreb/2019.0-XL World Tour Finale Stadion Zagreb/2019.0-XL World Tour Finale Stadion Zagreb/2020.0-30 Godina Od Koncerta Na Trgu - Arena Zagreb/nan-30 Godina Od Koncerta Na Trgu - Arena Zagreb"
Prljavo Kazalište,Prljavo Kazalište,Sve Je Lako Kad Si Mlad,3:00,Korak Od Sna,,,,,,,,,,,,,nan-Korak Od Sna,nan-Korak Od Sna/1989.0-Voljenom Gradu/nan-Sve Je Lako Kad Si Mlad - Live/nan-Božićni Koncert 27.12.1994/1998.0-Hitovi/nan-77-99 Sve Je Lako Kad Si Mlad/nan-Tajno Ime/nan-Best Of - Live/nan-Best Of - Live/2010.0-Single Collection '79 - '90/2012.0-Live Kompilacija Najvećih Hitova + Ljubav Je.../2017.0-Antologija/2019.0-XL World Tour Finale - Stadion Zagreb/2019.0-XL World Tour Finale Stadion Zagreb/2019.0-XL World Tour Finale Stadion Zagreb/2020.0-30 Godina Od Koncerta Na Trgu - Arena Zagreb/nan-30 Godina Od Koncerta Na Trgu - Arena Zagreb
Prljavo Kazalište,Prljavo Kazalište,Dobar Vjetar U Leđa,3:49,Korak Od Sna,,,,,,,,,,,,,nan-Korak Od Sna,nan-Korak Od Sna/1989.0-Voljenom Gradu/1998.0-Hitovi/nan-77-99 Sve Je Lako Kad Si Mlad/2010.0-Single Collection '79 - '90 B Sides/2020.0-30 Godina Od Koncerta Na Trgu - Arena Zagreb/nan-30 Godina Od Koncerta Na Trgu - Arena Zagreb
Prljavo Kazalište,Prljavo Kazalište,Stajao Sam,3:03,Korak Od Sna,,,,,,,,,,,,,nan-Korak Od Sna,nan-Korak Od Sna
Prljavo Kazalište,Prljavo Kazalište,Buntovnik Bez Razloga,5:11,Korak Od Sna,,,,,,,,,,,,,nan-Korak Od Sna,nan-Korak Od Sna/2010.0-Single Collection '79 - '90 B Sides
Prljavo Kazalište,Prljavo Kazalište,Korak Od Sna,3:12,Korak Od Sna,,,,,,,,,,,,,nan-Korak Od Sna,nan-Korak Od Sna/nan-Sve Je Lako Kad Si Mlad - Live/nan-Rock Balade/1998.0-Hitovi/nan-77-99 Sve Je Lako Kad Si Mlad/2010.0-Single Collection '79 - '90/2017.0-Antologija/2020.0-30 Godina Od Koncerta Na Trgu - Arena Zagreb/nan-30 Godina Od Koncerta Na Trgu - Arena Zagreb
Prljavo Kazalište,Prljavo Kazalište,Loš Dan,4:01,Korak Od Sna,,,,,,,,,,,,,nan-Korak Od Sna,nan-Korak Od Sna/1989.0-Voljenom Gradu
Prljavo Kazalište,Prljavo Kazalište,Čini Mi Se,5:35,Korak Od Sna,,,,,,,,,,,,,nan-Korak Od Sna,nan-Korak Od Sna
Prljavo Kazalište,Prljavo Kazalište,Milioner,3:11,Korak Od Sna,,,Dragutin Britvić,,Jasenko Houra,,,,,,,,nan-Korak Od Sna,nan-Korak Od Sna
Prljavo Kazalište,Prljavo Kazalište,Ne Zovi Mama Doktora,,Ne Zovi Mama Doktora,,1985.0,,,,,,,,,,,1985.0-Ne Zovi Mama Doktora,"1985.0-Ne Zovi Mama Doktora/nan-Zlatne Godine/1989.0-Voljenom Gradu/nan-ZG Rock Forces Live!/nan-Sve Je Lako Kad Si Mlad - Live/nan-Božićni Koncert 27.12.1994/1998.0-Hitovi/nan-77-99 Sve Je Lako Kad Si Mlad/2008.0-Karlovačko Live 2008/2009.0-XXX Godina - Službeno Otvorenje Arene Zagreb, 17.01.2009/2009.0-XXX Godina - Službeno Otvorenje Arene Zagreb, 17.01.2009/2010.0-Single Collection '79 - '90/2017.0-Antologija/2019.0-XL World Tour Finale - Stadion Zagreb/2019.0-XL World Tour Finale Stadion Zagreb/2019.0-XL World Tour Finale Stadion Zagreb/2020.0-30 Godina Od Koncerta Na Trgu - Arena Zagreb/nan-30 Godina Od Koncerta Na Trgu - Arena Zagreb"
Prljavo Kazalište,Prljavo Kazalište,Moja Djevojka Je Otišla U Armiju (Instr.),,Ne Zovi Mama Doktora,,1985.0,,,,,,,,,,,1985.0-Ne Zovi Mama Doktora,1985.0-Ne Zovi Mama Doktora
Prljavo Kazalište,Prljavo Kazalište,Pod Sretnom Zvijezdom Mi Smo Rođeni,3:35,Zlatne Godine,,,,,,,,,,,,,nan-Zlatne Godine,nan-Zlatne Godine/1998.0-Hitovi/nan-77-99 Sve Je Lako Kad Si Mlad
Prljavo Kazalište,Prljavo Kazalište,Zlatne Godine,3:10,Zlatne Godine,,,,,,,,,,,,,nan-Zlatne Godine,nan-Zlatne Godine/1998.0-Hitovi/nan-77-99 Sve Je Lako Kad Si Mlad/2010.0-Single Collection '79 - '90 B Sides/2017.0-Antologija
Prljavo Kazalište,Prljavo Kazalište,Sladoled,2:50,Zlatne Godine,Olja Dubroja,,,,,Olja Dubroja,,,,,,,nan-Zlatne Godine,nan-Zlatne Godine/1986.0-Moja Djevojka Je Otišla U Armiju / Sladoled/1998.0-Hitovi
Prljavo Kazalište,Prljavo Kazalište,Dan Za Danom,4:00,Zlatne Godine,,,,,,,,,,,,,nan-Zlatne Godine,"nan-Zlatne Godine/2009.0-XXX Godina - Službeno Otvorenje Arene Zagreb, 17.01.2009/2009.0-XXX Godina - Službeno Otvorenje Arene Zagreb, 17.01.2009/2010.0-Single Collection '79 - '90 B Sides"
Prljavo Kazalište,Prljavo Kazalište,Moja Djevojka Je Otišla U Armiju,4:10,Zlatne Godine,,,,,,,,,,,,,nan-Zlatne Godine,nan-Zlatne Godine/1986.0-Moja Djevojka Je Otišla U Armiju / Sladoled/2020.0-30 Godina Od Koncerta Na Trgu - Arena Zagreb/nan-30 Godina Od Koncerta Na Trgu - Arena Zagreb
Prljavo Kazalište,Prljavo Kazalište,"U Krevetu Mom, U Nojevoj Barci",4:00,Zlatne Godine,,,,,,,,,,,,,nan-Zlatne Godine,nan-Zlatne Godine
Prljavo Kazalište,Prljavo Kazalište,Groblje Slonova,4:15,Zlatne Godine,,,,,,,,,,,,,nan-Zlatne Godine,nan-Zlatne Godine/2020.0-30 Godina Od Koncerta Na Trgu - Arena Zagreb/nan-30 Godina Od Koncerta Na Trgu - Arena Zagreb
Prljavo Kazalište,Prljavo Kazalište,Ma Kog' Me Boga Za Tebe Pitaju,5:55,Zlatne Godine,,,,,,,,,,,,,nan-Zlatne Godine,nan-Zlatne Godine/nan-ZG Rock Forces Live!/nan-Sve Je Lako Kad Si Mlad - Live/nan-Božićni Koncert 27.12.1994/nan-20 Godina/2017.0-Antologija
Prljavo Kazalište,Prljavo Kazalište,Početak,,Jugoton Express,,1986.0,,,,,,,,,,,1986.0-Jugoton Express,1986.0-Jugoton Express/1986.0-Jugoton Express
Prljavo Kazalište,Prljavo Kazalište,Nastavak,,Jugoton Express,,1986.0,,,,,,,,,,,1986.0-Jugoton Express,1986.0-Jugoton Express/1986.0-Jugoton Express
Prljavo Kazalište,Prljavo Kazalište,Zaustavite Zemlju,3:30,Zaustavite Zemlju,,,,,,,,,,,,,nan-Zaustavite Zemlju,nan-Zaustavite Zemlju/1989.0-Voljenom Gradu/1998.0-Hitovi/nan-77-99 Sve Je Lako Kad Si Mlad/2017.0-Antologija/2019.0-XL World Tour Finale - Stadion Zagreb/2019.0-XL World Tour Finale Stadion Zagreb/2020.0-30 Godina Od Koncerta Na Trgu - Arena Zagreb/nan-30 Godina Od Koncerta Na Trgu - Arena Zagreb
Prljavo Kazalište,Prljavo Kazalište,Bježi Ptico Od Mene,3:00,Zaustavite Zemlju,,,,,,,,,,,,,nan-Zaustavite Zemlju,nan-Zaustavite Zemlju
Prljavo Kazalište,Prljavo Kazalište,...Mojoj Majci,5:13,Zaustavite Zemlju,,,,,,,,,,,,,nan-Zaustavite Zemlju,nan-Zaustavite Zemlju
