Unnamed: 0,Song_ID,Artist,Artist_diskografija,Song_tekstovinet,Views_tekstovinet,Lyrics_tekstovinet,Url_tekstovinet,Writer_lyricstranslate,Song_lyricstranslate,EngTitle_lyricstranslate,Album_lyricstranslate,Lyrics_lyricstranslate,EngLyrics_lyricstranslate,Url_lyricstranslate,Skladba_diskografija,Stihovi_diskografija,Aranžman_diskografija,Izvedba_diskografija,Url_diskografija,Song_diskografija,Album_1_diskografija,Album_2_diskografija,Album_3_diskografija,Album_4_diskografija,Album_5_diskografija,Album_6_diskografija,Album_7_diskografija,Lyrics_cuspajz,Song_cuspajz,Url_cuspajz
0,CDOhygHn_1_0,Najbolji Hrvatski Tamburaši,Najbolji Hrvatski Tamburaši,Ajde de,6401,"Cura mala, cura mala
mi se pojadala
kaze jadna sve bi dala
kad bi ljubit' znala

Ref.
Ajde, ajde, ajde de
ajde curo ne placi
evo mene barabe
da te ljubit' nauci
 
Sve me gleda, sve me gleda
pa mi se nasmije
kaze jadna ljubila bi
al' jos nikad nije

Ma ne boj se milovati
ne boj se ljubiti
nitko od tog umro nije
neces curo ni ti

","https://tekstovi.net/2,610,11183.html",,,,,,,,['Mario Vestić'],['Mario Vestić'],['Denis Špegelj'],['Najbolji Hrvatski Tamburaši'],https://diskografija.com/pjesma/ajde-de-5715.htm,Ajde de,,,,,,,,,,
1,CDOhygHn_1_1,Najbolji Hrvatski Tamburaši,Najbolji Hrvatski Tamburaši,Ako odes ti,10526,"Ako odes ti
ako srusis sve
ako odes necu 'mrijeti
necu molit', necu kleti tebe
bit ce mi zao

Ako jednom ti
drugog zavolis
srcu mome ne vracaj se
ne varaj se 
ne nadaj se meni
vise nikada

Za me ne pitaj
i ne pisi mi
neka vrijeme cini svoje
mozda jednom 
srce ludo moje
nadje zaborav

Za me, ne pitaj
vise nikada

","https://tekstovi.net/2,610,11142.html",,,,,,,,['Mario Vestić'],['Mario Vestić'],['Denis Špegelj'],['Najbolji Hrvatski Tamburaši'],https://diskografija.com/pjesma/ako-odes-ti-5713.htm,Ako odeš ti,,,,,,,,"Ako odeš ti
Ako srušiš sve
Ako odeš neću mrijeti
Neću molit neću kleti tebe
Bit će mi žao
Ako odeš neću mrijeti
Neću molit neću kleti tebe
Bit će mi žao

Ako jednom ti
Drugog zavoliš
Srcu mome ne vračaj se
Ne varaj se, ne nadaj se meni
Više nikada
Srcu mome ne vračaj se
Ne varaj se, ne nadaj se meni
Više nikada

Za me ne pitaj
I ne piši mi
Neka vrijeme čini svoje
Možda jednom srce ludo moje
Nađe zaborav
Neka vrijeme čini svoje
Možda jednom srce ludo moje
Nađe zaborav
Za me ne pitaj
Više nikada",Ako odeš ti,https://cuspajz.com//tekstovi-pjesama/pjesma/zlatni-dukati-najbolji-hrvatski-tamburasi/ako-odes-ti.html
2,CDOhygHn_1_2,Najbolji Hrvatski Tamburaši,Najbolji Hrvatski Tamburaši,Andrija Cordas,94063,"Andrija Cordas 
siroce iz drugog rata
omalen covjek, vedrih ociju
copori svinja, vatrica tinja

Savske bare i dubina
velikog neba slavonskog
im'o dva psa, dva druga
to nije bilo gazda i sluga
to je bilo prijateljstvo iskreno
 
Pricaju ljudi mlad je bio
lijepu je Slavu zavolio
a nju je bolest, rano uzela
k'o vuk samotnjak tugu je krio
nije po birtija plak'o i pio

Samo on zna kako nasao je mir
kad bi ga pitali sto zivi tako
zasto ne stekne imanja
a on bi rek'o
pa nek se bogati k'o o tom sanja

Ref.
Jer nije sretan k'o puno ima
sretan je onaj tko malo treba
ne da se sreca zlatom kupiti
sva blaga svijeta nista ne vrijede

Jadan je onaj kog' vrag zavede
pa cijeli zivot samo dukate 
na hrpu sprema
dzaba mu svega
kad u dusi mira nema

Sanjivom plavom seoskom zorom
svirala frula sirokim sorom
njegova pjesma je sokak budila
i sve su gazde bas njega htjele

Kod njeg' su svinje bolje jele
tko zna zasto, mozda i njima 
dobrote fali

A znao je reci, marva je marva
u trnju jede, u blatu spava
ali se nikada ne uprlja k'o covjek

Bio je Andra na svoju ruku
po selu pricali mimo svijeta
ljudi k'o ljudi, ljudima uvijek 
nesto smeta

A samo je zivio kako je htio
i s ono malo sretan bio
na racun tuge, na racun 
srece sale zbij'o

Zivot je cesta pa biraj gdje ces
al' zalud grabis i zalud stjeces
kad tamo gore nista od toga 
ponijet' neces

Bjezale godine, uvijek je tako
pa i on stario polako
i sve se rjedje cula frula 
u jutro rano

I prodje dobro, prodje i lose
stari sokaci nestadose
i dodje, neko vrijeme njemu strano
nestalo marve, nestalo gazda
nestalo suma i salasa
nestalo s njima 
i posljednjeg Cordasa

Umro je Andra onako tiho
kako i umru takvi ljudi
bez puno suza i tuznih stihova
svecenik rece tek dvije, tri rijeci

Pokoj mu dusi, a bio je veci
nego bi covjek rekao na izgled
samo je Sava na tren stala
samo je vrbak spustio grane
ljudi se kunu da su psi plakali","https://tekstovi.net/2,610,11457.html",,Andrija Čordaš,"Andrija, the shepherd",,"Andrija Čordaš
siroče iz Drugog rata
omalen čovjek, vedrih očiju
čopori svinja, vatrica tinja. Savske bare i dubina
velikog neba slavonskog
im'o dva psa, dva druga
to nije bilo gazda i sluga
to je bilo prijateljstvo iskreno. Pričaju ljudi mlad je bio
lijepu je Slavu zavolio
a nju je bolest rano uzela
k'o vuk samotnjak tugu je krio
nije po birtija plak'o i pio. Samo on zna kako našao je mir
kad bi ga pitali što živi tako
zašto ne stekne imanja
a on bi rek'o
pa nek se bogati k'o o tom sanja. Ref.
Jer nije sretan k'o puno ima
sretan je onaj tko malo treba
ne da se sreća zlatom kupiti
sva blaga svijeta ništa ne vrijede. Jadan je onaj kog vrag zavede
pa cijeli život samo dukate
na hrpu sprema
džaba mu svega
kad u duši mira nema. Sanjivom plavom seoskom zorom
svirala frula širokim šorom
njegova pjesma je sokak budila
i sve su gazde baš njega htjele. Kod njeg su svinje bolje jele
tko zna zašto, možda i njima
dobrote fali. A znao je reći, marva je marva
u trnju jede, u blatu spava
ali se nikada ne uprlja k'o čovjek. Bio je Andra na svoju ruku
po selu pričali mimo svijeta
ljudi k'o ljudi, ljudima uvijek
nešto smeta. A samo je živio kako je htio
i s ono malo sretan bio
na račun tuge, na račun
sreće šale zbij'o. Život je cesta pa biraj gdje ćeš
al' zalud grabiš i zalud stječeš
kad tamo gore ništa od toga
ponijet nećeš. Bježale godine, uvijek je tako
pa i on stario polako
i sve se rjeđe čula frula
u jutro rano. I prođe dobro, prođe i loše
stari Šokci nestadoše
i dođe neko vrijeme njemu strano
nestalo marve, nestalo gazda
nestalo šuma i salaša
nestalo s njima
i posljednjeg čordaša. Umro je Andra onako tiho
kako i umru takvi ljudi
bez puno suza i tužnih stihova
svećenik reče tek dvije, tri riječi. Pokoj mu duši, a bio je veći
nego bi čovjek rekao na izgled
samo je Sava na tren stala
samo je vrbak spustio grane
ljudi se kunu da su psi plakali","Andrija, the shepherd,
A Second World War orphan
Small man, bright eyed
Herds of pigs, a fire smouldering. Sava puddles and the depths
Of the huge slavonian sky
He had two hounds, two devoted companions
It wasn't like master and servant -
It was a true friendship between them.. People say when he was young
He fell in love with beautiful Slava
But illness took her early
Like a lone wolf he hid away his sadness
He didn' drink and cry around the pubs. Only he knows how he found peace
When people would ask him - why does he live in such a way
Why doesn't he earn for some estate
He would answer
Let him get rich whose dream that is.. Chorus:
Because the happy one is not the one who has lots
Happy is the one who doesn't need much
You cannot buy happiness with money
All the treasures of the world are worth nothing. Miserable is the one who had been seduced by the devil
So he just stacks goldcoins
On a heap his whole life.
All is in vain
If one has no peace in his soul. Through a dreamy blue country dawn
One fife played in a wide street
His song woke up the village
And all the farmers wanted only him(to take care of their pigs). The pigs ate better when he took care of them
Who knows why, maybe they too
Are in need of kindness.. And he would say, cattle is cattle
Eats in thornes, sleeps in the mud
But never gets as dirty as a man does.. Andra was one of a kind
They said in the village - completely different he was
People are as people are, there is always
Something bothering them.. And he only lived the way he wanted to live
He was happy with the little that he had.
About sadness, about happiness - he
Made jokes.. Life is a road so pick your way.
But in vain you grab and stack
When up there (to the heaven) you will take
Nothing. Years fled, it's always like that
He also got old slowly
And it was more and more seldom that the fife played
Early in the morning. And the good passed, and the bad passed
The old Sokci were gone
And a new time, strange to him, came
There was no cattle, there were no farmers
There were no forrests, no countryside estates
Along with them
The last shepherd vanished.. Andrija died as quietly
As such people die
Without much tears or sad songs
The priest only said two or three words. May he rest in peace, and he was more of a man
Then one would say by looking at him
Only the Sava stopped for a moment
Only the willow trees lowered their branches
People swear the dogs cried.",https://lyricstranslate.com/en/andrija-%C4%8Dorda%C5%A1-andrija-shepherd.html,,,,,,,,,,,,,,,,
3,CDOhygHn_1_3,Najbolji Hrvatski Tamburaši,Najbolji Hrvatski Tamburaši,Banja Luko i ta tvoja sela,30381,"Banja Luko i ta tvoja sela
u tebi me cura zanijela
(2x)

Zanijela garavim ocima
bijelim licem i mednim ustima
(2x)
 
Garavuso kad bi moja bila
moja bi se zelja ispunila
(2x)

Mila majko povest' cu je k sebi
bit' ce draga i meni i tebi
(2x)

Banja Luko grom u tebe puk'o
jedva sam se iz tebe izvuk'o
(2x)","https://tekstovi.net/2,610,10900.html",,Banja Luko i ta tvoja sela,Бања Луко и та твоја села,,"Banja Luko i ta tvoja sela,
u tebi me cura zanijela. Zanijela garavim očima,
bijelim licem i mednim ustima. Ah moj dragi kad bi tvoja bila,
moja bi se želja ispunila. Mila majko odvest ću ga sebi,
bit će mio i meni i tebi","Бања Луко и та твоја села,
у теби ме цура занијела. Занијела гаравим очима,
бијелим лицем и медним устима. Ах мој драги кад би твоја била,
моја би се жеља испунила. Мила мајко одвест ћу га себи,
бит ће мио и мени и теби",https://lyricstranslate.com/en/%D0%B1%D0%B0%D1%9A%D0%B0-%D0%BB%D1%83%D0%BA%D0%BE-%D0%B8-%D1%82%D0%B0-%D1%82%D0%B2%D0%BE%D1%98%D0%B0-%D1%81%D0%B5%D0%BB%D0%B0-banja-luko-i-ta-tvoja-sela.html,['Narodna'],['Narodna'],['Hrvoje Majić'],['Najbolji Hrvatski Tamburaši'],https://diskografija.com/pjesma/banja-luko-i-ta-tvoja-sela-5711.htm,Banja Luko i ta tvoja sela,,,,,,,,,,
4,CDOhygHn_1_4,Najbolji Hrvatski Tamburaši,Najbolji Hrvatski Tamburaši,Bez tebe mi ne mirise cvijece,6295,"Nema dana, nema noci
k'o da niceg nema vise
nit' se sunce zorom javlja
nit' oblaci nose kise

Ne postojim ja
ja sam sjena covjeka
kojega se sjecas
 
Ref.
Bez tebe mi ne mirise cvijece
bez tebe mi dusa u raj nece
sve sto mi je bilo sveto
postalo mi je prokleto
zivot samo prolazi kraj mene

Nisu moje usne zedne
niti vina, niti smijeha
ne trazi mi dusa vise
niti pjesme, niti grijeha

Bez tebe sam ja
sjena onog covjeka
kojega se sjesas

Ref.","https://tekstovi.net/2,610,39404.html",,Bez tebe mi ne miriše cvijeće,Without you flowers don't smell to me no more,,"Nema dana, nema noći,
ko da ničeg nema više.
Nit se sunce zorom javlja,
nit oblaci nose kiše.
Ne postojim ja...
Ja sam sjena čovjeka
kojega se sjećaš.. (Pripjev)
Bez tebe mi ne miriše cvijeće...
Bez tebe mi duša u raj neće..
Sve što mi je bilo sveto,
ostalo mi je prokleto.
Život samo prolazi kraj mene.... Nisu moje usne žedne -
niti vina, niti smijeha.
Ne traži mi duša više -
niti pjesme, niti grijeha.
Bez tebe sam ja
sjena onog čovjeka
kojega se sjećaš.. (Pripjev)","There isn't a day, there isn't a night,
As if there is nothing any more.
Neither does the sun come with the dawn,
Nor do the clouds carry the rain.
I do not exist...
I am a shadow of the man
You remember.. (Chorus)
Without you flowers don't smell to me no more
Without you, my soul won't go to heaven...
All that was sacred for me,
Remained damned.
Life just passes me by.... My lips aren't thirsty -
not after wine, not after laughter.
My soul asks nothing more -
No songs, nor sins.
Without you I am
A shadow of the man
You remember.. (Chorus)",https://lyricstranslate.com/en/bez-tebe-mi-ne-miri%C5%A1e-cvije%C4%87e-without-you-flowers-dont-smell-me-no-more.html,,,,,,,,,,,,,,,,
5,CDOhygHn_1_5,Najbolji Hrvatski Tamburaši,Najbolji Hrvatski Tamburaši,Bijeli Bozic,5990,"Bijeli Bozic zasjao
kao zlatni brijeg
i u sobi ostao
jer je vani snijeg

Ref.
Bozic bijel i zacaran
radostan i svet
mozda takav jedan dan
zblizi cijeli svijet
 
Nocas ce nas grijati
okiceni bor
i nas dom ce sijati
kao carski dvor

Svijet ce s jutrom zaspati
zadovoljan, tih
nasa jelka zasjati
sjajnija od svih

","https://tekstovi.net/2,610,14168.html",,Bijeli Božić,White Christmas,,"Bijeli Božić zasjao
1
kao zlatni brijeg
i u sobi ostao
jer je vani snijeg.. Božić bijeli začaran
radostan i svet
možda takav jedan dan
zbliži cijeli svijet.. Noćas će nas grijati
okićeni bor
i naš dom će sijati
kao carski dvor.. Svijet će sjutrom zaspati
zadovoljan tih
naša jelka zasjati
sjajnija od svih.","White Christmas shone
Like a golden hill
And remained in the room
Because there's snow outside.. White Christmas - enchanted,
Joyful and holy,
Maybe a day like that
Can make the whole world come together.. Tonight the decorated tree
Will keep us warm
And our home with glow
Like an emperor's palace.. The world will fall asleep with the morning
Content, quiet
Our Christmas tree will shine
The brightest of all.",https://lyricstranslate.com/en/bijeli-bo%C5%BEi%C4%87-white-christmas.html-0,['Irvin Berlin'],"['Saša Lošić', 'Irvin Berlin']",['Denis Špegelj'],['Najbolji Hrvatski Tamburaši'],https://diskografija.com/pjesma/bijeli-bozic-white-christmas-9553.htm,Bijeli Božić (White Christmas),2005 - Sretan Božić,2006 - Intrade u Božiću - Klapa Intrade,2007 - Božić dolazi - New Swing Quartet,,,,,,,
6,CDOhygHn_1_6,Najbolji Hrvatski Tamburaši,Najbolji Hrvatski Tamburaši,Bosa Mara Bosnu pregazila,14932,"Bosa Mara Bosnu pregazila
Bosnu pregazila
aj Bosa Mara Bosnu pregazila
na vitu se jelu naslonila
jelu naslonila
aj na vitu se jelu naslonila
 
Vita jelo, ti visoko rastes
ti visoko rastes
aj vita jelo, ti visoko rastes
sto te pitam pravo da mi kazes
pravo da mi kazes
aj sto te pitam pravo da mi kazes

Je li mi se ozenio dragi
ozenio dragi
aj je li mi se ozenio dragi
jeste, Maro, vec godina dana
vec godina dana
aj jeste, Maro, vec godina dana

Ozenio i kcerku dobio
i kcerku dobio
aj ozenio i kcerku dobio
i tvoje joj ime nadjenuo
ime nadjenuo
aj i tvoje joj ime nadjenuo","https://tekstovi.net/2,610,10241.html",,,,,,,,,,,,,,,,,,,,,,,
7,CDOhygHn_1_7,Najbolji Hrvatski Tamburaši,Najbolji Hrvatski Tamburaši,"Boze, Boze, sta cu sad",5346,"Prodao sam ridjana 
za nekol'ko hiljada

Ref. 2x
Sve smo pare popili 
jos se nismo opili
Boze, Boze, sta cu sad

Prodao sam dorata 
ej za saku dukata

Zasviraj mi cigane 
da prezalim ridjane

Ref. 2x","https://tekstovi.net/2,610,7039.html",,,,,,,,['Josip Ivanković'],['Josip Ivanković'],['Josip Ivanković'],['Najbolji Hrvatski Tamburaši'],https://diskografija.com/pjesma/boze-boze-sta-cu-sad-5505.htm,"Bože, Bože, šta ću sad",,,,,,,,"Prodao sam rišana, za nekol'ko hiljada

Sve smo pare popili, još se nismo opili,
Bože, Bože šta ću sad

Prodao sam dorata, ej za šaku dukata

Sve smo pare popili, još se nismo opili,
Bože, Bože šta ću sad

Zasviraj mi cigane, da prežalim riđane

Sve smo pare popili, dobro smo se opili,
Bože, Bože šta ću sad","Bože, Bože šta ću sad",https://cuspajz.com//tekstovi-pjesama/pjesma/zlatni-dukati-najbolji-hrvatski-tamburasi/boze-boze-sta-cu-sad.html
8,CDOhygHn_1_8,Najbolji Hrvatski Tamburaši,Najbolji Hrvatski Tamburaši,Bukaru nam dajte 'vamo,4624,"Spustili se sokci do Jadrana
bevanda ih ceka i srdela slana
masline i prsut, bokun dobrog sira
poslije toga sama tamburica svira

Ref.
Bukaru nam dajte 'vamo
da jos jednu zapivamo
srce igra kao zica
jer i more je ravnica
 
Bacili su mrizu, al' je bila stara
u'vatili samo jadnog spara
i dok ih u moru riba ceka
vadi se iz torbe kulenova seka

Ref.
","https://tekstovi.net/2,610,8314.html",,,,,,,https://lyricstranslate.com/en/language/english-artists,['Jurica Pađen'],['Jurica Pađen'],['Hrvoje Majić'],['Najbolji Hrvatski Tamburaši'],https://diskografija.com/pjesma/bukaru-nam-dajte-vamo-5689.htm,Bukaru nam dajte 'vamo,,,,,,,,,,
9,CDOhygHn_1_9,Najbolji Hrvatski Tamburaši,Najbolji Hrvatski Tamburaši,Bunjevacka budnica,9766,"Kolo igra, tamburica svira
pisma jeci, neda srcu mira
nije majka rodila junaka
k'o bunjevca, takog veseljaka

Ref.
Veseli se, svako mu se divi
nek se znade, da bunjevac zivi
kolo igra, svako mu se divi
nek se znade, da bunjevac zivi

Ni divojke ne bise u nane
k'o sto j' kcerka bunjevacke grane
svilu nosi, a zlatom se krasi
crne oci, crne su joj vlasi","https://tekstovi.net/2,610,7494.html",,,,,,,,['N. Kujundžić'],['Narodna'],['Josip Ivanković'],['Najbolji Hrvatski Tamburaši'],https://diskografija.com/pjesma/bunjevacka-budnica-5539.htm,Bunjevačka budnica,,,,,,,,,,
