Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Album_title_discogs,Alto Saxophone_discogs,Drums_discogs,Electric Guitar_discogs,Percussion_discogs,Arranged By [Co-arranged]_discogs,Violin_discogs,Music By [Co-written]_discogs,Lyrics By [Co-written]_discogs,Backing Vocals_discogs,Pipe [Šurle]_discogs,Bagpipes_discogs,Programmed By_discogs,Double Bass_discogs,Kazoo_discogs,Engineer_discogs,Soprano Saxophone_discogs,Voice [French]_discogs,Written-By_discogs,Pipe [Fife]_discogs,Tin Whistle_discogs,Lyrics By_discogs,Accordion_discogs,Bandoneon_discogs,Djembe_discogs,Bass_discogs,Drum Programming_discogs,Music By_discogs,Arranged By_discogs,Double Bass [Contrabass]_discogs,Guitar_discogs,Harmonium_discogs,Vocals_discogs,Tambourine [Riqq]_discogs,Effects [Concrete Sounds]_discogs,Piano_discogs,Trumpet_discogs,Performer [Ghitak]_discogs,Clarinet_discogs,Goblet Drum [Tarabuka]_discogs,Saxophone [Sopran]_discogs,Sitar_discogs,Strings_discogs,Trombone_discogs,Drums [Duf]_discogs,Melodica_discogs,Organ_discogs,Saxophone_discogs,Album_year_discogs,Featuring_discogs,Written By_discogs,Cello_discogs,Stylophone [Bass]_discogs,Choir [Zbor Kojota]_discogs,Tuba_discogs,Viola_discogs,Synthesizer_discogs,Contrabass_discogs,Tenor Saxophone_discogs,Album_year_title_discogs,All_albums_discogs
Darko Rundek,Darko Rundek,Uspomena,4:06,U Širokom Svijetu,,,Sejo Kovo,Đani Pervan,,Dragan Urlić,,,,,,,Marc Buronfosse,Darko Rundek,Sejo Kovo,Philippe Botta,MC Roy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-U Širokom Svijetu,nan-U Širokom Svijetu/nan-ApoCalypso
Darko Rundek,Darko Rundek,Zagrebačka Magla,5:00,U Širokom Svijetu,Jurij Novoselić,Damir Šomen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-U Širokom Svijetu,nan-U Širokom Svijetu/nan-ApoCalypso
Darko Rundek,Darko Rundek,Otok,4:29,U Širokom Svijetu,,Zlatko Vodopijec,,Hrvoje Rupčić,,Sergej Novoselić,,,,,,,,,,,,Lord Burgess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-U Širokom Svijetu,nan-U Širokom Svijetu/nan-ApoCalypso
Darko Rundek,Darko Rundek,Tajga,1:55,U Širokom Svijetu,,,,,,,,,,,,,,,,,,,Stjepan Večković,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-U Širokom Svijetu,nan-U Širokom Svijetu/nan-ApoCalypso
Darko Rundek,Darko Rundek,Ljubav Se Ne Trži,3:16,U Širokom Svijetu,,Tin Ostreš,,,,,,,,,,,,,,,,Traditional,,Johny Brannon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-U Širokom Svijetu,nan-U Širokom Svijetu/nan-ApoCalypso
Darko Rundek,Darko Rundek,Divlja,4:37,U Širokom Svijetu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-U Širokom Svijetu,nan-U Širokom Svijetu/nan-ApoCalypso
Darko Rundek,Darko Rundek,Ay Carmela,3:48,U Širokom Svijetu,,Boris Leiner,,,,,,,,,,,,,,,,Traditional,,,Darko Rundek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-U Širokom Svijetu,nan-U Širokom Svijetu/nan-ApoCalypso
Darko Rundek,Darko Rundek,Zumbul,2:41,U Širokom Svijetu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-U Širokom Svijetu,nan-U Širokom Svijetu/nan-ApoCalypso
Darko Rundek,Darko Rundek,U Širokom Svijetu,3:14,U Širokom Svijetu,,,,,,,,,,,,,,,,,,,,Johny Brannon,,Jurij Novoselić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-U Širokom Svijetu,nan-U Širokom Svijetu/nan-ApoCalypso
Darko Rundek,Darko Rundek,Vesela,4:11,U Širokom Svijetu,Jurij Novoselić,Boris Leiner,,,,Sergej Novoselić,,,,,,Darko Rundek,,,,,,,,Johny Brannon,,Jurij Novoselić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-U Širokom Svijetu,nan-U Širokom Svijetu/nan-ApoCalypso
