Song_ID,Artist,Song,Url,Views,Lyrics_by,Music_by,Year,Album,Song_duration_discogs
rLIJvpNx_1_85,Tony Cetinski,Tvoje tijelo,https://cuspajz.com//tekstovi-pjesama/pjesma/tony-cetinski/tvoje-tijelo.html,59997,,,1995,Ljubav i bol,
rLIJvpNx_1_86,Tony Cetinski,Umirem sto puta dnevno,https://lyricstranslate.com/en/umirem-sto-puta-dnevno-i-die-hundred-times-day.html,229266,,,,,
rLIJvpNx_1_87,Tony Cetinski,Usne Ledene,https://lyricstranslate.com/en/usne-ledene-cold-lips.html,26023,[Sonja Buljan],[Miro Buljan],,Opet Si Pobijedila,4:10
rLIJvpNx_1_88,Tony Cetinski,Vjera nevjera,https://lyricstranslate.com/en/vjera-nevjera-faith-infidelity.html,3330,,,,,
rLIJvpNx_1_89,Tony Cetinski,Volim te još,https://lyricstranslate.com/en/tony-cetinski-volim-te-jos-lyrics.html,68810,[Stevo Cvikić],[Boris Novković],,A1,4:33
rLIJvpNx_1_90,Tony Cetinski,Zajedno,https://lyricstranslate.com/en/zajedno-together.html,5075,,,,,
rLIJvpNx_1_91,Tony Cetinski,"Zapjevaj, sloboda je (feat. Kristijan Rahimovski)","https://tekstovi.net/2,135,62528.html",1134,,,,,
rLIJvpNx_1_92,Tony Cetinski,Zar malo to je,https://lyricstranslate.com/en/zar-malo-je-it-little.html,69385,[Aleksandra Milutinović],[Aleksandra Milutinović],,Opet Si Pobijedila,3:53
rLIJvpNx_1_93,Tony Cetinski,Zauvijek,"https://tekstovi.net/2,135,19936.html",90424,[Nenad Ninčević],[Miro Buljan],1998,A1,4:23
rLIJvpNx_1_94,Tony Cetinski,Zbog nje,https://lyricstranslate.com/en/zbog-nje-because-her.html,160070,[Suzana Derk],[Miro Lesić],1998,A1,4:23
rLIJvpNx_1_95,Tony Cetinski,Zbogom Odlazim,https://lyricstranslate.com/en/zbogom-odlazim-goodbye-im-leaving.html-0,88666,[Sonja Buljan],[Miro Buljan],,Opet Si Pobijedila,3:51
rLIJvpNx_1_96,Tony Cetinski,Žena nad ženama,https://lyricstranslate.com/en/%C5%BEena-nad-%C5%BEenama-woman-over-women.html,79591,"[Miro Buljan, Sonja Buljan]",,2014.0,Žena Nad Ženama,
rLIJvpNx_1_97,Tony Cetinski,Znaj da bit' cu tu,"https://tekstovi.net/2,135,13922.html",346206,[Antonija Šola],[Miro Buljan],,Budi Uz Mene,3:29
rLIJvpNx_1_98,Tony Cetinski,Zvijezda,https://lyricstranslate.com/en/zvijezda-star.html,103482,[Miro Buljan],[Miro Buljan],2002,Hrvatski Radijski Festival 2002,3:34
