Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Composed By_discogs,Arranged By_discogs,Lyrics By_discogs,Album_title_discogs,Music By_discogs,Text By_discogs,Album_year_discogs,Vocals [Guest]_discogs,Backing Vocals_discogs,Cimbalom_discogs,Programmed By_discogs,Bass_discogs,Keyboards_discogs,Acoustic Guitar_discogs,Mandolin_discogs,Tamburitza_discogs,Vocals_discogs,Written-By_discogs,Harmonica_discogs,Electric Guitar_discogs,Violin_discogs,Flute_discogs,Accordion_discogs,Directed By_discogs,Featuring_discogs,Guest_discogs,Written By_discogs,Vocals [Duet]_discogs,Album_year_title_discogs,All_albums_discogs
Miroslav Škoro,Miroslav Škoro,"Otvor' Ženo, Kapiju",3:14,Miroslav Škoro,Aleksandar Homoky,Miroslav Škoro,Miroslav Škoro I Ravnica,,,,,,,,,,,,,,,,,,,,,,,,,nan-Miroslav Škoro I Ravnica,nan-Miroslav Škoro I Ravnica
Miroslav Škoro,Miroslav Škoro,Sjeti Se,2:54,Željko Barba,Željko Barba,Dane Magdić,Miroslav Škoro I Ravnica,,,,,,,,,,,,,,,,,,,,,,,,,nan-Miroslav Škoro I Ravnica,nan-Miroslav Škoro I Ravnica
Miroslav Škoro,Miroslav Škoro,"Oj, Neretvo, Vodo Ladna",3:00,Miroslav Škoro,Aleksandar Homoky,Miroslav Škoro,Miroslav Škoro I Ravnica,,,,,,,,,,,,,,,,,,,,,,,,,nan-Miroslav Škoro I Ravnica,nan-Miroslav Škoro I Ravnica
Miroslav Škoro,Miroslav Škoro,"Konji Bili, Konji Vrani",4:52,,,,Sitan Vez,,,,,,,,,,,,,,,,,,,,,,,,,nan-Sitan Vez,nan-Sitan Vez/2003.0-Miroslav Škoro Uživo/2007.0-Sve Najbolje/2013.0-Sve Najbolje!
Miroslav Škoro,Miroslav Škoro,Misli Baja,2:46,,,,Sitan Vez,,,,,,,,,,,,,,,,,,,,,,,,,nan-Sitan Vez,nan-Sitan Vez/2003.0-Miroslav Škoro Uživo
Miroslav Škoro,Miroslav Škoro,Ja Sam Taj Što Voli Tambure,2:29,,,,Sitan Vez,,,,,,,,,,,,,,,,,,,,,,,,,nan-Sitan Vez,nan-Sitan Vez/2003.0-Miroslav Škoro Uživo
Miroslav Škoro,Miroslav Škoro,"Oj, Oraje",3:28,,,,Sitan Vez,,,,,,,,,,,,,,,,,,,,,,,,,nan-Sitan Vez,nan-Sitan Vez/2003.0-Miroslav Škoro Uživo/2007.0-Sve Najbolje/2013.0-Sve Najbolje!
Miroslav Škoro,Miroslav Škoro,Da Sam Im'o Šaku Dukata,3:40,,,,Sitan Vez,,,,,,,,,,,,,,,,,,,,,,,,,nan-Sitan Vez,nan-Sitan Vez/2007.0-Sve Najbolje/2011.0-Najljepše Ljubavne Pjesme/2013.0-Sve Najbolje!
Miroslav Škoro,Miroslav Škoro,Tajna Najveća,3:39,,,,Sitan Vez,,,,,,,,,,,,,,,,,,,,,,,,,nan-Sitan Vez,nan-Sitan Vez/2003.0-Miroslav Škoro Uživo/2007.0-Sve Najbolje/2011.0-Najljepše Ljubavne Pjesme/2013.0-Sve Najbolje!
Miroslav Škoro,Miroslav Škoro,Dva Vita Čempresa,3:53,,,,Sitan Vez,,,,,,,,,,,,,,,,,,,,,,,,,nan-Sitan Vez,nan-Sitan Vez/2003.0-Miroslav Škoro Uživo
