Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Composed By_discogs,Arranged By_discogs,Lyrics By_discogs,Album_title_discogs,Music By_discogs,Text By_discogs,Album_year_discogs,Vocals [Guest]_discogs,Backing Vocals_discogs,Cimbalom_discogs,Programmed By_discogs,Bass_discogs,Keyboards_discogs,Acoustic Guitar_discogs,Mandolin_discogs,Tamburitza_discogs,Vocals_discogs,Written-By_discogs,Harmonica_discogs,Electric Guitar_discogs,Violin_discogs,Flute_discogs,Accordion_discogs,Directed By_discogs,Featuring_discogs,Guest_discogs,Written By_discogs,Vocals [Duet]_discogs,Album_year_title_discogs,All_albums_discogs
Miroslav Škoro,Miroslav Škoro,Svetinja,5:25,,,,Svetinja,,,2005.0,,,,,,,,,,,,,,,,,,,,,,2005.0-Svetinja,2005.0-Svetinja/nan-Svetinja/nan-Svetinja/2007.0-Sve Najbolje/2010.0-Stoput Bih Isto Ponovio - Autobiografija/2013.0-Sve Najbolje!/nan-Domovina
Miroslav Škoro,Miroslav Škoro,Interview,0:23,,,,Svetinja,,,2005.0,,,,,,,,,,,,,,,,,,,,,,2005.0-Svetinja,2005.0-Svetinja/2005.0-Svetinja/2005.0-Svetinja/2005.0-Svetinja/2005.0-Svetinja/2005.0-Svetinja/2005.0-Svetinja/2005.0-Svetinja/2005.0-Svetinja/2005.0-Svetinja
Miroslav Škoro,Miroslav Škoro,Pozdrav Slušateljima,0:14,,,,Svetinja,,,2005.0,,,,,,,,,,,,,,,,,,,,,,2005.0-Svetinja,2005.0-Svetinja
Miroslav Škoro,Miroslav Škoro,Uvod,0:24,,,,Svetinja,,,,,,,,,,,,,,,,,,,,,,,,,nan-Svetinja,nan-Svetinja
Miroslav Škoro,Miroslav Škoro,Vrime,4:15,,,,Svetinja,,,,,,,,,,,,,,,,,,,,,,,,,nan-Svetinja,nan-Svetinja/2007.0-Sve Najbolje/2010.0-Stoput Bih Isto Ponovio - Autobiografija/2013.0-Sve Najbolje!
Miroslav Škoro,Miroslav Škoro,Plati Piće,4:07,,,,Svetinja,,,,,,,,,,,,,,,,,,,,,,,,,nan-Svetinja,nan-Svetinja
Miroslav Škoro,Miroslav Škoro,Moja Vilo,3:53,,,,Svetinja,,,,,,,,,,,,,,,,,,,,,,,,,nan-Svetinja,nan-Svetinja/2007.0-Sve Najbolje/2010.0-Stoput Bih Isto Ponovio - Autobiografija/2011.0-Najljepše Ljubavne Pjesme/2013.0-Sve Najbolje!/2014.0-Ne Vjeruje Srce Pameti
Miroslav Škoro,Miroslav Škoro,Sedam Grijeha,3:40,,,,Svetinja,,,,,,,,,,,,,,,,,,,,,,,,,nan-Svetinja,nan-Svetinja
Miroslav Škoro,Miroslav Škoro,Golubica,4:18,,,,Svetinja,,,,,,,,,,,,,,,,,,,,,,,,,nan-Svetinja,nan-Svetinja/2007.0-Sve Najbolje/2011.0-Najljepše Ljubavne Pjesme/2013.0-Sve Najbolje!/2014.0-Ne Vjeruje Srce Pameti
Miroslav Škoro,Miroslav Škoro,Nemoj Me Zaboravit',3:52,,,Miroslav Škoro,Svetinja,Željko Barba,,,,,,,,,,,,,,,,,,,,,,,,nan-Svetinja,nan-Svetinja/nan-Svetinja/2007.0-Sve Najbolje/2011.0-Najljepše Ljubavne Pjesme/2013.0-Sve Najbolje!/2014.0-Ne Vjeruje Srce Pameti
Miroslav Škoro,Miroslav Škoro,Rastanak,4:04,,Miroslav Škoro,Željko Pavičić,Svetinja,Miroslav Škoro,,,,,,,,,,,,,,,,,,,,,,,,nan-Svetinja,nan-Svetinja/2011.0-Najljepše Ljubavne Pjesme/2014.0-Ne Vjeruje Srce Pameti
Miroslav Škoro,Miroslav Škoro,Vrime (Inst.),4:18,,,,Svetinja,,,,,,,,,,,,,,,,,,,,,,,,,nan-Svetinja,nan-Svetinja
Miroslav Škoro,Miroslav Škoro,Hag,2:36,,,,Svetinja,,,,,,,,,,,,,,,,,,,,,,,,,nan-Svetinja,nan-Svetinja/2010.0-Stoput Bih Isto Ponovio - Autobiografija
Miroslav Škoro,Miroslav Škoro,Bonus Video:,,,,,Svetinja,,,,,,,,,,,,,,,,,,,,,,,,,nan-Svetinja,nan-Svetinja
Miroslav Škoro,Miroslav Škoro,Sve Najbolje Vol. 1,,,,,Sve Najbolje,,,2007.0,,,,,,,,,,,,,,,,,,,,,,2007.0-Sve Najbolje,2007.0-Sve Najbolje
Miroslav Škoro,Miroslav Škoro,Vrime Rastanka,,,,,Sve Najbolje,,,2007.0,,,,,,,,,,,,,,,,,,,,,,2007.0-Sve Najbolje,2007.0-Sve Najbolje/2013.0-Sve Najbolje!
