Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Adapted By_discogs,Arranged By_discogs,Album_title_discogs,Written-By_discogs,Lyrics By_discogs,Music By_discogs,Album_year_discogs,Adapted By [Music]_discogs,Lyrics By [dt.:]_discogs,Lyrics By [Yugoslavian]_discogs,Conductor_discogs,Orchestra_discogs,Strings_discogs,Vocals [Child]_discogs,Arranged By [Co-arranged]_discogs,Lyrics By [Co-written]_discogs,Featuring [Uncredited]_discogs,Musician_discogs,Vocals_discogs,Backing Vocals_discogs,Programmed By_discogs,Featuring_discogs,Album_year_title_discogs,All_albums_discogs
Novi Fosili,Novi Fosili,Ti Još Ne Znaš,,,,"Ti Još Ne Znaš / Ti Si Moja, Ja Sam Tvoj",,Srećko Zubak,Srećko Zubak,1972.0,,,,,,,,,,,,,,,,"1972.0-Ti Još Ne Znaš / Ti Si Moja, Ja Sam Tvoj","1972.0-Ti Još Ne Znaš / Ti Si Moja, Ja Sam Tvoj"
Novi Fosili,Novi Fosili,"Ti Si Moja, Ja Sam Tvoj",,,,"Ti Još Ne Znaš / Ti Si Moja, Ja Sam Tvoj",,Ivica Krajač,Slavomir Cvija,1972.0,,,,,,,,,,,,,,,,"1972.0-Ti Još Ne Znaš / Ti Si Moja, Ja Sam Tvoj","1972.0-Ti Još Ne Znaš / Ti Si Moja, Ja Sam Tvoj"
Novi Fosili,Novi Fosili,Po Gorah Grmi In Se Bliska,,,,"Po Gorah Grmi In Se Bliska / Pijmo Ga, Pijmo",,,,1972.0,,,,,,,,,,,,,,,,"1972.0-Po Gorah Grmi In Se Bliska / Pijmo Ga, Pijmo","1972.0-Po Gorah Grmi In Se Bliska / Pijmo Ga, Pijmo"
Novi Fosili,Novi Fosili,"Pijmo Ga, Pijmo",,,,"Po Gorah Grmi In Se Bliska / Pijmo Ga, Pijmo",,,,1972.0,,,,,,,,,,,,,,,,"1972.0-Po Gorah Grmi In Se Bliska / Pijmo Ga, Pijmo","1972.0-Po Gorah Grmi In Se Bliska / Pijmo Ga, Pijmo"
Novi Fosili,Novi Fosili,Kad Milivoj Zasvira Rokenrol,,,,Kad Milivoj Zasvira Rokenrol / Uspavanka,Đorđe Novković,,,1973.0,,,,,,,,,,,,,,,,1973.0-Kad Milivoj Zasvira Rokenrol / Uspavanka,1973.0-Kad Milivoj Zasvira Rokenrol / Uspavanka
Novi Fosili,Novi Fosili,Uspavanka,,,,Kad Milivoj Zasvira Rokenrol / Uspavanka,,Ivica Krajač,Stipica Kalogjera,1973.0,,,,,,,,,,,,,,,,1973.0-Kad Milivoj Zasvira Rokenrol / Uspavanka,1973.0-Kad Milivoj Zasvira Rokenrol / Uspavanka
Novi Fosili,Novi Fosili,"Za Osmijeh Tvoj, Za Pogled Tvoj",,,,"Za Osmijeh Tvoj, Za Pogled Tvoj / Sve Se Zaboravlja",,Slavomir Cvija,Slavomir Cvija,1973.0,,,,,,,,,,,,,,,,"1973.0-Za Osmijeh Tvoj, Za Pogled Tvoj / Sve Se Zaboravlja","1973.0-Za Osmijeh Tvoj, Za Pogled Tvoj / Sve Se Zaboravlja"
Novi Fosili,Novi Fosili,Sve Se Zaboravlja,,,,"Za Osmijeh Tvoj, Za Pogled Tvoj / Sve Se Zaboravlja",,Ivica Krajač,Stipica Kalogjera,1973.0,,,,,,,,,,,,,,,,"1973.0-Za Osmijeh Tvoj, Za Pogled Tvoj / Sve Se Zaboravlja","1973.0-Za Osmijeh Tvoj, Za Pogled Tvoj / Sve Se Zaboravlja"
Novi Fosili,Novi Fosili,"Ludo, Ludo, Ludo Je Srce Moje",,,,Novi Fosili,,Enco Lesić,Enco Lesić,1973.0,,,,,,,,,,,,,,,,1973.0-Novi Fosili,1973.0-Novi Fosili
Novi Fosili,Novi Fosili,Želim Biti Sam,,,,Novi Fosili,,Svemir Opara,Svemir Opara,1973.0,,,,,,,,,,,,,,,,1973.0-Novi Fosili,1973.0-Novi Fosili
