Song_ID,Artist,Artist_diskografija,Song_tekstovinet,Views_tekstovinet,Lyrics_tekstovinet,Url_tekstovinet,Writer_lyricstranslate,Song_lyricstranslate,EngTitle_lyricstranslate,Album_lyricstranslate,Lyrics_lyricstranslate,EngLyrics_lyricstranslate,Url_lyricstranslate
r01Z81Es_1_16,Vinko Coce,Vinko Coce,"Mirno spavaj, ruzo moja",2627,"Ispo' zida Kamerlenga
cili Trogir ide spat'
a ja niman sna ni mira
jos cu jednon zapivat'

Priko mora, priko skala
priko bila kamena
tebe trazi, tebe jubi
pisma s mojih usana
 
Ref. 2x
Mirno spavaj, ruzo moja
mirno spavaj, cvite moj
blago oku, blago luni s neba
blago onon 'ko te lipu gleda 

Zadnji ribar s Drvenika
vec je veza brod za kraj
sto je meni tvoja slika
to je nebu zvizda sjaj

Ref. 2x","https://tekstovi.net/2,972,60241.html",,"Mirno spavaj, ružo moja","Śpij spokojnie, różo moja",,"Ispod zida Kamerlenga
Cili Trogir ide spat
A ja nimam sna ni mira
Još ću jednom zapivat. Priko dvora, priko skala
Priko bila kamena
Tebe traži tebe jubi
Pisma s mojih usana. Mirno spavaj ružo moja
Mirno spavaj cvite moj
Blago oku, blago luni s neba
Blago onom ko te lipo gleda. Zadnji ribar s Drvenika
Već je veza brod za kraj
Šta je meni tvoja slika
To je nebu zvizda sjaj. Priko dvora, priko skala
Priko bila kamena
Tebe traži tebe jubi
Pisma s mojih usana","Pod murami Kamerlego
Cały Trogir idzie spać
Dla mnie nie ma snu ani spokoju
Chcę jeszcze raz zaśpiewać. Nad domami, nad schodami, nad białymi kamieniami
Ciebie szuka, tobie daje pocałunek
Piosenka z mych ust. Śpij spokojnie, różo moja
Śpij spokojnie, kwiecie mój
Szczęście dla oka, szczęście dla księżyca z nieba,
Szczęście dla tego, kto pięknie na ciebie patrzy. Ostatni rybak z Drvenika
Już przybił łodzią do lądu
Czym jest dla mnie twój obraz, tym dla nieba blask gwiazd. Nad domami, nad schodami, nad białymi kamieniami
Ciebie szuka, tobie daje pocałunek
Piosenka z mych ust",https://lyricstranslate.com/en/mirno-spavaj-ruzo-moja-spij-spokojnie-rozo-moja.html-1
r01Z81Es_1_17,Vinko Coce,Vinko Coce,More li (feat. Klapa Trogir),1330,"More li
nan pomoci saka pepela
da se pospemo za sve grije

More li 
nan pomoci ova pokora
da se volimo ka i prije
 
Ref.
More li, more li
nezaliveno cvice opet cvitati
more li, more li
ovu ugaslu svicu ista uzgati

Reci, more li
nezaliveno cvice opet cvitati
ovu ugaslu svicu ista uzgati
nasu nesritnu jubav i´ko spasiti
reci, more li
reci, more li
reci, more li ikad vise

More li
razmrsiti grope skorene
koja lipa ric pomirenja

More li
otopiti duse ledene
koja topla ric providjenja

Ref.

Reci, more li
reci, more li ikad vise","https://tekstovi.net/2,972,61922.html",,,,,,,
r01Z81Es_1_18,Vinko Coce,Vinko Coce,More sinje,11952,"Nije mi zaj, solde san gubija 
nije mi zaj ca san posidija 
tu je moj dom ca ce mi Costa del Sol 
tebi san virova, tebe san volija 
tebi san darova sve 

Ref.
Tu je moje more sinje
sveti Duje, Peristil 
tu su moje mandoline 
i lungo mare, moj cili svit 
 
Tu san te ja prvi pojubija 
pod maslinom di kuca je kamena 
tu je moj dom ca ce mi Costa del Sol 
tebi san virova, tebe san volija 
tebi san darova sve 

Ref. 2x

I lungo mare, moj cili svit","https://tekstovi.net/2,972,19817.html",,,,,,,
r01Z81Es_1_19,Vinko Coce,Vinko Coce,Mornari,7081,"Moj je caca mornar bija
i moj dida stari
njihova su muska dica
bili svi mornari

Moren plovili od davnina
kruh sa sedam kora
nosili su iz tudjina
 
Ref.
Kad zapusu maestrali
strune tanke na gitari
najdrazu ti pismu sviraju

Kad zapusu maestali
zapivat ce svi mornari
onu staru pismu ljubavnu

Daleke su zemlje svitu
i sve luke velike
na te mislim lipi cvitu
pa ti nosim darove

Dani prolaze, pusta mora
mornaru je zivot 
kruh sa sedam kora

Ref.","https://tekstovi.net/2,972,25532.html",,,,,,,
r01Z81Es_1_20,Vinko Coce,Vinko Coce,Na puston skoju (feat. ivica Sikiric Ico),91,"Na puston skoju jos zidina viri
tu su nekad moji trsi bili
oko srca stvorila se stega
u toj kuci nikog vise nema

Misecina nocu obasjaje
sve do zore svitlost njemu daje
sve do zore njemu svitlost daje
 
Ref.
I samo vino tuguje
zbog nase loze uvele
i nima vise ruke te
da bi je obrale

Ma, ca san to ucinija
sve san zapustija
a dusu san svoju
i tilo, oduvik tu ostavija

Na puston skoju zivot prestaje
misecina uvik obasjaje
sve do zore svitlost njemu daje
sve do zore njemu svitlost daje

Ref.","https://tekstovi.net/2,972,65062.html",,,,,,,
r01Z81Es_1_21,Vinko Coce,Vinko Coce,Najdraze moje (feat. Zorica Kondza),1068,"Draze nego rajski dvori, nego jidra i vapori
draze bi mi bilo moja bajna vilo
s tebon sist' na kamen bili
vengo s drugon spat' na svili

Draze nego sunce sjajno, moj sokole, moja tajno
draze bi mi bilo za dusu i tilo
s tebon kucu pokrit' laton
vengo s drugin suvin zlaton
 
Ref.
Najdraze moje blago si ti
svo zlato svita i biseri
kad sklopin oci, vidin te ja
i usrid noci sunce mi sja

Draze nego rajski dvori nego jidra i vapori
draze bi mi bilo za dusu i tilo
s tebon sist' na kamen bili
vengo s drugon spat' na svili

Ref.","https://tekstovi.net/2,972,60951.html",,,,,,,https://lyricstranslate.com/en/translations/16/37?page=3
r01Z81Es_1_22,Vinko Coce,Vinko Coce,"Najlipsa si, zemljo moja",7816,"Isa' san na kraj svita
nosija me morski val
al' me uvik kuci vraca
jadranski maestral

Vidija san cuda svita
nosija me bili brod
al' me srce kuci vuce
di je mater, di je dom
 
Ref. 
Dalmaciju more ljubi
Zagorje je dusa tvoja 
Lika, Istra tvoje cvice
nalipsa si, zemljo moja

Dalmaciju more ljubi
Slavonijo, zlatna polja
ne dam ovaj kamen sivi
ovdi rastu dica tvoja
ne dam ovaj kamen sivi
najlipsa si, zemljo moja

Vidija sam cuda svita
nosija me bili brod
al' me srce uvik vuce 
di je mater, di je dom

Ref.","https://tekstovi.net/2,972,24432.html",,,,,,,
r01Z81Es_1_23,Vinko Coce,Vinko Coce,Nedija,4857,"Sto bi bio tuzan ja
zato sto je nedija
i sto mora nemaju
boju tvojih ociju
uvik onu najlipsu

Sto bi bila tuzna ti
to ca vise nismo mi
kao nekad zajedno
jer je tebi svejedno
ko te jutrom pojubi
 
Ref.
Andjeli su pismu zapivali
skriveni u maloj skuribandi
poljupce smo tamo duso krali
jedno drugom opet virovali

Otkada si otisla
nebo stalno sivo je
vise se i ne sican
kako nekad bilo je
ma sto bilo, bilo je

Ref. 2x","https://tekstovi.net/2,972,25525.html",,,,,,,
r01Z81Es_1_24,Vinko Coce,Vinko Coce,Nek' te sunce zlati,6439,"Nase lipe pisme volin ja
o kamenu i smriku s planina
velebitu, Biokovu sto se ponosno
disu tamo gore visoko

Najlipsemu moru pivan ja
tu di raste stara maslina
di se ribar s vitron bori cili zivot svoj
a na stini draga ceka ga
 
Ref.
Nek' te sunce zlati dalmacijo mati
ljubin samo tvoje uvale i skoje
nek' te sunce zlati dalmacijo mati
ljude sta te vole, dragom Bogu mole

Tvoje rijeke jos su odavna
kao sestre tekle, tekle moru svon
a na svakoj obali stoje gradovi
o davnina povist cuvali

Dalmacijo tija bi da znas
da bez tebe ne bi moga ja
a na mojim usnama tvoje ime je
zauvik u srcu nosim te

Ref.

Ref.","https://tekstovi.net/2,972,25527.html",,,,,,,
r01Z81Es_1_25,Vinko Coce,Vinko Coce,Neka zapiva moja Dalmacija,518,"Jube moja, nocas cu s gitaron
jube moja, pod tvoj prozor doc'
jube moja, pismon da ti kazen
lipo spavaj, ruzo, laku noc

Jube moja, bili brod kad krene
ti ne placi, pivaj k'o i ja
ova pisma nek' te siti mene
jube moja, ruzo mirisna
 
Ref.
Neka zapiva moja Dalmacija
sunce i more, i cvit u tvojoj kosi
neka poleti bila golubica
pozdrave moje odma' nek' ti nosi 

Jube moja, bili brod kad krene
ti ne placi, pivaj k'o i ja
ova pisma nek' te siti mene
jube moja, ruzo mirisna

Ref. 2x","https://tekstovi.net/2,972,61903.html",,Neka zapiva moja Dalmacija,Niech zaśpiewa moja Dalmacja,,"Jube moja, noćas ću s gitarom
Jube moja, pod tvoj prozor doć
Jube moja, pismom da ti kažem
Lipo spavaj, ružo, laku noć. Jube moja, bili brod kad krene
Ti ne plači, pivaj ko i ja
Ova pisma, nek te siti mene
Jube moja, ružo mirisna. Neka zapiva moja Dalmacija
Sunce i more i cvit u tvojoj kosi
Neka poleti bila golubica
Pozdrave moje ona nek ti nosi","Vinko Coce : Niech zaśpiewa moja Dalmacja. Kochana moja dzisiaj chcę z gitarą
Kochana moja pod Twoje okno przyjść
Kochana moja piosenką Ci powiem
Śpij pięknie różo dobrej nocy
Kochana moja biały statku który płynie
Ty nie płacz tylko śpiewaj tak jak ja
Ta piosenka niech Ci mnie przypomina
Kochana moja różo pachnaca. Niech zaśpiewa moja Dalmacja
Słońce i morze i kwiat w Twoich włosach
Niech poleci biała gołębica
Moje pozdrowienia ona niech ci przynosi",https://lyricstranslate.com/en/neka-zapiva-moja-dalmacija-niech-za%C5%9Bpiewa-moja-dalmacja.html
r01Z81Es_1_26,Vinko Coce,Vinko Coce,Nista nije vazno (ka' i ti),6385,"Nista nije vazno ka' i ti
cistoga srca da i sveci zavide
grcan u bisu nasrid vitra studena
postin zbog grija koje san ucinija

Nista nije sveto ka' i ti
prasnjavu tugu da u sricu pritvaras
dajen ti poja sva od cvica procvala
na sufitu snova di se zivot rodija
 
Ref.
Sritna te zvizda, moja jube, cuvala
gospi na zavit ja sam dusu zareka
da san ti pismu svoje jubavi
uzmi, srico pa je zagrli
podaj mi bokun svoje jubavi
da je mrvu nocas zaspati

Nista nije lipo ka' i ti
ni zlatna zora di se vitar umiva
nocas san roni na dnu srca slomljena
po zadnji cvit sto se ni utopija

Ref.

Ref.","https://tekstovi.net/2,972,25534.html",,,,,,,
r01Z81Es_1_27,Vinko Coce,Vinko Coce,Pjesmom te ljubim,534,"Nevjerna ljubavi
utjeho jedina moja
radosti nase i snove
jos cuvam za nas

Pozelim cesto, kad slomljen
bjezm od ljudi
u tvome narucju toplom
da nadjem spas
 
Kada si otisla
vjetar je ime ti zvao
olujno more je vracalo
sjecanja sva

Sve snove nase, sad znam
taj drugi je krao
on te sad ljubi
a sto o tebi zna

Ref.
Samo s tobom ja sam znao
sto je ljubav
samo s tobom ja sam znao
sto je grijeh

Ti si slutnja
ti si ceznja od svih veca
ti si suza
i san, i smijeh

Tebi pjevam pjesmu strasnu
znam da gubim
samo nocas 
pjesmom te ljubim

Kada si otisla
vjetar je ime ti zvao
olujno more je vracalo 
sjecanja sva

Ref.","https://tekstovi.net/2,972,61917.html",,,,,,,
r01Z81Es_1_28,Vinko Coce,Vinko Coce,Plovila mala barka (feat. Marina Tomasevic i Klapa Lanterna),458,"Mati me moja za tebe pitala
rekla joj, jube, da san obecala
svoje lancune cuvati za tebe
za cili vik, moja ces bit'

Brojin ti dane, kada cu tebi doc'
pit cemo vina, pivati cilu noc
pozvat cu mandoline pod prozore
i jubit' te, jubit' do zore
 
Ref.
Plovila moren, plovila mala barka
i moje pismo tebi nosila
u njemu pise, jubav je moja zarka
i valove je sve, oluje, bure sve
i nevere je sve prebrodila

Ja cu ti doci sa pismon galeba
cekan te tu na obali Jadrana
odvest cu tebe, lipoto, prid oltar
i srce dat cu ti na dar

Ref. 2x","https://tekstovi.net/2,972,62831.html",,,,,,,
r01Z81Es_1_29,Vinko Coce,Vinko Coce,Ribara starog kci,896,"Po cijelom kraju
na sto milja
ljepote takve ni
kao sto bjese lijepa Janja
ribara starog kci

Iz grada ribu lovit' dos'o
gospodin lijep i mlad
poljubio je, ostavio
ah, Janjo sto ces sad

Ribar tesko mrezu vuce
al' u njoj ribe ni
u mrezi lijepa mrtva lezi
ribara starog kci","https://tekstovi.net/2,972,61576.html",,,,,,,
