Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Written-By_discogs,Album_title_discogs,Album_year_discogs,Arranged By_discogs,Lyrics By_discogs,Composed By_discogs,Album_year_title_discogs,All_albums_discogs
Gazde,Gazde,Tuđi Svatovi,,,Milijun Poljubaca,2010.0,,,,2010.0-Milijun Poljubaca,2010.0-Milijun Poljubaca
Gazde,Gazde,Ružo Moja Crvena,,,Milijun Poljubaca,2010.0,,,,2010.0-Milijun Poljubaca,2010.0-Milijun Poljubaca
Gazde,Gazde,Svirajte Mi Njenu,,,Milijun Poljubaca,2010.0,,,,2010.0-Milijun Poljubaca,2010.0-Milijun Poljubaca
Gazde,Gazde,Da Za Suzu Dukat Daju,,,Milijun Poljubaca,2010.0,,,,2010.0-Milijun Poljubaca,2010.0-Milijun Poljubaca
Gazde,Gazde,U Ljubavi Sreće Nemam,,,Milijun Poljubaca,2010.0,,,,2010.0-Milijun Poljubaca,2010.0-Milijun Poljubaca
Gazde,Gazde,Što Će Meni Život Bez Tebe,,,Milijun Poljubaca,2010.0,,,,2010.0-Milijun Poljubaca,2010.0-Milijun Poljubaca
Gazde,Gazde,Godinu Dana,,,Milijun Poljubaca,2010.0,,,,2010.0-Milijun Poljubaca,2010.0-Milijun Poljubaca
Gazde,Gazde,Vrijeme Liječi Sve,,,Milijun Poljubaca,2010.0,,,,2010.0-Milijun Poljubaca,2010.0-Milijun Poljubaca
Gazde,Gazde,Nek Me Tješi Vino,,,Milijun Poljubaca,2010.0,,,,2010.0-Milijun Poljubaca,2010.0-Milijun Poljubaca
Gazde,Gazde,Klaruš Moj Od Zlata,,,Milijun Poljubaca,2010.0,,,,2010.0-Milijun Poljubaca,2010.0-Milijun Poljubaca
Gazde,Gazde,Ne Daj Da Nam Prođe Vrijeme,,,Milijun Poljubaca,2010.0,,,,2010.0-Milijun Poljubaca,2010.0-Milijun Poljubaca
Gazde,Gazde,Pošli Momci Na Salaš,,,Pošli Momci Na Salaš,0.0,,,,0.0-Pošli Momci Na Salaš,0.0-Pošli Momci Na Salaš
Gazde,Gazde,Milost/Amazing Grace,,,Pošli Momci Na Salaš,0.0,,,,0.0-Pošli Momci Na Salaš,0.0-Pošli Momci Na Salaš
Gazde,Gazde,Lišce Žuti Jesenje,,,Pošli Momci Na Salaš,0.0,,,,0.0-Pošli Momci Na Salaš,0.0-Pošli Momci Na Salaš
Gazde,Gazde,Ne Zaboravi,,,Pošli Momci Na Salaš,0.0,,,,0.0-Pošli Momci Na Salaš,0.0-Pošli Momci Na Salaš
Gazde,Gazde,Tamburaši Svirajte,,,Pošli Momci Na Salaš,0.0,,,,0.0-Pošli Momci Na Salaš,0.0-Pošli Momci Na Salaš
Gazde,Gazde,Bećarina,,,Pošli Momci Na Salaš,0.0,,,,0.0-Pošli Momci Na Salaš,0.0-Pošli Momci Na Salaš
Gazde,Gazde,Odlazim,,,Pošli Momci Na Salaš,0.0,,,,0.0-Pošli Momci Na Salaš,0.0-Pošli Momci Na Salaš
Gazde,Gazde,Nije Više Ko' I Prije,,,Pošli Momci Na Salaš,0.0,,,,0.0-Pošli Momci Na Salaš,0.0-Pošli Momci Na Salaš
Gazde,Gazde,Mutna Voda Dravom Teče,,,Pošli Momci Na Salaš,0.0,,,,0.0-Pošli Momci Na Salaš,0.0-Pošli Momci Na Salaš
Gazde,Gazde,Kad Me Više Ne Bude,,,Pošli Momci Na Salaš,0.0,,,,0.0-Pošli Momci Na Salaš,0.0-Pošli Momci Na Salaš
Gazde,Gazde,Pođi Suzo Večeras,,,Pošli Momci Na Salaš,0.0,,,,0.0-Pošli Momci Na Salaš,0.0-Pošli Momci Na Salaš
