,Song_ID,Artist,Artist_diskografija,Song_tekstovinet,Views_tekstovinet,Lyrics_tekstovinet,Url_tekstovinet,Writer_lyricstranslate,Song_lyricstranslate,EngTitle_lyricstranslate,Album_lyricstranslate,Lyrics_lyricstranslate,EngLyrics_lyricstranslate,Url_lyricstranslate,Skladba_diskografija,Stihovi_diskografija,Aranžman_diskografija,Izvedba_diskografija,Album_1_diskografija,Album_2_diskografija,Album_3_diskografija,Url_diskografija,Song_diskografija,Album_4_diskografija,Album_5_diskografija,Album_6_diskografija,Album_7_diskografija,Album_8_diskografija
10,/gYDFxB8_1_10,Jasna Zlokić,Jasna Zlokić,Ja bez tebe nemam srece,3896,"Sve sto dirnem sve se rusi
kao krov od starih kuca
a ja padam nikad nize
kao brod kod porinuca

Sve sto dirnem sve se gubi
okrece se losa karta
oko mene krivi ljudi
ulazim na kriva vrata
 
Ref. 2x
Ja bez tebe nemam srece
dusa gori, suza pece
sve mi krivim putem krece
ja bez tebe nemam srece

Ref. 2x","https://tekstovi.net/2,1138,37550.html",,,,,,,,['Đorđe Novković'],['Ivica Kasumović'],['Stipica Kalogjera'],['Jasna Zlokić'],,,,https://diskografija.com/pjesma/ja-bez-tebe-nemam-srece-66.htm,Ja bez tebe nemam sreće,,,,,
11,/gYDFxB8_1_11,Jasna Zlokić,Jasna Zlokić,Ja moram pobijediti sve,3593,"Pusti sada molim te njega
i ne krivi nikog za kraj
uz njega imam sve sto mi treba
i to mi ne diraj

I ti bi kao i ja 
trazio srecu u drugim ocima
sada ne ljuti se 
i odlazi od mene
 
Ref.
Ja moram pobjediti sve
ja bit cu s njima i bez tebe
jer nakon svih tih godina
meni je ljubav potrebna

Ja moram pobjediti sve
zato me pusti, sad ides bez mene
a znam i ti bi kao i ja
trazio srecu u tudjim ocima

Ref. 2x","https://tekstovi.net/2,1138,36525.html",,,,,,,https://lyricstranslate.com/en/language/english-artists,['Marko Tomasović'],['Nevia Korpar'],['Duško Mandić'],['Jasna Zlokić'],2002 - Putevima vjetra,2004 - Best of 1990 - 2004,,https://diskografija.com/pjesma/ja-moram-pobijediti-sve-24.htm,Ja moram pobijediti sve,,,,,
12,/gYDFxB8_1_12,Jasna Zlokić,Jasna Zlokić,Ja sam ti jedini drug,61989,"Ja sam ti drug kad lose krene
kad izdaju svi potrazi mene
svjetlo u mraku, tvoja sam sjena
za sva vremena

Kopno u moru sto uvjek te ceka
vjetar u zoru kad presusi rijeka
zbog sveg sto je bilo
ja sam ti jedini drug
 
Ref.
Hajde pricaj mi, o svemu pricaj mi
zar su te ranili, zar su te slomili
ne boj se priznaj mi
ja cu te braniti, od svega braniti
i kad te napuste svi uz tebe ostati
zauv'jek ostati

Ja sam ti drug nek nema nas vise
al' tvoja sam krv u zvjezdama pise
nebo i zemlja i svjetlo i sjena
za sva vremena

Sve tvoje znam i sretno i tuzno
dobro se pamti a nestaje ruzno
zbog sveg sto je bilo
ja sam ti jedini drug

Ref. 2x","https://tekstovi.net/2,1138,31786.html","Rajko Dujmic, Stevo Cvikic, Lotti Dujmic",Ja sam ti jedini drug,I'm Your Only Pal,,"Ja sam ti drug kad loše krene,
1
Kad izdaju svi, potraži mene.
Svjetlo u mraku, tvoja sam sjena
Za sva vremena.... Kopno u moru što uvijek te čeka,
Vjetar u zoru kad presuši rijeka,
Zbog sveg što je bilo,
Ja sam ti jedini drug!. (Pripjev)
Hajde, pričaj mi, o svemu pričaj mi?
Zar su te ranili? Zar su te slomili?
Ne boj se, priznaj mi!
Ja ću te braniti, od svega braniti
I kad te napuste svi, uz tebe ostati,
zauvijek ostati.. Ja sam ti drug, nek nema nas više,
Al' tvoja sam krv, u zvijezdama piše,
Nebo i zemlja, i svjetlo i sjena,
Za sva vremena.... Sve tvoje znam, i sretno i tužno
Dobro se pamti, a nestaje ružno.
Zbog sveg što je bilo,
Ja sam ti jedini drug!. (Pripjev). Ja sam ti jedini drug!","I'm your pal when things go downhill,
When everyone betrays, look for me.
Light in the dark, I'm your shadow
For all times.... Land in the sea that always waits on you,
Wind at dawn when the river dries out,
Because of all that was,
I'm your only pal!. (Chorus)
Come on, talk to me, tell me about everything.
Did they hurt you? Did they break you?
Don't be scared, admitt it!
I'll defend you, defend you from everything
And when everyone leaves you, I'll stay beside you,
Stay forever.. I'm your pal, may we even not exist anymore,
But I'm your blood, it's written in the stars,
Heaven and earth, light and shadow,
For all times.... I know everything of yours, happy and sad
Good is remembered, and the ugly disappears.
Because of all that was,
I'm your only pal!. (Chorus). I'm your only pal!",https://lyricstranslate.com/en/ja-sam-ti-jedini-drug-im-your-only-pal.html,['Rajko Dujmić'],['Stevo Cvikić'],['Rajko Dujmić'],['Jasna Zlokić'],1987 - Ja sam ti jedini drug,2007 - Zlatna kolekcija,,https://diskografija.com/pjesma/ja-sam-ti-jedini-drug-68.htm,Ja sam ti jedini drug,,,,,
13,/gYDFxB8_1_13,Jasna Zlokić,Jasna Zlokić,Jedna ladja morem plovi,7079,"Daleko svjetlo, daleki svod
da l' je to zvijezda ili je to brod
daleka jesen kada ces doc'
stojim na zalu dugo u noc

Ref.
Jedna ladja morem plovi
moje misli prate ju
dio mene na toj vodi
dio tebe sa mnom tu
 
Jedna ladja morem plovi
dok sa zida kuca sat
brojim dane kad ce pasti
tvoje usne na moj vrat

U dusi more, u srcu plima
usne mi gore, a meni zima
pa me sve vise daljina svlada
daleko tinja svjetlo ko nada

Ref.","https://tekstovi.net/2,1138,36528.html",,,,,,,,,,,,,,,,,,,,,
14,/gYDFxB8_1_14,Jasna Zlokić,Jasna Zlokić,Kad odu svi,18500,"Sudi mi ako ja za ljubav sam kriva
ne zali ovo srce vec dugo ne sniva
sretno ti, ja te volim, a ona te ima
a trebas mi, trebas mi

Ref.
Kad odu svi, ti ostani
ja te volim ko brata, ko druga
kad me slome samoca i tuga
 
Sudi mi dok u oku suze se sjaje
reci mi, sto ja nemam, a ona ti daje
sretno ti, ja te volim, a ona te ima
a trebas mi, trebas mi

Ref.","https://tekstovi.net/2,1138,16674.html",,Kad odu svi,When Everybody Leaves,Kad odu svi (1990),"Sudi mi ako ja za ljubav sam kriva
ne žali ovo srce već dugo ne sniva
sretno ti, ja te volim, a ona te ima
a trebaš mi, trebaš mi. Ref.
Kad odu svi, ti ostani
ja te volim ko brata, ko druga
kad me slome samoća i tuga
Kad odu svi, ti ostani
ja te volim ko brata, ko druga
kad me slome samoća i tuga
Kad odu svi, ti ostani. Sudi mi dok u oku suze se sjaje
reci mi, što ja nemam, a ona ti daje
sretno ti, ja te volim, a ona te ima
a trebaš mi, trebaš mi. Ref.
Kad odu svi, ti ostani
ja te volim ko brata, ko druga
kad me slome samoća i tuga
Kad odu svi, ti ostani
ja te volim ko brata, ko druga
kad me slome samoća i tuga
Kad odu svi, ti ostani
Kad odu svi, ti ostani","Judge me if I'm guilty of love
Don't pity this heart, it doesn't dream for a long time
Good luck to you, I love you and she has you
And I need you, I need you. (Chorus)
When everybody leaves, you stay
I love you like a brother, like a friend
When loneliness and sadness break me
When everybody leaves, you stay
I love you like a brother, like a friend
When loneliness and sadness break me
When everybody leaves, you stay. Judge me while tears glow in the eye
Tell me, what don't I have, and she gives you,
Good luck to you, I love you and she has you
And I need you, I need you. (Chorus)
When everybody leaves, you stay
I love you like a brother, like a friend
When loneliness and sadness break me
When everybody leaves, you stay
I love you like a brother, like a friend
When loneliness and sadness break me
When everybody leaves, you stay
When everybody leaves, you stay",https://lyricstranslate.com/en/kad-odu-svi-when-everybody-leaves.html,['Đorđe Novković'],"['Željko Pavičić', 'Mario Vukelić']",['Stipica Kalogjera'],['Jasna Zlokić'],1990 - Kad odu svi,1997 - Sve ove godine,2007 - Zlatna kolekcija,https://diskografija.com/pjesma/kad-odu-svi-71.htm,Kad odu svi,2007 - Đorđe Novković - Gold collection,,,,
15,/gYDFxB8_1_15,Jasna Zlokić,Jasna Zlokić,Kad zavonja proculice,1381,"Kad zavonja proculice
ja se sitin skoja moga
i svih onih mladih dana 
iz ditinjstva davna svoga

Lipa li su ona jutra
i vonj zemlje posli dazja
kad zavonja cmilj i smrska 
i svo cvice naseg kraja
 
Ref. 2x
Svi ti vonji mi dohodu 
kad san largo od svog kraja
niko ne zna da ditinjstvo 
za tu sricu puno valja

Ref. 2x","https://tekstovi.net/2,1138,52915.html",,,,,,,,['Rajko Dujmić'],['Izvor Oreb'],['Tihomir Preradović'],['Jasna Zlokić'],1999 - Žena od mota,1999 - Etnofest Neum 1999 - Jasna Zlokić & Klapa Nostalgija,2004 - Best of 1990 - 2004,https://diskografija.com/pjesma/kad-zavonja-proculice-536.htm,Kad zavonja proćuliće,2007 - Zlatna kolekcija,,,,
16,/gYDFxB8_1_16,Jasna Zlokić,Jasna Zlokić,Lagala bih,2595,"Lagala bih, da ti kazem da te volim
lagala bih, zato bolje je da sutim
nek jos malo kraj nas teku vode
u danima ovim, jesenjim i zutim

Lagala, da ti kazem da te volim
nismo samo dvoje na slucajnoj cesti
poci cemo svak na svoju stranu
nikada vise necemo se sresti

Lagala bih da ti kazem
nismo samo od danas do sutra
ti ces drugoj dati svoje noci
ja cu nekom dati svoja jutra","https://tekstovi.net/2,1138,44041.html",,,,,,,,['Đorđe Novković'],['Ivica Kasumović'],['Stipica Kalogjera'],['Jasna Zlokić'],,,,https://diskografija.com/pjesma/lagala-bih-74.htm,Lagala bih,,,,,
17,/gYDFxB8_1_17,Jasna Zlokić,Jasna Zlokić,Lutajuce srce,4243,"I po suncu i po kisi
jos me stare rane muce
mene zove, mene vuce
ovo srce lutajuce

Istekli su nasi sati
zar ne mozes da me shvatis
ti bi mir, a mene vuce
ovo srce lutajuce
 
Ref.
Ja nisam rodjena
da ljubim samo jednoga
u grudima mi tuce
srce lutajuce

Ja nisam rodjena
da ljubim samo jednoga
sve me vise vuce
srce lutajuce

Ref. 2x","https://tekstovi.net/2,1138,38638.html",,,,,,,,['Đorđe Novković'],['Željko Pavičić'],['Mato Došen'],['Jasna Zlokić'],1988 - Lutajuće srce,1988 - Split 88,1997 - Sve ove godine,https://diskografija.com/pjesma/lutajuce-srce-76.htm,Lutajuće srce,2007 - Zlatna kolekcija,,,,
18,/gYDFxB8_1_18,Jasna Zlokić,Jasna Zlokić,Mama,4274,"Evo pisem ti, moja mama
dugo nisam ja bila s vama
vremena malo je, radi se

Znas li da se sin moj zove Luka
visok je za tri, vec do mog struka
kosa mu plava sva, isti ja
nista o, ne pitaj, sve se zna
 
Ref.
Hej, zivote, hej
nisam pogrijesila ja
ja, ja sam ga beskrajno voljela
sudbina, takva je sudbina
voljeti, ljubiti, gubiti

Ne brini za nas, moja mama
kao nekad ti, ja mogu sama
nista on ne pita, sve se zna
tesko se zivi od sjecanja

Ref. 2x","https://tekstovi.net/2,1138,37554.html",,,,,,,,,,,['Jasna Zlokić'],,,,https://diskografija.com/pjesma/mama-77.htm,Mama,,,,,
19,/gYDFxB8_1_19,Jasna Zlokić,Jasna Zlokić,Moj andjele,5673,"Puno smo toga zajedno prosli
mnoge smo mracne gazili pute
sad smo do kraja konacno dosli
i nema povratka, nema, i srca sute

Premnogo noc sam praznu i dugu
sljedeceg jutra prastati znala
ne mogu vise, pronaci drugu
jer sve sam, sve sto sam mogla
sve sam vec dala
 
Ref.
Dobar ti vjetar moj andjele
tjeraj dalje s puno zara
dobar ti vjetar moj andjele
lako se izdaje sanjara

Dobar ti vjetar moj andjele
znam ja ti ces se snaci
mnogo ces puta jos voljeti
al' mene nigdje neces naci
dobar ti vjetar moj andjele

Previse bole, oziljci peku
al' ne diram vise jos vruce rane
oduvijek hoces preplivati rijeku
i ja ti zelim da stignes do druge strane

Ref.","https://tekstovi.net/2,1138,37553.html",,,,,,,,,,,,,,,,,,,,,
