Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Lyrics By_discogs,Album_title_discogs,Album_year_discogs,Arranged By_discogs,Music By_discogs,Written-By_discogs,Guest_discogs,Composed By_discogs,Vocals [Duet]_discogs,Featuring_discogs,Vocals_discogs,Album_year_title_discogs,All_albums_discogs
Mladen Grdović,Mladen Grdović,Zaplakale Oči Moje Majke,,,Hrvatska  Lađa ,1991.0,,,,,,,,,1991.0-Hrvatska  Lađa ,1991.0-Hrvatska  Lađa /1993.0-Nedostaješ Mi Ti/nan-18 Zlatnih Hitova/nan-Za Sva Vrimena - Mix Hitova/2007.0-Zlatna Kolekcija/2010.0-Najljepše Ljubavne Pjesme/2014.0-50 Originalnih Pjesama/2017.0-The Best Of Collection
Mladen Grdović,Mladen Grdović,Nek' Mi Noćas Suze Liju,,,Hrvatska  Lađa ,1991.0,,,,,,,,,1991.0-Hrvatska  Lađa ,1991.0-Hrvatska  Lađa 
Mladen Grdović,Mladen Grdović,Crno Vino,,,Hrvatska  Lađa ,1991.0,,,,,,,,,1991.0-Hrvatska  Lađa ,1991.0-Hrvatska  Lađa /1993.0-Nedostaješ Mi Ti/nan-18 Zlatnih Hitova/nan-Za Sva Vrimena - Mix Hitova/2007.0-Zlatna Kolekcija/2014.0-50 Originalnih Pjesama
Mladen Grdović,Mladen Grdović,Natalia,,,Hrvatska  Lađa ,1991.0,,,,,,,,,1991.0-Hrvatska  Lađa ,1991.0-Hrvatska  Lađa /nan-18 Zlatnih Hitova
Mladen Grdović,Mladen Grdović,Proplakat Će Kamen Bili,,,Hrvatska  Lađa ,1991.0,,,,,,,,,1991.0-Hrvatska  Lađa ,1991.0-Hrvatska  Lađa /1994.0-Tu Je Moj Dom/nan-Za Sva Vrimena - Mix Hitova/2007.0-Zlatna Kolekcija/2008.0-Pisme Za Dušu/2014.0-50 Originalnih Pjesama
Mladen Grdović,Mladen Grdović,Zaljubljen San U Te,,,Hrvatska  Lađa ,1991.0,,,,,,,,,1991.0-Hrvatska  Lađa ,"1991.0-Hrvatska  Lađa /2006.0-E, Da Mi Je Vratit Vrime/2007.0-Zlatna Kolekcija/2010.0-Najljepše Ljubavne Pjesme/2010.0-Evo Mene Moji Ljudi/2014.0-50 Originalnih Pjesama/2019.0-Moji Sentimenti"
Mladen Grdović,Mladen Grdović,Vjeruj Mi,,,Hrvatska  Lađa ,1991.0,,,,,,,,,1991.0-Hrvatska  Lađa ,1991.0-Hrvatska  Lađa /1993.0-Nedostaješ Mi Ti/nan-18 Zlatnih Hitova/2005.0-Pusti Da Te Prebolim/2014.0-50 Originalnih Pjesama
Mladen Grdović,Mladen Grdović,Natoči Još Jedno Piće,,,Hrvatska  Lađa ,1991.0,,,,,,,,,1991.0-Hrvatska  Lađa ,1991.0-Hrvatska  Lađa 
Mladen Grdović,Mladen Grdović,Želja Ti Se Ispunila,,,Hrvatska  Lađa ,1991.0,,,,,,,,,1991.0-Hrvatska  Lađa ,1991.0-Hrvatska  Lađa 
Mladen Grdović,Mladen Grdović,Bacit Ću Mandolinu,3:06,Teo Trumbić,Nedostaješ Mi Ti,1993.0,,Teo Trumbić,,,,,,,1993.0-Nedostaješ Mi Ti,1993.0-Nedostaješ Mi Ti/nan-Ako Odeš Ti/nan-18 Zlatnih Hitova/2010.0-Najljepše Ljubavne Pjesme/2010.0-Evo Mene Moji Ljudi/2014.0-50 Originalnih Pjesama/2017.0-The Best Of Collection
