Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Lyrics By_discogs,Album_title_discogs,Album_year_discogs,Arranged By_discogs,Music By_discogs,Written-By_discogs,Guest_discogs,Composed By_discogs,Vocals [Duet]_discogs,Featuring_discogs,Vocals_discogs,Album_year_title_discogs,All_albums_discogs
Mladen Grdović,Mladen Grdović,Kada Se Ljubav U Vino Pretvori,,,Kada Se Ljubav U Vino Pretvori,,,,,,,,,,nan-Kada Se Ljubav U Vino Pretvori,nan-Kada Se Ljubav U Vino Pretvori/2008.0-Pisme Za Dušu/2015.0-Orange Collection
Mladen Grdović,Mladen Grdović,Moja Lontana,,,Kada Se Ljubav U Vino Pretvori,,,,,,,,,,nan-Kada Se Ljubav U Vino Pretvori,nan-Kada Se Ljubav U Vino Pretvori/nan-Največi Hitovi Dalmacije
Mladen Grdović,Mladen Grdović,Najlipša Si Kad Si Bosa,,,Kada Se Ljubav U Vino Pretvori,,,,,,,,,,nan-Kada Se Ljubav U Vino Pretvori,nan-Kada Se Ljubav U Vino Pretvori
Mladen Grdović,Mladen Grdović,Bila Košulja,,,Kada Se Ljubav U Vino Pretvori,,,,,,,,,,nan-Kada Se Ljubav U Vino Pretvori,nan-Kada Se Ljubav U Vino Pretvori/nan-Največi Hitovi Dalmacije/2007.0-Zlatna Kolekcija/2015.0-Orange Collection
Mladen Grdović,Mladen Grdović,Posteja Bez Ljubavi,,,Kada Se Ljubav U Vino Pretvori,,,,,,,,,,nan-Kada Se Ljubav U Vino Pretvori,nan-Kada Se Ljubav U Vino Pretvori
Mladen Grdović,Mladen Grdović,Dalmacija Nije Samo Pisma (Dalmatinska Šansona Šibenik 2000),,,Kada Se Ljubav U Vino Pretvori,,,,,,,,,,nan-Kada Se Ljubav U Vino Pretvori,nan-Kada Se Ljubav U Vino Pretvori
Mladen Grdović,Mladen Grdović,Nek' Me Tuku Sve Nevere,,,Kada Se Ljubav U Vino Pretvori,,,,,,,,,,nan-Kada Se Ljubav U Vino Pretvori,nan-Kada Se Ljubav U Vino Pretvori
Mladen Grdović,Mladen Grdović,Grdovići Ribari (MIK 2000),,,Kada Se Ljubav U Vino Pretvori,,,,,,,,,,nan-Kada Se Ljubav U Vino Pretvori,nan-Kada Se Ljubav U Vino Pretvori
Mladen Grdović,Mladen Grdović,Pegula,,,Kada Se Ljubav U Vino Pretvori,,,,,,,,,,nan-Kada Se Ljubav U Vino Pretvori,nan-Kada Se Ljubav U Vino Pretvori
Mladen Grdović,Mladen Grdović,"Adio, Amore Mio",,,Kada Se Ljubav U Vino Pretvori,,,,,Tereza Kesovija,,,,,nan-Kada Se Ljubav U Vino Pretvori,nan-Kada Se Ljubav U Vino Pretvori
Mladen Grdović,Mladen Grdović,Dva Dijamanta,4:06,,I Za Dušu I Za Tilo,,,,,,,,,,nan-I Za Dušu I Za Tilo,nan-I Za Dušu I Za Tilo/2004.0-Hitovi 1/2007.0-Zlatna Kolekcija/2008.0-Pisme Za Dušu/2015.0-Orange Collection
