Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Album_title_discogs,Album_year_discogs,Lyrics By_discogs,Music By_discogs,Backing Vocals_discogs,Engineer_discogs,Arranged By_discogs,Featuring_discogs,Vocals_discogs,Vocals [Duet]_discogs,Album_year_title_discogs,All_albums_discogs
Jasna Zlokić,Jasna Zlokić,Sve Moje Ljubavi Žive U Tebi,3:46,Nisam Ti Se Tugo Nadala,,Štefanija Soldan,Đorđe Novković,,,,,,,nan-Nisam Ti Se Tugo Nadala,nan-Nisam Ti Se Tugo Nadala
Jasna Zlokić,Jasna Zlokić,Dio Mog Sjećanja,,Sunce Moga Neba,1996.0,,,,,,,,,1996.0-Sunce Moga Neba,1996.0-Sunce Moga Neba/2007.0-Zlatna Kolekcija/2015.0-The Best Of Collection
Jasna Zlokić,Jasna Zlokić,Žene Zaljubljene,,Sunce Moga Neba,1996.0,,,,,,,,,1996.0-Sunce Moga Neba,1996.0-Sunce Moga Neba
Jasna Zlokić,Jasna Zlokić,Sve Sam Ti Suze Ja Pprostila,,Sunce Moga Neba,1996.0,,,,,,,,,1996.0-Sunce Moga Neba,1996.0-Sunce Moga Neba
Jasna Zlokić,Jasna Zlokić,"Bala, Bala",,Sunce Moga Neba,1996.0,,,,,,,,,1996.0-Sunce Moga Neba,1996.0-Sunce Moga Neba
Jasna Zlokić,Jasna Zlokić,Teške Su Riči Pale Dušo,,Sunce Moga Neba,1996.0,,,,,,,,,1996.0-Sunce Moga Neba,1996.0-Sunce Moga Neba/2004.0-Best Of 1990 - 2004
Jasna Zlokić,Jasna Zlokić,Nama Samo Ljubav Treba,,Sunce Moga Neba,1996.0,,,,,,,,,1996.0-Sunce Moga Neba,1996.0-Sunce Moga Neba
Jasna Zlokić,Jasna Zlokić,Sunce Moga Neba,,Sunce Moga Neba,1996.0,,,,,,,,,1996.0-Sunce Moga Neba,1996.0-Sunce Moga Neba
Jasna Zlokić,Jasna Zlokić,Tebe Imam Ja,,Sunce Moga Neba,1996.0,,,,,,,,,1996.0-Sunce Moga Neba,1996.0-Sunce Moga Neba
Jasna Zlokić,Jasna Zlokić,Živjet' Ću Za Dane Radosti,,Sunce Moga Neba,1996.0,,,,,,,,,1996.0-Sunce Moga Neba,1996.0-Sunce Moga Neba
Jasna Zlokić,Jasna Zlokić,Himna Ljubavi,,Sunce Moga Neba,1996.0,,,,,,,,,1996.0-Sunce Moga Neba,1996.0-Sunce Moga Neba/2012.0-Najljepše Ljubavne Pjesme
Jasna Zlokić,Jasna Zlokić,Nina Nana,,Sve Ove Godine - Zlatni Hitovi,1997.0,,,,,,,,,1997.0-Sve Ove Godine - Zlatni Hitovi,1997.0-Sve Ove Godine - Zlatni Hitovi
Jasna Zlokić,Jasna Zlokić,Dođi U Mali Kafe,,Sve Ove Godine - Zlatni Hitovi,1997.0,,,,,,,,,1997.0-Sve Ove Godine - Zlatni Hitovi,1997.0-Sve Ove Godine - Zlatni Hitovi
Jasna Zlokić,Jasna Zlokić,Lutajuće Srca,,Sve Ove Godine - Zlatni Hitovi,1997.0,,,,,,,,,1997.0-Sve Ove Godine - Zlatni Hitovi,1997.0-Sve Ove Godine - Zlatni Hitovi
Jasna Zlokić,Jasna Zlokić,Tu T'en Vas,,Sve Ove Godine - Zlatni Hitovi,1997.0,,,,,,,,,1997.0-Sve Ove Godine - Zlatni Hitovi,1997.0-Sve Ove Godine - Zlatni Hitovi/2012.0-Najljepše Ljubavne Pjesme
Jasna Zlokić,Jasna Zlokić,Dobmo Mi Je,,Žena Od Mota,1999.0,,,,,,,,,1999.0-Žena Od Mota,1999.0-Žena Od Mota
Jasna Zlokić,Jasna Zlokić,Samo Se Jednom Živi,,Žena Od Mota,1999.0,,,,,,,,,1999.0-Žena Od Mota,1999.0-Žena Od Mota
Jasna Zlokić,Jasna Zlokić,Ostavi More,,Žena Od Mota,1999.0,,,,,,,,,1999.0-Žena Od Mota,1999.0-Žena Od Mota/2004.0-Best Of 1990 - 2004
Jasna Zlokić,Jasna Zlokić,Grijeh I Suze,,Žena Od Mota,1999.0,,,,,,,,,1999.0-Žena Od Mota,1999.0-Žena Od Mota
Jasna Zlokić,Jasna Zlokić,Srce Na Srcu,,Žena Od Mota,1999.0,,,,,,,,,1999.0-Žena Od Mota,1999.0-Žena Od Mota/2004.0-Best Of 1990 - 2004
Jasna Zlokić,Jasna Zlokić,Žena Od Mota,,Žena Od Mota,1999.0,,,,,,,,,1999.0-Žena Od Mota,1999.0-Žena Od Mota
Jasna Zlokić,Jasna Zlokić,Ako Spava,,Žena Od Mota,1999.0,,,,,,,,,1999.0-Žena Od Mota,1999.0-Žena Od Mota/2004.0-Best Of 1990 - 2004
Jasna Zlokić,Jasna Zlokić,Zar Ti NIšta Više Ne Značim?,,Žena Od Mota,1999.0,,,,,,,,,1999.0-Žena Od Mota,1999.0-Žena Od Mota
Jasna Zlokić,Jasna Zlokić,"Srećo Moja, Zlato Moje",,Žena Od Mota,1999.0,,,,,,,,,1999.0-Žena Od Mota,1999.0-Žena Od Mota
Jasna Zlokić,Jasna Zlokić,Kad Zavonja Pročuliće,,Žena Od Mota,1999.0,,,,,,,,,1999.0-Žena Od Mota,1999.0-Žena Od Mota
Jasna Zlokić,Jasna Zlokić,Noć Dolazi,,Putevima Vjetra,2002.0,,,,,,,,,2002.0-Putevima Vjetra,2002.0-Putevima Vjetra/2004.0-Best Of 1990 - 2004
Jasna Zlokić,Jasna Zlokić,Ja Moram Pobijediti Sve,,Putevima Vjetra,2002.0,,,,,,,,,2002.0-Putevima Vjetra,2002.0-Putevima Vjetra/2004.0-Best Of 1990 - 2004
Jasna Zlokić,Jasna Zlokić,Nikad Nisam Znala (Da Di Me Volio),,Putevima Vjetra,2002.0,,,,,,,,,2002.0-Putevima Vjetra,2002.0-Putevima Vjetra
Jasna Zlokić,Jasna Zlokić,Znao Je Da Ljubi Krivu,,Putevima Vjetra,2002.0,,,,,,,,,2002.0-Putevima Vjetra,2002.0-Putevima Vjetra
Jasna Zlokić,Jasna Zlokić,Ne Bih Ti Više Dopustila,,Putevima Vjetra,2002.0,,,,,,,,,2002.0-Putevima Vjetra,2002.0-Putevima Vjetra/2006.0-Ljubavni Parfemi
Jasna Zlokić,Jasna Zlokić,Moj Jedini Grijeh,,Putevima Vjetra,2002.0,,,,,,,,,2002.0-Putevima Vjetra,2002.0-Putevima Vjetra
Jasna Zlokić,Jasna Zlokić,U Restoranu Pokraj Save,,Putevima Vjetra,2002.0,,,,,,,,,2002.0-Putevima Vjetra,2002.0-Putevima Vjetra
Jasna Zlokić,Jasna Zlokić,Putevima Vjetra,,Putevima Vjetra,2002.0,,,,,,,,,2002.0-Putevima Vjetra,2002.0-Putevima Vjetra/2015.0-The Best Of Collection/2017.0-50 Originalnih Pjesama
Jasna Zlokić,Jasna Zlokić,Svatko Za Sebe,,Putevima Vjetra,2002.0,,,,,,,,,2002.0-Putevima Vjetra,2002.0-Putevima Vjetra
Jasna Zlokić,Jasna Zlokić,Uzeja Bi Me,,Putevima Vjetra,2002.0,,,,,,,,,2002.0-Putevima Vjetra,2002.0-Putevima Vjetra
Jasna Zlokić,Jasna Zlokić,Dalmatino Povišću Pritrujena,3:25,Best Of 1990 - 2004,2004.0,,,,,,,,,2004.0-Best Of 1990 - 2004,2004.0-Best Of 1990 - 2004/2007.0-Zlatna Kolekcija
Jasna Zlokić,Jasna Zlokić,Ako Ljubav Nebo Zna,3:50,Best Of 1990 - 2004,2004.0,,,,,,,,,2004.0-Best Of 1990 - 2004,2004.0-Best Of 1990 - 2004
Jasna Zlokić,Jasna Zlokić,Putevima Vjetra (Unplugged),4:09,Best Of 1990 - 2004,2004.0,,,,,,,,,2004.0-Best Of 1990 - 2004,2004.0-Best Of 1990 - 2004
Jasna Zlokić,Jasna Zlokić,Živjet Ću Za Dane Radosti,4:25,Best Of 1990 - 2004,2004.0,,,,,,,,,2004.0-Best Of 1990 - 2004,2004.0-Best Of 1990 - 2004/2007.0-Zlatna Kolekcija/2012.0-Najljepše Ljubavne Pjesme/2015.0-The Best Of Collection
Jasna Zlokić,Jasna Zlokić,Moj Jedini Grij,3:56,Best Of 1990 - 2004,2004.0,,,,,,,,,2004.0-Best Of 1990 - 2004,2004.0-Best Of 1990 - 2004/2007.0-Zlatna Kolekcija/2012.0-Najljepše Ljubavne Pjesme/2017.0-50 Originalnih Pjesama
Jasna Zlokić,Jasna Zlokić,Kad Zavonja Proćuliće,4:22,Best Of 1990 - 2004,2004.0,,,,,,,,,2004.0-Best Of 1990 - 2004,2004.0-Best Of 1990 - 2004/2007.0-Zlatna Kolekcija/2015.0-The Best Of Collection
Jasna Zlokić,Jasna Zlokić,Uzeja Ni Me,5:26,Best Of 1990 - 2004,2004.0,,,,,,,,,2004.0-Best Of 1990 - 2004,2004.0-Best Of 1990 - 2004
Jasna Zlokić,Jasna Zlokić,"Zime, Ljeta, Jeseni",,Ljubavni Parfemi,2006.0,,,,,,,,,2006.0-Ljubavni Parfemi,2006.0-Ljubavni Parfemi
Jasna Zlokić,Jasna Zlokić,Soba 210,,Ljubavni Parfemi,2006.0,,,,,,,,,2006.0-Ljubavni Parfemi,2006.0-Ljubavni Parfemi
Jasna Zlokić,Jasna Zlokić,A Čovik Poludi,,Ljubavni Parfemi,2006.0,,,,,,,,,2006.0-Ljubavni Parfemi,2006.0-Ljubavni Parfemi
Jasna Zlokić,Jasna Zlokić,Tamo Gdje Dišeš,,Ljubavni Parfemi,2006.0,,,,,,,,,2006.0-Ljubavni Parfemi,2006.0-Ljubavni Parfemi
Jasna Zlokić,Jasna Zlokić,Ne Mogu Te Zaboraviti,,Ljubavni Parfemi,2006.0,,,,,,,,,2006.0-Ljubavni Parfemi,2006.0-Ljubavni Parfemi
Jasna Zlokić,Jasna Zlokić,Tišinama,,Ljubavni Parfemi,2006.0,,,,,,,,,2006.0-Ljubavni Parfemi,2006.0-Ljubavni Parfemi
Jasna Zlokić,Jasna Zlokić,Korak Do Raja,,Ljubavni Parfemi,2006.0,,,,,,,,,2006.0-Ljubavni Parfemi,2006.0-Ljubavni Parfemi
Jasna Zlokić,Jasna Zlokić,Slike Iz Albuma (Ljubavni Parfemi),,Ljubavni Parfemi,2006.0,,,,,,,,,2006.0-Ljubavni Parfemi,2006.0-Ljubavni Parfemi
Jasna Zlokić,Jasna Zlokić,Izbrisano Ime,,Ljubavni Parfemi,2006.0,,,,,,,,,2006.0-Ljubavni Parfemi,2006.0-Ljubavni Parfemi
Jasna Zlokić,Jasna Zlokić,"Teške Su Riči Pale, Dušo",,Zlatna Kolekcija,2007.0,,,,,,,,,2007.0-Zlatna Kolekcija,2007.0-Zlatna Kolekcija/2012.0-Najljepše Ljubavne Pjesme/2015.0-The Best Of Collection
Jasna Zlokić,Jasna Zlokić,Dođi U Mali Kaffe,,Zlatna Kolekcija,2007.0,,,,,,,,,2007.0-Zlatna Kolekcija,2007.0-Zlatna Kolekcija/2015.0-The Best Of Collection
Jasna Zlokić,Jasna Zlokić,Kad Mi Dođeš Ti,,Dueti,2010.0,,,,,,Oliver Dragojević,,,2010.0-Dueti,2010.0-Dueti/2012.0-Najljepše Ljubavne Pjesme/2015.0-The Best Of Collection
Jasna Zlokić,Jasna Zlokić,Da Li Znaš Da Te Volim,,Dueti,2010.0,,,,,,Saša Lozar,,,2010.0-Dueti,2010.0-Dueti
Jasna Zlokić,Jasna Zlokić,Karoca,,Dueti,2010.0,,,,,,Goran Karan,,,2010.0-Dueti,2010.0-Dueti
Jasna Zlokić,Jasna Zlokić,Ima Neka Tajna Veza,,Dueti,2010.0,,,,,,Željko Bebek,,,2010.0-Dueti,2010.0-Dueti/2015.0-The Best Of Collection
Jasna Zlokić,Jasna Zlokić,Nemirno More,,Dueti,2010.0,,,,,,Aki Rahimovski,,,2010.0-Dueti,2010.0-Dueti
Jasna Zlokić,Jasna Zlokić,Funiculki Funicula,,Dueti,2010.0,,,,,,Tamara Obrovac,,,2010.0-Dueti,2010.0-Dueti
Jasna Zlokić,Jasna Zlokić,Ti Si Mi U Krvi,,Dueti,2010.0,,,,,,Giuliano,,,2010.0-Dueti,2010.0-Dueti
Jasna Zlokić,Jasna Zlokić,Ako Me Nosiš Na Duši,,Dueti,2010.0,,,,,,Zlatan Stipišić Gibonni,,,2010.0-Dueti,2010.0-Dueti
Jasna Zlokić,Jasna Zlokić,Djevojka Iz Moga Kraja,,Dueti,2010.0,,,,,,Arsen Dedić,,,2010.0-Dueti,2010.0-Dueti
Jasna Zlokić,Jasna Zlokić,Tu T'En Vas,4:14,The Best Of Collection,2015.0,,,,,,,,Tomislav Ivčić,2015.0-The Best Of Collection,2015.0-The Best Of Collection
Jasna Zlokić,Jasna Zlokić,Ne Znam Koji Vjetar Puse,,50 Originalnih Pjesama,2017.0,,,,,,,,,2017.0-50 Originalnih Pjesama,2017.0-50 Originalnih Pjesama
Jasna Zlokić,Jasna Zlokić,Pjesmo Moja (Jasna Zlokic & Klapa Osjak),,50 Originalnih Pjesama,2017.0,,,,,,,,,2017.0-50 Originalnih Pjesama,2017.0-50 Originalnih Pjesama
Jasna Zlokić,Jasna Zlokić,Meni Je Sreca Okrenula Ledja,,50 Originalnih Pjesama,2017.0,,,,,,,,,2017.0-50 Originalnih Pjesama,2017.0-50 Originalnih Pjesama
Jasna Zlokić,Jasna Zlokić,Zagrebacka zima,,50 Originalnih Pjesama,2017.0,,,,,,,,,2017.0-50 Originalnih Pjesama,2017.0-50 Originalnih Pjesama
Jasna Zlokić,Jasna Zlokić,Sve Sam Ti Suze Oprostila,,50 Originalnih Pjesama,2017.0,,,,,,,,,2017.0-50 Originalnih Pjesama,2017.0-50 Originalnih Pjesama
Jasna Zlokić,Jasna Zlokić,Zasto Je Kraj,,50 Originalnih Pjesama,2017.0,,,,,,,,,2017.0-50 Originalnih Pjesama,2017.0-50 Originalnih Pjesama
Jasna Zlokić,Jasna Zlokić,Ne Budi Me U Ponoc,,50 Originalnih Pjesama,2017.0,,,,,,,,,2017.0-50 Originalnih Pjesama,2017.0-50 Originalnih Pjesama
Jasna Zlokić,Jasna Zlokić,Kad Mi Dodjes Ti (Jasna Zlokic & Oliver Dragojevic),,50 Originalnih Pjesama,2017.0,,,,,,,,,2017.0-50 Originalnih Pjesama,2017.0-50 Originalnih Pjesama
Jasna Zlokić,Jasna Zlokić,Pusti Me Da Prodjem,,50 Originalnih Pjesama,2017.0,,,,,,,,,2017.0-50 Originalnih Pjesama,2017.0-50 Originalnih Pjesama
Jasna Zlokić,Jasna Zlokić,Moj Andjele,,50 Originalnih Pjesama,2017.0,,,,,,,,,2017.0-50 Originalnih Pjesama,2017.0-50 Originalnih Pjesama
Jasna Zlokić,Jasna Zlokić,Ne Spominji Stare Ljubavi,,50 Originalnih Pjesama,2017.0,,,,,,,,,2017.0-50 Originalnih Pjesama,2017.0-50 Originalnih Pjesama
Jasna Zlokić,Jasna Zlokić,Nikad Vise Te Jeseni,,50 Originalnih Pjesama,2017.0,,,,,,,,,2017.0-50 Originalnih Pjesama,2017.0-50 Originalnih Pjesama
Jasna Zlokić,Jasna Zlokić,Svitiljka Djetinjstva,,50 Originalnih Pjesama,2017.0,,,,,,,,,2017.0-50 Originalnih Pjesama,2017.0-50 Originalnih Pjesama
Jasna Zlokić,Jasna Zlokić,Noc I Dan,,50 Originalnih Pjesama,2017.0,,,,,,,,,2017.0-50 Originalnih Pjesama,2017.0-50 Originalnih Pjesama
Jasna Zlokić,Jasna Zlokić,Zivjet Cu Za Dane Radosti,,50 Originalnih Pjesama,2017.0,,,,,,,,,2017.0-50 Originalnih Pjesama,2017.0-50 Originalnih Pjesama
Jasna Zlokić,Jasna Zlokić,Ima Neka Tajna Veza (Jasna Zlokic & Zeljko Bebek),,50 Originalnih Pjesama,2017.0,,,,,,,,,2017.0-50 Originalnih Pjesama,2017.0-50 Originalnih Pjesama
Jasna Zlokić,Jasna Zlokić,"Nina,Nana",,50 Originalnih Pjesama,2017.0,,,,,,,,,2017.0-50 Originalnih Pjesama,2017.0-50 Originalnih Pjesama
Jasna Zlokić,Jasna Zlokić,Dio Mog Sjecanja,,50 Originalnih Pjesama,2017.0,,,,,,,,,2017.0-50 Originalnih Pjesama,2017.0-50 Originalnih Pjesama
Jasna Zlokić,Jasna Zlokić,Jedna Ladja Morem Plovi,,50 Originalnih Pjesama,2017.0,,,,,,,,,2017.0-50 Originalnih Pjesama,2017.0-50 Originalnih Pjesama
Jasna Zlokić,Jasna Zlokić,Tu T'en Vas (Jasna Zlokic & Tomislav Ivcic),,50 Originalnih Pjesama,2017.0,,,,,,,,,2017.0-50 Originalnih Pjesama,2017.0-50 Originalnih Pjesama
Jasna Zlokić,Jasna Zlokić,Tamo Gdje Dises,,50 Originalnih Pjesama,2017.0,,,,,,,,,2017.0-50 Originalnih Pjesama,2017.0-50 Originalnih Pjesama
Jasna Zlokić,Jasna Zlokić,Skitnica (Jasna Zlokic & Marijan Ban),,50 Originalnih Pjesama,2017.0,,,,,,,,,2017.0-50 Originalnih Pjesama,2017.0-50 Originalnih Pjesama
Jasna Zlokić,Jasna Zlokić,"Teske Su Rici Pale,Duso",,50 Originalnih Pjesama,2017.0,,,,,,,,,2017.0-50 Originalnih Pjesama,2017.0-50 Originalnih Pjesama
Jasna Zlokić,Jasna Zlokić,Kad Zavonja Proculice,,50 Originalnih Pjesama,2017.0,,,,,,,,,2017.0-50 Originalnih Pjesama,2017.0-50 Originalnih Pjesama
Jasna Zlokić,Jasna Zlokić,Lutajuce Srce,,50 Originalnih Pjesama,2017.0,,,,,,,,,2017.0-50 Originalnih Pjesama,2017.0-50 Originalnih Pjesama
Jasna Zlokić,Jasna Zlokić,Zene Zaljubljene,,50 Originalnih Pjesama,2017.0,,,,,,,,,2017.0-50 Originalnih Pjesama,2017.0-50 Originalnih Pjesama
Jasna Zlokić,Jasna Zlokić,Dodji U Mali Kaffe,,50 Originalnih Pjesama,2017.0,,,,,,,,,2017.0-50 Originalnih Pjesama,2017.0-50 Originalnih Pjesama
Jasna Zlokić,Jasna Zlokić,Pocetak,,Jugoton Express,0.0,,,,,,,,,0.0-Jugoton Express,0.0-Jugoton Express/0.0-Jugoton Express
