Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Music By_discogs,Album_title_discogs,Album_year_discogs,Arranged By_discogs,Backing Vocals_discogs,Conductor_discogs,Lyrics By_discogs,Orchestra_discogs,Backing Band_discogs,Written-By_discogs,Ensemble_discogs,Congas_discogs,Edited By_discogs,Engineer_discogs,Keyboards_discogs,Mixed By_discogs,Soprano Vocals [Intro]_discogs,Bass Guitar_discogs,Drums_discogs,Guitar_discogs,Producer_discogs,Technician_discogs,Piano_discogs,Tenor Saxophone_discogs,Electric Guitar_discogs,Electric Guitar [12 String]_discogs,Electric Piano_discogs,Mixed By [Final Mix]_discogs,Organ [Hammond B3]_discogs,Percussion_discogs,Recorded By_discogs,Orchestrated By_discogs,Musician_discogs,Programmed By [Emulator Ii Hd]_discogs,Programmed By_discogs,Programmed By [EMULATOR II and EMAX]_discogs,Guitar [Solo]_discogs,Programmed By [PPG WAVE 2.3]_discogs,Drum Programming [YAMAHA R-20]_discogs,Programmed By [EMAX]_discogs,Baritone Saxophone_discogs,Programmed By [EMULATOR II]_discogs,Programmed By [OBERHEIM MATRIX 6_discogs,YAMAHA DX7]_discogs,Vocals_discogs,Featuring_discogs,Adapted By_discogs,Drum_discogs,Trombone_discogs,Trumpet_discogs,Arranged By [Stings]_discogs,Acoustic Guitar_discogs,Organ_discogs,Arranged By [Winds]_discogs,Soprano Saxophone_discogs,Remix_discogs,Acoustic Guitar [Solo]_discogs,Saxophone_discogs,Double Bass_discogs,Vibraphone_discogs,Saxophone [Alto]_discogs,Lyrics By [Additional]_discogs,Lyrics By [Translated]_discogs,Album_year_title_discogs,All_albums_discogs
Josipa Lisac,Josipa Lisac,Samujem U Samoći Sama ,,,Samujem U Samoći Sama / Sve Majke Svijeta Uz More,1971.0,,,Petar Sam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1971.0-Samujem U Samoći Sama / Sve Majke Svijeta Uz More,1971.0-Samujem U Samoći Sama / Sve Majke Svijeta Uz More
Josipa Lisac,Josipa Lisac,Sve Majke Svijeta Uz More,,,Samujem U Samoći Sama / Sve Majke Svijeta Uz More,1971.0,,,Vinko Lesić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1971.0-Samujem U Samoći Sama / Sve Majke Svijeta Uz More,1971.0-Samujem U Samoći Sama / Sve Majke Svijeta Uz More
Josipa Lisac,Josipa Lisac,Dok Razmišljam O Nama,,Karlo Metikoš,Dok Razmišljam O Nama / Bez Tebe,1972.0,Ozren Depolo,,Stjepan Mihaljinec,Ivica Krajač,"Festivalski Zabavni Orkestar ""Zagreb""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1972.0-Dok Razmišljam O Nama / Bez Tebe,1972.0-Dok Razmišljam O Nama / Bez Tebe/nan-Najveći Uspjesi 68/73/nan-Balade/nan-Live In »Lap«/nan-Koncert U Čast Karla Metikoša/1997.0-Antologija/nan-The Best Of Josipa Lisac/nan-Hitovi/nan-Live/2007.0-The Platinum Collection/2007.0-Koncert Ljubavi U Čast Karla Metikoša HNK 3. 12. 2006./2017.0-Original Album Collection Vol. 1/2017.0-Original Album Collection Vol. 2/2017.0-Original Album Collection Vol. 2/2018.0-...Tu U Mojoj Duši Stanuješ... - From Croatia Records Studio/nan-...Tu U Mojoj Duši Stanuješ... - From Croatia Records Studio
Josipa Lisac,Josipa Lisac,Bez Tebe (Without You),,,Dok Razmišljam O Nama / Bez Tebe,1972.0,Igor Savin,,Zlatko Černjul,Mišo Doležal,,,Tom Evans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1972.0-Dok Razmišljam O Nama / Bez Tebe,1972.0-Dok Razmišljam O Nama / Bez Tebe
Josipa Lisac,Josipa Lisac,Raduj Se Srce Moje,,Karlo Metikoš,Raduj Se Srce Moje,,Ivan Kelemen,,Ivan Kelemen,Ivica Krajač,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Raduj Se Srce Moje,nan-Raduj Se Srce Moje
Josipa Lisac,Josipa Lisac,Još Te Čekam,,Mario Bogliuni,Raduj Se Srce Moje,,Ozren Depolo,,Miljenko Prohaska,Pajo Kanižaj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Raduj Se Srce Moje,nan-Raduj Se Srce Moje/nan-Najveći Uspjesi 68/73/2017.0-Original Album Collection Vol. 1
Josipa Lisac,Josipa Lisac,O Jednoj Mladosti,,,Dnevnik Jedne Ljubavi,1973.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1973.0-Dnevnik Jedne Ljubavi,1973.0-Dnevnik Jedne Ljubavi/nan-Dnevnik Jedne Ljubavi/nan-Live In »Lap«/nan-Koncert U Čast Karla Metikoša/1997.0-Antologija/1997.0-Antologija/nan-The Best Of Josipa Lisac/nan-Hitovi/nan-Live/2004.0-O Jednoj Mladosti/2007.0-The Platinum Collection/2007.0-Koncert Ljubavi U Čast Karla Metikoša HNK 3. 12. 2006./2017.0-Posve Slobodna (Suradnje I Etno)/2017.0-Original Album Collection Vol. 1/2017.0-Original Album Collection Vol. 2/2018.0-...Tu U Mojoj Duši Stanuješ... - From Croatia Records Studio/nan-...Tu U Mojoj Duši Stanuješ... - From Croatia Records Studio
Josipa Lisac,Josipa Lisac,Srela Sam Se S Njim,,,Dnevnik Jedne Ljubavi,1973.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1973.0-Dnevnik Jedne Ljubavi,1973.0-Dnevnik Jedne Ljubavi/nan-Dnevnik Jedne Ljubavi/1997.0-Antologija/2017.0-Original Album Collection Vol. 1
Josipa Lisac,Josipa Lisac,Sreća,,,Dnevnik Jedne Ljubavi,1973.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1973.0-Dnevnik Jedne Ljubavi,1973.0-Dnevnik Jedne Ljubavi/nan-Dnevnik Jedne Ljubavi/nan-Live In »Lap«/1997.0-Antologija/1997.0-Antologija/nan-Hitovi/2007.0-The Platinum Collection/2017.0-Original Album Collection Vol. 1/2017.0-Original Album Collection Vol. 2
Josipa Lisac,Josipa Lisac,Po Prvi Put,,,Dnevnik Jedne Ljubavi,1973.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1973.0-Dnevnik Jedne Ljubavi,1973.0-Dnevnik Jedne Ljubavi/nan-Dnevnik Jedne Ljubavi/1997.0-Antologija/2007.0-The Platinum Collection/2017.0-Original Album Collection Vol. 1
