Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Music By_discogs,Lyrics By_discogs,Album_title_discogs,Arranged By [Partial]_discogs,Written-By_discogs,Transcription By_discogs,Arranged By_discogs,Album_year_discogs,Album_year_title_discogs,All_albums_discogs
Najbolji Hrvatski Tamburaši,Najbolji Hrvatski Tamburaši,Rajno,,,,Divne Godine,,,,,,nan-Divne Godine,nan-Divne Godine
Najbolji Hrvatski Tamburaši,Najbolji Hrvatski Tamburaši,Da Me Nije,,,,Tamburica Od Javora Suva,,,,,,nan-Tamburica Od Javora Suva,nan-Tamburica Od Javora Suva/nan-Zlatna Kolekcija
Najbolji Hrvatski Tamburaši,Najbolji Hrvatski Tamburaši,Tugo Moja Nesrećo,,,,Tamburica Od Javora Suva,,,,,,nan-Tamburica Od Javora Suva,nan-Tamburica Od Javora Suva
Najbolji Hrvatski Tamburaši,Najbolji Hrvatski Tamburaši,I Dunav Laže,,,,Tamburica Od Javora Suva,,,,,,nan-Tamburica Od Javora Suva,nan-Tamburica Od Javora Suva/nan-Zlatna Kolekcija
Najbolji Hrvatski Tamburaši,Najbolji Hrvatski Tamburaši,Moja Jedina,,,,Tamburica Od Javora Suva,,,,,,nan-Tamburica Od Javora Suva,nan-Tamburica Od Javora Suva/nan-Zlatna Kolekcija
Najbolji Hrvatski Tamburaši,Najbolji Hrvatski Tamburaši,Noć Je Vrijeme Za Bećara,,,,Tamburica Od Javora Suva,,,,,,nan-Tamburica Od Javora Suva,nan-Tamburica Od Javora Suva
Najbolji Hrvatski Tamburaši,Najbolji Hrvatski Tamburaši,Rastanak,,,,Tamburica Od Javora Suva,,,,,,nan-Tamburica Od Javora Suva,nan-Tamburica Od Javora Suva
Najbolji Hrvatski Tamburaši,Najbolji Hrvatski Tamburaši,Tamburica Od Javora Suva,,,,Tamburica Od Javora Suva,,,,,,nan-Tamburica Od Javora Suva,nan-Tamburica Od Javora Suva/nan-Zlatna Kolekcija
Najbolji Hrvatski Tamburaši,Najbolji Hrvatski Tamburaši,Ciganko Nino,,,,Tamburica Od Javora Suva,,,,,,nan-Tamburica Od Javora Suva,nan-Tamburica Od Javora Suva
Najbolji Hrvatski Tamburaši,Najbolji Hrvatski Tamburaši,Daleko Je Amerika,,,,Tamburica Od Javora Suva,,,,,,nan-Tamburica Od Javora Suva,nan-Tamburica Od Javora Suva
Najbolji Hrvatski Tamburaši,Najbolji Hrvatski Tamburaši,Andrija Čordaš,,,,Tamburica Od Javora Suva,,,,,,nan-Tamburica Od Javora Suva,nan-Tamburica Od Javora Suva/nan-Zlatna Kolekcija
Najbolji Hrvatski Tamburaši,Najbolji Hrvatski Tamburaši,Slavonijo Dobar Dan,,,,Tamburica Od Javora Suva,,,,,,nan-Tamburica Od Javora Suva,nan-Tamburica Od Javora Suva/nan-Zlatna Kolekcija
Najbolji Hrvatski Tamburaši,Najbolji Hrvatski Tamburaši,Raduj Se Svijete,,,,Tamburica Od Javora Suva,,,,,,nan-Tamburica Od Javora Suva,nan-Tamburica Od Javora Suva/2005.0-Sretan Božić
Najbolji Hrvatski Tamburaši,Najbolji Hrvatski Tamburaši,Jesen Stiže Dunjo Moja,,,,Tamburica Od Javora Suva,,,,,,nan-Tamburica Od Javora Suva,nan-Tamburica Od Javora Suva/nan-Zlatna Kolekcija
Najbolji Hrvatski Tamburaši,Najbolji Hrvatski Tamburaši,Vilino Kolo,,,,Tamburica Od Javora Suva,,,,,,nan-Tamburica Od Javora Suva,nan-Tamburica Od Javora Suva
Najbolji Hrvatski Tamburaši,Najbolji Hrvatski Tamburaši,Djetešce Nam Se Rodilo,2:40,,,Sretan Božić,,,,,2005.0,2005.0-Sretan Božić,2005.0-Sretan Božić
Najbolji Hrvatski Tamburaši,Najbolji Hrvatski Tamburaši,Narodi Nam Se,3:31,,,Sretan Božić,,,,,2005.0,2005.0-Sretan Božić,2005.0-Sretan Božić
Najbolji Hrvatski Tamburaši,Najbolji Hrvatski Tamburaši,Kyrie Eleison,2:51,,,Sretan Božić,,,,,2005.0,2005.0-Sretan Božić,2005.0-Sretan Božić
Najbolji Hrvatski Tamburaši,Najbolji Hrvatski Tamburaši,Zdravo Budi Mladi Kralju,2:38,,,Sretan Božić,,,,,2005.0,2005.0-Sretan Božić,2005.0-Sretan Božić
Najbolji Hrvatski Tamburaši,Najbolji Hrvatski Tamburaši,Veselje Ti Navješćujem,2:53,,,Sretan Božić,,,,,2005.0,2005.0-Sretan Božić,2005.0-Sretan Božić
Najbolji Hrvatski Tamburaši,Najbolji Hrvatski Tamburaši,U To Vrijeme Godišta,3:35,,,Sretan Božić,,,,,2005.0,2005.0-Sretan Božić,2005.0-Sretan Božić
Najbolji Hrvatski Tamburaši,Najbolji Hrvatski Tamburaši,Tiha Noć,3:36,,,Sretan Božić,,,,,2005.0,2005.0-Sretan Božić,2005.0-Sretan Božić
Najbolji Hrvatski Tamburaši,Najbolji Hrvatski Tamburaši,Bijeli Božić,4:26,,,Sretan Božić,,,,,2005.0,2005.0-Sretan Božić,2005.0-Sretan Božić
Najbolji Hrvatski Tamburaši,Najbolji Hrvatski Tamburaši,Snivaj Čedo,2:38,,,Sretan Božić,,,,,2005.0,2005.0-Sretan Božić,2005.0-Sretan Božić
Najbolji Hrvatski Tamburaši,Najbolji Hrvatski Tamburaši,Nebo Daj Oku,2:16,,,Sretan Božić,,,,,2005.0,2005.0-Sretan Božić,2005.0-Sretan Božić
Najbolji Hrvatski Tamburaši,Najbolji Hrvatski Tamburaši,Radujte Se Narodi,3:03,,,Sretan Božić,,,,,2005.0,2005.0-Sretan Božić,2005.0-Sretan Božić
Najbolji Hrvatski Tamburaši,Najbolji Hrvatski Tamburaši,Zvončići,2:21,,,Sretan Božić,,,,,2005.0,2005.0-Sretan Božić,2005.0-Sretan Božić
Najbolji Hrvatski Tamburaši,Najbolji Hrvatski Tamburaši,Bijeli Božić (White Christmas),3:20,,,Sretan Božić,,,,,2005.0,2005.0-Sretan Božić,2005.0-Sretan Božić
Najbolji Hrvatski Tamburaši,Najbolji Hrvatski Tamburaši,Zamiriši Slavonijo,,,,Nostalgija,,,,,2007.0,2007.0-Nostalgija,2007.0-Nostalgija
Najbolji Hrvatski Tamburaši,Najbolji Hrvatski Tamburaši,Jednom,,,,Nostalgija,,,,,2007.0,2007.0-Nostalgija,2007.0-Nostalgija
Najbolji Hrvatski Tamburaši,Najbolji Hrvatski Tamburaši,Cvijet Od Kamena,,,,Nostalgija,,,,,2007.0,2007.0-Nostalgija,2007.0-Nostalgija
Najbolji Hrvatski Tamburaši,Najbolji Hrvatski Tamburaši,Nostalgija,,,,Nostalgija,,,,,2007.0,2007.0-Nostalgija,2007.0-Nostalgija
Najbolji Hrvatski Tamburaši,Najbolji Hrvatski Tamburaši,Ej Da Mi Je,,,,Nostalgija,,,,,2007.0,2007.0-Nostalgija,2007.0-Nostalgija
Najbolji Hrvatski Tamburaši,Najbolji Hrvatski Tamburaši,Nevjero Moja,,,,Nostalgija,,,,,2007.0,2007.0-Nostalgija,2007.0-Nostalgija
Najbolji Hrvatski Tamburaši,Najbolji Hrvatski Tamburaši,Jabuka Stara,,,,Nostalgija,,,,,2007.0,2007.0-Nostalgija,2007.0-Nostalgija
Najbolji Hrvatski Tamburaši,Najbolji Hrvatski Tamburaši,Marija,,,,Nostalgija,,,,,2007.0,2007.0-Nostalgija,2007.0-Nostalgija
Najbolji Hrvatski Tamburaši,Najbolji Hrvatski Tamburaši,Srce Moje Kucaj Malo Tiše,,,,Nostalgija,,,,,2007.0,2007.0-Nostalgija,2007.0-Nostalgija
Najbolji Hrvatski Tamburaši,Najbolji Hrvatski Tamburaši,Stari Moj,,,,Nostalgija,,,,,2007.0,2007.0-Nostalgija,2007.0-Nostalgija
Najbolji Hrvatski Tamburaši,Najbolji Hrvatski Tamburaši,Jure Ova Kola Naša,,,,Nostalgija,,,,,2007.0,2007.0-Nostalgija,2007.0-Nostalgija
Najbolji Hrvatski Tamburaši,Najbolji Hrvatski Tamburaši,Posljednja Bitka,,,,Nostalgija,,,,,2007.0,2007.0-Nostalgija,2007.0-Nostalgija
Najbolji Hrvatski Tamburaši,Najbolji Hrvatski Tamburaši,Bonus Tracks,,,,Nostalgija,,,,,2007.0,2007.0-Nostalgija,2007.0-Nostalgija
Najbolji Hrvatski Tamburaši,Najbolji Hrvatski Tamburaši,Malo Je Ljubavi,,,,Nostalgija,,,,,2007.0,2007.0-Nostalgija,2007.0-Nostalgija
Najbolji Hrvatski Tamburaši,Najbolji Hrvatski Tamburaši,Posljednja Bitka (Pop Verzija),,,,Nostalgija,,,,,2007.0,2007.0-Nostalgija,2007.0-Nostalgija
Najbolji Hrvatski Tamburaši,Najbolji Hrvatski Tamburaši,Vranac,,,,Zlatna Kolekcija,,,,,,nan-Zlatna Kolekcija,nan-Zlatna Kolekcija
Najbolji Hrvatski Tamburaši,Najbolji Hrvatski Tamburaši,Davno Se Tena Udala (Tena II),,,,Zlatna Kolekcija,,,,,,nan-Zlatna Kolekcija,nan-Zlatna Kolekcija
Najbolji Hrvatski Tamburaši,Najbolji Hrvatski Tamburaši,Nek Me Pamte Gradovi,,,,Zlatna Kolekcija,,,,,,nan-Zlatna Kolekcija,nan-Zlatna Kolekcija
Najbolji Hrvatski Tamburaši,Najbolji Hrvatski Tamburaši,Ne Ženi Se Ovakav Bećar,,,,Zlatna Kolekcija,,,,,,nan-Zlatna Kolekcija,nan-Zlatna Kolekcija
Najbolji Hrvatski Tamburaši,Najbolji Hrvatski Tamburaši,"Slavonijo, Jedna Jedina",,,,Zlatna Kolekcija,,,,,,nan-Zlatna Kolekcija,nan-Zlatna Kolekcija
Najbolji Hrvatski Tamburaši,Najbolji Hrvatski Tamburaši,Pitat će Me Gdje Si Ti,,,,Zlatna Kolekcija,,,,,,nan-Zlatna Kolekcija,nan-Zlatna Kolekcija
Najbolji Hrvatski Tamburaši,Najbolji Hrvatski Tamburaši,"Hej, Mjeseče",,,,Zlatna Kolekcija,,,,,,nan-Zlatna Kolekcija,nan-Zlatna Kolekcija
