Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Album_title_discogs,Lyrics By_discogs,Album_year_discogs,Lyrics By [English]_discogs,Music By_discogs,Featuring_discogs,Written-By_discogs,Lyrics By [Ana]_discogs,Lyrics By [Ja Nisam Kockar]_discogs,Lyrics By [Lili]_discogs,Lyrics By [Zakuni Se Ljubavi]_discogs,Arranged By_discogs,Adapted By_discogs,Written-by [Slovenska Narodna]_discogs,Vocals [Duet]_discogs,Performer_discogs,Album_year_title_discogs,All_albums_discogs
Vlado Kalember,Vlado Kalember,Zgazila Si Srce Moje,3:33,Rano Mi Je Zaspati,,,,,,,,,,,,,,,,nan-Rano Mi Je Zaspati,nan-Rano Mi Je Zaspati/2002.0-Največji Hiti
Vlado Kalember,Vlado Kalember,Volio Sam Te,3:16,Rano Mi Je Zaspati,,,,,,,,,,,,,,,,nan-Rano Mi Je Zaspati,nan-Rano Mi Je Zaspati/2002.0-Največji Hiti
Vlado Kalember,Vlado Kalember,"Evo Noći, Evo Ludila",4:09,Rano Mi Je Zaspati,Miroslav Drljača Rus,,,Miro Buljan,,,,,,,,,,,,nan-Rano Mi Je Zaspati,nan-Rano Mi Je Zaspati/nan-The Best Of Collection
Vlado Kalember,Vlado Kalember,Srebrna Krila Mix,,Največji Hiti,,2002.0,,,,,,,,,,,,,,2002.0-Največji Hiti,2002.0-Največji Hiti
Vlado Kalember,Vlado Kalember,"Evo Noči, Evo Ludila",,Največji Hiti,,2002.0,,,,,,,,,,,,,,2002.0-Največji Hiti,2002.0-Največji Hiti
Vlado Kalember,Vlado Kalember,Ja Nočas Pijem,,Največji Hiti,,2002.0,,,,,,,,,,,,,,2002.0-Največji Hiti,2002.0-Največji Hiti
Vlado Kalember,Vlado Kalember,Ana,,Največji Hiti,,2002.0,,,,,,,,,,,,,,2002.0-Največji Hiti,2002.0-Največji Hiti
Vlado Kalember,Vlado Kalember,Kockar,,Največji Hiti,,2002.0,,,,,,,,,,,,,,2002.0-Največji Hiti,2002.0-Največji Hiti
Vlado Kalember,Vlado Kalember,Lili,,Največji Hiti,,2002.0,,,,,,,,,,,,,,2002.0-Največji Hiti,2002.0-Največji Hiti
Vlado Kalember,Vlado Kalember,Ostani,,Volim Te Do Neba,,2004.0,,,,,,,,,,,,,,2004.0-Volim Te Do Neba,2004.0-Volim Te Do Neba
Vlado Kalember,Vlado Kalember,Neka Me Cijeli Svijet Zaboravi,,Volim Te Do Neba,,2004.0,,,,,,,,,,,,,,2004.0-Volim Te Do Neba,2004.0-Volim Te Do Neba
Vlado Kalember,Vlado Kalember,Volim Te Do Neba,,Volim Te Do Neba,,2004.0,,,,,,,,,,,,,,2004.0-Volim Te Do Neba,2004.0-Volim Te Do Neba
Vlado Kalember,Vlado Kalember,Sjeti Se Mene,,Volim Te Do Neba,,2004.0,,,,,,,,,,,,,,2004.0-Volim Te Do Neba,2004.0-Volim Te Do Neba
Vlado Kalember,Vlado Kalember,Tuga Ima Oči Plave,,Volim Te Do Neba,,2004.0,,,,,,,,,,,,,,2004.0-Volim Te Do Neba,2004.0-Volim Te Do Neba
Vlado Kalember,Vlado Kalember,Javi Se,,Volim Te Do Neba,,2004.0,,,,,,,,,,,,,,2004.0-Volim Te Do Neba,2004.0-Volim Te Do Neba
Vlado Kalember,Vlado Kalember,Jedino Moje,,Volim Te Do Neba,,2004.0,,,,,,,,,,,,,,2004.0-Volim Te Do Neba,2004.0-Volim Te Do Neba
