Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Album_title_discogs,Lyrics By_discogs,Album_year_discogs,Lyrics By [English]_discogs,Music By_discogs,Featuring_discogs,Written-By_discogs,Lyrics By [Ana]_discogs,Lyrics By [Ja Nisam Kockar]_discogs,Lyrics By [Lili]_discogs,Lyrics By [Zakuni Se Ljubavi]_discogs,Arranged By_discogs,Adapted By_discogs,Written-by [Slovenska Narodna]_discogs,Vocals [Duet]_discogs,Performer_discogs,Album_year_title_discogs,All_albums_discogs
Vlado Kalember,Vlado Kalember,Wine On The Lips,4:35,Vlado Kalember,Alka Vuica,,,,,,,,,,,,,,,nan-Vlado Kalember,nan-Vlado Kalember
Vlado Kalember,Vlado Kalember,Suzana,3:10,Vlado Kalember,Marina Tucaković,,,,,,,,,,,,,,,nan-Vlado Kalember,nan-Vlado Kalember/nan-Čija Si U Duši/2008.0-Zlatna Kolekcija/2013.0-Najljepše Ljubavne Pjesme
Vlado Kalember,Vlado Kalember,The Return Of The Soldier,4:40,Vlado Kalember,Jadranka Kekelj,,,Vlado Kalember,,,,,,,,,,,,nan-Vlado Kalember,nan-Vlado Kalember
Vlado Kalember,Vlado Kalember,Whose Are You,3:35,Vlado Kalember,Željko Pavičić,,,,,,,,,,,,,,,nan-Vlado Kalember,nan-Vlado Kalember
Vlado Kalember,Vlado Kalember,Should They Ask Me,4:15,Vlado Kalember,Marina Tucaković,,,,,,,,,,,,,,,nan-Vlado Kalember,nan-Vlado Kalember
Vlado Kalember,Vlado Kalember,"Fly, White Dove",3:05,Vlado Kalember,Željko Pavičić,,,,,,,,,,,,,,,nan-Vlado Kalember,nan-Vlado Kalember
Vlado Kalember,Vlado Kalember,Falling In The Abyss,5:30,Vlado Kalember,Jadranka Kekelj,,,Vlado Kalember,,,,,,,,,,,,nan-Vlado Kalember,nan-Vlado Kalember
Vlado Kalember,Vlado Kalember,My Guitar,3:35,Vlado Kalember,Željko Pavičić,,,,,,,,,,,,,,,nan-Vlado Kalember,nan-Vlado Kalember
Vlado Kalember,Vlado Kalember,My Soul Is Crying,3:45,Vlado Kalember,Marina Tucaković,,,,,,,,,,,,,,,nan-Vlado Kalember,nan-Vlado Kalember
Vlado Kalember,Vlado Kalember,Call The Gipsies,4:10,Vlado Kalember,Alka Vuica,,,,,,,,,,,,,,,nan-Vlado Kalember,nan-Vlado Kalember
Vlado Kalember,Vlado Kalember,"Ja Odavde, Ona S Juga",4:10,Čija Si U Duši,,,,,,,,,,,,,,,,nan-Čija Si U Duši,nan-Čija Si U Duši/nan-Sve Najbolje/2008.0-Zlatna Kolekcija/2013.0-Najljepše Ljubavne Pjesme/nan-The Best Of Collection
Vlado Kalember,Vlado Kalember,Čija Si U Duši,3:30,Čija Si U Duši,,,,,,,,,,,,,,,,nan-Čija Si U Duši,nan-Čija Si U Duši/2008.0-Zlatna Kolekcija/2013.0-Najljepše Ljubavne Pjesme/nan-The Best Of Collection
Vlado Kalember,Vlado Kalember,Da Se Ja Pitam,4:12,Čija Si U Duši,,,,,,,,,,,,,,,,nan-Čija Si U Duši,nan-Čija Si U Duši/nan-Sve Najbolje/2008.0-Zlatna Kolekcija/2013.0-Najljepše Ljubavne Pjesme
Vlado Kalember,Vlado Kalember,Dječak Je Tužan I Sam,2:40,Čija Si U Duši,Đorđe Novković,,,,,,,,,,,,,,,nan-Čija Si U Duši,nan-Čija Si U Duši/2008.0-Zlatna Kolekcija
Vlado Kalember,Vlado Kalember,Plačem U Sebi,3:40,Čija Si U Duši,,,,,,,,,,,,,,,,nan-Čija Si U Duši,nan-Čija Si U Duši/2008.0-Zlatna Kolekcija/2013.0-Najljepše Ljubavne Pjesme
Vlado Kalember,Vlado Kalember,"Poleti, Bijela Golubice",3:00,Čija Si U Duši,,,,,,,,,,,,,,,,nan-Čija Si U Duši,nan-Čija Si U Duši
Vlado Kalember,Vlado Kalember,Tuđa Žena,3:35,Čija Si U Duši,Željko Sabol,,,,,,,,,,,,,,,nan-Čija Si U Duši,nan-Čija Si U Duši/2008.0-Zlatna Kolekcija/2013.0-Najljepše Ljubavne Pjesme
Vlado Kalember,Vlado Kalember,Moja Gitaro,4:00,Čija Si U Duši,,,,,,,,,,,,,,,,nan-Čija Si U Duši,nan-Čija Si U Duši/nan-Sve Najbolje/2013.0-Najljepše Ljubavne Pjesme/nan-The Best Of Collection
Vlado Kalember,Vlado Kalember,"Hej, Mladosti",3:00,Čija Si U Duši,,,,,,,,,,,,,,,,nan-Čija Si U Duši,nan-Čija Si U Duši
Vlado Kalember,Vlado Kalember,Sedam Ruža,4:30,Sedam Ruža / Interview,,1990.0,,,,,,,,,,,,,,1990.0-Sedam Ruža / Interview,1990.0-Sedam Ruža / Interview/nan-Sedam Ruža/2008.0-Zlatna Kolekcija/2013.0-Najljepše Ljubavne Pjesme/nan-The Best Of Collection
Vlado Kalember,Vlado Kalember,Interview (Odgovori Vlado Kalember),6:30,Sedam Ruža / Interview,,1990.0,,,,,,,,,,,,,,1990.0-Sedam Ruža / Interview,1990.0-Sedam Ruža / Interview
Vlado Kalember,Vlado Kalember,Ne Peru Rijeke Sve Tvoje Grijehe,,Ne Peru Rijeke Sve Tvoje Grijehe / Malena,,1990.0,,,,,,,,,,,,,,1990.0-Ne Peru Rijeke Sve Tvoje Grijehe / Malena,1990.0-Ne Peru Rijeke Sve Tvoje Grijehe / Malena/nan-Sedam Ruža/nan-Sve Najbolje/2008.0-Zlatna Kolekcija/2013.0-Najljepše Ljubavne Pjesme/nan-The Best Of Collection
Vlado Kalember,Vlado Kalember,Malena,,Ne Peru Rijeke Sve Tvoje Grijehe / Malena,,1990.0,,,,,,,,,,,,,,1990.0-Ne Peru Rijeke Sve Tvoje Grijehe / Malena,1990.0-Ne Peru Rijeke Sve Tvoje Grijehe / Malena/nan-Sedam Ruža/nan-Sve Najbolje/2008.0-Zlatna Kolekcija/nan-The Best Of Collection
Vlado Kalember,Vlado Kalember,Gordana,3:25,Sedam Ruža,Rajko Šimunović,,,,,,,,,,,,,,,nan-Sedam Ruža,nan-Sedam Ruža
Vlado Kalember,Vlado Kalember,Jedina,3:02,Sedam Ruža,,,,,,,,,,,,,,,,nan-Sedam Ruža,nan-Sedam Ruža
Vlado Kalember,Vlado Kalember,Da Ima Srca,3:00,Sedam Ruža,Željko Pavičić,,,,,,,,,,,,,,,nan-Sedam Ruža,nan-Sedam Ruža
Vlado Kalember,Vlado Kalember,Najdalje Si Ti,3:20,Sedam Ruža,,,,,,,,,,,,,,,,nan-Sedam Ruža,nan-Sedam Ruža/nan-Sve Najbolje/2008.0-Zlatna Kolekcija
Vlado Kalember,Vlado Kalember,Ponovno Noćas Plače Gitara,3:40,Sedam Ruža,,,,,,,,,,,,,,,,nan-Sedam Ruža,nan-Sedam Ruža
Vlado Kalember,Vlado Kalember,"Nina, Nina",3:42,Sedam Ruža,,,,,,,,,,,,,,,,nan-Sedam Ruža,nan-Sedam Ruža
Vlado Kalember,Vlado Kalember,Moja Je Soba Samica,3:40,Sedam Ruža,Namik Tarabić,,,,,,,,,,,,,,,nan-Sedam Ruža,nan-Sedam Ruža/2008.0-Zlatna Kolekcija
Vlado Kalember,Vlado Kalember,Otišla je žena,,Sve je to zbog tebe,,,,,,,,,,,,,,,,nan-Sve je to zbog tebe,nan-Sve je to zbog tebe
