Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Arranged By_discogs,Music By_discogs,Lyrics By_discogs,Album_title_discogs,Album_year_discogs,Featuring_discogs,Album_year_title_discogs,All_albums_discogs
Maja Šuput & EnJoy,Maja Šuput,Ovo Malo Duše,,Davor Petrović,Denis Dumančić,Faruk Buljubašić,Čista 5ica,,,nan-Čista 5ica,nan-Čista 5ica
Maja Šuput & EnJoy,Maja Šuput,17 Mi Je Godina,,Aleksandar Valenčić,Hari Varešanović,Fahrudin Pecikoza,Čista 5ica,,,nan-Čista 5ica,nan-Čista 5ica
Maja Šuput & EnJoy,Maja Šuput,Da Si Tu,,Aleksandar Valenčić,Denis Dumančić,Faruk Buljubašić,Čista 5ica,,,nan-Čista 5ica,nan-Čista 5ica
Maja Šuput & EnJoy,Maja Šuput,Zapela Mi Haljina,,Aleksandar Valenčić,Denis Dumančić,Inge Privora,Čista 5ica,,,nan-Čista 5ica,nan-Čista 5ica
Maja Šuput & EnJoy,Maja Šuput,Onako Kako Ti To Znaš,,Aleksandar Valenčić,Marko Tomasović,Emilija Kokić,Čista 5ica,,,nan-Čista 5ica,nan-Čista 5ica
Maja Šuput & EnJoy,Maja Šuput,"Ti Mi, Ti Mi",,Marko J. Kon,Björn Ulvaeus,Darus Despot,Čista 5ica,,,nan-Čista 5ica,nan-Čista 5ica
Maja Šuput & EnJoy,Maja Šuput,Obori Me S Nogu,3:34,Robert Vrbančić,Denis Dumančić,Denis Dumančić,Obori Me S Nogu,2006.0,,2006.0-Obori Me S Nogu,2006.0-Obori Me S Nogu
Maja Šuput & EnJoy,Maja Šuput,Ni Na Nebu Ni Na Zemlji,3:39,,,,Obori Me S Nogu,2006.0,,2006.0-Obori Me S Nogu,2006.0-Obori Me S Nogu
Maja Šuput & EnJoy,Maja Šuput,Zlato,3:12,Ante Pecotić,Ante Pecotić,Ante Pecotić,Obori Me S Nogu,2006.0,,2006.0-Obori Me S Nogu,2006.0-Obori Me S Nogu
Maja Šuput & EnJoy,Maja Šuput,Nemam Koga Volim Najviše,4:38,Robert Vrbančić,Denis Dumančić,Faruk Buljubašić,Obori Me S Nogu,2006.0,,2006.0-Obori Me S Nogu,2006.0-Obori Me S Nogu
Maja Šuput & EnJoy,Maja Šuput,Ljubi Gdje Me Boli,3:31,Robert Vrbančić,Miro Buljan,Nenad Ninčević,Obori Me S Nogu,2006.0,Marko Perica,2006.0-Obori Me S Nogu,2006.0-Obori Me S Nogu
Maja Šuput & EnJoy,Maja Šuput,Kućni Broj,3:20,,,,Obori Me S Nogu,2006.0,,2006.0-Obori Me S Nogu,2006.0-Obori Me S Nogu
Maja Šuput & EnJoy,Maja Šuput,Lagana,3:50,,,,Obori Me S Nogu,2006.0,,2006.0-Obori Me S Nogu,2006.0-Obori Me S Nogu
Maja Šuput & EnJoy,Maja Šuput,"E, Moj Blesane",3:01,,,,Obori Me S Nogu,2006.0,,2006.0-Obori Me S Nogu,2006.0-Obori Me S Nogu
Maja Šuput & EnJoy,Maja Šuput,Tu Nema Pomoći,3:37,,,,Obori Me S Nogu,2006.0,,2006.0-Obori Me S Nogu,2006.0-Obori Me S Nogu
Maja Šuput & EnJoy,Maja Šuput,Kad Sklopim Oči,2:55,Miro Lesić,Denis Dumančić,Faruk Buljubašić,Obori Me S Nogu,2006.0,,2006.0-Obori Me S Nogu,2006.0-Obori Me S Nogu
Maja Šuput & EnJoy,Maja Šuput,Neizlječivo • Acoustic Version,3:15,,,,Neizlječivo • Acoustic Version,2009.0,,2009.0-Neizlječivo • Acoustic Version,2009.0-Neizlječivo • Acoustic Version
Maja Šuput & EnJoy,Maja Šuput,Nevaljala,,Branimir Mihaljević,Branimir Mihaljević,Antonija Šola,Nevaljala,2011.0,,2011.0-Nevaljala,2011.0-Nevaljala
