Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Album_title_discogs,Album_year_discogs,Accordion_discogs,Vocals_discogs,Backing Vocals_discogs,Drum Programming [Rhythm Machine]_discogs,Written-By_discogs,Lyrics By [English]_discogs,Music By_discogs,Drum Programming_discogs,Guitar [Solo]_discogs,Synthesizer_discogs,Arranged By_discogs,Lyrics By [Translation]_discogs,Lyrics By [Quote]_discogs,Lyrics By_discogs,Voice_discogs,Featuring_discogs,Producer_discogs,Album_year_title_discogs,All_albums_discogs
Plavi Orkestar,Plavi Orkestar,"Kad Mi Kažeš, Paša (Beograđanka)",3:00,Kad Mi Kažeš Paša / Good Bye Teens,1985.0,,,,,,,,,,,,,,,,,,1985.0-Kad Mi Kažeš Paša / Good Bye Teens,1985.0-Kad Mi Kažeš Paša / Good Bye Teens
Plavi Orkestar,Plavi Orkestar,Good Bye Teens,3:35,Kad Mi Kažeš Paša / Good Bye Teens,1985.0,,,,,,,,,,,,,,,,,,1985.0-Kad Mi Kažeš Paša / Good Bye Teens,1985.0-Kad Mi Kažeš Paša / Good Bye Teens/nan-Soldatski Bal/1995.0-Sačuvaj Zadnji Ples Za Mene/nan-Greatest Hits Collection
Plavi Orkestar,Plavi Orkestar,"Bolje Biti Pijan, Nego Star",4:15,"Bolje Biti Pijan, Nego Star / Šta Će Nama Šoferima Kuća",1985.0,,,,,,,,,,,,,,,,,,"1985.0-Bolje Biti Pijan, Nego Star / Šta Će Nama Šoferima Kuća","1985.0-Bolje Biti Pijan, Nego Star / Šta Će Nama Šoferima Kuća"
Plavi Orkestar,Plavi Orkestar,Šta Će Nama Šoferima Kuća,3:03,"Bolje Biti Pijan, Nego Star / Šta Će Nama Šoferima Kuća",1985.0,,,,,,,,,,,,,,,,,,"1985.0-Bolje Biti Pijan, Nego Star / Šta Će Nama Šoferima Kuća","1985.0-Bolje Biti Pijan, Nego Star / Šta Će Nama Šoferima Kuća/nan-Soldatski Bal/nan-Greatest Hits Collection"
Plavi Orkestar,Plavi Orkestar,Suada,2:56,Suada,1985.0,,,,,,,,,,,,,,,,,,1985.0-Suada,1985.0-Suada/nan-Soldatski Bal/1995.0-Sačuvaj Zadnji Ples Za Mene/nan-Everblue 1/2002.0-Everblue hitovi/2005.0-Antologija /nan-Antologija (19 Hitova)/2007.0-The Ultimate Collection/2010.0-Najljepše Ljubavne Pjesme/nan-Greatest Hits Collection
Plavi Orkestar,Plavi Orkestar,Suada - Mix Pjevajte S Nama,2:56,Suada,1985.0,,,,,,,,,,,,,,,,,,1985.0-Suada,1985.0-Suada
Plavi Orkestar,Plavi Orkestar,Početak,,Jugoton Express,1985.0,,,,,,,,,,,,,,,,,,1985.0-Jugoton Express,1985.0-Jugoton Express/1985.0-Jugoton Express/1987.0-Jugoton Express/1987.0-Jugoton Express
Plavi Orkestar,Plavi Orkestar,Nastavak,,Jugoton Express,1985.0,,,,,,,,,,,,,,,,,,1985.0-Jugoton Express,1985.0-Jugoton Express/1985.0-Jugoton Express/1987.0-Jugoton Express/1987.0-Jugoton Express
Plavi Orkestar,Plavi Orkestar,Medena Curice (Daj Mi Vruće Rakije),,Medena Curice (Daj Mi Vruće Rakije),1985.0,,,,,,,,,,,,,,,,,,1985.0-Medena Curice (Daj Mi Vruće Rakije),1985.0-Medena Curice (Daj Mi Vruće Rakije)
Plavi Orkestar,Plavi Orkestar,Soldatski Bal,,Medena Curice (Daj Mi Vruće Rakije),1985.0,,,,,,,,,,,,,,,,,,1985.0-Medena Curice (Daj Mi Vruće Rakije),1985.0-Medena Curice (Daj Mi Vruće Rakije)/nan-Soldatski Bal/nan-Everblue 2/2002.0-Everblue hitovi/nan-Antologija (19 Hitova)/2007.0-The Ultimate Collection
Plavi Orkestar,Plavi Orkestar,(Medena Curice) Daj Mi Vruće Rakije,3:10,Soldatski Bal,,,,,,,,,,,,,,,,,,,nan-Soldatski Bal,nan-Soldatski Bal/nan-Everblue 2/2007.0-The Ultimate Collection/nan-Greatest Hits Collection
Plavi Orkestar,Plavi Orkestar,"Gujo, Vrati Se",2:40,Soldatski Bal,,,,,,,,,,,,,,,,,,,nan-Soldatski Bal,nan-Soldatski Bal
Plavi Orkestar,Plavi Orkestar,Odlazi Nam Raja,2:45,Soldatski Bal,,,,,,,,,,,,,,,,,,,nan-Soldatski Bal,nan-Soldatski Bal/nan-Everblue 1/2002.0-Everblue hitovi/nan-Antologija (19 Hitova)/2007.0-The Ultimate Collection
Plavi Orkestar,Plavi Orkestar,Bolje Biti Pijan Nego Star,4:15,Soldatski Bal,,,,Jovan Ćirilov,,,,,,,,,,,,,,,nan-Soldatski Bal,nan-Soldatski Bal/1995.0-Sačuvaj Zadnji Ples Za Mene/nan-Everblue 2/2002.0-Everblue hitovi/nan-Antologija (19 Hitova)/2007.0-The Ultimate Collection/2010.0-Najljepše Ljubavne Pjesme/nan-Greatest Hits Collection
Plavi Orkestar,Plavi Orkestar,"Stambol, Pešta, Bečlija",2:45,Soldatski Bal,,,,Predrag Peđa Jovanović,Dragan Čačinović - Čač,,,,,,,,,,,,,,nan-Soldatski Bal,nan-Soldatski Bal
Plavi Orkestar,Plavi Orkestar,Parajlija,3:20,Soldatski Bal,,,,,,,,,,,,,,,,,,,nan-Soldatski Bal,nan-Soldatski Bal/nan-Everblue 1/2002.0-Everblue hitovi/nan-Antologija (19 Hitova)/2007.0-The Ultimate Collection
