Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Album_title_discogs,Vocals [Duet]_discogs,Lyrics By_discogs,Album_year_discogs,Featuring_discogs,Written-By_discogs,Music By_discogs,Vocals_discogs,Written By_discogs,Lyrics By [Co-written]_discogs,Arranged By_discogs,Album_year_title_discogs,All_albums_discogs
Goran Karan,Goran Karan,"Ajde, Ajde, Zlato Moje",,Komplet 4 CDa,,,2013.0,,,,,,,,2013.0-Komplet 4 CDa,2013.0-Komplet 4 CDa
Goran Karan,Goran Karan,Da Si Moj,,Komplet 4 CDa,,,2013.0,,,,,,,,2013.0-Komplet 4 CDa,2013.0-Komplet 4 CDa
Goran Karan,Goran Karan,"Daj Mi , Daj",,Komplet 4 CDa,,,2013.0,,,,,,,,2013.0-Komplet 4 CDa,2013.0-Komplet 4 CDa
Goran Karan,Goran Karan,Kreni,,Komplet 4 CDa,,,2013.0,,,,,,,,2013.0-Komplet 4 CDa,2013.0-Komplet 4 CDa
Goran Karan,Goran Karan,Tvoja Prva Djevojka,,Komplet 4 CDa,,,2013.0,,,,,,,,2013.0-Komplet 4 CDa,2013.0-Komplet 4 CDa
Goran Karan,Goran Karan,Dodirni Mi Koljena,,Komplet 4 CDa,,,2013.0,,,,,,,,2013.0-Komplet 4 CDa,2013.0-Komplet 4 CDa
Goran Karan,Goran Karan,Severina Mega Mix,,Komplet 4 CDa,,,2013.0,,,,,,,,2013.0-Komplet 4 CDa,2013.0-Komplet 4 CDa
Goran Karan,Goran Karan,"Sija Sunce, Trava Miriše",,Komplet 4 CDa,,,2013.0,,,,,,,,2013.0-Komplet 4 CDa,2013.0-Komplet 4 CDa
Goran Karan,Goran Karan,"Daj, Da Biram",,Komplet 4 CDa,,,2013.0,,,,,,,,2013.0-Komplet 4 CDa,2013.0-Komplet 4 CDa
Goran Karan,Goran Karan,Mili Moj,,Komplet 4 CDa,,,2013.0,,,,,,,,2013.0-Komplet 4 CDa,2013.0-Komplet 4 CDa
Goran Karan,Goran Karan,Goran Karan - Hitovi,,Komplet 4 CDa,,,2013.0,,,,,,,,2013.0-Komplet 4 CDa,2013.0-Komplet 4 CDa
Goran Karan,Goran Karan,Od Jubavi Sam Duša Ranjena,,Komplet 4 CDa,,,2013.0,,,,,,,,2013.0-Komplet 4 CDa,2013.0-Komplet 4 CDa
Goran Karan,Goran Karan,Kad Jesen Dođe,,Komplet 4 CDa,,,2013.0,,,,,,,,2013.0-Komplet 4 CDa,2013.0-Komplet 4 CDa
Goran Karan,Goran Karan,Colonia - Gold Edition,,Komplet 4 CDa,,,2013.0,,,,,,,,2013.0-Komplet 4 CDa,2013.0-Komplet 4 CDa
Goran Karan,Goran Karan,Sve Oko Mene Je Grijeh,,Komplet 4 CDa,,,2013.0,,,,,,,,2013.0-Komplet 4 CDa,2013.0-Komplet 4 CDa/2013.0-Komplet 4 CDa
Goran Karan,Goran Karan,Njeno Ime Ne Zovi U Snu,,Komplet 4 CDa,,,2013.0,,,,,,,,2013.0-Komplet 4 CDa,2013.0-Komplet 4 CDa
Goran Karan,Goran Karan,Deja Vu,,Komplet 4 CDa,,,2013.0,,,,,,,,2013.0-Komplet 4 CDa,2013.0-Komplet 4 CDa
Goran Karan,Goran Karan,Za Tvoje Snene Oči,,Komplet 4 CDa,,,2013.0,,,,,,,,2013.0-Komplet 4 CDa,2013.0-Komplet 4 CDa
Goran Karan,Goran Karan,Oduzimaš Mi Dah,,Komplet 4 CDa,,,2013.0,,,,,,,,2013.0-Komplet 4 CDa,2013.0-Komplet 4 CDa
Goran Karan,Goran Karan,Plamen Od Ljubavi,,Komplet 4 CDa,,,2013.0,,,,,,,,2013.0-Komplet 4 CDa,2013.0-Komplet 4 CDa
Goran Karan,Goran Karan,Ti Da Bu Di Bu Da,,Komplet 4 CDa,,,2013.0,,,,,,,,2013.0-Komplet 4 CDa,2013.0-Komplet 4 CDa
Goran Karan,Goran Karan,Medley Hit Mix,,Komplet 4 CDa,,,2013.0,,,,,,,,2013.0-Komplet 4 CDa,2013.0-Komplet 4 CDa
Goran Karan,Goran Karan,Vatra I Led,,Komplet 4 CDa,,,2013.0,,,,,,,,2013.0-Komplet 4 CDa,2013.0-Komplet 4 CDa
Goran Karan,Goran Karan,Dio Nje,,Komplet 4 CDa,,,2013.0,,,,,,,,2013.0-Komplet 4 CDa,2013.0-Komplet 4 CDa
Goran Karan,Goran Karan,C'est La Vie,,Komplet 4 CDa,,,2013.0,,,,,,,,2013.0-Komplet 4 CDa,2013.0-Komplet 4 CDa
Goran Karan,Goran Karan,Svijetla Grada,,Komplet 4 CDa,,,2013.0,,,,,,,,2013.0-Komplet 4 CDa,2013.0-Komplet 4 CDa
Goran Karan,Goran Karan,Svijet Voli Pobjednike,,Komplet 4 CDa,,,2013.0,,,,,,,,2013.0-Komplet 4 CDa,2013.0-Komplet 4 CDa
Goran Karan,Goran Karan,Nikad Više,,Komplet 4 CDa,,,2013.0,,,,,,,,2013.0-Komplet 4 CDa,2013.0-Komplet 4 CDa
Goran Karan,Goran Karan,Zadnji Let Za Pariz,,Komplet 4 CDa,,,2013.0,,,,,,,,2013.0-Komplet 4 CDa,2013.0-Komplet 4 CDa
Goran Karan,Goran Karan,Nevjera,,Komplet 4 CDa,,,2013.0,,,,,,,,2013.0-Komplet 4 CDa,2013.0-Komplet 4 CDa
