Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Album_title_discogs,Vocals [Duet]_discogs,Lyrics By_discogs,Album_year_discogs,Featuring_discogs,Written-By_discogs,Music By_discogs,Vocals_discogs,Written By_discogs,Lyrics By [Co-written]_discogs,Arranged By_discogs,Album_year_title_discogs,All_albums_discogs
Goran Karan,Goran Karan,Lipo Misto,,Od Srca Do Usana ,,,,,,,,,,,nan-Od Srca Do Usana ,nan-Od Srca Do Usana 
Goran Karan,Goran Karan,Drugo Lice Ljubavi,,Od Srca Do Usana ,,,,,,,,,,,nan-Od Srca Do Usana ,nan-Od Srca Do Usana 
Goran Karan,Goran Karan,Nije Nam Se Dalo,,Od Srca Do Usana ,,,,,,,,,,,nan-Od Srca Do Usana ,nan-Od Srca Do Usana 
Goran Karan,Goran Karan,Bijele Zastave,,Od Srca Do Usana ,,,,,,,,,,,nan-Od Srca Do Usana ,nan-Od Srca Do Usana 
Goran Karan,Goran Karan,Ne šalji Lađe,,Od Srca Do Usana ,,,,,,,,,,,nan-Od Srca Do Usana ,nan-Od Srca Do Usana 
Goran Karan,Goran Karan,Uvijek Čekam Te,,Od Srca Do Usana ,,,,,,,,,,,nan-Od Srca Do Usana ,nan-Od Srca Do Usana 
Goran Karan,Goran Karan,Od Srca Do Usana,,Od Srca Do Usana ,,,,,,,,,,,nan-Od Srca Do Usana ,nan-Od Srca Do Usana 
Goran Karan,Goran Karan,Moja Si Ti To Znaš,,Od Srca Do Usana ,,,,,,,,,,,nan-Od Srca Do Usana ,nan-Od Srca Do Usana 
Goran Karan,Goran Karan,Suđeni Na Pola,,Od Srca Do Usana ,,,,,,,,,,,nan-Od Srca Do Usana ,nan-Od Srca Do Usana 
Goran Karan,Goran Karan,Modro More,,Od Srca Do Usana ,,,,,,,,,,,nan-Od Srca Do Usana ,nan-Od Srca Do Usana 
Goran Karan,Goran Karan,Nessun Dorma,,Od Srca Do Usana ,,,,,,,,,,,nan-Od Srca Do Usana ,nan-Od Srca Do Usana /2011.0-Romanca Pod Zvizdama/2012.0-Melodie Znad Adriatyku/2020.0-Jedna Noć U Zagrebu
Goran Karan,Goran Karan,Ahoj! Lipi Galebe Moj,3:43,Zlatna Kolekcija,,Žan Jakopač,,,,,Žan Jakopač,,,,nan-Zlatna Kolekcija,nan-Zlatna Kolekcija/2013.0-Komplet 4 CDa
Goran Karan,Goran Karan,To Je Drugo Lice Ljubavi,3:51,Zlatna Kolekcija,,Arsen Dedić,,,,Kemal Monteno,Kemal Monteno,,,,nan-Zlatna Kolekcija,nan-Zlatna Kolekcija/2010.0-Najljepše Ljubavne Pjesme/2013.0-Komplet 4 CDa
