Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Album_title_discogs,Vocals [Duet]_discogs,Album_year_discogs,Featuring_discogs,Album_year_title_discogs,All_albums_discogs
Baruni,Baruni,Ja Se Učim Živjeti Bez Tebe,,Svanut' Će Jutro Puno Ljubavi,,2007.0,,2007.0-Svanut' Će Jutro Puno Ljubavi,2007.0-Svanut' Će Jutro Puno Ljubavi
Baruni,Baruni,Draga,,Svanut' Će Jutro Puno Ljubavi,,2007.0,,2007.0-Svanut' Će Jutro Puno Ljubavi,2007.0-Svanut' Će Jutro Puno Ljubavi
Baruni,Baruni,Svanut Će Jutro Puno Ljubavi,,Svanut' Će Jutro Puno Ljubavi,,2007.0,,2007.0-Svanut' Će Jutro Puno Ljubavi,2007.0-Svanut' Će Jutro Puno Ljubavi
Baruni,Baruni,Falit' Ćeš Mi Ti,,Svanut' Će Jutro Puno Ljubavi,,2007.0,,2007.0-Svanut' Će Jutro Puno Ljubavi,2007.0-Svanut' Će Jutro Puno Ljubavi
Baruni,Baruni,Nema Više Zore,,Svanut' Će Jutro Puno Ljubavi,,2007.0,,2007.0-Svanut' Će Jutro Puno Ljubavi,2007.0-Svanut' Će Jutro Puno Ljubavi
Baruni,Baruni,"O, More More",,Svanut' Će Jutro Puno Ljubavi,,2007.0,,2007.0-Svanut' Će Jutro Puno Ljubavi,2007.0-Svanut' Će Jutro Puno Ljubavi
Baruni,Baruni,Živim Ako To Je Život,,Svanut' Će Jutro Puno Ljubavi,,2007.0,Mato Bulić,2007.0-Svanut' Će Jutro Puno Ljubavi,2007.0-Svanut' Će Jutro Puno Ljubavi
Baruni,Baruni,Uzmi Sve (Remix),,Svanut' Će Jutro Puno Ljubavi,,2007.0,,2007.0-Svanut' Će Jutro Puno Ljubavi,2007.0-Svanut' Će Jutro Puno Ljubavi
Baruni,Baruni,Bonus,,Svanut' Će Jutro Puno Ljubavi,,2007.0,,2007.0-Svanut' Će Jutro Puno Ljubavi,2007.0-Svanut' Će Jutro Puno Ljubavi
Baruni,Baruni,Kada Sava Krene Prema Brodu (2007),,Svanut' Će Jutro Puno Ljubavi,,2007.0,,2007.0-Svanut' Će Jutro Puno Ljubavi,2007.0-Svanut' Će Jutro Puno Ljubavi
Baruni,Baruni,Neka Pati Koga Smeta (Univerzalna),,Svanut' Će Jutro Puno Ljubavi,,2007.0,,2007.0-Svanut' Će Jutro Puno Ljubavi,2007.0-Svanut' Će Jutro Puno Ljubavi
Baruni,Baruni,CD1,,Zlatna Kolekcija,,2011.0,,2011.0-Zlatna Kolekcija,2011.0-Zlatna Kolekcija
Baruni,Baruni,Balada O Vrancu,3:53,Zlatna Kolekcija,,2011.0,,2011.0-Zlatna Kolekcija,2011.0-Zlatna Kolekcija
Baruni,Baruni,Na Pitam Te Ništa,3:22,Zlatna Kolekcija,,2011.0,,2011.0-Zlatna Kolekcija,2011.0-Zlatna Kolekcija
Baruni,Baruni,Od Kad Si Otišla Sa Njim,3:36,Zlatna Kolekcija,,2011.0,,2011.0-Zlatna Kolekcija,2011.0-Zlatna Kolekcija
Baruni,Baruni,CD2,,Zlatna Kolekcija,,2011.0,,2011.0-Zlatna Kolekcija,2011.0-Zlatna Kolekcija
Baruni,Baruni,Nikad Nisi Mene Voljela,3:18,Zlatna Kolekcija,,2011.0,,2011.0-Zlatna Kolekcija,2011.0-Zlatna Kolekcija
Baruni,Baruni,A Tebe Molim Vrati Se (Instrumental),3:38,Zlatna Kolekcija,,2011.0,,2011.0-Zlatna Kolekcija,2011.0-Zlatna Kolekcija
Baruni,Baruni,Jer Ljubav Nije Za Mene (Instrumental),4:27,Zlatna Kolekcija,,2011.0,,2011.0-Zlatna Kolekcija,2011.0-Zlatna Kolekcija
