Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Album_title_discogs,Album_year_discogs,Arranged By_discogs,Written-By_discogs,Music By_discogs,Backing Vocals_discogs,Lyrics By_discogs,Synthesizer [Juno 106]_discogs,Piano_discogs,Synthesizer [Yamaha Dx7]_discogs,Vocals_discogs,Drums_discogs,Percussion_discogs,Composed By_discogs,Written By_discogs,Producer_discogs,Vocals [Vocal Sample]_discogs,Choir_discogs,Lead Guitar_discogs,Guitar [Lap Steel]_discogs,Trumpet_discogs,Violin_discogs,Performer [Dj]_discogs,Trombone_discogs,Bass Guitar_discogs,Guitar [Solo]_discogs,Cello_discogs,Tenor Saxophone_discogs,Banjo_discogs,Album_year_title_discogs,All_albums_discogs
Psihomodo Pop,Psihomodo Pop,Hej Ho - Hej Ho,,Demo + Live 26.10.1986.,1986.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1986.0-Demo + Live 26.10.1986.,1986.0-Demo + Live 26.10.1986.
Psihomodo Pop,Psihomodo Pop,"Live 26.10.-86. ""Lap.""",28:46,Demo + Live 26.10.1986.,1986.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1986.0-Demo + Live 26.10.1986.,1986.0-Demo + Live 26.10.1986.
Psihomodo Pop,Psihomodo Pop,Evropa,,Demo + Live 26.10.1986.,1986.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1986.0-Demo + Live 26.10.1986.,1986.0-Demo + Live 26.10.1986.
Psihomodo Pop,Psihomodo Pop,Dizanje,,Demo + Live 26.10.1986.,1986.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1986.0-Demo + Live 26.10.1986.,1986.0-Demo + Live 26.10.1986.
Psihomodo Pop,Psihomodo Pop,Skidanje,,Demo + Live 26.10.1986.,1986.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1986.0-Demo + Live 26.10.1986.,1986.0-Demo + Live 26.10.1986.
Psihomodo Pop,Psihomodo Pop,Istočni Vjetar,,Demo + Live 26.10.1986.,1986.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1986.0-Demo + Live 26.10.1986.,1986.0-Demo + Live 26.10.1986.
Psihomodo Pop,Psihomodo Pop,Leteći Odred,,Demo + Live 26.10.1986.,1986.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1986.0-Demo + Live 26.10.1986.,1986.0-Demo + Live 26.10.1986./nan-Godina Zmaja/1990.0-Briljant Video-Pop/nan-Best Of/nan-Das Beste Aus Der Grossen Hit Parade (Die Schönen Melodien '98)/nan-Tekućih 20/2004.0-Tekućih 20/2007.0-The Ultimate Collection/2010.0-'Ste Dobro?/2010.0-'Ste Dobro?/2015.0-Original Album Collection/2017.0-Live - Unpljugd 2 Gavella/2017.0-Live - Unpljugd 2 Gavella
Psihomodo Pop,Psihomodo Pop,Nebo,3:07,Nebo / Frida,1988.0,Ivan Piko Stančić,Davor Gobac,,,,,,,,,,,,,,,,,,,,,,,,,,1988.0-Nebo / Frida,1988.0-Nebo / Frida/nan-Godina Zmaja/nan-ZG Rock Forces Live!/1990.0-Briljant Video-Pop/1993.0-Mix - 93/nan-Unpljugd/nan-Best Of/nan-Tekućih 20/2007.0-The Ultimate Collection/2010.0-'Ste Dobro?/2010.0-'Ste Dobro?/2015.0-Original Album Collection/2015.0-Original Album Collection/2017.0-Live - Unpljugd 2 Gavella/2017.0-Live - Unpljugd 2 Gavella/2020.0-Greatest Hits Collection
Psihomodo Pop,Psihomodo Pop,Frida,3:35,Nebo / Frida,1988.0,Vlatko Čavar,Davor Slamnig,,,,,,,,,,,,,,,,,,,,,,,,,,1988.0-Nebo / Frida,1988.0-Nebo / Frida/nan-Godina Zmaja/nan-Live In Amsterdam/1990.0-Briljant Video-Pop/nan-Unpljugd/nan-Best Of/nan-Das Beste Aus Der Grossen Hit Parade (Die Schönen Melodien '98)/nan-Tekućih 20/2004.0-Tekućih 20/2007.0-The Ultimate Collection/2010.0-'Ste Dobro?/2010.0-'Ste Dobro?/2015.0-Original Album Collection/2015.0-Original Album Collection/2017.0-Live - Unpljugd 2 Gavella/2017.0-Live - Unpljugd 2 Gavella/2020.0-Greatest Hits Collection
Psihomodo Pop,Psihomodo Pop,Ja Volim Samo Sebe,3:53,Ja Volim Samo Sebe / Ramona,1988.0,Ivan Piko Stančić,,Smiljan Paradiš,,,,,,,,,,,,,,,,,,,,,,,,,1988.0-Ja Volim Samo Sebe / Ramona,1988.0-Ja Volim Samo Sebe / Ramona/nan-Godina Zmaja/nan-ZG Rock Forces Live!/1990.0-Briljant Video-Pop/1993.0-Mix - 93/nan-Best Of/nan-Das Beste Aus Der Grossen Hit Parade (Die Schönen Melodien '98)/nan-Tekućih 20/2007.0-The Ultimate Collection/2010.0-'Ste Dobro?/2010.0-'Ste Dobro?/2015.0-Original Album Collection/2017.0-Live - Unpljugd 2 Gavella/2017.0-Live - Unpljugd 2 Gavella/2020.0-Greatest Hits Collection
Psihomodo Pop,Psihomodo Pop,Ona Strana,,Godina Zmaja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Godina Zmaja,nan-Godina Zmaja
Psihomodo Pop,Psihomodo Pop,Kad Sam Imao 16,5:00,Godina Zmaja,,Ivan Piko Stančić,,Smiljan Paradiš,Vlatko Čavar,Davor Gobac,,,,,,,,,,,,,,,,,,,,,,,nan-Godina Zmaja,nan-Godina Zmaja/nan-ZG Rock Forces Live!/1990.0-Briljant Video-Pop/1993.0-Mix - 93/nan-Unpljugd/nan-Best Of/2007.0-The Ultimate Collection/2010.0-'Ste Dobro?/2010.0-'Ste Dobro?/2015.0-Original Album Collection/2015.0-Original Album Collection/2017.0-Live - Unpljugd 2 Gavella/2017.0-Live - Unpljugd 2 Gavella/2020.0-Greatest Hits Collection
Psihomodo Pop,Psihomodo Pop,Nema Nje (Zauvijek),2:44,Godina Zmaja,,Ivan Piko Stančić,,Neven Kepeski,Suzi Marinković,Davor Gobac,,,,,,,,,,,,,,,,,,,,,,,nan-Godina Zmaja,nan-Godina Zmaja/nan-Best Of/2015.0-Original Album Collection/2020.0-Greatest Hits Collection
Psihomodo Pop,Psihomodo Pop,"Hej, Djevojko",2:30,Godina Zmaja,,Tigran Kalebota,,Johnny Ramone,Saša Radulović,Davor Gobac,,,,,,,,,,,,,,,,,,,,,,,nan-Godina Zmaja,nan-Godina Zmaja/nan-Best Of
Psihomodo Pop,Psihomodo Pop,Ova Strana,,Godina Zmaja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Godina Zmaja,nan-Godina Zmaja
Psihomodo Pop,Psihomodo Pop,Telegram Sam,3:42,Godina Zmaja,,Ivan Piko Stančić,,Marc Bolan,Vlatko Čavar,Davor Gobac,,,Krešimir Klemenčić,,Šime Kopola,Šime Kopola,,,,,,,,,,,,,,,,,nan-Godina Zmaja,nan-Godina Zmaja/nan-Live In Amsterdam/1990.0-Briljant Video-Pop/nan-Unpljugd/nan-Best Of/nan-Das Beste Aus Der Grossen Hit Parade (Die Schönen Melodien '98)/nan-Tekućih 20/2004.0-Tekućih 20/2007.0-The Ultimate Collection/2010.0-'Ste Dobro?/2010.0-'Ste Dobro?/2015.0-Original Album Collection/2015.0-Original Album Collection/2017.0-Live - Unpljugd 2 Gavella/2017.0-Live - Unpljugd 2 Gavella/2020.0-Greatest Hits Collection
Psihomodo Pop,Psihomodo Pop,Rano Jutro,2:44,Godina Zmaja,,Saša Radulović,,Lou Reed,Saša Radulović,Davor Gobac,,,,,,,,,,,,,,,,,,,,,,,nan-Godina Zmaja,nan-Godina Zmaja/1990.0-Briljant Video-Pop/1993.0-Mix - 93/nan-Unpljugd/nan-Tekućih 20/2004.0-Tekućih 20/2007.0-The Ultimate Collection/2015.0-Original Album Collection/2015.0-Original Album Collection/2017.0-Live - Unpljugd 2 Gavella/2017.0-Live - Unpljugd 2 Gavella
Psihomodo Pop,Psihomodo Pop,Ona Vrišti Da Voli Me,3:03,Godina Zmaja,,Saša Radulović,,Saša Radulović,Vlatko Čavar,Davor Gobac,,,Krešimir Klemenčić,,,,,,,,,,,,,,,,,,,,nan-Godina Zmaja,nan-Godina Zmaja/nan-ZG Rock Forces Live!/1990.0-Briljant Video-Pop/1990.0-Briljant Video-Pop/1993.0-Mix - 93/nan-Best Of/2007.0-The Ultimate Collection/2015.0-Original Album Collection
Psihomodo Pop,Psihomodo Pop,Zelengaj 07.04.88.,0:36,Godina Zmaja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Godina Zmaja,nan-Godina Zmaja/2015.0-Original Album Collection
Psihomodo Pop,Psihomodo Pop,"I""m In Love With Gorbac",3:50,"I""m In Love With Gorbac / The Sky",1989.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1989.0-I""m In Love With Gorbac / The Sky","1989.0-I""m In Love With Gorbac / The Sky"
Psihomodo Pop,Psihomodo Pop,The Sky,3:05,"I""m In Love With Gorbac / The Sky",1989.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1989.0-I""m In Love With Gorbac / The Sky","1989.0-I""m In Love With Gorbac / The Sky/2015.0-Original Album Collection"
Psihomodo Pop,Psihomodo Pop,No Fun!,2:08,Live In Amsterdam,,,,Iggy Pop,,Iggy Pop,,,,,,,,,,,,,,,,,,,,,,,nan-Live In Amsterdam,nan-Live In Amsterdam
Psihomodo Pop,Psihomodo Pop,Aids Go Home!,1:26,Live In Amsterdam,,,,Davor Gobac,,,,,,,,,,,,,,,,,,,,,,,,,nan-Live In Amsterdam,nan-Live In Amsterdam
Psihomodo Pop,Psihomodo Pop,Sunday Morning (Rano Jutro),2:38,Live In Amsterdam,,,,Lou Reed,,,,,,,,,,,,,,,,,,,,,,,,,nan-Live In Amsterdam,nan-Live In Amsterdam
Psihomodo Pop,Psihomodo Pop,Polako-Polako!,3:28,Live In Amsterdam,,,,Saša Radulović,,,,,,,,,,,,,,,,,,,,,,,,,nan-Live In Amsterdam,nan-Live In Amsterdam
Psihomodo Pop,Psihomodo Pop,Sky,3:38,Live In Amsterdam,,,,Davor Gobac,,,,,,,,,,,,,,,,,,,,,,,,,nan-Live In Amsterdam,nan-Live In Amsterdam
