,Song_ID,Song,Lyrics
13,hluW+yB/_1_13,Dobro došla ljubavi,"Proljeća, zime, jeseni, uvijek si bila u meni. Vrijeme je nas razdvojilo, i ponovo nas spojilo. Sve je uzalud, za tobom sam lud. Godinama dolaziš u san, k'o sudbina upisana u moj dlan. Vrijeme je nas razdvojilo, i ponovo nas spojilo. Sve je uzalud, za tobom sam lud. Dobro došla ljubavi, dobro došla jedina, dobro mi se vratila, nakon svih tih godina. Dobro došla ljubavi, dobro došla jedina, nakon svih tih godina. Sve nam se moglo desiti, uvijek sam znao gdje si ti. Sve zime sam prebolio, jer uvijek sam te volio. Sve je uzalud, za tobom sam lud. dobro dosla ljubavi, dobro dosla jedina, dobro mi se vratila, nakon svih tih godina. dobro dosla ljubavi, dobro dosla jedina, nakon svih tih godina. Dobro došla ljubavi, dobro došla jedina, dobro mi se vratila. Ni sreće, ni tuge, do tebe nema mi druge. Ni želje, ni volje, do tebe nema mi bolje. ni sreće, ni tuge... Sve nam se moglo desiti, uvijek sam znao gdje si ti."
14,hluW+yB/_1_14,Dodirni me,Hajde lutkice. Skini cipelice. Hajde ne stidi se. Igrajmo slatko je. Već bend prasi rock. A ti bi još da piješ sok. Hajde uzmi me. Igrajmo slatko je. Dodirni me. Hajde lutkice. Ustaj sa stolice. Pusti šminkanje. Probajmo udvoje. Možeš i bosa to. Ma baš bi nam i prijalo. Gledaj svi znoje se. Igrajmo slatko je... Dodirni me...
15,hluW+yB/_1_15,Dug je bio put (feat. Stoka),"Prosao sam sve, Balkan i L.A. pratile me moje pjesme vjerno vodile, kad imas dobar band samo reci hey. Marshall, Fender ili Gibson sve je to OK. Dug je bio put, Transatlantic let, vjezbao sam iza skole da me cuje svijet, imas dobar groove, budi uvijek cool, masina gazi, dobro pazi, samo good old school. Ne pjevam zato sto pjevaju svi, to je u krvi i poludi, ne sviram, mala da volis me ti, svira oluja u meni. Prosao sam sve Balkan i L.A. pratile me moje pjesme vjerno vodile, kad imas dobar band samo reci hey. Marshall, Fender ili Gibson sve je to OK. Jedan, dva, dva, sta je, dolazim iz grada, tvrdog rocka i bassa, turiranje motora, hladna piva, terasa, stara skola, do bola. Zele, kad mjuzu rola. Kozna jakna, crna, pogledi drugog spola, distorzija zvuka, gitara i ruka, citav zivot u mjuzi, za to radi mi cuka, mici se sa bine, brate, nemoj nas brukat´. Ubojstvo instrumentala, neces nas drukat´, lajkovi su slomljeni, zvucnici u plamenu, pravi rock je, braco, tu, vrana mi na ramenu, kosa preko ociju, napojnica barmenu. Vjerni svojem stilu, geni su u kamenu. Zele i Stole. Divlje jagode, brate, tragovi na sceni, a vukovi nas prate, cvrsta veza s publikom, show u kasne sate, zavrsava ujutro. Ostaje samo krater, ej"
16,hluW+yB/_1_16,Hopa-Cupa,"Ja hoću te kao zvijer. Što pjeni dok napaja vid. Ma gledaj, već dajem ti znak. Da za ples baš smo mrak. Reci mi, ma hej, ti daviš me. Ohladi na minut bar. Ma staću da budem fin. Al' opet ću preći na stvar. Odgurni stol, odluči se. Daj, daj. Odgurni stol, nije na zlo. O, hopa-cupa. O, samo probaj. O hopa-cupa ."
17,hluW+yB/_1_17,Jedina moja,Pogledaj u moje oči. Zašto skrivaš pogled taj. Pogledaj u moje lice. I pokaži osmijeh svoj. Djevojko u sutonu tihom. Pokraj rijeke što koračaš. S tužnom sjenom na licu svom. I kosom nježnom. I kosom plavom. Kao lan. Jedina moja tebi sviram ja. Jedina moja tebi pjevam ja
18,hluW+yB/_1_18,Kada te netko spomene,"Ponekad u moj san, sjećanje te dovodi. Jutrom sam rastrgan, dodir opet zaboli. Bez tebe, danima izgubljen, crtam ti ime usnama. Toliko usamljen noću, pričam sjenama za tebe. Kada te netko spomene, samo pogled sakrijem. Krik sa usta ne staje, bez tebe. Nevjerna požuda, traži samo utjehu. Druge sve, nesretne, skrate noć na jastuku bez tebe.  4X"
19,hluW+yB/_1_19,Kako si topla i mila,"Noć je čarobna samo ti i ja. Vjetar zaspao miris se osjeća. Privijaš se uz mene vidim drhtiš sva. Ja te grlim još jače i šapućetam. O, kako si topla i mila. Samo da znaš. O, kako si topla i mila. Samo da znaš. Prvi sunčev trag obasja nam tijela. Zadni dodir blag, kažeš to si htjela. I dok pratim te kući čudno čutiš usput. Kažeš moraš da ideš i okrećeš leđa"
20,hluW+yB/_1_20,Kap po kap,"Jednom kad sretneš me. To neću biti ja. Već samo uspomene. Mrve sjećanja. Samo prazna bol, sad je ostala. Prazna bol kajanja. I šta radis ti, nije važno mi. Jer kiša jesenja, podsjeća. Kap po kap, kiša sprema se. Samo da znaš, nisam lud. Da mislim na tebe. Kap po kap, opet padaće. Te duge kiše jesenje. Jednom kad dani ovi. Fino posive. Ne zovi mene ti. I ne traži me. Hladno srce meni dala si. Hladno srce, ostani. I s kim sada si, nije važno mi. Jer kiša jesenja, podsjeća. I šta radis ti, nije važno mi. Jer kiša jesenja, podsjeća."
21,hluW+yB/_1_21,Konji,"Oluja nad stepom svud, gromovi i strah, to je divljih konja kas i plameni dah. Krvava ih pjena sad obuzela sve, Grive se vijore čak, tu do neba sve. Konji vatreni. Konji vatreni. Vatreni. Divlji konji. Pokrije ih noću mir i zvjezdani san, al' su vihor-konji tu, čim osvane dan. Nebeski se trese svod od kopita svih, Ne mogu ih pratiti ni vjetrovi. Konji vatreni. Konj, vatreni. Vatreni. Divlji konji"
22,hluW+yB/_1_22,Krivo je more,"Ti, ti si ga upoznala jedne ljetne večeri. On, on te poljubio dok more se pjenilo. I ti si se zaljubila mada nisi htjela to. Krivo je more. Znaj ljeto je varljivo, a srce ti zavodljivo. Kući kad si došla ti, znala si da si u zabludi. A to veče uz mora šum od sreće sva si blistala. Krivo je more"
