Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Album_title_discogs,Album_year_discogs,Written-By_discogs,Backing Vocals_discogs,Guitar_discogs,Music By_discogs,Rap_discogs,Lyrics By [Rap]_discogs,Programmed By_discogs,Recorded By_discogs,Mixed By_discogs,Arranged By [Backing Vocals]_discogs,Saxophone_discogs,Lyrics By_discogs,Producer_discogs,Remix_discogs,Arranged By_discogs,Keyboards_discogs,Drums [Def]_discogs,Piano_discogs,Engineer_discogs,Remix [Credited To]_discogs,Arranged By [Co-arranged]_discogs,Featuring_discogs,Arranged By [Additional]_discogs,Arranged By [Vocals]_discogs,Edited By [Vocals]_discogs,Bass_discogs,Percussion_discogs,Drums_discogs,Other [Sound Supervisor]_discogs,Mixed By [Assistant]_discogs,Edited By_discogs,Recorded By [Instruments]_discogs,Recorded By [Vocals]_discogs,Vocals [Duet]_discogs,Featuring [Vocals]_discogs,Acoustic Guitar_discogs,Double Bass_discogs,Mandolin_discogs,Arranged By [Brass]_discogs,Trumpet_discogs,Edited By [Drums]_discogs,Piano [Jazz]_discogs,Accordion_discogs,Mixed By [Vocals]_discogs,Organ [Hammond]_discogs,Recorded By [Hammond Organ]_discogs,Arranged By [Strings]_discogs,Drums [Asma Davul]_discogs,Other [Duduk]_discogs,Strings_discogs,Chorus_discogs,Orchestrated By [Brass]_discogs,Orchestrated By [Strings]_discogs,Cello_discogs,Violin_discogs,Mixed By [Instruments]_discogs,Supervised By [Sound]_discogs,Co-producer_discogs,Vocals [Guest]_discogs,Trombone_discogs,Harmonica_discogs,Guitar [Pedal Steel]_discogs,Synthesizer_discogs,Electric Guitar_discogs,Programmed By [Keyboards_discogs,Additional]_discogs,Bass Guitar_discogs,Engineer [Pre-production]_discogs,Album_year_title_discogs,All_albums_discogs
Nina Badrić,Nina Badrić,One Day,,Me,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Me,nan-Me
Nina Badrić,Nina Badrić,"Wanna Love Ya, Baby",,Me,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Me,nan-Me
Nina Badrić,Nina Badrić,Saturday Night,,Me,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Me,nan-Me
Nina Badrić,Nina Badrić,Wild Thing,,Me,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Me,nan-Me
Nina Badrić,Nina Badrić,Wonderful Journey,,Me,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Me,nan-Me
Nina Badrić,Nina Badrić,One And Only,,Me,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Me,nan-Me
Nina Badrić,Nina Badrić,Baby,,Me,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Me,nan-Me
Nina Badrić,Nina Badrić,Fly Away,,Me,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Me,nan-Me
Nina Badrić,Nina Badrić,Whatever It Takes,,Me,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Me,nan-Me
Nina Badrić,Nina Badrić,Standing Alone,,Me,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Me,nan-Me
Nina Badrić,Nina Badrić,Lonely,,Me,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Me,nan-Me
Nina Badrić,Nina Badrić,Time After Time (Pop Up Mix),,Me,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Me,nan-Me
Nina Badrić,Nina Badrić,One And Only (DJ Dado  FM Cut Mix),,Me,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Me,nan-Me
Nina Badrić,Nina Badrić,One & Only (DJ Dado Extended Mix),6:24,One & Only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-One & Only,nan-One & Only
Nina Badrić,Nina Badrić,One & Only (DJ Dado FM Cut Rmx),3:51,One & Only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-One & Only,nan-One & Only
Nina Badrić,Nina Badrić,One & Only (DJ Dado Extreme Dub Rmx),4:57,One & Only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-One & Only,nan-One & Only
Nina Badrić,Nina Badrić,One & Only (Go-Lab Extended Rmx),5:25,One & Only,,,,,,,,,,Luciano Bernini,,,,,Simone Gritti,Luciano Bernini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-One & Only,nan-One & Only
Nina Badrić,Nina Badrić,One & Only (Go-Lab Radio Edit),4:21,One & Only,,,,,,,,,,Luciano Bernini,,,,,Simone Gritti,Luciano Bernini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-One & Only,nan-One & Only
Nina Badrić,Nina Badrić,One & Only (Party People Extended Rmx),4:59,One & Only,,,,,,,,,,Maurizio Pezzotta,,,,,Party People (3),Maurizio Pezzotta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-One & Only,nan-One & Only
Nina Badrić,Nina Badrić,Tko Si Ti,4:38,Unique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Unique,nan-Unique/nan-Collection/nan-Tko Si Ti/nan-The Best Of Nina/nan-Platinum Collection
Nina Badrić,Nina Badrić,Nije Mi Svejedno,4:22,Unique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Unique,nan-Unique/nan-Collection/nan-Tko Si Ti/nan-The Best Of Nina/nan-Ljubav Za Ljubav/nan-Ljubav Za Ljubav/nan-Platinum Collection
Nina Badrić,Nina Badrić,Jedino Moje,3:50,Unique,,,,Željko Banić Bane,,,,Ante Pecotić,,,,,,,,Ante Pecotić,Predrag Martinjak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Unique,nan-Unique/nan-Tko Si Ti
