Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Album_title_discogs,Album_year_discogs,Written-By_discogs,Backing Vocals_discogs,Guitar_discogs,Music By_discogs,Rap_discogs,Lyrics By [Rap]_discogs,Programmed By_discogs,Recorded By_discogs,Mixed By_discogs,Arranged By [Backing Vocals]_discogs,Saxophone_discogs,Lyrics By_discogs,Producer_discogs,Remix_discogs,Arranged By_discogs,Keyboards_discogs,Drums [Def]_discogs,Piano_discogs,Engineer_discogs,Remix [Credited To]_discogs,Arranged By [Co-arranged]_discogs,Featuring_discogs,Arranged By [Additional]_discogs,Arranged By [Vocals]_discogs,Edited By [Vocals]_discogs,Bass_discogs,Percussion_discogs,Drums_discogs,Other [Sound Supervisor]_discogs,Mixed By [Assistant]_discogs,Edited By_discogs,Recorded By [Instruments]_discogs,Recorded By [Vocals]_discogs,Vocals [Duet]_discogs,Featuring [Vocals]_discogs,Acoustic Guitar_discogs,Double Bass_discogs,Mandolin_discogs,Arranged By [Brass]_discogs,Trumpet_discogs,Edited By [Drums]_discogs,Piano [Jazz]_discogs,Accordion_discogs,Mixed By [Vocals]_discogs,Organ [Hammond]_discogs,Recorded By [Hammond Organ]_discogs,Arranged By [Strings]_discogs,Drums [Asma Davul]_discogs,Other [Duduk]_discogs,Strings_discogs,Chorus_discogs,Orchestrated By [Brass]_discogs,Orchestrated By [Strings]_discogs,Cello_discogs,Violin_discogs,Mixed By [Instruments]_discogs,Supervised By [Sound]_discogs,Co-producer_discogs,Vocals [Guest]_discogs,Trombone_discogs,Harmonica_discogs,Guitar [Pedal Steel]_discogs,Synthesizer_discogs,Electric Guitar_discogs,Programmed By [Keyboards_discogs,Additional]_discogs,Bass Guitar_discogs,Engineer [Pre-production]_discogs,Album_year_title_discogs,All_albums_discogs
Nina Badrić,Nina Badrić,Istina (Night Mix),3:11,Godine Nestvarne,,Renata Šimić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Godine Nestvarne,nan-Godine Nestvarne
Nina Badrić,Nina Badrić,Godine Nestvarne (Club Mix),6:37,Godine Nestvarne,,Renata Šimić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Godine Nestvarne,nan-Godine Nestvarne
Nina Badrić,Nina Badrić,"Wanna Love Ya, Baby (Columbia Mix)",3:35,"Wanna Love Ya, Baby",1997.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1997.0-Wanna Love Ya, Baby","1997.0-Wanna Love Ya, Baby"
Nina Badrić,Nina Badrić,"Wanna Love Ya, Baby (Director's Mix)",4:45,"Wanna Love Ya, Baby",1997.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1997.0-Wanna Love Ya, Baby","1997.0-Wanna Love Ya, Baby"
Nina Badrić,Nina Badrić,"Wanna Love Ya, Baby (Club Ultra Mix)",4:44,"Wanna Love Ya, Baby",1997.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1997.0-Wanna Love Ya, Baby","1997.0-Wanna Love Ya, Baby"
Nina Badrić,Nina Badrić,"Wanna Love Ya, Baby (Pitch Down Mix)",3:57,"Wanna Love Ya, Baby",1997.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1997.0-Wanna Love Ya, Baby","1997.0-Wanna Love Ya, Baby"
Nina Badrić,Nina Badrić,"Wanna Love Ya, Baby (Phase One Mix)",3:30,"Wanna Love Ya, Baby",1997.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1997.0-Wanna Love Ya, Baby","1997.0-Wanna Love Ya, Baby"
Nina Badrić,Nina Badrić,Riding On A Meteorite (Halebob Mix),3:35,Riding On A Meteorite,1997.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997.0-Riding On A Meteorite,1997.0-Riding On A Meteorite
Nina Badrić,Nina Badrić,Riding On A Meteorite (Space Radio Mix),4:45,Riding On A Meteorite,1997.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997.0-Riding On A Meteorite,1997.0-Riding On A Meteorite
Nina Badrić,Nina Badrić,Riding On A Meteorite (The Journey),4:44,Riding On A Meteorite,1997.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997.0-Riding On A Meteorite,1997.0-Riding On A Meteorite
