,Song_ID,Song,Lyrics
10,JWLKah/6_1_10,Jel' ti reka 'ko,"Sve šta san o sebi zna. Šta san čuja, vidija. Viruj, sad san svatija. Da sve, da sve to ništa je. Čovik se upozna onda tek. Kada cilo srce drugom da. I prizna da je volija. . Jel' ti reka ko?. Jel' ti reka ko?. Jel' ti reka ko, onako iskreno?. Da bi za tebe umra ja i bez da trepnem. I opet rodija se samo da te sretnem. Jel' ti reka ko, onako iskreno?. Poznan te ka dobar dan. Znan ti duše svaki gram. Znan ti tilo napamet, za pet. Za sve sam druge zauzet. Teško mi je to i zamislit. Kakav bi to samo bio svit. U kom ću ja, u kom ću ja. Bez tebe bit. . Jel' ti reka ko?. Jel' ti reka ko?. Jel' ti reka ko, onako iskreno?. Da bi za tebe umra ja i bez da trepnem. I opet rodija se samo da te sretnem. Jel' ti reka ko, onako iskreno?. I Bog da razdili lipotu tvoju svud. Bilo bi je i na zemlji, bilo na nebu. Jel' ti reka ko, onako iskreno?"
11,JWLKah/6_1_11,Jedina,"Jedina, još te ima posvuda. Svaki dan je osuda, najgora. Prstima, kosu sam ti češljao. Tvojim tijelom veslao, noćima. Nisam se smijao, ne pamtim otkad. S društvom opijao, osjećao mlad. I oni mi govore, da nisi vrijedna ti. Šta živim jadno i bijedno. I bježim od sebe i njih, a briga me za svih...). Žalite me drugovi, prijatelji najbolji. Jer me ona ne voli, jer me ona ne voli. Žalite me moji svi, prijatelji najbolji. Jer ako neću biti njen, neka umrem isti tren. Umrem nevoljen. I jedina, još te ima posvuda. I svaki dan je osuda, najgora. Nisam se smijao, ne pamtim otkad. S društvom opijao, osjećao mlad. I oni mi govore, da nisi vrijedna ti. Šta živim jadno i bijedno. I bježim od sebe i njih, a briga me za svih...)"
12,JWLKah/6_1_12,Još Uvik Slipo Virujem,"Još uvik slipo virujen. Da vaka jubav puknit neće. Jer tako sebe smirujen. Jer tako vrime lipše teče. Ti nisi moja nemoš krit. Jer zakon šutnje tu ne važi. Srce se ne da privarit. I bez da kažeš rič, vatan te u laži. Daj mu dušu, daj mu svoje tilo. Laž za jubav to najbolje znaš. Ka da nikad ništa nije bilo. Ovu jubav ubijaš. Još uvik slipo virujen. U jubav divlju, pravu, ludu. Za koju vridi gladan bit. Za koju vridi ostarit, Živit i umrit. Daj mu dušu, daj mu svoje tilo. Laž za jubav, to najbolje znaš. Ka da nikad ništa nije bilo. Ovu jubav ubijaš. Šta me vuče još jubavi toj. S kojon proša san krv i suze i znoj. A šta me vuče da još san uvik tvoj"
13,JWLKah/6_1_13,Kad ostarim,"Ne vjeruj. Kad kažu da sam lud. Da me znaju. Od ko zna gdje. I ko zna kud. Reći će da gone mene. A boje se svoje sjene. Sjene ružne kao ljudska cud. Pobjegnu. Kad kažu da me znaju. Kad ti časnu riječ. Bez malo časti daju. Miševi su to u boci. Nisu moji to svjedoci. Njihove ih oči odaju. Trebaš mi ti, snagu mi daj. Ti budi moj početak i kraj. Umoran sam i malo me strah. Zagrli me, trebam tvoj dah. Trebaš mi ti, snagu mi daj. Budi moj put kroz trnje u raj. Kad utihnu svjetla i dim. Kad ostarim. Ne vjeruj. Kad kažu da sam tih. Da ne ječi pjesma moja. I moj stih. Ne leže im moje rime. Vjeruj nemam ništa s time. Kriv sam. Jer sam bolji ja od njih. Trebaš mi ti, snagu mi daj. Ti budi moj početak i kraj. Umoran sam i malo me strah. Zagrli me, trebam tvoj dah. Trebaš mi ti, snagu mi daj. Budi moj put kroz trnje u raj. Kad utihnu svjetla i dim. Kad ostarim. Ne mari. Za šapat što me vrijeđa. Hrabrih ratnika. Što napadaju s leđa. Ne ljuti se već ih žali. Jer su sami, jer su mali. Ljubav nisu niti upoznali. Zagrli me dok nas ima. Zagrli me ide zima. Vrijeme ipak dolazi po svih"
14,JWLKah/6_1_14,Kada krenu vlakovi (Idi),"Lako tebi ti se uvijek. Nekom vratiš. I bez riječi i bez volje. Niti da mu slažeš bolje. Da mu oči zatvoriš. Lako tebi sve ti želim. Sve ti dajem. Srebrn' mjesec iznad vode. Što u nebo zorom ode. Kada krenu vlakovi. Idi i ti s njima. Idi nek' te svatko ima. Kad me više ne voliš. Idi, idi putuj s njima. Idi južnim gradovima. Putuj dok ne ostariš. Samo ostavi me ti. Kada krenu vlakovi. Lako tebi sreću imaš. Na tom svijetu. Ja ni sestre niti brata. U samoći što me hvata. Kada krenu vlakovi"
15,JWLKah/6_1_15,Tko nam brani,"Nekad čini mi se. Da je propalo sve. Ništa neće da krene, Loše došlo je vrijeme, A ja ne vidim spas za nas. Pred-. Zato bježim od svih, Nekad napišem stih, Nekad odem do šanka, Al' je linija tanka. Između jave i sna, vrha i dna. I pjevam:. . Hej, dušo, ko nam brani. Da bude sve ko lani?. Na moju dušu stani i ostani. Čovjek pokvari sve, Prije il' kasnije. Ljubav nije za ljude. I neka bude šta bude, Neću pustit' ni glas za nas. Pred-. ...)"
16,JWLKah/6_1_16,Lakše mi je s njom,"Lakše mi je s njom, nego sa tobom. Dala mi je sve, jubav, sriću, dom. Kad se pokrijem, srcu otkrijem. Da mi fale dani sa tobom. Lakše mi je s njom, nego sa tobom. Dala mi je sve, jubav, sriću, dom. Kad se pokrijem, srcu otkrijem. Da mi fale dani sa tobom. Bože daj mi jubavi, da mi prođu dani ti. U mom srcu njen je dom. Na svom dlanu spavam s njom. Bože daj mi jubavi, da mi prođu dani ti. Kada zaspem sanjarim. Dane što smo živili. Kad se budim sada znam. Da smo isto nesritni"
17,JWLKah/6_1_17,Ljubav jedne žene,Nebo moje ljubavi prekrila je siva boja. I da mogu letjeti k'o što leti ljubav moja. U san došao bih njen. Tiho k'o u Betlehem. K'o u Betlehem. Ljubav jedne žene. Teče mi kroz vene. Smiri se pa krene. Kad je najgore. Ljubav jedne žene. Teče mi kroz vene. Smiri se pa krene. Kad je najgore. Kad je najgore
18,JWLKah/6_1_18,Ljubav sve pozlati,"Tvrda je kora od kruha. Što tjera nas na dalek put, Al' osmijeh od uha do uha... Uz tebe bih mogao svud. Kroz san sam vidio dan, taj dan. Kroz san ja čuo sam glas. Hodao ja sam na žici, Na žici od lakoga sna. I skrivao srce u ptici. I tebe sam tražio ja. Kroz san sam vidio dan, taj dan. Kroz san ja čuo sam glas... . Sve dobro u ljudima ti donosiš to!. U meni, u drugima, pobjeđuješ zlo. Zlatne poluge sve, sunce prosulo je. Tvome srcu da pozlati me. Sve dobro u ljudima ti donosiš to!. U meni, u drugima, pobjeđuješ zlo. Sve se može i zna, srce snagu ti da. Kada blagoslov dobiješ ti, Ljubav sve pozlati!. Na tvome toplome dlanu. Ja spustio sam glavu. Ko' da je cvijet. Ja nisam te pustio samu, jer dječjim očima si. Gledala svijet. Kroz san sam vidio dan, taj dan. Kroz san ja čuo sam glas... . Zime promrzle me, al' sam borio se. Da ti ugledam sjaj. Kada dotakne me, Ljubav sve pozlati!. Ljubav sve pozlati!. "
19,JWLKah/6_1_19,Lomi me,"Godine su pomele vragove i anđele, lipo sve mi odnile, nikad ništa vratile... Ljudi srce napukli, napukli pa pobigli, al' tvrd' ka stina ja san sad, star iz nutra vanka mlad... Di kod da san krenija, suputnik mi nevolja... Ne znan di će odvesti staza ove mladosti... Čudni ljudi žive tu, sve šta vole, razapnu, al' tvrd ka stina ja san sad, star iz nutra vanka mlad... Jer lomi, lomi me, šta mi nema, nema nje, šta mi nema nje, i sve lipo ruši se, šta mi nema nje, šta mi nema nje..."
20,JWLKah/6_1_20,Mjesec iznad oblaka,"U tajnom gradu srca mog, skrivenom u predgrađu, ja čuvam tebe najdraža, da mi te ne pronađu. Bez tebe ja sam nevažan, bez tebe, ja sam samo zrak, ko' mjesec iznad oblaka, ti mi svjetliš u moj mrak. Od pogleda ja sakrivam, tvoje osmjehe i plač, da ne bi nas razdvojio, tuđe ljubomore mač. g. Živim, živim za tebe, živio bih i ranije, sve nek' ide, samo ti, ostani, ostani. Spavaj, spavaj budi tu, na mom toplom ramenu, sve nek' ide, samo ti, ostani, ostani. Na zidu moga sivila, ti si slika najljepša, što život mi produžuje, što mi snagu poklanja. . Ko' mjesec iznad oblaka, čuvam ljubav najljepšu, da ljudi je ne pronađu, da mi je ne oduzmu. "
21,JWLKah/6_1_21,Moje zlato,"Prije tebe život moj. Pucanj bija je u prazno, I sve druge ne stanu. Ni u rubriku pod razno"". Tvoji otisci su tu. Na mome srcu ka' na čaši, Prava jubav nikad ne promaši. Skupa smo se smijali, Skupa plakali bez stida. Sad san ka' i vojnik ja. Koji epolete skida. I znan da nisan svetac, i znan da iman miljun mana, Al' te volin .Sve do zadnjeg dana. KO ĆE NEGO JA. MOJE ZLATO JUBIT?. OĆU DA SE ZNA, EJ, DA SE ZNA. DA VOLIN TE JOŠ. VOLIN ZAPOLUDIT. Kunen ti se, jednu stvar, Gori nisan moga bit, Dok me nisi dotakla. Ja san bija gluv i slip. Jer ništa mi nije od nas važnije..."
22,JWLKah/6_1_22,"More i ja, more i ti","Pobić' ću noćas u note i stih. Jer još te ima u svakon od njih. Tamo diše još sve šta znači mi. More i ja, more i ti. Čovik se rodi i umire sam. Al' postoji misto di siguran san. Tamo diše još sve šta znači mi. More i ja, more i ti. Ja još sam tvoj, još me ova jubav tuče. Ka' i grom. Ja još sam tvoj, dok me muče glad i žeđ. Za tobom. Još je moje more tvome vitru dom. Čovik se rodi i umire sam. Al' postoji misto di siguran sam. Tamo diše još sve šta znači mi. More i ja, more i ti. Ja još sam tvoj, još me ova jubav tuče. Ka' i grom. Ja još sam tvoj, dok me muče glad i žeđ. Za tobom. Još je moje more tvome vitru dom"
23,JWLKah/6_1_23,Najteža rič,"Ponovno si bez da san prista. Kroz moj život krenila. I u srcu mom si pronašla mista. Šta san za te čuva ja. A prid sviton ja san Bogon se klea. Da san sve tvoje spalija. I zbog onog šta san za tebe proša. Da si za me umrla. Znaš od onda kad san za tebe cvita. Kad san lip dan po tebi zva. I zbog tebe kad san zamalo umra. Rekupera se nisan ja. I ne spominjen te nigdi i nikon. Progucan rič kad krene val. A sve su samo lutke sa tvojon slikon. S kojon guran ovaj bezimeni dan. I dođe mi da poludin. Jer život ne ide bez tebe, bez tebe. I dođe mi da poludin. Di ponos caruje, tu jubav neće prić. Di ponos caruje oprosti mi je najteža rič"
24,JWLKah/6_1_24,Ne boli me,"Tvoje srce bilo je prvi susid od moga. Budilo me jutrom priko prozora. Ali sudbine staklo palo je. I puklo je, I puklo je. Na dvoje. Skupija san hrabrost svu. Cili svit u kuferu. I dvi tvoje suze na mom prozoru. Ali nisan zna konope držat ja. Konope šta srca su nan vezala. Ne boli me, ne boli me. Šta san bez sriće, šta san bez nje. Nije šta život san ranija svoj, Nego san isto baš isto ka i moj. Ja satra cili život tvoj"
25,JWLKah/6_1_25,Ne znan za se,"Ne znan za se ne znan za se, samo rijetko ja se sastavim, živ sam samo živ sam samo, kad se s tobom zamislim. Ne znan za se ne znan za se, samo rijetko ja se sastavim, slomit će me jutra plava, ako ja bez tebe ostarim. Kad te Bog u dušu takne, ka šta si mene ti, i na uho nešto šapne, šta ti život promini. Stavi srca dva u jedno, to za život dosta je, kad te jubav prave žene, dotakne. Ne znan za se ne znan za se, samo rijetko ja se sastavim, živ sam samo živ sam samo, kad se s tobom zamislim. Ne znan za se ne znan za se, samo rijetko ja se sastavim, slomit će me jutra plava, ako ja bez tebe ostarim. Stavi srca dva u jedno, to za život dosta je, kad te jubav prave žene, dotakne. Ne znan za se ne znan za se, samo rijetko ja se sastavim, slomit će me jutra plava, ako ja bez tebe ostarim. slomit će me jutra plava, ako ja bez tebe ostarim. Ne znan za se ja ne znan za se. Ne znan za se ja ne znan za se... Ne znan za se ja ne znan za se, samo rijetko ja se sastavim"
26,JWLKah/6_1_26,Neće nas zauvik bit,"Neće nas, neće nas zauvik bit. Trošin se i živin. Razlog da se smirin. Ja ne vidin. Neće nas, neće nas zauvik bit. Bija bos, il bija car. Moj je život dar-mar. Al' je živit najbolja stvar. Prolazi, prolazi, prolazi sve. Da san ti, živote, sve od sebe. Sad u zadnji džep. Za me stavi još minuta pet. Pa da vratin sve. Prvu ljubav, smij, veselje. Ionako sve je bez ljubavi prazno, Prolazno... Neće nas, neće nas zauvik bit. Trošin se i živin. Razlog da se smirin. Ja ne vidin. Neće nas, neće nas zauvik bit. Bija bos, il' bija car. Moj je život dar-mar. Al' je živit najbolja stvar. Pa da vratin sve. Opet zoven kumpaniju. Pa da kontra sviju. Cilo srce damo jer znamo. Neće nas zauvik bit..."
27,JWLKah/6_1_27,Nek pisma ostane,"Možda je bilo rana. Al' rane zacijele. A tuge lipih dana. Mene su načele. Bilo je suza, vina. Život ukrade sve. Al' srce nije stina. Vrime ga razbije. Ljudi nek' vas čuva Bog. Ostavljan van pismu. Ka' komad srca svog. I nek ona vrati me. Vrati dane, dane. Kad ste bili kraj mene. Život bija mi je drag. Ostavljan vam pismu. Ka' zvizda nebom trag. I nek' ona vrati me. Vrati dane, dane. Kad ste bili kraj mene. Završi svaka priča. Polako nestane. Kad gasne moja svića. Nek' pisma ostane"
28,JWLKah/6_1_28,Nevista,"Da si, da si moja nevista. Ne bi prazna bila postelja. Od moga tila. Ne bi sad kad život privrtim. Ima želju da sve ostavim. Da još jednon okusin. Misno vino s tvojih usana. Bog i loza da. Da me opija. Pet, šest dana još bi patija. Sedmi puka ja pa te molija. Da mi budeš ti moja nevista. Da mi budeš ti moja nevista. Da si, da si moja nevista. Ne bi prazna bila postelja. Od moga tila. Ne bi sad kad život privrtim. Ima želju da sve ostavim. Da još jednon okusin. . Misno vino s tvojih usana. Bog i loza da. Da me opija. Pet, šest dana još bi patija. Sedmi puka ja pa te molija. Misno vino s tvojih usana. Bog i loza da. Da me opija. Pet, šest dana još bi patija. Sedmi puka ja pa te molija. Da mi budeš ti moja nevista. Da mi budeš ti moja nevista. "
29,JWLKah/6_1_29,"Ni Mrvu Sriće (I Pojdi, Pojdi Za Mene)","Zlatna ti zora bilo lice jubi, Ka rosa cviće, ka rosa cviće. Kad lipo sanjaš zašto mi te budi, Zašto već sviće, zašto već sviće... Prid tobom kleče anđeli I judi, Moja ćeš biti, tako nebo sudi. Ti pojdi, pojdi za mene, Jer toliko te jubin. I pojdi, pojdi za mene, Da kraj tebe se budin . Ni mrvu sriće ja ne bi ima. Da mi te nima. Zlatna ti kosa pala sa kušina, Na moje rame, na moje rame. Od mijun ruža jedna dušu ima. I cvita za me I cvita za me..."
30,JWLKah/6_1_30,Nisam više ja sa njon,"Nisan više ja sa njon. Ne smin naglas reći to. Da se ne čuje kada zaplačen. I kad zadrćen za njon. Nisan više ja sa njon. Ne smin naglas reći to. Svi pomozite, svi joj recite. Da ću umrit s tugon ton. Nisan više ja sa njon. Ide život šta ću s njin. Bez nje ja ne postojin. Njeno tilo fali mon. Spavan ja sa nemiron"
31,JWLKah/6_1_31,Odlucio sam slijediti Krista,"Ljubavlju vjecnom ljubim te, zato ti sacuvah milost. Odlucio sam slijediti Krista, odlucio sam slijediti Krista, odlucio sam slijediti Krista, necu se vratit' nikada. Da niko nece ja idem za njim, da niko nece ja idem za njim, da niko nece ja idem za njim, necu se vratit' nikada. Krist je preda mnom, a svijet je za mnom. Krist je preda mnom, a svijet je za mnom. Krist je preda mnom, a svijet je za mnom, necu se vratit' nikada. Aleluja, aleluja, aleluja, aleluja, aleluja, aleluja, aleluja, aleluja, aleluja, aleluja, aleluja. Uzmite sav svijet, dajte mi Krista, uzmite sav svijet, dajte mi Krista, uzmite sav svijet, dajte mi Krista, necu se vratit' nikada"
