Song_ID,Artist,Artist_diskografija,Song_tekstovinet,Views_tekstovinet,Lyrics_tekstovinet,Url_tekstovinet,Writer_lyricstranslate,Song_lyricstranslate,EngTitle_lyricstranslate,Album_lyricstranslate,Lyrics_lyricstranslate,EngLyrics_lyricstranslate,Url_lyricstranslate
CDOhygHn_1_48,Najbolji Hrvatski Tamburaši,Najbolji Hrvatski Tamburaši,"Hej, ridjane",7157,"Hej, ridjane, tugo moja
gdje su stara kola tvoja
i ornice i plugovi 
i praporci i snijegovi

Hej, ridjane, tugo moja
izdala te sela tvoja
i lenije i drumovi 
i svatovi i kumovi
","https://tekstovi.net/2,610,7189.html",,,,,,,
CDOhygHn_1_49,Najbolji Hrvatski Tamburaši,Najbolji Hrvatski Tamburaši,"Hrvati, Hrvatska vas zove",8473,"Slavonac sam, time se ponosim
davno ime od predaka nosim
Hrvatska je domovina moja
ej Slavonko, i moja i tvoja

Domovino, u srcu te nosim
domovino, s tobom se ponosim
cuvam tvoje livade i staze
ne dam da te tudje noge gaze

Ej Hrvati tamo u tudjini
vratite se svojoj domovini
vratite se na ognjiste svoje
ej Hrvati, Hrvatska vas zove","https://tekstovi.net/2,610,10397.html",,,,,,,
CDOhygHn_1_50,Najbolji Hrvatski Tamburaši,Najbolji Hrvatski Tamburaši,I Dunav laze,14156,"Otkad te nema k'o beskucnik lutam
po ulici skupljam opalo granje
da ugrijem dusu koja je prazna
a nade ja imam, sve manje i manje

Ref.
I Dunav laze, ako ti kaze
da ima ga vise od suza mojih
jer nik'o ne zna, pa ni sam Dunav
koliko sam zeljan usana tvojih
 
Pitaju noci, zasto te nema
zidovi bijeli, placu za tobom
jer tvoje rijeci ne cuju vise
a najvise placu jer rekla si zbogom
","https://tekstovi.net/2,610,11288.html",,Dunav,Danube,,"Otkad te nema, k'o beskućnik lutam
po ulici skupljam, opalo granje
da zagrijem dušu koja je prazna
al' nade ja imam, sve manje i manje. I Dunav laže, ako ti kaže
da ima ga više od suza mojih
jer niko ne zna, pa ni sam Dunav
koliko sam željan usana tvojih. Pitaju noći, zašto te nema
zidovi beli plaču za tobom
jer tvoje reči ne čuju više
al' najviše plaču, jer rekla si zbogom. I Dunav laže, ako ti kaže
da ima ga više od suza mojih
jer niko ne zna, pa ni sam Dunav
koliko sam željan usana tvojih","Ever since you've been gone, I wander like a homeless man
Through the streets I collect, fallen down branches
To warm a soul that's empty
But I have, less and less, hope. The Danube is lying too, if it tells you
That there's more of him then there are my tears
'Cause no one knows, even the Danube itself
How much I yearn, for your lips. The nights ask, why you're not here
White walls, weep for you
'Cause your words no longer hear
Yet cry the most, for you have said goodbye",https://lyricstranslate.com/en/dunav-danube.html-3
CDOhygHn_1_51,Najbolji Hrvatski Tamburaši,Najbolji Hrvatski Tamburaši,Iznad polja makova,14785,"Kazi gdje su ratnici
gdje su davni snovi
kazi gdje su grobovi
da li znade tko

Iznad polja makova
blagi lahor piri
zauvijek ce zivjeti
hrvatski ratnici
 
Dal' ih cvijece pokriva
il' divlja trava
dal' ce bit' jos grobova
kad ce prestat' to

Kazi gdje su ratnici
tko im lezaj sprema
kazi gdje su grobovi
da li znade tko
","https://tekstovi.net/2,610,7424.html",,,,,,,
CDOhygHn_1_52,Najbolji Hrvatski Tamburaši,Najbolji Hrvatski Tamburaši,Ja polako pijem,14310,"Moj djed nikad nije pio
nikad pio sirotinja bio

A (Jer) ja polako pijem 
pio sam i pit' cu
i siroma' bio sam i bit cu

Ni moj otac nikad nije pio
nikad pio i siroma' bio

Meni moji nista nisu dali
nemam puno al' mi i ne fali
","https://tekstovi.net/2,610,7581.html",,,,,,,
CDOhygHn_1_53,Najbolji Hrvatski Tamburaši,Najbolji Hrvatski Tamburaši,Ja sam gazda Joza,5518,"U svom selu gazda
bio sam i bit cu
u birtiji uvijek 
pio sam i pit cu

Ja sam gazda Joza 
meni rodi loza 
meni rodi grozdje 
kad u krcmu dodjem

U zivotu covjek 
bio sam i bit cu
predajem se samo 
zenama i picu
","https://tekstovi.net/2,610,7036.html",,,,,,,
CDOhygHn_1_54,Najbolji Hrvatski Tamburaši,Najbolji Hrvatski Tamburaši,Ja sam taj iz Cadjavice,4840,"Marica u Osijek otisla
u mom srcu tuga ostala

Ej, Maro, ej, Marice
dusa mi iz Cadjavice
za tobom u Osijek putuje
 
Ej, Maro, ej, Marice
ja sam taj iz Cadjavice
sto za tobom tako tuguje

Marica me majko izdade
a dao bi' joj jutro livade

Dao bi' joj osam jutara
samo da me nije varala
","https://tekstovi.net/2,610,7421.html",,,,,,,https://lyricstranslate.com/en/language/english-artists
CDOhygHn_1_55,Najbolji Hrvatski Tamburaši,Najbolji Hrvatski Tamburaši,"Ja sam uvik, osim svita",5026,"Kazu da sam najgori
neka ih, neka ih
bas me glava zaboli
za sve njih, za sve njih

Ja sam uvik, osim svita
skitnica sto samo skita
briga me sto selo laje
radim uvik sve po svome
da ugodim tilu mome
da mi zivot dulje traje
 
Neka sam becarina najveca, najveca
neka mi je birtija najpreca, najpreca
pustite si kcerkama na volju, na volju
ukrast' cu vam svejedno najbolju, najbolju
","https://tekstovi.net/2,610,7876.html",,,,,,,
CDOhygHn_1_56,Najbolji Hrvatski Tamburaši,Najbolji Hrvatski Tamburaši,Jabuka stara,7810,"Usanila je jabuka stara
ni dide moga sad nema vise
uzalud pcele trazit ce cvice
sinovi moji, didine price

Otkad ja pamtim, kaz'o je dida
jabuka raste na kraj sljivika
pod njom svinjari slaninu pekli
pricali sto vec stoput su rekli
 
Ref. 2x
Aj, moja najmilija
starovirska Sokadija

Jabuka zrila kad zito sara
i polje prima boju od zlata
pod njom mi dida pricao o drugu
kojeg izgubi za vrime rata

Jabuka stoji, ne lista vise
jos stari korijen vjetru prkosi
didina dusa pod njim odmara
i moje misli u proslost nosi

Ref. 3x","https://tekstovi.net/2,610,24875.html",,,,,,,
CDOhygHn_1_57,Najbolji Hrvatski Tamburaši,Najbolji Hrvatski Tamburaši,Jedan stari kontrabas,5615,"Jedan stari kontrabas
izgubio dobar glas
obis'o je sve kavane
sve bircuze i mejane
lutao je svud po svijetu
i po kisi, i po snijegu
veselio mnoge snase
kartarose i birtase
 
Svirali ga begesari
nekad mladi, nekad stari
sipali su u njeg' vina
spricer piva i rakije
a beges k'o svaki beges
samo svira i tuguje

Ali jedan lipi sokac
crni Mata iz Stitara
uz'o beges pod svoj ajer
naglanc'o ga k'o fijaker
skinuo mu staru zicu
promijenio kobilicu
naglanc'o mu sve civije
pa se beges samo smije

I sad Mata cuva beges
miluje ga k'o djevojku
jos kad netko sale radi
mlatne banku ili stotku
pa da vidis moj djerdane
svira beges dok ne svane
","https://tekstovi.net/2,610,7482.html",,,,,,,
