Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Written-By_discogs,Album_title_discogs,Album_year_discogs,Lyrics By_discogs,Arranged By_discogs,Music By_discogs,Backing Vocals_discogs,Written By_discogs,Conductor_discogs,Orchestra_discogs,Performer_discogs,Choir_discogs,Ensemble_discogs,Lyrics By [Rendered From German]_discogs,Lyrics By [Rendered from English]_discogs,Adapted By (Text)_discogs,Transferred By_discogs,Adapted By_discogs,Music By [Miscredited]_discogs,Music By [Uncredited]_discogs,Engineer_discogs,Producer_discogs,Backing Band_discogs,Guest_discogs,Composed By_discogs,Featuring_discogs,Album_year_title_discogs,All_albums_discogs
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,Kauboj Braco,2:25,,Stop Za Bajke,1989.0,Nino Škrabe,Željko Nikolin,Josip Cvitanović,,,,,,,,,,,,,,,,,,,,,1989.0-Stop Za Bajke,1989.0-Stop Za Bajke
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,Ko To Kaže,2:15,,Stop Za Bajke,1989.0,Dragan Radulović,Dragan Nikolić,Novak Radulović,,,,,,,,,,,,,,,,,,,,,1989.0-Stop Za Bajke,1989.0-Stop Za Bajke
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,Hrvatski Božić,3:45,,Hrvatski Božić,,,,,,,,,,,,,,,,,,,,,,Krunoslav Kićo Slabinac,,,nan-Hrvatski Božić,nan-Hrvatski Božić
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,Sklopi Blage Očice,4:32,,Hrvatski Božić,,,,,,,,,,,,,,,,,,,,,,,,,nan-Hrvatski Božić,nan-Hrvatski Božić
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,"Dođi, Dođi Sveti Nikola",3:30,,Hrvatski Božić,,,,,,,,,,,,,,,,,,,,,,,,,nan-Hrvatski Božić,nan-Hrvatski Božić
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,Tiha Noć,3:05,,Hrvatski Božić,,,,,,,,,,,,,,,,,,,,,,,,,nan-Hrvatski Božić,nan-Hrvatski Božić
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,"Oj, Djetešce Moje Drago",3:35,,Hrvatski Božić,,,,,,,,,,,,,,,,,,,,,,,,,nan-Hrvatski Božić,nan-Hrvatski Božić
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,Nikolinje,3:25,,Hrvatski Božić,,,,,,,,,,,,,,,,,,,,,,,,,nan-Hrvatski Božić,nan-Hrvatski Božić
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,"O, Sanctisima",3:45,,Hrvatski Božić,,,,,,,,,,,,,,,,,,,,,,,,,nan-Hrvatski Božić,nan-Hrvatski Božić
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,Sretna Nova Godina,3:45,,Hrvatski Božić,,,,,,,,,,,,,,,,,,,,,,Krunoslav Kićo Slabinac,,,nan-Hrvatski Božić,nan-Hrvatski Božić
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,Za Tebe...,4:05,,Za Tebe...,1991.0,,,,,,,,,,,,,,,,,,,,,,,,1991.0-Za Tebe...,1991.0-Za Tebe...
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,Vukovar,3:10,,Za Tebe...,1991.0,,,,,,,,,,,,,,,,,,,,,,,,1991.0-Za Tebe...,1991.0-Za Tebe...
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,Samo Bog Zna,4:20,,Za Tebe...,1991.0,,,,,,,,,,,,,,,,,,,,,,,,1991.0-Za Tebe...,1991.0-Za Tebe...
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,Hrvatskoga Roda Sin,3:55,,Za Tebe...,1991.0,,,,,,,,,,,,,,,,,,,,,,,,1991.0-Za Tebe...,1991.0-Za Tebe...
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,Budi Sretna Slavonijo,3:22,,Za Tebe...,1991.0,,,,,,,,,,,,,,,,,,,,,,,,1991.0-Za Tebe...,1991.0-Za Tebe...
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,Pjesma Branitelja,4:20,,Za Tebe...,1991.0,,,,,,,,,,,,,,,,,,,,,,,,1991.0-Za Tebe...,1991.0-Za Tebe...
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,Moj Osijek Se Ne Da,3:30,,Za Tebe...,1991.0,,,,,,,,,,,,,,,,,,,,,,,,1991.0-Za Tebe...,1991.0-Za Tebe...
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,Hrvatski Barjak,3:45,,Za Tebe...,1991.0,,,,,,,,,,,,,,,,,,,,,,,,1991.0-Za Tebe...,1991.0-Za Tebe...
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,Zagreb I Ja,3:30,,Za Tebe...,1991.0,,,,,,,,,,,,,,,,,,,,,,,,1991.0-Za Tebe...,1991.0-Za Tebe...
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,Slavonac Sam,3:30,,Za Tebe...,1991.0,,,,,,,,,,,,,,,,,,,,,,,,1991.0-Za Tebe...,1991.0-Za Tebe.../1995.0-Ako Zora Ne Svane/nan-Ako Zora Ne Svane/2006.0-Zlatna Kolekcija
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,Daj Mi Još Jemput Zapopevaj,,,Daj Mi Još Jemput Zapopevaj,1993.0,,,,,,,,,,,,,,,,,,,,,,,,1993.0-Daj Mi Još Jemput Zapopevaj,1993.0-Daj Mi Još Jemput Zapopevaj
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,Moja Zemla,,,Daj Mi Još Jemput Zapopevaj,1993.0,,,,,,,,,,,,,,,,,,,,,,,,1993.0-Daj Mi Još Jemput Zapopevaj,1993.0-Daj Mi Još Jemput Zapopevaj
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,Fala Ti Mati,,,Daj Mi Još Jemput Zapopevaj,1993.0,,,,,,,,,,,,,,,,,,,,,,,,1993.0-Daj Mi Još Jemput Zapopevaj,1993.0-Daj Mi Još Jemput Zapopevaj
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,Pozabi Vse,,,Daj Mi Još Jemput Zapopevaj,1993.0,,,,,,,,,,,,,,,,,,,,,,,,1993.0-Daj Mi Još Jemput Zapopevaj,1993.0-Daj Mi Još Jemput Zapopevaj
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,Zdrava Marija,,,Daj Mi Još Jemput Zapopevaj,1993.0,,,,,,,,,,,,,,,,,,,,,,,,1993.0-Daj Mi Još Jemput Zapopevaj,1993.0-Daj Mi Još Jemput Zapopevaj
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,Sinek Sinek,,,Daj Mi Još Jemput Zapopevaj,1993.0,,,,,,,,,,,,,,,,,,,,,,,,1993.0-Daj Mi Još Jemput Zapopevaj,1993.0-Daj Mi Još Jemput Zapopevaj
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,Dobro Mi Došel Prijatel,,,Daj Mi Još Jemput Zapopevaj,1993.0,,,,,,,,,,,,,,,,,,,,,,,,1993.0-Daj Mi Još Jemput Zapopevaj,1993.0-Daj Mi Još Jemput Zapopevaj
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,Suza Za Zagorske Brege,,,Daj Mi Još Jemput Zapopevaj,1993.0,,,,,,,,,,,,,,,,,,,,,,,,1993.0-Daj Mi Još Jemput Zapopevaj,1993.0-Daj Mi Još Jemput Zapopevaj
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,Jenu Večer Vu Kasnomu Letu,,,Daj Mi Još Jemput Zapopevaj,1993.0,,,,,,,,,,,,,,,,,,,,,,,,1993.0-Daj Mi Još Jemput Zapopevaj,1993.0-Daj Mi Još Jemput Zapopevaj
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,"Cajti Lepi, Cajti Grdi",,,Daj Mi Još Jemput Zapopevaj,1993.0,,,,,,,,,,,,,,,,,,,,,,,,1993.0-Daj Mi Još Jemput Zapopevaj,1993.0-Daj Mi Još Jemput Zapopevaj
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,Duša Slavonska,2:48,,Ako Zora Ne Svane,1995.0,Terezija Bognar,,,,,,,,,,,,,,,,,,,,,Krunoslav Kićo Slabinac,,1995.0-Ako Zora Ne Svane,1995.0-Ako Zora Ne Svane/nan-Ako Zora Ne Svane
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,Istina O Baranji ,4:50,,Ako Zora Ne Svane,1995.0,Radovan Licht Milanov,,,,,,,,,,,,,,,,,,,,,Antun Nikolić,,1995.0-Ako Zora Ne Svane,1995.0-Ako Zora Ne Svane/nan-Ako Zora Ne Svane
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,Ravnica,4:22,,Ako Zora Ne Svane,1995.0,,,,,,,,,,,,,,,,,,,,,,Miroslav Škoro,,1995.0-Ako Zora Ne Svane,1995.0-Ako Zora Ne Svane/nan-Ako Zora Ne Svane
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,Ako Zora Ne Svane (Požega '93),3:04,,Ako Zora Ne Svane,1995.0,Ivan Novački,,,,,,,,,,,,,,,,,,,,,Krunoslav Kićo Slabinac,,1995.0-Ako Zora Ne Svane,1995.0-Ako Zora Ne Svane/nan-Ako Zora Ne Svane
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,Bunjevačko Prelo,4:43,,Ako Zora Ne Svane,1995.0,,,,,,,,,,,,,,,,,,,,,,Folk,,1995.0-Ako Zora Ne Svane,1995.0-Ako Zora Ne Svane/nan-Ako Zora Ne Svane
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,Otiš'o Je S Mirisima Jutra,3:43,,Ako Zora Ne Svane,1995.0,Željko Krznarić,,,,,,,,,,,,,,,,,,,,,Krunoslav Kićo Slabinac,,1995.0-Ako Zora Ne Svane,1995.0-Ako Zora Ne Svane/nan-Ako Zora Ne Svane/2015.0-50 Originalnih Pjesama
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,Tamburaši Samo Svirajte,3:56,,Ako Zora Ne Svane,1995.0,Željko Krznarić,,,,,,,,,,,,,,,,,,,,,Krunoslav Kićo Slabinac,,1995.0-Ako Zora Ne Svane,1995.0-Ako Zora Ne Svane/nan-Ako Zora Ne Svane/2006.0-Zlatna Kolekcija
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,Nije Moja Duša Prazna (Požega '94),4:12,,Ako Zora Ne Svane,1995.0,Dušan Gruborović,,,,,,,,,,,,,,,,,,,,,Krunoslav Kićo Slabinac,,1995.0-Ako Zora Ne Svane,1995.0-Ako Zora Ne Svane/nan-Ako Zora Ne Svane
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,"Ej, Tamburo",4:06,,Ako Zora Ne Svane,1995.0,,,,,,,,,,,,,,,,,,,,,,Željko Lončarić Žec,,1995.0-Ako Zora Ne Svane,1995.0-Ako Zora Ne Svane/nan-Ako Zora Ne Svane/2006.0-Zlatna Kolekcija
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,Svirci Moji,4:20,,Ako Zora Ne Svane,1995.0,Dragutin Britvić,,,,,,,,,,,,,,,,,,,,,Siniša Leopold,,1995.0-Ako Zora Ne Svane,1995.0-Ako Zora Ne Svane/nan-Ako Zora Ne Svane
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,Još Se Nije Ostarilo,3:03,,Ako Zora Ne Svane,1995.0,Dušan Gruborović,,,,,,,,,,,,,,,,,,,,,Krunoslav Kićo Slabinac,,1995.0-Ako Zora Ne Svane,1995.0-Ako Zora Ne Svane/nan-Ako Zora Ne Svane
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,"Zbog Jedne Divne, Crne Žene",,,Sve Najbolje!,,,,,,,,,,,,,,,,,,,,,,,,,nan-Sve Najbolje!,nan-Sve Najbolje!
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,"Ti Ne Znaš, Koliko Te Volim",,,Sve Najbolje!,,,,,,,,,,,,,,,,,,,,,,,,,nan-Sve Najbolje!,nan-Sve Najbolje!
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,"Pusti Noćas, Svoje Kose",,,Sve Najbolje!,,,,,,,,,,,,,,,,,,,,,,,,,nan-Sve Najbolje!,nan-Sve Najbolje!
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,"Ljubavi, Ljubavi, Lijepo Ti Je Ime",,,Sve Najbolje!,,,,,,,,,,,,,,,,,,,,,,,,,nan-Sve Najbolje!,nan-Sve Najbolje!/2015.0-50 Originalnih Pjesama
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,Duško Lokin,,,Pusti Da Te Prebolim,2005.0,,,,,,,,,,,,,,,,,,,,,,,,2005.0-Pusti Da Te Prebolim,2005.0-Pusti Da Te Prebolim
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,Pusti Da Te Prebolim,3:15,,Pusti Da Te Prebolim,2005.0,Željko Krznarić,Muc Softić,Duško Lokin,,,,,,,,,,,,,,,,,,,,,2005.0-Pusti Da Te Prebolim,2005.0-Pusti Da Te Prebolim
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,"Ljubi Nježno, Ljubi Me / Love Me Tender",3:23,,Pusti Da Te Prebolim,2005.0,Duško Lokin,Zoran Jašek,Vera Matson,,,,,,,,,,,,,,,,,,,,,2005.0-Pusti Da Te Prebolim,2005.0-Pusti Da Te Prebolim
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,Dalmacija Cijela Budi Se,3:31,,Pusti Da Te Prebolim,2005.0,Željko Thes,Branko Bogunović,Željko Thes,,,,,,,,,,,,,,,,,,,,,2005.0-Pusti Da Te Prebolim,2005.0-Pusti Da Te Prebolim
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,Mexico,3:54,,Pusti Da Te Prebolim,2005.0,Željko Thes,Branko Bogunović,Željko Thes,,,,,,,,,,,,,,,,,,,,,2005.0-Pusti Da Te Prebolim,2005.0-Pusti Da Te Prebolim
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,Emily,,,Pusti Da Te Prebolim,2005.0,,,,,,,,,,,,,,,,,,,,,,,,2005.0-Pusti Da Te Prebolim,2005.0-Pusti Da Te Prebolim
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,Vještica,3:29,Senad Galijašević,Pusti Da Te Prebolim,2005.0,,,,,,,,,,,,,,,,,,,,,,,,2005.0-Pusti Da Te Prebolim,2005.0-Pusti Da Te Prebolim
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,"Ljubi, Ljubi",3:20,,Pusti Da Te Prebolim,2005.0,D. Gregurević,Zoran Jašek,D. Gregurević,,,,,,,,,,,,,,,,,,,,,2005.0-Pusti Da Te Prebolim,2005.0-Pusti Da Te Prebolim
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,Mladen Grdović,,,Pusti Da Te Prebolim,2005.0,,,,,,,,,,,,,,,,,,,,,,,,2005.0-Pusti Da Te Prebolim,2005.0-Pusti Da Te Prebolim
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,Odlazim,3:22,Willy Molco,Pusti Da Te Prebolim,2005.0,,,,,,,,,,,,,,,,,,,,,,,,2005.0-Pusti Da Te Prebolim,2005.0-Pusti Da Te Prebolim
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,Vjeruj Mi,3:10,,Pusti Da Te Prebolim,2005.0,Ivo Mikuličin,Hrvoje Hegedušić,Dušan Šarac,,,,,,,,,,,,,,,,,,,,,2005.0-Pusti Da Te Prebolim,2005.0-Pusti Da Te Prebolim
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,Krunoslav Slabinac,,,Pusti Da Te Prebolim,2005.0,,,,,,,,,,,,,,,,,,,,,,,,2005.0-Pusti Da Te Prebolim,2005.0-Pusti Da Te Prebolim
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,Marko Jašek,,,Pusti Da Te Prebolim,2005.0,,,,,,,,,,,,,,,,,,,,,,,,2005.0-Pusti Da Te Prebolim,2005.0-Pusti Da Te Prebolim
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,Mala Ludice,2:54,Marko Jašek,Pusti Da Te Prebolim,2005.0,,,,,,,,,,,,,,,,,,,,,,,,2005.0-Pusti Da Te Prebolim,2005.0-Pusti Da Te Prebolim
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,Ne Traži Me,3:39,Marko Jašek,Pusti Da Te Prebolim,2005.0,,,,,,,,,,,,,,,,,,,,,,,,2005.0-Pusti Da Te Prebolim,2005.0-Pusti Da Te Prebolim
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,Disc 1 - Zabavne Melodije,,,Zlatna Kolekcija,2006.0,,,,,,,,,,,,,,,,,,,,,,,,2006.0-Zlatna Kolekcija,2006.0-Zlatna Kolekcija
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,Zbog Tvoje Ljubavi,02:52,,Zlatna Kolekcija,2006.0,,,,,,,,,,,,,,,,,,,,,,,,2006.0-Zlatna Kolekcija,2006.0-Zlatna Kolekcija/2007.0-The Platinum Collection/2015.0-50 Originalnih Pjesama/2017.0-Cvijet Čežnje - Kićo Dalmaciji
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,Zbog Jedne Divne Crne Zene,04:15,,Zlatna Kolekcija,2006.0,,,,,,,,,,,,,,,,,,,,,,,,2006.0-Zlatna Kolekcija,2006.0-Zlatna Kolekcija
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,Poljubi Me Za Sretan Pu,02:48,,Zlatna Kolekcija,2006.0,,,,,,,,,,,,,,,,,,,,,,,,2006.0-Zlatna Kolekcija,2006.0-Zlatna Kolekcija
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,Balad O Ženi I Djetetu,03:25,,Zlatna Kolekcija,2006.0,,,,,,,,,,,,,,,,,,,,,,,,2006.0-Zlatna Kolekcija,2006.0-Zlatna Kolekcija
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,Ako Zora Ne Svane,03:05,,Zlatna Kolekcija,2006.0,,,,,,,,,,,,,,,,,,,,,,,,2006.0-Zlatna Kolekcija,2006.0-Zlatna Kolekcija
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,Kako Naći Pravi Put,04:02,,Zlatna Kolekcija,2006.0,,,,,,,,,,,,,,,,,,,,,,,,2006.0-Zlatna Kolekcija,2006.0-Zlatna Kolekcija/2007.0-The Platinum Collection/2010.0-Najljepše Ljubavne Pjesme
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,Nek Se Toči Staro Vino,03:00,,Zlatna Kolekcija,2006.0,,,,,,,,,,,,,,,,,,,,,,,,2006.0-Zlatna Kolekcija,2006.0-Zlatna Kolekcija
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,Disc 2 - Tamburaške Pjesme I Kola,,,Zlatna Kolekcija,2006.0,,,,,,,,,,,,,,,,,,,,,,,,2006.0-Zlatna Kolekcija,2006.0-Zlatna Kolekcija
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,"Hej,Bećari",02:22,,Zlatna Kolekcija,2006.0,,,,,,,,,,,,,,,,,,,,,,,,2006.0-Zlatna Kolekcija,2006.0-Zlatna Kolekcija
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,Zaboravi Moja Ljubavi,04:19,,Zlatna Kolekcija,2006.0,,,,,,,,,,,,,,,,,,,,,,,,2006.0-Zlatna Kolekcija,2006.0-Zlatna Kolekcija/2007.0-The Platinum Collection/2010.0-Najljepše Ljubavne Pjesme
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,Šokačka Grana,02:44,,Zlatna Kolekcija,2006.0,,,,,,,,,,,,,,,,,,,,,,,,2006.0-Zlatna Kolekcija,2006.0-Zlatna Kolekcija
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,Nije Moja Duša Prazna,04:13,,Zlatna Kolekcija,2006.0,,,,,,,,,,,,,,,,,,,,,,,,2006.0-Zlatna Kolekcija,2006.0-Zlatna Kolekcija
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,Otišao Je S Mirisima Jutra,03:41,,Zlatna Kolekcija,2006.0,,,,,,,,,,,,,,,,,,,,,,,,2006.0-Zlatna Kolekcija,2006.0-Zlatna Kolekcija
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,Inati Se Slavonijo,03:22,,Zlatna Kolekcija,2006.0,,,,,,,,,,,,,,,,,,,,,,,,2006.0-Zlatna Kolekcija,2006.0-Zlatna Kolekcija/2008.0-Dignite Čaše Svatovi/2015.0-50 Originalnih Pjesama
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,"Slavonijo, Ja Sam Tvoje Dijete",03:46,,Zlatna Kolekcija,2006.0,,,,,,,,,,,,,,,,,,,,,,,,2006.0-Zlatna Kolekcija,2006.0-Zlatna Kolekcija/2015.0-50 Originalnih Pjesama
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,Baranje Se Ne Bi Odreko,03:53,,Zlatna Kolekcija,2006.0,,,,,,,,,,,,,,,,,,,,,,,,2006.0-Zlatna Kolekcija,2006.0-Zlatna Kolekcija
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,CD 1,,,The Platinum Collection,2007.0,,,,,,,,,,,,,,,,,,,,,,,,2007.0-The Platinum Collection,2007.0-The Platinum Collection/2015.0-50 Originalnih Pjesama
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,Nek' Se Toči Staro Vino,,,The Platinum Collection,2007.0,,,,,,,,,,,,,,,,,,,,,,,,2007.0-The Platinum Collection,2007.0-The Platinum Collection/2010.0-Najljepše Ljubavne Pjesme/2015.0-50 Originalnih Pjesama/2017.0-Cvijet Čežnje - Kićo Dalmaciji
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,CD 2,,,The Platinum Collection,2007.0,,,,,,,,,,,,,,,,,,,,,,,,2007.0-The Platinum Collection,2007.0-The Platinum Collection/2015.0-50 Originalnih Pjesama
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,Da Koji Se Pamti,,,The Platinum Collection,2007.0,,,,,,,,,,,,,,,,,,,,,,,,2007.0-The Platinum Collection,2007.0-The Platinum Collection
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,"Goodbye Amerika, Goodbye",,,The Platinum Collection,2007.0,,,,,,,,,,,,,,,,,,,,,,,,2007.0-The Platinum Collection,2007.0-The Platinum Collection
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,Kad U Ponoć Netko Kuca,,,The Platinum Collection,2007.0,,,,,,,,,,,,,,,,,,,,,,,,2007.0-The Platinum Collection,2007.0-The Platinum Collection/2015.0-50 Originalnih Pjesama
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,Dignite Čaše Svatovi,2:44,,Dignite Čaše Svatovi,2008.0,,,,,,,,,,,,,,,,,,,,,,,,2008.0-Dignite Čaše Svatovi,2008.0-Dignite Čaše Svatovi/2015.0-50 Originalnih Pjesama
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,Golubice Spremaj Večeru,3:24,,Dignite Čaše Svatovi,2008.0,,,,,,,,,,,,,,,,,,,,,,,,2008.0-Dignite Čaše Svatovi,2008.0-Dignite Čaše Svatovi
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,"Slavonijo, Kućo Stara",3:22,,Dignite Čaše Svatovi,2008.0,,,,,,,,,,,,,,,,,,,,,,,,2008.0-Dignite Čaše Svatovi,2008.0-Dignite Čaše Svatovi
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,Moj Dida,3:12,,Dignite Čaše Svatovi,2008.0,,,,,,,,,,,,,,,,,,,,,,,,2008.0-Dignite Čaše Svatovi,2008.0-Dignite Čaše Svatovi
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,Nije Meni Važno Mati,3:32,,Dignite Čaše Svatovi,2008.0,,,,,,,,,,,,,,,,,,,,,,,,2008.0-Dignite Čaše Svatovi,2008.0-Dignite Čaše Svatovi
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,Ljudi Moji Što Mi Rade,3:18,,Dignite Čaše Svatovi,2008.0,,,,,,,,,,,,,,,,,,,,,,,,2008.0-Dignite Čaše Svatovi,2008.0-Dignite Čaše Svatovi
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,Rasla Trava,3:04,,Dignite Čaše Svatovi,2008.0,,,,,,,,,,,,,,,,,,,,,,,,2008.0-Dignite Čaše Svatovi,2008.0-Dignite Čaše Svatovi
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,"Dobro Jutro, Moj Svečaru",2:32,,Dignite Čaše Svatovi,2008.0,,,,,,,,,,,,,,,,,,,,,,,,2008.0-Dignite Čaše Svatovi,2008.0-Dignite Čaše Svatovi
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,Kad Pred Oltar Stane Ona,3:16,,Dignite Čaše Svatovi,2008.0,,,,,,,,,,,,,,,,,,,,,,,,2008.0-Dignite Čaše Svatovi,2008.0-Dignite Čaše Svatovi
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,Ošini Po Prašini,2:32,,Dignite Čaše Svatovi,2008.0,,,,,,,,,,,,,,,,,,,,,,,,2008.0-Dignite Čaše Svatovi,2008.0-Dignite Čaše Svatovi/2015.0-50 Originalnih Pjesama
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,Bonus:,,,Dignite Čaše Svatovi,2008.0,,,,,,,,,,,,,,,,,,,,,,,,2008.0-Dignite Čaše Svatovi,2008.0-Dignite Čaše Svatovi
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,Slavonijo Ja Sam Tvoje Dijete,3:45,,Dignite Čaše Svatovi,2008.0,,,,,,,,,,,,,,,,,,,,,,,,2008.0-Dignite Čaše Svatovi,2008.0-Dignite Čaše Svatovi
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,Baranje Se Nebi Odreko,3:54,,Dignite Čaše Svatovi,2008.0,,,,,,,,,,,,,,,,,,,,,,,,2008.0-Dignite Čaše Svatovi,2008.0-Dignite Čaše Svatovi
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,Sinoć Bila Misečina,2:49,,Vesela Je Šokadija,2010.0,,,,,,,,,,,,,,,,,,,,,,,,2010.0-Vesela Je Šokadija,2010.0-Vesela Je Šokadija
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,Đakovo Grade,3:27,,Vesela Je Šokadija,2010.0,,,,,,,,,,,,,,,,,,,,,,,,2010.0-Vesela Je Šokadija,2010.0-Vesela Je Šokadija
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,Gori Lampa,4:08,,Vesela Je Šokadija,2010.0,,,,,,,,,,,,,,,,,,,,,,,,2010.0-Vesela Je Šokadija,2010.0-Vesela Je Šokadija/nan-Untitled
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,Crne Oči,3:42,,Vesela Je Šokadija,2010.0,,,,,,,,,,,,,,,,,,,,,,,,2010.0-Vesela Je Šokadija,2010.0-Vesela Je Šokadija/nan-Untitled
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,A Oj Meni,3:06,,Vesela Je Šokadija,2010.0,,,,,,,,,,,,,,,,,,,,,,,,2010.0-Vesela Je Šokadija,2010.0-Vesela Je Šokadija/nan-Untitled
