Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Album_title_discogs,Written-By_discogs,Arranged By_discogs,Lyrics By_discogs,Music By_discogs,Strings_discogs,Album_year_discogs,Recorded By_discogs,Producer_discogs,Engineer_discogs,Guitar_discogs,Backing Vocals_discogs,Vocals_discogs,Mixed By_discogs,Brass_discogs,Harp_discogs,Keyboards_discogs,Bass_discogs,Bagpipes_discogs,Drums_discogs,Interviewee_discogs,Interviewer_discogs,Album_year_title_discogs,All_albums_discogs
Bijelo Dugme,Bijelo Dugme,Da Sam Pekar,,Da Sam Pekar / Selma,Vlado Pravdić,,,,,,,,,,,,,,,,,,,,,nan-Da Sam Pekar / Selma,nan-Da Sam Pekar / Selma/nan-Iz Sve Snage/nan-Koncert Kod Hajduccke Ccesme/nan-Singl Ploče (1974-1975)/nan-Rock & Roll/nan-Bijelo Dugme 2/nan-Singlice 1974-1980/2004.0-10 Albuma/2004.0-10 Albuma/2005.0-Antologija 1 ('75 - '83)/nan-The Ultimate Collection/nan-Rock 'N' Roll Hitovi/0.0-The best of volume 2 
Bijelo Dugme,Bijelo Dugme,Ima Neka Tajna Veza,,Ima Neka Tajna Veza / I Kad Prođe Sve Pjevat Ću I Tad,,Goran Bregović,Duško Trifunović,Goran Bregović,Zagrebački Gudački Kvartet,,,,,,,,,,,,,,,,,nan-Ima Neka Tajna Veza / I Kad Prođe Sve Pjevat Ću I Tad,nan-Ima Neka Tajna Veza / I Kad Prođe Sve Pjevat Ću I Tad/nan-Koncert Kod Hajduccke Ccesme/nan-Singl Ploče (1974-1975)/nan-Sanjao Sam Noćas Da Te Nemam (Velike Rock Balade)/nan-Bijelo Dugme/nan-Singlice 1974-1980/2004.0-10 Albuma/2004.0-10 Albuma/2004.0-10 Albuma/2005.0-Antologija 1 ('75 - '83)/2005.0-Antologija 1 ('75 - '83)/2005.0-Antologija 2 ('84 - '89)/nan-Antologija - 18 Najvećih Hitova/nan-Najlepše Balade - 17 Nezaboravnih Balada/nan-Turneja 2005 Sarajevo Zagreb Beograd/nan-The Ultimate Collection/2010.0-Najljepše Ljubavne Pjesme/2016.0-40
Bijelo Dugme,Bijelo Dugme,I Kad Prođe Sve Pjevat Ću I Tad,,Ima Neka Tajna Veza / I Kad Prođe Sve Pjevat Ću I Tad,Goran Bregović,,,,,,,,,,,,,,,,,,,,,nan-Ima Neka Tajna Veza / I Kad Prođe Sve Pjevat Ću I Tad,nan-Ima Neka Tajna Veza / I Kad Prođe Sve Pjevat Ću I Tad
Bijelo Dugme,Bijelo Dugme,Tako Ti Je Mala Moja Kad Ljubi Bosanac,,Šta Bi Dao Da Si Na Mom Mjestu,,,,,,,,,,,,,,,,,,,,,,nan-Šta Bi Dao Da Si Na Mom Mjestu,nan-Šta Bi Dao Da Si Na Mom Mjestu/nan-Tako Ti Je Mala Moja Kad Ljubi Bosanac/nan-Singl Ploče (1976 - 1980)/nan-Mramor Kamen I Željezo (Bijelo Dugme UŽivo)/nan-Singlice 1974-1980/2004.0-10 Albuma/2004.0-10 Albuma/2004.0-1974 - 2004/nan-Prvih Šest Studijskih Albuma/nan-Antologija - 18 Najvećih Hitova/nan-Turneja 2005 Sarajevo Zagreb Beograd/nan-The Ultimate Collection/nan-Box Set Deluxe
Bijelo Dugme,Bijelo Dugme,Hop-Cup,,Šta Bi Dao Da Si Na Mom Mjestu,,,,,,,,,,,,,,,,,,,,,,nan-Šta Bi Dao Da Si Na Mom Mjestu,nan-Šta Bi Dao Da Si Na Mom Mjestu/nan-Bijelo Dugme/2004.0-10 Albuma/nan-Prvih Šest Studijskih Albuma
Bijelo Dugme,Bijelo Dugme,Došao Sam Da Ti Kažem Da Odlazim,,Šta Bi Dao Da Si Na Mom Mjestu,,,,,,,,,,,,,,,,,,,,,,nan-Šta Bi Dao Da Si Na Mom Mjestu,nan-Šta Bi Dao Da Si Na Mom Mjestu/nan-Eto! Baš Hoću!/nan-Iz Sve Snage/nan-Singl Ploče (1976 - 1980)/nan-Sanjao Sam Noćas Da Te Nemam (Velike Rock Balade)/nan-Singlice 1974-1980/2004.0-10 Albuma/2004.0-10 Albuma/2004.0-10 Albuma/nan-Prvih Šest Studijskih Albuma/nan-Antologija - 18 Najvećih Hitova/nan-The Ultimate Collection/2010.0-Najljepše Ljubavne Pjesme/nan-Box Set Deluxe
Bijelo Dugme,Bijelo Dugme,Ne Gledaj Me Tako I Ne Ljubi Me Više,,Šta Bi Dao Da Si Na Mom Mjestu,,,,,,,,,,,,,,,,,,,,,,nan-Šta Bi Dao Da Si Na Mom Mjestu,"nan-Šta Bi Dao Da Si Na Mom Mjestu/nan-Ne Gledaj Me Tako I Ne Ljubi Me Više/nan-Iz Sve Snage/nan-Singl Ploče (1974-1975)/nan-Sanjao Sam Noćas Da Te Nemam (Velike Rock Balade)/nan-Singlice 1974-1980/2004.0-10 Albuma/2004.0-10 Albuma/2004.0-10 Albuma/nan-'Ajmo Curice, 'Ajmo Dječaci!/nan-Prvih Šest Studijskih Albuma/nan-Antologija - 18 Najvećih Hitova/nan-The Ultimate Collection/2010.0-Najljepše Ljubavne Pjesme/nan-Box Set Deluxe"
Bijelo Dugme,Bijelo Dugme,Požurite Konji Moji,,Šta Bi Dao Da Si Na Mom Mjestu,,,,,,,,,,,,,,,,,,,,,,nan-Šta Bi Dao Da Si Na Mom Mjestu,nan-Šta Bi Dao Da Si Na Mom Mjestu/nan-Hitovi 3/2004.0-10 Albuma/nan-Prvih Šest Studijskih Albuma/nan-The Ultimate Collection/nan-Box Set Deluxe/0.0-Hitovi 3
Bijelo Dugme,Bijelo Dugme,"Bekrija Si Cijelo Selo Viče, E Pa Jesam, Šta Se Koga Tiče",,Šta Bi Dao Da Si Na Mom Mjestu,,,,,,,,,,,,,,,,,,,,,,nan-Šta Bi Dao Da Si Na Mom Mjestu,nan-Šta Bi Dao Da Si Na Mom Mjestu/nan-Box Set Deluxe
Bijelo Dugme,Bijelo Dugme,Šta Bi Dao Da Si Na Mom Mjestu,,Šta Bi Dao Da Si Na Mom Mjestu,,,Duško Trifunović,,,,,,,,,,,,,,,,,,,nan-Šta Bi Dao Da Si Na Mom Mjestu,nan-Šta Bi Dao Da Si Na Mom Mjestu/nan-Hitovi 3/nan-Bijelo Dugme 2/2004.0-10 Albuma/2005.0-Antologija 1 ('75 - '83)/nan-The Ultimate Collection/nan-Box Set Deluxe/nan-Box Set Deluxe/nan-Box Set Deluxe 14.11.14 Sampler/0.0-Hitovi 3
