Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Lyrics By_discogs,Album_title_discogs,Album_year_discogs,Arranged By_discogs,Music By_discogs,Written-By_discogs,Written By_discogs,Composed By_discogs,Text By_discogs,Featuring_discogs,Guest_discogs,Vocals_discogs,Album_year_title_discogs,All_albums_discogs
Mate Bulić,Mato Bulić,"Evo Zora, Tek Što Nije",,,Samo Pjesmu Noćas Tražim,1995.0,,,,,,,,,,1995.0-Samo Pjesmu Noćas Tražim,1995.0-Samo Pjesmu Noćas Tražim
Mate Bulić,Mato Bulić,Samo Pjesmu Noćas Tražim,,,Samo Pjesmu Noćas Tražim,1995.0,,,,,,,,,,1995.0-Samo Pjesmu Noćas Tražim,1995.0-Samo Pjesmu Noćas Tražim
Mate Bulić,Mato Bulić,"Čujem Draga, Bit' Će Svatovi",,,Samo Pjesmu Noćas Tražim,1995.0,,,,,,,,,,1995.0-Samo Pjesmu Noćas Tražim,1995.0-Samo Pjesmu Noćas Tražim
Mate Bulić,Mato Bulić,Ludo Srce,,,Samo Pjesmu Noćas Tražim,1995.0,,,,,,,,,,1995.0-Samo Pjesmu Noćas Tražim,1995.0-Samo Pjesmu Noćas Tražim
Mate Bulić,Mato Bulić,Tiho Teče Neretva,,,Samo Pjesmu Noćas Tražim,1995.0,,,,,,,,,,1995.0-Samo Pjesmu Noćas Tražim,1995.0-Samo Pjesmu Noćas Tražim/2013.0-Zlatna Kolekcija/2015.0-The Best Of Collection
Mate Bulić,Mato Bulić,Ne Pjevajte O Mom Kraju,,,Samo Pjesmu Noćas Tražim,1995.0,,,,,,,,,,1995.0-Samo Pjesmu Noćas Tražim,1995.0-Samo Pjesmu Noćas Tražim/2013.0-Zlatna Kolekcija/2015.0-The Best Of Collection
Mate Bulić,Mato Bulić,Lipa Mare,,,Samo Pjesmu Noćas Tražim,1995.0,,,,,,,,,,1995.0-Samo Pjesmu Noćas Tražim,1995.0-Samo Pjesmu Noćas Tražim
Mate Bulić,Mato Bulić,Pune Čaše Ispijam,,,Samo Pjesmu Noćas Tražim,1995.0,,,,,,,,,,1995.0-Samo Pjesmu Noćas Tražim,"1995.0-Samo Pjesmu Noćas Tražim/nan-Uživo, Split (Snimka Koncerta Sa Starog Hajdukova Placa)/2003.0-Anthology - Najveći Hitovi/2013.0-Zlatna Kolekcija/2015.0-The Best Of Collection"
Mate Bulić,Mato Bulić,Pjevaj Mi Sokole,,,Samo Pjesmu Noćas Tražim,1995.0,,,,,,,,,,1995.0-Samo Pjesmu Noćas Tražim,1995.0-Samo Pjesmu Noćas Tražim
Mate Bulić,Mato Bulić,Dodijalo Pajdo...,,,Dodijalo Pajdo...,1997.0,,,,,,,,,,1997.0-Dodijalo Pajdo...,1997.0-Dodijalo Pajdo...
Mate Bulić,Mato Bulić,Pivaj Tico,,,Dodijalo Pajdo...,1997.0,,,,,,,,,,1997.0-Dodijalo Pajdo...,1997.0-Dodijalo Pajdo...
Mate Bulić,Mato Bulić,Volio Sam I Ja Jednom,,,Dodijalo Pajdo...,1997.0,,,,,,,,,,1997.0-Dodijalo Pajdo...,1997.0-Dodijalo Pajdo...
Mate Bulić,Mato Bulić,Žuta Ruža,,,Dodijalo Pajdo...,1997.0,,,,,,,,,,1997.0-Dodijalo Pajdo...,1997.0-Dodijalo Pajdo.../2013.0-Zlatna Kolekcija
Mate Bulić,Mato Bulić,Trusa,,,Dodijalo Pajdo...,1997.0,,,,,,,,,,1997.0-Dodijalo Pajdo...,1997.0-Dodijalo Pajdo.../2003.0-Anthology - Najveći Hitovi/2013.0-Zlatna Kolekcija
Mate Bulić,Mato Bulić,Vino I Rakija,,,Dodijalo Pajdo...,1997.0,,,,,,,,,,1997.0-Dodijalo Pajdo...,1997.0-Dodijalo Pajdo.../2013.0-Zlatna Kolekcija/2015.0-The Best Of Collection
Mate Bulić,Mato Bulić,Oj Djevojko Hercegovko,,,Dodijalo Pajdo...,1997.0,,,,,,,,,,1997.0-Dodijalo Pajdo...,1997.0-Dodijalo Pajdo...
Mate Bulić,Mato Bulić,Ej Sudbino Sestro,,,Dodijalo Pajdo...,1997.0,,,,,,,,,,1997.0-Dodijalo Pajdo...,1997.0-Dodijalo Pajdo.../2003.0-Anthology - Najveći Hitovi
Mate Bulić,Mato Bulić,Rob Ljubavi,,,Dodijalo Pajdo...,1997.0,,,,,,,,,,1997.0-Dodijalo Pajdo...,1997.0-Dodijalo Pajdo.../2013.0-Zlatna Kolekcija
Mate Bulić,Mato Bulić,Bosa Mara,,,Dodijalo Pajdo...,1997.0,,,,,,,,,,1997.0-Dodijalo Pajdo...,1997.0-Dodijalo Pajdo.../2013.0-Zlatna Kolekcija
Mate Bulić,Mato Bulić,Tebi Majko Misli Lete,,,Hrvatske Narodne Pjesme 1,,,,,,,,,,,nan-Hrvatske Narodne Pjesme 1,nan-Hrvatske Narodne Pjesme 1
Mate Bulić,Mato Bulić,Zelen Lišće Goru Kiti,,,Hrvatske Narodne Pjesme 1,,,,,,,,,,,nan-Hrvatske Narodne Pjesme 1,nan-Hrvatske Narodne Pjesme 1
Mate Bulić,Mato Bulić,Golubice Bijela,,,Hrvatske Narodne Pjesme 1,,,,,,,,,,,nan-Hrvatske Narodne Pjesme 1,nan-Hrvatske Narodne Pjesme 1
Mate Bulić,Mato Bulić,Jedno Jutro Čim Je Zora Svanula,,,Hrvatske Narodne Pjesme 1,,,,,,,,,,,nan-Hrvatske Narodne Pjesme 1,nan-Hrvatske Narodne Pjesme 1
Mate Bulić,Mato Bulić,Oj Livado Rosna Travo,,,Hrvatske Narodne Pjesme 1,,,,,,,,,,,nan-Hrvatske Narodne Pjesme 1,nan-Hrvatske Narodne Pjesme 1
Mate Bulić,Mato Bulić,Moja Mila Kata,,,Hrvatske Narodne Pjesme 1,,,,,,,,,,,nan-Hrvatske Narodne Pjesme 1,nan-Hrvatske Narodne Pjesme 1
Mate Bulić,Mato Bulić,Zvijezda Tjera Mjeseca,,,Hrvatske Narodne Pjesme 1,,,,,,,,,,,nan-Hrvatske Narodne Pjesme 1,nan-Hrvatske Narodne Pjesme 1
