Song_ID,Artist,Artist_diskografija,Song_tekstovinet,Views_tekstovinet,Lyrics_tekstovinet,Url_tekstovinet,Writer_lyricstranslate,Song_lyricstranslate,EngTitle_lyricstranslate,Album_lyricstranslate,Lyrics_lyricstranslate,EngLyrics_lyricstranslate,Url_lyricstranslate
4wxdBzAi_1_18,Maja Šuput & EnJoy,Maja Šuput,Obori me s' nogu,15614,"Ref.
Hajde, obori me s' nogu
pa da bez tebe ne mogu
bez tebe ne mogu

Njezno kao krila leptira
ja pozelim malo tvoga dodira
jer dodir srece trebam u vece
 
Ref.

Svaku izdrzat' cu krizu
samo ti mi budi blizu
budi uvijek blizu

","https://tekstovi.net/2,630,19782.html",,,,,,,
4wxdBzAi_1_19,Maja Šuput & EnJoy,Maja Šuput,Onako kako ti to znas,16180,"Kao tresnje u proljece
obrazi mi se zarumene
kad si blizu pored mene
sve mi naopako krene

Klecaju mi koljena
ko da mi je petnaest godina
stalno za nesto zapinjem
pa stojim, nikud ne idem
 
Ref.
Jer volim kako 
izgovaras moje ime
gorim, da li znas 
od tvoje blizine
kad mi kazes: hej, kako si
nesto u meni malo poludi

Jer volim kako izgovaras 
moje ime
gorim, da li znas 
od tvoje blizine
zelim da mi to ponavljas
onako kako ti to znas

Klecaju mi koljena
ko da mi je petnaest godina
stalno za nesto zapinjem
pa stojim, nikud ne idem

Ref.

Zelim da mi to ponavljas
onako kako ti to znas
","https://tekstovi.net/2,630,15041.html",,,,,,,
4wxdBzAi_1_20,Maja Šuput & EnJoy,Maja Šuput,Ovo malo duse,8517,"Koju korist bi sada imala
da sam ko mene ti 
ja tebe izdala
zid samoce da sam sazidala

Ma nista bolje se ne bi dogodilo
sve nas je to na kraj 
precicom vodilo
previse me sve pogodilo
 
Kao trn u peti zasmetas
kada mi se u san dosetas

Ref.
Ovo malo duse sto je ostalo
sad bih tebi dala
kad bih znala 
da me volis imalo

Ovo malo duse sto je ostalo
neces, jer do mene
tebi nije
nije stalo ni malo

Grize li te bar savjest ikada
sto nisi volio svim srcem nikada
pola bola mog ti pripada

Kao trn u peti zasmetas
kada mi se u san dosetas

Ref. 2x
","https://tekstovi.net/2,630,15040.html",,,,,,,
4wxdBzAi_1_21,Maja Šuput & EnJoy,Maja Šuput,"Pricaju, pricaju",10083,"Uvijek kad se tebe sjetim
sve je tuznije
protiv srca se ne ide
oci gledaju, al nikog drugog 
ne vide

Prijatelji stari svrate
pa se zapjeva
al ne daj da mi zivot prodje
dok mi opet korak tvoj
opet ne dodje
 
Ref.
I znam da pricaju, pricaju
lazu, varaju, da ja i bez tebe
sretna ostat cu
pricaju, pricaju, ljudi ne znaju
da falis mi, falis mi
cak i kad si tu

Ljudi dodju, ljudi odu
tuga ostaje 
sva se nasloni na mene
nema usana ni vina
da te zamjene

Sanjam ono cega nema
sto je tudje sad
vise ne znam sretna biti
sanjam tebe pa ne mogu
drugog ljubiti

Ref. 2x
","https://tekstovi.net/2,630,14827.html",,,,,,,
4wxdBzAi_1_22,Maja Šuput & EnJoy,Maja Šuput,Sasava,12867,"Tko je pitao glave blesave
za godine
meni je dvadeset 
i tebi dvadeset
imamo zajedno cetrdeset

Izgorjela je vecer
kao plamen svijece
 
Ref.
Kad sam te poljubila
sva sam posasavila
ljubavi se napila 
sa tvojih usana
ali tvoje oci te
i druge su gledale
lagale me, lagale

Na rukavice 
kad pahuljice padaju
dolazi zima cini mi se hladnija
jer tebe, tebe mi nema tu

Sto cu majko sada
zaljubih se mlada

Ref. 3x
","https://tekstovi.net/2,630,14829.html",,,,,,,
4wxdBzAi_1_23,Maja Šuput & EnJoy,Maja Šuput,Smile & enjoy,6753,"Budi dobar, budi jos moj
jer ja zivim, zivim, zivim
zivim, zivim smile & enjoy

Ja znam da stotine ljudi ljubav izludi
ako ne postanu ludi bar ih probudi
nisam ni znala, ljubav donosi bol
pitam se kako, kako srcu je tvom
 
Ref.
Reci, reci jos jednu rijec 
da ubije bol na srcu mom
budi dobar budi jos moj
i zivi po onom smile & enjoy

Reci, reci jos jednu rijec
da ubije bol na srcu mom
budi dobar budi jos moj
jer ja zivim, zivim, zivim
zivim, zivim smile & enjoy

Mali, ti si slozio plan
da pokvaris mi jos jedan dan
al' nece moci, mali moj
ja zivim po onom smile & enjoy
ne bi ti dala, vraze, prijeci svoj prag
da nisi mi sladak, da nisi mi drag

Ref.","https://tekstovi.net/2,630,15080.html",,,,,,,
4wxdBzAi_1_24,Maja Šuput & EnJoy,Maja Šuput,Sto je nebu bilo,10590,"Mnogim ljudima se posreci
srecu pronadju i u nesreci
mnogi momci znaju lagati
al' tako dobro ne, ni jedan kao ti

Ne vjerujem tebi ja 
vise nikada
 
Ref. 2x
Sto je nebu, sto je nebu bilo
kada me je s tobom spojilo
necu vise ja u tvoje krilo
kada si mi srce ranio

Iza kise skidam ja kabanicu
i, evo, okrecem novu stranicu
odlazim od ove zalosti
da sebi poklonim bar malo radosti","https://tekstovi.net/2,630,14998.html",,,,,,,
4wxdBzAi_1_25,Maja Šuput & EnJoy,Maja Šuput,Svemu dodje kraj,11890,"Ljudi vole, al' ne kao ja
moje srce ljubav osjeca
i dok plakala bih ja
i kad bih se smijala
ljudi vole, al' ne kao ja

Ljudi vole, al' ne kao ja
ljubim otkad sam se rodila
prije nego umrem ja
tebe bi poljubila
svome dragom sunce donijela
 
Ref.
Svemu dodje kraj, svemu oprostaj
kad se zamraci sunce gubi sjaj
a kad osvane tuga nestane
moja ljubav samo, samo ostane

I dok plakala bih ja
i kad bih se smijala
ljudi vole, al' ne kao ja

Ref. 2x","https://tekstovi.net/2,630,14999.html",,,,,,,
4wxdBzAi_1_26,Maja Šuput & EnJoy,Maja Šuput,Tebi mogu reci sve,11331,"Kad me pitaju slazem da me ne boli
i nesigurno tvoje ime tada izustim
u zivotu svom svega cu se odreci
jedino sto nikad necu, tebe prestat' voljeti

Ref. 2x
Nema srece, nema mi moja ljubavi
tebi mogu reci sve
al' da te ne volim 
to nikad, ne
 
Kad te neko spomene
i prica krene do mene
sjeti me na sretne dane
na jorgovane

Ref.","https://tekstovi.net/2,630,15000.html",,,,,,,
4wxdBzAi_1_27,Maja Šuput & EnJoy,Maja Šuput,"Ti mi, ti mi (duet Darus)",7991,"Reci mi, da li znas da te zelim
cijelu noc, cijeli dan
duso samo tebi pripadam

Priznaj mi, da i ti zelis mene
ludo, najludje
da su ti usne moje najsladje
 
Reci, volim te
reci, molim te

Ref.
Ti mi, ti mi, ti mi
znacis toliko
koliko je plavo nebo visoko
ti mi, ti mi, ti mi
trebas toliko
koliko je plavo more duboko

Reci mi, da li znas da te zelim
cijelu noc, cijeli dan
duso samo tebi pripadam

Priznaj mi, da i ti zelis mene
ludo, najludje
da su ti usne moje najsladje

Reci, volim te
reci, molim te

Ref. 4x
","https://tekstovi.net/2,630,15039.html",,,,,,,
4wxdBzAi_1_28,Maja Šuput & EnJoy,Maja Šuput,To je to,8416,"Napola je mjesec puk'o
napola kao jabuka
po nebu je zvijezde vuko
od juga sve do sjevera

Imam dragog, al' sam sama
ne vidim ga sedam dana
hej, da l' je kod druge
kisa pada, prozor moci
od nje mi se sjaje oci
hej, dodji do mene
 
Ref. 2x
Ljubavi me vino opilo
vino slatko, vino crveno
to je to, to je to
to je to, volim te i gotovo

Spustila se magla gusta
vidim te i kroz oblake
tebe su mi zedna usta
andjele, moj andjele","https://tekstovi.net/2,630,15083.html",,,,,,,
4wxdBzAi_1_29,Maja Šuput & EnJoy,Maja Šuput,Uzalud,9723,"Kad srce srcu zbogom kaze
onda se ljudi rastaju
okrenu ledja jedno drugom
pa krenu i ne zastaju

Ja tebi ne znam reci zbogom
i ne znam se okrenuti
a koliko sam puta rekla
da necu te spomenuti
 
Ref.
Uzalud, kad te vidim srce stane
stara vatra opet plane
i ne znam se pomaknuti

Uzalud, kad te vidim srce stane
sve i da mi suza kane
nece te dotaknuti

Ja tebi ne znam reci zbogom
i ne znam se okrenuti
a koliko sam puta rekla
da necu te spomenuti

Ref. 2x
","https://tekstovi.net/2,630,14828.html",,,,,,,https://lyricstranslate.com/en/language/english-artists
4wxdBzAi_1_30,Maja Šuput & EnJoy,Maja Šuput,Uzmi me,11489,"Gdje si ti, nesreco
srce mi je ranjeno
nikoga ne vidim ja
dusu da mi sacuva

Dukati, biseri
nisu mi najvazniji
jednu noc da mi das
dusu da mi poslusas
 
Ref.
Uzmi me, uzmi me
jako, jace, najjace
kad ti dan uzme noc
ja te zovem upomoc

Uzmi me, uzmi me
noci su mi najgore
kad ti dan otme noc
tebe zovem upomoc

A gdje si ti, nesreco
srce mi je ranjeno
nikoga ne vidim ja
dusu da mi sacuva

Dukati, biseri
nisu mi najvazniji
jednu noc da mi das
dusu da mi poslusas

Ref. 2x
","https://tekstovi.net/2,630,15043.html",,,,,,,
4wxdBzAi_1_31,Maja Šuput & EnJoy,Maja Šuput,Zapela mi haljina,18225,"Vezao me jedan dodir tvoj
srce moje si zarobio
sebe vise ne prepoznajem
i kad sam gladna nista ne jedem

Ubijas me lagano, da znas
sto si takav, sto se ne javljas
necu dugo ja izdrzati
hitno tebe moram ljubiti
 
Ref. 2x
Zapela mi haljina, haljina
za dva oka nemirna, nemirna
pa je moja mala cipela
prema tebi lako krenula

Vezao me jedan pogled tvoj
dusu moju lako ukrao
sedam dana nisam spavala
otkada sam tebe vidjela","https://tekstovi.net/2,630,15081.html",,,,,,,
4wxdBzAi_1_32,Maja Šuput & EnJoy,Maja Šuput,Ziva istina,10296,"Ko bizuterija 
ljubav je sto nas spaja
jeftina, s puno sjaja
izvana sretni smo
a iznutra tako bjesni
jedno drugome smo tjesni
 
Reda radi necu ljubiti
to ne mogu, nisam kao ti

Ref. 2x
Ziva istina je to
mi nismo jedno za drugo
vijest je stara 
da je ljubav prevara
jer u bol se pretvara

Ma, kakvi doktori
to ti je kao droga
nema lijeka protiv toga
pilule, sirupi
nisu lijek za noci duge
kad se skupi puno tuge","https://tekstovi.net/2,630,15084.html",,,,,,,
