Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Album_title_discogs,Album_year_discogs,Piano_discogs,Producer_discogs,Panpipes [Sikus]_discogs,Remix_discogs,Arranged By_discogs,Lyrics By [Co-written]_discogs,Lyrics By_discogs,Music By_discogs,Voice [Dracula]_discogs,DJ Mix_discogs,Guitar_discogs,Featuring_discogs,Vocals [Duet With]_discogs,Engineer_discogs,Instruments [Additional]_discogs,Vocals [French]_discogs,Featuring [Rap]_discogs,Backing Vocals_discogs,Tamburitza [Brač_discogs,Bugarija_discogs,Prim]_discogs,Arranged By [Tambura]_discogs,Vocals_discogs,Saxophone_discogs,Guest_discogs,Album_year_title_discogs,All_albums_discogs
Colonia,Colonia,Ljubav Ne Stanuje Tu (JD Babe House Mix),4:47,Ljubav Ne Stanuje Tu,1999.0,,Damir K. Rogina,,JD Babe,Damir K. Rogina,,,,,,,,,,,,,,,,,,,,,1999.0-Ljubav Ne Stanuje Tu,1999.0-Ljubav Ne Stanuje Tu
Colonia,Colonia,Megamix,7:18,Ljubav Ne Stanuje Tu,1999.0,,,,,,,,,,,,,,,,,,,,,,,,,,1999.0-Ljubav Ne Stanuje Tu,1999.0-Ljubav Ne Stanuje Tu/nan-Ritam Ljubavi/2004.0-Nema Nade
Colonia,Colonia,Dok Je Tebe I Ljubavi,3:09,Ritam Ljubavi,,,Damir K. Rogina,,,,Hrvoje Runtić,,,,,,,,,,,,,,,,,,,,nan-Ritam Ljubavi,nan-Ritam Ljubavi/nan-Oduzimaš Mi Dah (The Best Of...)/nan-The Best Of Volume 1/2011.0-Gold Edition/2013.0-Komplet 4 CDa
Colonia,Colonia,Ti,3:18,Ritam Ljubavi,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Ritam Ljubavi,nan-Ritam Ljubavi/nan-The Best Of Volume 1/nan-Retroactive Early Years/0.0-The Best Of
Colonia,Colonia,Korak Do Sna,3:55,Ritam Ljubavi,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Ritam Ljubavi,nan-Ritam Ljubavi
Colonia,Colonia,Nebo Iznad Nas,4:07,Ritam Ljubavi,,,,,,Boris Đurđević,,Zorica Andrijašević,Boris Đurđević,,,,,,,,,,,,,,,,,,nan-Ritam Ljubavi,nan-Ritam Ljubavi
Colonia,Colonia,Kiša,3:53,Ritam Ljubavi,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Ritam Ljubavi,nan-Ritam Ljubavi/nan-Retroactive Early Years
Colonia,Colonia,Primadona,3:29,Ritam Ljubavi,,,,,,Boris Đurđević,,Ines Prajo,Boris Đurđević,,,,,,,,,,,,,,,,,,nan-Ritam Ljubavi,nan-Ritam Ljubavi
Colonia,Colonia,Njeno Ime Ne Zovi U Snu,3:59,Ritam Ljubavi,,,,,,Boris Đurđević,,Arijana Kunštek,Boris Đurđević,,,,,,,,,,,,,,,,,,nan-Ritam Ljubavi,nan-Ritam Ljubavi/nan-The Best Of Volume 1/2005.0-Gold Edition/nan-Retroactive Early Years/2011.0-Gold Edition/2013.0-Komplet 4 CDa/nan-C'est La Vie/0.0-The Best Of
Colonia,Colonia,The Cyberfunk,2:55,Ritam Ljubavi,,,,,,,,,,Fedor Boić,,,,,,,,,,,,,,,,,nan-Ritam Ljubavi,nan-Ritam Ljubavi
