Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Album_title_discogs,Album_year_discogs,Backing Vocals_discogs,Arranged By_discogs,Music By_discogs,Producer_discogs,Guest_discogs,Lyrics By_discogs,Featuring_discogs,Backing Vocals [Additional]_discogs,Choir_discogs,Engineer [Additional Backing Vocals Recordings]_discogs,Engineer [Dobro Recordings]_discogs,Engineer [Gospel Choir Vocals Recordings]_discogs,Engineer [Vocals Recordings]_discogs,Guitar [Dobro]_discogs,Vocals [Choir Solo Parts]_discogs,Vocals [Choir]_discogs,Arranged By [Vocals]_discogs,Engineer [Guitars_discogs,Keyboards_discogs,Drum Programming Recordings]_discogs,Engineer [Sitar_discogs,Mandolins_discogs,E-bow Guitars Recordings]_discogs,Guitar [E-bow]_discogs,Sitar_discogs,Mandolin_discogs,Organ [Hammond]_discogs,Vocals_discogs,Lyrics By [Italian Lyrics]_discogs,Piano_discogs,Vocals [Featuring]_discogs,Written By [Italian Translation]_discogs,Engineer [Dobro_discogs,Performer [Boomerang]_discogs,Written-By_discogs,Engineer [Mandolins Recordings]_discogs,Engineer [Violin Recordings]_discogs,Lyrics By [Svahili]_discogs,Bass_discogs,Engineer [Drums And Bass Recordings]_discogs,Flute [Irish Flute]_discogs,Engineer [Piano Recordings]_discogs,Violin_discogs,Programmed By_discogs,Bass [Acoustic Bass]_discogs,Bass [Electric Bass]_discogs,Congas_discogs,Engineer [Drums And Bass_discogs,Piano Recordings]_discogs,Engineer [Vocals_discogs,Additional Backing Vocals_discogs,Congas Recordings]_discogs,Guitar_discogs,Guitar [Lead]_discogs,Drum Programming_discogs,Violins_discogs,Percussion Recordings]_discogs,Percussion_discogs,Engineer_discogs,Performer_discogs,Acoustic Guitar_discogs,Electric Guitar_discogs,Synthesizer_discogs,Drums_discogs,Electric Guitar [Solo]_discogs,Electric Piano_discogs,Featuring [Guest]_discogs,Acoustic Guitar [Solo]_discogs,Guitar [Nylon]_discogs,Cello_discogs,Viola_discogs,Organ_discogs,Harmonica_discogs,Bouzouki [Irish]_discogs,Violin [Pizzicato]_discogs,Organ [Solo]_discogs,Piano [Acoustic]_discogs,Accordion_discogs,Arranged By [Co-arranged]_discogs,Clarinet_discogs,Saxophone_discogs,Saxophone [Sopran]_discogs,Effects [Boomerang]_discogs,Guitar [Flamenco_discogs,Solo]_discogs,Piano [Solo]_discogs,Trumpet_discogs,Mixed By_discogs,Remix_discogs,Lyrics By [English]_discogs,Lyrics By [French]_discogs,Vocals [Duet]_discogs,Didgeridoo_discogs,Drums [Additional]_discogs,Vocals [Special Guest]_discogs,Arranged By [Choir]_discogs,Guitar [Laid Back]_discogs,Guitar [Pedal Steel]_discogs,Brass_discogs,Pedal Steel Guitar_discogs,Album_year_title_discogs,All_albums_discogs
Gibonni,Zlatan Stipišić Gibonni,Zlatne Godine,4:24,Zlatne Godine / Zlatne Godine (Unplugged Verzija),1993.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1993.0-Zlatne Godine / Zlatne Godine (Unplugged Verzija),1993.0-Zlatne Godine / Zlatne Godine (Unplugged Verzija)/1993.0-Noina Arka / Sa Mnom Ili Bez Mene/nan-Noina Arka/nan-Koncert/nan-24 Karata ! 18 Velikih (1991-1998)/nan-Kolekcija/nan-Kolekcija/nan-The Best Of Gibonni/2006.0-The Platinum Collection/2009.0-The best Of/2010.0-Najbolje Pjesme
Gibonni,Zlatan Stipišić Gibonni,Zlatne Godine (Unplugged Verzija),4:27,Zlatne Godine / Zlatne Godine (Unplugged Verzija),1993.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1993.0-Zlatne Godine / Zlatne Godine (Unplugged Verzija),1993.0-Zlatne Godine / Zlatne Godine (Unplugged Verzija)
Gibonni,Zlatan Stipišić Gibonni,Suviše Sam Njen,3:27,Noina Arka / Sa Mnom Ili Bez Mene,1993.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1993.0-Noina Arka / Sa Mnom Ili Bez Mene,1993.0-Noina Arka / Sa Mnom Ili Bez Mene/nan-Noina Arka/nan-Kolekcija/2010.0-Najljepše Ljubavne Pjesme
Gibonni,Zlatan Stipišić Gibonni,Ostat Ću Na Nogama,4:47,Noina Arka / Sa Mnom Ili Bez Mene,1993.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1993.0-Noina Arka / Sa Mnom Ili Bez Mene,1993.0-Noina Arka / Sa Mnom Ili Bez Mene/nan-Noina Arka/nan-Kolekcija
Gibonni,Zlatan Stipišić Gibonni,Dobri Judi/Split '93,3:30,Noina Arka / Sa Mnom Ili Bez Mene,1993.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1993.0-Noina Arka / Sa Mnom Ili Bez Mene,1993.0-Noina Arka / Sa Mnom Ili Bez Mene
Gibonni,Zlatan Stipišić Gibonni,Nisi Htjela Siromaha,3:54,Noina Arka / Sa Mnom Ili Bez Mene,1993.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1993.0-Noina Arka / Sa Mnom Ili Bez Mene,1993.0-Noina Arka / Sa Mnom Ili Bez Mene/nan-Noina Arka/nan-Kolekcija
Gibonni,Zlatan Stipišić Gibonni,Tebe Nisam Bio Vrijedan/Split '92,3:38,Noina Arka / Sa Mnom Ili Bez Mene,1993.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1993.0-Noina Arka / Sa Mnom Ili Bez Mene,1993.0-Noina Arka / Sa Mnom Ili Bez Mene
Gibonni,Zlatan Stipišić Gibonni,Kaplja Voska,4:12,Noina Arka / Sa Mnom Ili Bez Mene,1993.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1993.0-Noina Arka / Sa Mnom Ili Bez Mene,1993.0-Noina Arka / Sa Mnom Ili Bez Mene/nan-Noina Arka/nan-Kolekcija
Gibonni,Zlatan Stipišić Gibonni,Mi Smo Prvaci,4:20,Noina Arka / Sa Mnom Ili Bez Mene,1993.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1993.0-Noina Arka / Sa Mnom Ili Bez Mene,1993.0-Noina Arka / Sa Mnom Ili Bez Mene/nan-Noina Arka/nan-Kolekcija
Gibonni,Zlatan Stipišić Gibonni,Sve Će Biti K'o Nekada,4:11,Noina Arka / Sa Mnom Ili Bez Mene,1993.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1993.0-Noina Arka / Sa Mnom Ili Bez Mene,1993.0-Noina Arka / Sa Mnom Ili Bez Mene
Gibonni,Zlatan Stipišić Gibonni,Sa Mnom Ili Bez Mene,3:36,Noina Arka / Sa Mnom Ili Bez Mene,1993.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1993.0-Noina Arka / Sa Mnom Ili Bez Mene,1993.0-Noina Arka / Sa Mnom Ili Bez Mene/nan-Koncert/nan-24 Karata ! 18 Velikih (1991-1998)/nan-Kolekcija/nan-Kolekcija/nan-The Best Of Gibonni/2006.0-The Platinum Collection/2009.0-The best Of/2010.0-Najljepše Ljubavne Pjesme
Gibonni,Zlatan Stipišić Gibonni,Dobri Judi,3:30,Noina Arka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Noina Arka,nan-Noina Arka/nan-Koncert/nan-24 Karata ! 18 Velikih (1991-1998)/nan-Kolekcija/nan-Kolekcija/nan-The Best Of Gibonni/2006.0-The Platinum Collection/2009.0-The best Of/2010.0-Najljepše Ljubavne Pjesme/2010.0-Najbolje Pjesme
Gibonni,Zlatan Stipišić Gibonni,Tebe Nisam Bio Vrijedan,3:38,Noina Arka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Noina Arka,nan-Noina Arka/nan-Koncert/nan-24 Karata ! 18 Velikih (1991-1998)/2000.0-HTisdn Millennium Koncert/nan-Kolekcija/nan-Kolekcija/nan-The Best Of Gibonni/2006.0-The Platinum Collection/2010.0-Najljepše Ljubavne Pjesme/2010.0-Najbolje Pjesme
Gibonni,Zlatan Stipišić Gibonni,Nije Vrime Od Nedije U Polje Poći,3:53,Kruna Od Perja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Kruna Od Perja,nan-Kruna Od Perja
Gibonni,Zlatan Stipišić Gibonni,Kruna Od Perja,3:47,Kruna Od Perja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Kruna Od Perja,nan-Kruna Od Perja/nan-Kolekcija/2006.0-The Platinum Collection/2010.0-Najljepše Ljubavne Pjesme/2010.0-Najbolje Pjesme
Gibonni,Zlatan Stipišić Gibonni,Dvije Duše,5:09,Kruna Od Perja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Kruna Od Perja,nan-Kruna Od Perja/nan-Koncert/nan-24 Karata ! 18 Velikih (1991-1998)/nan-Kolekcija/nan-Kolekcija/nan-The Best Of Gibonni/2006.0-The Platinum Collection/nan-Live Acoustic:Electric/2010.0-Najljepše Ljubavne Pjesme/2010.0-Najbolje Pjesme
Gibonni,Zlatan Stipišić Gibonni,Ozdravi Mi Ti,4:10,Kruna Od Perja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Kruna Od Perja,nan-Kruna Od Perja/nan-Koncert/nan-24 Karata ! 18 Velikih (1991-1998)/nan-Kolekcija/nan-Kolekcija/nan-The Best Of Gibonni/2006.0-The Platinum Collection/2009.0-The best Of/2010.0-Najbolje Pjesme
Gibonni,Zlatan Stipišić Gibonni,Predstavi Se Tko Si,4:25,Kruna Od Perja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Kruna Od Perja,nan-Kruna Od Perja
Gibonni,Zlatan Stipišić Gibonni,Goli Pod Zvjezdama,4:36,Kruna Od Perja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Kruna Od Perja,nan-Kruna Od Perja
Gibonni,Zlatan Stipišić Gibonni,"Ljudi, Drž'te Lopova",5:12,Kruna Od Perja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Kruna Od Perja,nan-Kruna Od Perja
Gibonni,Zlatan Stipišić Gibonni,Život Me Umorio,4:32,Kruna Od Perja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Kruna Od Perja,nan-Kruna Od Perja/nan-Koncert/nan-24 Karata ! 18 Velikih (1991-1998)/nan-Kolekcija/nan-Kolekcija/nan-The Best Of Gibonni/2006.0-The Platinum Collection/2009.0-The best Of/2010.0-Najljepše Ljubavne Pjesme
Gibonni,Zlatan Stipišić Gibonni,Pjesma Za Bijelu Vranu,3:32,Kruna Od Perja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Kruna Od Perja,nan-Kruna Od Perja/nan-Kolekcija
Gibonni,Zlatan Stipišić Gibonni,Lipa Moja,4:23,Kruna Od Perja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Kruna Od Perja,nan-Kruna Od Perja/nan-Koncert/nan-24 Karata ! 18 Velikih (1991-1998)/2000.0-HTisdn Millennium Koncert/nan-Kolekcija/nan-Kolekcija/nan-The Best Of Gibonni/2006.0-The Platinum Collection/2009.0-The best Of/2010.0-Najljepše Ljubavne Pjesme/2010.0-Najbolje Pjesme
Gibonni,Zlatan Stipišić Gibonni,Ozdravi Mi Ti (Instr.),,Kruna Od Perja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Kruna Od Perja,nan-Kruna Od Perja
Gibonni,Zlatan Stipišić Gibonni,Ovo Mi Je Škola,,Ruža Vjetrova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Ruža Vjetrova,nan-Ruža Vjetrova/nan-24 Karata ! 18 Velikih (1991-1998)/nan-ZG Mirakul Live!/nan-Kolekcija/2006.0-The Platinum Collection/nan-Live Acoustic:Electric/2010.0-Najljepše Ljubavne Pjesme
Gibonni,Zlatan Stipišić Gibonni,Crno Ili Bijelo,,Ruža Vjetrova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Ruža Vjetrova,nan-Ruža Vjetrova/nan-Kolekcija/2006.0-The Platinum Collection
Gibonni,Zlatan Stipišić Gibonni,Loše Vino,,Ruža Vjetrova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Ruža Vjetrova,nan-Ruža Vjetrova/nan-Kolekcija/2006.0-The Platinum Collection
Gibonni,Zlatan Stipišić Gibonni,Nepobjediva,,Ruža Vjetrova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Ruža Vjetrova,nan-Ruža Vjetrova/nan-Kolekcija/2006.0-The Platinum Collection/2010.0-Najbolje Pjesme/2011.0-Hitovi
Gibonni,Zlatan Stipišić Gibonni,Što Je Meni Tvoja Nevjera,,Ruža Vjetrova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Ruža Vjetrova,nan-Ruža Vjetrova/nan-Kolekcija/nan-Kolekcija
Gibonni,Zlatan Stipišić Gibonni,Ispod Moga Pramca (Tempera),,Ruža Vjetrova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Ruža Vjetrova,nan-Ruža Vjetrova/nan-24 Karata ! 18 Velikih (1991-1998)/nan-Kolekcija/2010.0-Najljepše Ljubavne Pjesme/2010.0-Najbolje Pjesme
Gibonni,Zlatan Stipišić Gibonni,Mogu Se Kladit' U Bilo Što (Bez Tebe Lakše Bi' Živio),,Ruža Vjetrova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Ruža Vjetrova,nan-Ruža Vjetrova
Gibonni,Zlatan Stipišić Gibonni,Ako Me Nosiš Na Duši,,Ruža Vjetrova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Ruža Vjetrova,nan-Ruža Vjetrova/nan-24 Karata ! 18 Velikih (1991-1998)/nan-ZG Mirakul Live!/nan-Kolekcija/nan-The Best Of Gibonni/2006.0-The Platinum Collection/2010.0-Najljepše Ljubavne Pjesme
Gibonni,Zlatan Stipišić Gibonni,"Ej, Vapore",,Ruža Vjetrova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Ruža Vjetrova,nan-Ruža Vjetrova/nan-24 Karata ! 18 Velikih (1991-1998)/nan-Kolekcija/nan-The Best Of Gibonni/2006.0-The Platinum Collection/2010.0-Najljepše Ljubavne Pjesme/2010.0-Najbolje Pjesme
Gibonni,Zlatan Stipišić Gibonni,Ruža Vjetrova,,Ruža Vjetrova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Ruža Vjetrova,nan-Ruža Vjetrova/nan-Kolekcija
