Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Album_title_discogs,Album_year_discogs,Lyrics By [English]_discogs,Piano [Solo]_discogs,Written-By_discogs,Lyrics By_discogs,Arranged By [Co-arranged]_discogs,Music By_discogs,Arranged By_discogs,Producer_discogs,Guitar_discogs,Programmed By_discogs,Keyboards_discogs,Film Director [Video Directed By]_discogs,Featuring_discogs,Vocals [Duet]_discogs,Album_year_title_discogs,All_albums_discogs
Danijela Martinović,Danijela Martinović,Despair,,Neka Mi Ne Svane,1998.0,Marina Mudrinić,,,,,,,,,,,,,,1998.0-Neka Mi Ne Svane,1998.0-Neka Mi Ne Svane/nan-To Malo Ljubavi
Danijela Martinović,Danijela Martinović,Neka Mi Ne Svane (Instrumental Version),,Neka Mi Ne Svane,1998.0,,Fedor Boić,,,,,,,,,,,,,1998.0-Neka Mi Ne Svane,1998.0-Neka Mi Ne Svane
Danijela Martinović,Danijela Martinović,Dora '98. Multimedia,,Neka Mi Ne Svane,1998.0,,,,,,,,,,,,,,,1998.0-Neka Mi Ne Svane,1998.0-Neka Mi Ne Svane
Danijela Martinović,Danijela Martinović,Dobro Je,3:35,To Malo Ljubavi,,,,,,,,,,,,,,,,nan-To Malo Ljubavi,nan-To Malo Ljubavi/nan-Najbolje Godine/2006.0-Zlatna Kolekcija/2014.0-The Best Of Collection/2016.0-50 Originalnih Pjesama
Danijela Martinović,Danijela Martinović,Izdali Me,3:32,To Malo Ljubavi,,,,Miroslav Škoro,,,,,,,,,,,,nan-To Malo Ljubavi,nan-To Malo Ljubavi/nan-Najbolje Godine/2006.0-Zlatna Kolekcija/2010.0-Najljepše Ljubavne Pjesme/2014.0-The Best Of Collection/2016.0-50 Originalnih Pjesama
Danijela Martinović,Danijela Martinović,Čekala Sam Kao Žena,3:39,To Malo Ljubavi,,,,,,,,,,,,,,,,nan-To Malo Ljubavi,nan-To Malo Ljubavi/2006.0-Zlatna Kolekcija/2010.0-Najljepše Ljubavne Pjesme/2014.0-The Best Of Collection/2016.0-50 Originalnih Pjesama
Danijela Martinović,Danijela Martinović,'Ajde Odmori,4:12,To Malo Ljubavi,,,,,,,,,,,,,,,,nan-To Malo Ljubavi,nan-To Malo Ljubavi/nan-Canta Y Baila Con Danijela/2016.0-50 Originalnih Pjesama/2020.0-Neopisivo
Danijela Martinović,Danijela Martinović,To Malo Ljubavi,3:31,To Malo Ljubavi,,,,,Petar Grašo,,,,,,,,,,,nan-To Malo Ljubavi,nan-To Malo Ljubavi/nan-Najbolje Godine/2006.0-Zlatna Kolekcija/2010.0-Najljepše Ljubavne Pjesme/2016.0-50 Originalnih Pjesama/2020.0-Neopisivo
Danijela Martinović,Danijela Martinović,Ako Nije Kasno,3:21,To Malo Ljubavi,,,,,,,,,,,,,,,,nan-To Malo Ljubavi,nan-To Malo Ljubavi/nan-Najbolje Godine/2010.0-Najljepše Ljubavne Pjesme/2014.0-The Best Of Collection/2016.0-50 Originalnih Pjesama
Danijela Martinović,Danijela Martinović,"Što Sam Ja, Što Si Ti",3:36,To Malo Ljubavi,,,,Petar Grašo,,,,,,,,,,,,nan-To Malo Ljubavi,nan-To Malo Ljubavi/nan-Najbolje Godine/2006.0-Zlatna Kolekcija/nan-Canta Y Baila Con Danijela/2010.0-Najljepše Ljubavne Pjesme/2014.0-The Best Of Collection
Danijela Martinović,Danijela Martinović,Da Je Slađe Zaspati,3:31,To Malo Ljubavi,,,,,,,,,,,,,,,,nan-To Malo Ljubavi,nan-To Malo Ljubavi/nan-Najbolje Godine/2006.0-Zlatna Kolekcija/nan-Canta Y Baila Con Danijela/2014.0-The Best Of Collection/2016.0-50 Originalnih Pjesama/2020.0-Neopisivo
Danijela Martinović,Danijela Martinović,"Danima, Godinama, Satima",3:47,I Po Svjetlu I Po Mraku,,,,,,,,,,,,,,,,nan-I Po Svjetlu I Po Mraku,nan-I Po Svjetlu I Po Mraku/2006.0-Zlatna Kolekcija/2010.0-Najljepše Ljubavne Pjesme/2014.0-The Best Of Collection/2016.0-50 Originalnih Pjesama
Danijela Martinović,Danijela Martinović,Marke Nemam,3:21,I Po Svjetlu I Po Mraku,,,,,,,,,,,,,,,,nan-I Po Svjetlu I Po Mraku,nan-I Po Svjetlu I Po Mraku/nan-Najbolje Godine/2006.0-Zlatna Kolekcija/2006.0-Canta Y Baila Con Danijela/nan-Canta Y Baila Con Danijela/2014.0-The Best Of Collection/2016.0-50 Originalnih Pjesama/2020.0-Neopisivo
Danijela Martinović,Danijela Martinović,Razlog ,3:56,I Po Svjetlu I Po Mraku,,,,,,,,,,,,,,,,nan-I Po Svjetlu I Po Mraku,nan-I Po Svjetlu I Po Mraku
Danijela Martinović,Danijela Martinović,Ne Gazi Po Meni,4:07,I Po Svjetlu I Po Mraku,,,,,,,,,,,,,,,,nan-I Po Svjetlu I Po Mraku,nan-I Po Svjetlu I Po Mraku
Danijela Martinović,Danijela Martinović,I Po Svjetlu I Po Mraku,3:58,I Po Svjetlu I Po Mraku,,,,,,,,Nikša Bratoš,Nikša Bratoš,Nikša Bratoš,,,,,,nan-I Po Svjetlu I Po Mraku,nan-I Po Svjetlu I Po Mraku/nan-Najbolje Godine
Danijela Martinović,Danijela Martinović,Žalosna Bi Bila,3:26,I Po Svjetlu I Po Mraku,,,,,,,Petar Grašo,,,,,,,,,nan-I Po Svjetlu I Po Mraku,nan-I Po Svjetlu I Po Mraku
Danijela Martinović,Danijela Martinović,Ja Znam,3:15,I Po Svjetlu I Po Mraku,,,,,Miroslav Škoro,,Miroslav Škoro,,,,,,,,,nan-I Po Svjetlu I Po Mraku,nan-I Po Svjetlu I Po Mraku
Danijela Martinović,Danijela Martinović,Sedma Godina,3:32,I Po Svjetlu I Po Mraku,,,,,,,,,,,,,,,,nan-I Po Svjetlu I Po Mraku,nan-I Po Svjetlu I Po Mraku/2006.0-Zlatna Kolekcija/2010.0-Najljepše Ljubavne Pjesme
Danijela Martinović,Danijela Martinović,Bonus Track,,I Po Svjetlu I Po Mraku,,,,,,,,,,,,,,,,nan-I Po Svjetlu I Po Mraku,nan-I Po Svjetlu I Po Mraku/nan-Unikat
Danijela Martinović,Danijela Martinović,I Po Svjetlu I Po Mraku - Instrum.,3:58,I Po Svjetlu I Po Mraku,,,,,,,,,,,,,,,,nan-I Po Svjetlu I Po Mraku,nan-I Po Svjetlu I Po Mraku
Danijela Martinović,Danijela Martinović,To Nije To,3:58,Pleši Sa Mnom,,,,,Petar Grašo,,Petar Grašo,,,,,,,,,nan-Pleši Sa Mnom,nan-Pleši Sa Mnom/2002.0-Gold Collection (Volume 02)/2006.0-Zlatna Kolekcija/2014.0-The Best Of Collection/2016.0-50 Originalnih Pjesama
Danijela Martinović,Danijela Martinović,"Ja, Ja, Ja",3:29,Pleši Sa Mnom,,,,,Fayo,,Đorđe Novković,,,,,,,,,nan-Pleši Sa Mnom,nan-Pleši Sa Mnom/2006.0-Zlatna Kolekcija/2016.0-50 Originalnih Pjesama
