Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Album_title_discogs,Album_year_discogs,Lyrics By [English]_discogs,Piano [Solo]_discogs,Written-By_discogs,Lyrics By_discogs,Arranged By [Co-arranged]_discogs,Music By_discogs,Arranged By_discogs,Producer_discogs,Guitar_discogs,Programmed By_discogs,Keyboards_discogs,Film Director [Video Directed By]_discogs,Featuring_discogs,Vocals [Duet]_discogs,Album_year_title_discogs,All_albums_discogs
Danijela Martinović,Danijela Martinović,Lagani Mix (Na Po' Mi Srce Živi - Hrabri Ljudi - Virujen U Te - Zora Je),,Pjeva Hitove Đorđa Novkovića - Nek' Živi Ljubav,,,,,,,,,,,,,,,,nan-Pjeva Hitove Đorđa Novkovića - Nek' Živi Ljubav,nan-Pjeva Hitove Đorđa Novkovića - Nek' Živi Ljubav
Danijela Martinović,Danijela Martinović,"Plesni Mix (Nisi Ti Više Crno Vino - Ja, Ja, Ja - Odavno Više Ne Plačem Zbog Tebe - Svi Pjevaju, Ja Ne Čujem - Nikoga Nisam Volio Tako)",,Pjeva Hitove Đorđa Novkovića - Nek' Živi Ljubav,,,,,,,,,,,,,,,,nan-Pjeva Hitove Đorđa Novkovića - Nek' Živi Ljubav,nan-Pjeva Hitove Đorđa Novkovića - Nek' Živi Ljubav
Danijela Martinović,Danijela Martinović,Srebrna Krila Mix (Kucni Tri Put' Na Vrata - Zakuni Se Ljubavi - Šalio Se Ja - Nek' Živi Ljubav),,Pjeva Hitove Đorđa Novkovića - Nek' Živi Ljubav,,,,,,,,,,,,,,,,nan-Pjeva Hitove Đorđa Novkovića - Nek' Živi Ljubav,nan-Pjeva Hitove Đorđa Novkovića - Nek' Živi Ljubav
Danijela Martinović,Danijela Martinović,Na Po' Mi Srce Živi,,Pjeva Hitove Đorđa Novkovića - Nek' Živi Ljubav,,,,,,,,,,,,,,,,nan-Pjeva Hitove Đorđa Novkovića - Nek' Živi Ljubav,nan-Pjeva Hitove Đorđa Novkovića - Nek' Živi Ljubav/2016.0-50 Originalnih Pjesama
Danijela Martinović,Danijela Martinović,Nada,,Pjeva Hitove Đorđa Novkovića - Nek' Živi Ljubav,,,,,,,,,,,,,,,,nan-Pjeva Hitove Đorđa Novkovića - Nek' Živi Ljubav,nan-Pjeva Hitove Đorđa Novkovića - Nek' Živi Ljubav
Danijela Martinović,Danijela Martinović,Don't Ever Cry,,Pjeva Hitove Đorđa Novkovića - Nek' Živi Ljubav,,,,,,,,,,,,,,,,nan-Pjeva Hitove Đorđa Novkovića - Nek' Živi Ljubav,nan-Pjeva Hitove Đorđa Novkovića - Nek' Živi Ljubav
Danijela Martinović,Danijela Martinović,Da je Slađe Zaspati,3:33,Najljepše Ljubavne Pjesme,2010.0,,,,,,,,,,,,,,,2010.0-Najljepše Ljubavne Pjesme,2010.0-Najljepše Ljubavne Pjesme
Danijela Martinović,Danijela Martinović,Živim Da Živim,4:29,Unikat,,,,,Petar Grašo,,Petar Grašo,Branimir Mihaljević,,,,,,,,nan-Unikat,nan-Unikat
Danijela Martinović,Danijela Martinović,"Pola, Pola",3:58,Unikat,,,,,Saša Žigić,,Saša Žigić,Branimir Mihaljević,,,,,,,,nan-Unikat,nan-Unikat
Danijela Martinović,Danijela Martinović,Unikat,4:45,Unikat,,,,,Petar Grašo,,Franci Zabukovec,Enes Tvrtković,,,,,,,,nan-Unikat,nan-Unikat
Danijela Martinović,Danijela Martinović,Doživotna Robija,3:26,Unikat,,,,,Petar Grašo,,Petar Grašo,Branimir Mihaljević,,,,,,,,nan-Unikat,nan-Unikat
Danijela Martinović,Danijela Martinović,Hopa Cupa,3:31,Unikat,,,,,Jadranka Krištof,,Jadranka Krištof,Enes Tvrtković,,,,,,,,nan-Unikat,nan-Unikat
Danijela Martinović,Danijela Martinović,Moj Život Je Moje Blago,4:11,Unikat,,,,,Miodrag Ž. Ilić,,Miroljub Aranđelović,Enes Tvrtković,,,,,,,,nan-Unikat,nan-Unikat
Danijela Martinović,Danijela Martinović,Zarobljenik Uspomena,4:50,Unikat,,,,,Fahrudin Pecikoza,,Petar Grašo,Enes Tvrtković,,,,,,,Halid Bešlić,nan-Unikat,nan-Unikat
Danijela Martinović,Danijela Martinović,"E, Da Sam Znala",3:31,Unikat,,,,,Jadranka Krištof,,Jadranka Krištof,Enes Tvrtković,,,,,,,,nan-Unikat,nan-Unikat
Danijela Martinović,Danijela Martinović,Ključ,3:55,Unikat,,,,,Antonija Šola,,Marsell Benzon,Branimir Mihaljević,,,,,,,,nan-Unikat,nan-Unikat
Danijela Martinović,Danijela Martinović,Danijela Časti,4:05,Unikat,,,,,Roni Marino,,Roni Marino,Enes Tvrtković,,,,,,,,nan-Unikat,nan-Unikat
Danijela Martinović,Danijela Martinović,Danijela Časti (Official Remix),3:23,Unikat,,,,,Roni Marino,,Roni Marino,,,,,,,,,nan-Unikat,nan-Unikat
Danijela Martinović,Danijela Martinović,Ti Možeš Lagat’ Svakome,3:10,The Best Of Collection,2014.0,,,,,,,,,,,,,,,2014.0-The Best Of Collection,2014.0-The Best Of Collection
Danijela Martinović,Danijela Martinović,Cd 1,,50 Originalnih Pjesama,2016.0,,,,,,,,,,,,,,,2016.0-50 Originalnih Pjesama,2016.0-50 Originalnih Pjesama
Danijela Martinović,Danijela Martinović,Volim Barabu,3:36,50 Originalnih Pjesama,2016.0,,,,,,,,,,,,,,,2016.0-50 Originalnih Pjesama,2016.0-50 Originalnih Pjesama
Danijela Martinović,Danijela Martinović,Brodolom,4:32,50 Originalnih Pjesama,2016.0,,,,,,,,,,,,,,,2016.0-50 Originalnih Pjesama,2016.0-50 Originalnih Pjesama
Danijela Martinović,Danijela Martinović,Cappuccino,3:36,50 Originalnih Pjesama,2016.0,,,,,,,,,,,,,,,2016.0-50 Originalnih Pjesama,2016.0-50 Originalnih Pjesama
Danijela Martinović,Danijela Martinović,"Što Sam Ja, Što Si TI",3:38,50 Originalnih Pjesama,2016.0,,,,,,,,,,,,,,,2016.0-50 Originalnih Pjesama,2016.0-50 Originalnih Pjesama
Danijela Martinović,Danijela Martinović,Raspašoj,3:50,50 Originalnih Pjesama,2016.0,,,,,,,,,,,,,,,2016.0-50 Originalnih Pjesama,2016.0-50 Originalnih Pjesama
Danijela Martinović,Danijela Martinović,Cd 2,,50 Originalnih Pjesama,2016.0,,,,,,,,,,,,,,,2016.0-50 Originalnih Pjesama,2016.0-50 Originalnih Pjesama
Danijela Martinović,Danijela Martinović,Naivno Malo Pile,3:51,50 Originalnih Pjesama,2016.0,,,,,,,,,,,,,,,2016.0-50 Originalnih Pjesama,2016.0-50 Originalnih Pjesama
Danijela Martinović,Danijela Martinović,Cd 3,,50 Originalnih Pjesama,2016.0,,,,,,,,,,,,,,,2016.0-50 Originalnih Pjesama,2016.0-50 Originalnih Pjesama
Danijela Martinović,Danijela Martinović,Jednu Za Ljubav,3:44,50 Originalnih Pjesama,2016.0,,,,,,,,,,,,,,,2016.0-50 Originalnih Pjesama,2016.0-50 Originalnih Pjesama/2020.0-Neopisivo
Danijela Martinović,Danijela Martinović,Dežuraj,3:41,50 Originalnih Pjesama,2016.0,,,,,,,,,,,,,,,2016.0-50 Originalnih Pjesama,2016.0-50 Originalnih Pjesama
Danijela Martinović,Danijela Martinović,I Po Svijetlu I Po Mraku,4:00,50 Originalnih Pjesama,2016.0,,,,,,,,,,,,,,,2016.0-50 Originalnih Pjesama,2016.0-50 Originalnih Pjesama
Danijela Martinović,Danijela Martinović,Božić Svaki Dan,3:41,50 Originalnih Pjesama,2016.0,,,,,,,,,,,,,,,2016.0-50 Originalnih Pjesama,2016.0-50 Originalnih Pjesama
Danijela Martinović,Danijela Martinović,Nemam Mjeru,3:21,Nemam Mjeru,2017.0,,,,,,,,,,,,,,,2017.0-Nemam Mjeru,2017.0-Nemam Mjeru
Danijela Martinović,Danijela Martinović,Telefon,3:39,Telefon,2017.0,,,,,,,,,,,,,,,2017.0-Telefon,2017.0-Telefon
Danijela Martinović,Danijela Martinović,Čovjek Bez Adrese,,Neopisivo,2020.0,,,,,,,,,,,,,,,2020.0-Neopisivo,2020.0-Neopisivo
Danijela Martinović,Danijela Martinović,"Danima,Godinama,Satima",,Neopisivo,2020.0,,,,,,,,,,,,,,,2020.0-Neopisivo,2020.0-Neopisivo
Danijela Martinović,Danijela Martinović,"Ja,Ja,Ja",,Neopisivo,2020.0,,,,,,,,,,,,,,,2020.0-Neopisivo,2020.0-Neopisivo
Danijela Martinović,Danijela Martinović,Svileni ,,Neopisivo,2020.0,,,,,,,,,,,,,Gelato Sisters,,2020.0-Neopisivo,2020.0-Neopisivo
Danijela Martinović,Danijela Martinović,"Što Sam Ja,Što Si Ti",,Neopisivo,2020.0,,,,,,,,,,,,,,,2020.0-Neopisivo,2020.0-Neopisivo
Danijela Martinović,Danijela Martinović,Starimo Dušo [Live],,Neopisivo,2020.0,,,,,,,,,,,,,,,2020.0-Neopisivo,2020.0-Neopisivo
Danijela Martinović,Danijela Martinović,Neću Se Vratiti [Live],,Neopisivo,2020.0,,,,,,,,,,,,,,,2020.0-Neopisivo,2020.0-Neopisivo
