Song_ID,Artist,Artist_diskografija,Song_tekstovinet,Views_tekstovinet,Lyrics_tekstovinet,Url_tekstovinet,Writer_lyricstranslate,Song_lyricstranslate,EngTitle_lyricstranslate,Album_lyricstranslate,Lyrics_lyricstranslate,EngLyrics_lyricstranslate,Url_lyricstranslate,Skladba_diskografija,Stihovi_diskografija,Aranžman_diskografija,Izvedba_diskografija,Album_1_diskografija,Album_2_diskografija,Album_3_diskografija,Url_diskografija,Song_diskografija,Album_4_diskografija
Kz+XdCa9_1_10,Đani Maršan,Đani Maršan,Ispod tvojih prozora,943,"Trazija san drugu sricu
dosa' san i na kraj svita
a ovo ispijeno tilo
shvatilo je da je zlato
ostalo za njim u dvoru tom

'Ocu ti opet, duso moja
brisati suze na kusinu
pismom sapnuti ""oprosti""
klapi reci tiho, tise
i zori da ne rudi
da mi se andjel ne probudi

Ref.
Ispod tvojih prozora
raste ruzmarin
cuva uspomene
neka cvate, nek' ne vene

Ispod tvojih skura
jos ceka zadnja serenada
srce si mi slomila
dusu mi zarobila

Mladost san ostavija
ispod tvojih prozora

Sve san tija zaboravit'
i u skitnji i u vinu
triba li se natrag vratit'
cud mi ne da, srce 'oce
morat' cu i ja za njin
tamo di cvate ruzmarin

Ref.

Ispod tvojih prozora","https://tekstovi.net/2,1337,58386.html",,,,,,,,,,,['Đani Maršan'],,,,https://diskografija.com/pjesma/ispod-tvojih-prozora-22300.htm,Ispod tvojih prozora,
Kz+XdCa9_1_11,Đani Maršan,Đani Maršan,Ja te volim,467,"Zaustavi taj vlak, jos ima vremena
trazim te posvud, prevelik je grad
kao da su nocas pali snjegovi
izbrisani tvoji tragovi

Ako posljednja umiru sjecanja
spusti kofere, pozovi me
oko mene svud vec je pao mrak
molim te, zaustavi taj vlak
 
Ref.
Dok drugi ti poklanjanju
parfeme, skupe haljine
od mene uzmi muziku i stihove

Dok drugi nude gradove
i nepoznate obale
ja samo volim, volim
i zato, nemoj poci, ja te molim
nemoj i ne ostavljaj me, jer

Na putu ispred nas trnje i cvjetovi
kad krene zadnji vlak, kasno je sve
ne daj da s njim odu zadnja nadanja
spusti kofere, pozovi me

Ref.

Ja te volim","https://tekstovi.net/2,1337,63119.html",,Ja te volim,I Love You,The Best Of Collection,"Zaustavi taj vlak, još ima vremena
Tražim te posvud, prevelik je grad
Kao da su noćas pali snjegovi
Izbrisani tvoji tragovi. Ako posljednja umiru nadanja
Spusti kofere, pozovi me
Oko mene svud već je pao mrak
Molim te, zaustavi taj vlak. Dok drugi ti poklanjaju
Parfeme, skupe haljine
Od mene uzmi muziku i stihove. Dok drugi nude gradove
I nepoznate obale
Ja samo volim! Volim!. I zato, nemoj poći, ja te molim
Nemoj i ne ostavljaj me jer.... Na putu ispred nas trnje i cvjetovi
Kad krene zadnji vlak, kasno je sve
Ne daj da s njim odu zadnja nadanja
Spusti kofere, pozovi me. Dok drugi nude gradove
I nepoznate obale
Ja samo volim! Volim!. I zato, nemoj poći, ja te molim
Nemoj i ne ostavljaj me jer.... Ja te volim...","Stop that train, there is still time
I look for you everywhere, the town is too big
As if snows fell down tonight
Your traces erased. If hopes die last
Put down your suitcases, call me
Everywhere around me night already fell
Please, stop that train. While others give you
Perfumes, pricey gowns
From me you can take music and verses. While others offer cities
And foreign coasts
I just love! I love!. And that's why, don't go, I beg you
Don't and don't leave me cause.... On the path before us thorns and flowers
When the last train sets off, it's late
Don't late the last hopes to leave with it
Put down your suitcases, call me. While others offer cities
And foreign coasts
I just love! I love!. And that's why, don't go, I beg you
Don't and don't leave me cause...",https://lyricstranslate.com/en/ja-te-volim-i-love-you.html-2,['Đani Maršan'],['Đani Maršan'],['Andrej Baša'],['Đani Maršan'],1996 - Negdje ima put,2006 - Da te mogu pismom zvati - Libar V,,https://diskografija.com/pjesma/ja-te-volim-8274.htm,Ja te volim,
Kz+XdCa9_1_12,Đani Maršan,Đani Maršan,Jedna ce mandolina,1385,"Tebi cu donijeti ja
prsten od zlata
tiho cu kucati, mila
na tvoja vrata

Ruku cu traziti tvoju
najdraza moja
za mene postojis samo ti
i tvoja ljepota
 
Ref. 2x
Jedna ce mandolina
svirati ovu noc
cekaj me, cekaj, mila
cekaj, jer ja cu doc' 

Tebi cu donijeti ja
najljepse cvijece
nikada ljubav nasa
prestati nece

S tobom cu zivjeti ja
cijelog zivota
nas dom ces krasiti
voljena, ti i tvoja ljepota 

Ref. 2x","https://tekstovi.net/2,1337,60275.html",,Jedna će mandolina,A Mandolin Will,Od Suza Do Fešte,"Tebi ću donijeti ja prsten od zlata
Tiho ću kucati, mila, na tvoja vrata
Ruku ću tražiti tvoju, najdraža moja
Za mene postojiš samo ti i ljubav tvoja. [Refren]
Jedna će mandolina
Svirati ovu noć
Čekaj me, čekaj, mila
Čekaj jer ja ću doć. Tebi ću donijeti ja najljepše cvijeće
Nikada ljubav naša prestati neće
S tobom ću živjeti ja cijelog života
Naš dom ćeš krasiti, voljena, ti i tvoja ljepota. [Refren]","I will bring you a ring out of gold
I will quietly knock, honey, at your door
I will ask for your hand, my dearest
For me only you exist and your love. [Refrain]
A mandolin will
Play tonight
Wait for me, wait, honey
Wait cause I will come. I will bring you the most beautiful flowers
Our love will never cease
I will live with you my whole life
Our home will be decorate, beloved, by you and your beauty. [Refrain]",https://lyricstranslate.com/en/jedna-%C4%87e-mandolina-mandolin-will.html,,,,['Đani Maršan'],,,,https://diskografija.com/pjesma/jedna-ce-mandolina-22303.htm,Jedna će mandolina,
Kz+XdCa9_1_13,Đani Maršan,Đani Maršan,Kad mendule procvitaju,2793,"Onog jutra kad san posa
ka da me j' u srcu stislo
kako nece, kad je plakala i stina
dalje, nepoznati ljudi
ladni vitri, puno sniga
a u dusi miris masline i vina
 
Onog jutra kad si posa
volija si moju mladost
da te cuva za daleka putovanja
svake noci kraj kusina
vracaju se tvoje rici
tvoja slika, tvoja zadnja obecanja

Ref.
Kad mendule procvitaju
u ranu zoru doci cu
zauvik s tobon ostati
moja jedina jubavi

Kad mendule procvitaju
i pivci kad zapivaju
u ranu zoru doci cu
kada mendule procvitaju

Vec je proslo puno lita
a od tebe niti glasa
i vec davno nemir cupa moje tilo
molitva je moja snaga
moja radost, moja nada
necu kleti, nego blazeno ti bilo

Pokora je moja prosla
samo nebo tajnu znade
kako je u meni zvalo virovanje
da ti mladost tvoju vratin
da te molin, i poklonin
davni zavit, moje davno obecanje

Ref.","https://tekstovi.net/2,1337,60213.html",,,,,,,,['Đani Maršan'],['Đani Maršan'],['Andrej Baša'],['Đani Maršan'],,,,https://diskografija.com/pjesma/kad-mendule-procvitaju-8279.htm,Kad mendule procvitaju,
Kz+XdCa9_1_14,Đani Maršan,Đani Maršan,Kuco moja,441,"Stisla se uz druge, ka´ da joj je zima
i raspuklih skuri pari stara zena
nima iz nje smija, nima iz nje dima
kamen kuce moje nagrizla vrimena

´ladne su gradele, komin i komostre
a iz starog zida kapari su nikli
sad su lita vruca, sad su zime ostre
od ditinstva cime davno se presikle
 
Ref.
Daj mi reci, di to vrime ode
kuco moja na cetiri vode
daj mi reci, pricaj stare zgode
kuco moja na cetiri vode

Jos mi srcu tvoje slike gode
kuco moja na cetiri vode
misli na te jos me sviton vode
kuco moja na cetiri vode

Buze na kuverti, napukla gustirna
´ko ce zedj mi gasit´ kad se vratin doma
da sacuvan tilo za vrimena mirna
i da spasin kucu od zege i groma

Ref.","https://tekstovi.net/2,1337,63147.html",,,,,,,,['Đani Maršan'],['Jakša Fiamengo'],['Andrej Baša'],['Đani Maršan'],1989 - Prijatelju moj,1993 - Moje najljepše pjesme,1995 - Svjetiljka djetinjstva,https://diskografija.com/pjesma/kuco-moja-3094.htm,Kućo moja,
Kz+XdCa9_1_15,Đani Maršan,Đani Maršan,Na obali,982,"Na obali, kad smo se mi
po prvi puta jednog jutra susreli
na obali, kad rekla si
dugo te cekam, moja prva ljubavi

Ref.
Na obali sum valova
i jedna klupa pokraj mora
ispod jednog starog bora
volim te, rekla si ti
a lagala si, na obali
 
Na obali, kad smo se mi
po prvi puta tako strasno ljubili
na obali, kad rekla si
nikada necu ovo zaboraviti

Ref.

Na obali, kad smo se mi
po prvi puta tako strasno svadjali
na obali, kad rekla si
za sve sam kriva samo ja, oprosti mi

Ref.

A lagala si, na obali
na obali","https://tekstovi.net/2,1337,63118.html",,,,,,,https://lyricstranslate.com/de/djani-mar%C5%A1an-lyrics.html,['Đani Maršan'],['Đani Maršan'],['Andrej Baša'],['Đani Maršan'],,,,https://diskografija.com/pjesma/na-obali-8276.htm,Na obali,
Kz+XdCa9_1_16,Đani Maršan,Đani Maršan,Negdje ima put,392,"Slucajno smo se sreli
onog dana
pobjeci nismo htjeli
a nismo ni znali kud

Kisa je po nama pala
suza slana
negdje ima put
 
Ljubav smo znali 
samo onu iz price
jer smo k'o djeca bez cilja
jos su nam igre svud

I ova zora za nas
uzalud svice
negdje ima put

Ref. 2x 
Idi sada, idi sama u daljini
svoj sakrij trag
a puteve cu uvijek naci
da ti vratim dane, dane sna
tvog i mog

Idi sada, idi dalje
na kraj svijeta, il' bilo kud
i pamti rijeci moje
ipak ima nade za nas dvoje

Negdje ima put
negdje ima put","https://tekstovi.net/2,1337,62408.html",,,,,,,,['Đani Maršan'],['Margit Antauer'],['Andrej Baša'],['Đani Maršan'],,,,https://diskografija.com/pjesma/negdje-ima-put-8281.htm,Negdje ima put,
Kz+XdCa9_1_17,Đani Maršan,Đani Maršan,Ovo sunce (feat. Klapa Sibenik),291,"Ovo Sunce sto je bilo
prije Zemlje i jos prije
koje mi je tebe dalo
i toplinu da me grije

Ref.
Neka me spali ili spasi
sto cu sam na ovon svitu
boje da me Sunce zgasi
kad je jubav u zenitu
 
Neka me spasi, ili spali
neka mi Sunce svicu strne
boje da se jubav zgasi
kad joj vjecnost nisu dali

Ovo ljeto sto se daje
u toplini tvojih grudi
kad mi uzme sve sto traje
za trenutak koji nudi

Ref.

Boje da se jubav zgasi
kad joj vjecnost nisu dali","https://tekstovi.net/2,1337,63154.html",,,,,,,,,,,,,,,,,
Kz+XdCa9_1_18,Đani Maršan,Đani Maršan,Prijatelju moj,428,"Gdje je tvoj brod, prijatelju moj
more je opet nocas plakalo
jer, svi ti vjetrovi sa zapada
jos te ne donose, kao oni sa istoka

Platit ces pice, prijatlju moj
kada u luku pristane tvoj brod
previse sunca je u rukama
premalo ljubavi u lukama
 
Ref.
A ona te vjerno cekala
svakog dana stoput more
za tebe je pitala

A ona te vjerno cekala
vjetrove je molila
da te vrate k njoj
prijatelju moj

Svakog ponedjeljka pored radija
ona u suzama je slusala
zelje i poruke za najdraze
a njoj je bilo tad najteze

Gdje je tvoj brod, prijatelju moj

Ref. 2x","https://tekstovi.net/2,1337,63148.html",,Prijatelju moj,,Moje najljepše pjesme,"Gdje je tvoj brod, prijatelju moj
more je opet noćas plakalo
jer svi ti vjetrovi sa zapada
još te ne donose ko ni sa istoka. Platit ćes piće, prijatelju moj
kada u luku pristane tvoj brod
previše sunca je u rukama
premalo ljubavi u lukama.. A ona te vjerno čekala
svakog dana stoput more je za tebe pitala
a ona te vjerno čekala
vjetrove je molila da te vrate k njoj
prijatelju moj. Svakog ponedjeljka pored radija
ona u suzama je slušala
želje i poruke za najdraže
a njoj je bilo tad najteže. Gdje je tvoj brod, prijatelju moj. A ona te vjerno čekala
svakog dana stoput more je za tebe pitala
a ona te vjerno čekala
vjetrove je molila da te vrate k njoj
prijatelju moj. A ona te vjerno čekala
svakog dana stoput more je za tebe pitala
a ona te vjerno čekala
vjetrove je molila da te vrate k njoj
prijatelju moj",,https://lyricstranslate.com/en/djani-mar%C5%A1an-prijatelju-moj-lyrics.html,['Vladimir Kočiš Zec'],['Mario Mihaljević'],['Rajko Dujmić'],['Đani Maršan'],1989 - Prijatelju moj,1993 - Moje najljepše pjesme,2005 - Da te mogu pismom zvati - Libar I,https://diskografija.com/pjesma/prijatelju-moj-3099.htm,Prijatelju moj,
Kz+XdCa9_1_19,Đani Maršan,Đani Maršan,Prisal san doma (feat. Klapa Kamik),231,"Ne pamtin si porti kadi san navigal
s tobun va srce sa mora pasal
i saki vapor je moj zajnji vijaj
dusa mi sapje da se doma tornan

Ref. 2x 
Prisal san doma kadi saku kalu znan
doma, da pul tebe pasan
tu, va domaci moj svit
prisal san doma i vavik tu cu bit´
 
Riva je pusta, i celo mesto spi
na tvojoj ponestri jos svica gori
i znan da me ceka na posteje kusin
da kraj tebe legnen i s miron zaspin

Ref. 2x","https://tekstovi.net/2,1337,63155.html",,,,,,,,,,,['Đani Maršan'],,,,https://diskografija.com/pjesma/prisal-san-doma-25844.htm,Prišal san doma,
