Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Lyrics By_discogs,Album_title_discogs,Written By [Lyrics By]_discogs,Arranged By_discogs,Album_year_discogs,Vocals_discogs,Music By_discogs,Acoustic Guitar_discogs,Performer_discogs,Vocals [Guest]_discogs,Vocals [Duet]_discogs,Flute_discogs,Written-By_discogs,Performer [Guest]_discogs,Featuring [Uncredited]_discogs,Featuring_discogs,Composed By_discogs,Mixed By_discogs,Album_year_title_discogs,All_albums_discogs
Doris Dragović,Doris Dragović,Kad Bi Bio Blizu,,,Gold Collection Volume 03 - 18 Zlatnih Hitova,,,,,,,,,,,,,,,,,nan-Gold Collection Volume 03 - 18 Zlatnih Hitova,nan-Gold Collection Volume 03 - 18 Zlatnih Hitova
Doris Dragović,Doris Dragović,Trag U Beskraju,,,Gold Collection Volume 03 - 18 Zlatnih Hitova,,,,,,,,,,,,,,,,,nan-Gold Collection Volume 03 - 18 Zlatnih Hitova,nan-Gold Collection Volume 03 - 18 Zlatnih Hitova
Doris Dragović,Doris Dragović,Teško Te Zaboravljam,,,Gold Collection Volume 03 - 18 Zlatnih Hitova,,,,,,,,,,,,,,,,,nan-Gold Collection Volume 03 - 18 Zlatnih Hitova,nan-Gold Collection Volume 03 - 18 Zlatnih Hitova
Doris Dragović,Doris Dragović,"Ne Verujem Tebi, Ne Verujem Sebi",,,Gold Collection Volume 03 - 18 Zlatnih Hitova,,,,,,,,,,,,,,,,,nan-Gold Collection Volume 03 - 18 Zlatnih Hitova,nan-Gold Collection Volume 03 - 18 Zlatnih Hitova
Doris Dragović,Doris Dragović,Ti Si Meni Sve,,,Gold Collection Volume 03 - 18 Zlatnih Hitova,,,,,,,,,,,,,,,,,nan-Gold Collection Volume 03 - 18 Zlatnih Hitova,nan-Gold Collection Volume 03 - 18 Zlatnih Hitova
Doris Dragović,Doris Dragović,Umrit Il Živit,,,Gold Collection Volume 03 - 18 Zlatnih Hitova,,,,,,,,,,,,,,,,,nan-Gold Collection Volume 03 - 18 Zlatnih Hitova,nan-Gold Collection Volume 03 - 18 Zlatnih Hitova
Doris Dragović,Doris Dragović,Dani Su Bez Broja,,,Gold Collection Volume 03 - 18 Zlatnih Hitova,,,,,,,,,,,,,Esma Redžepova,,,,nan-Gold Collection Volume 03 - 18 Zlatnih Hitova,nan-Gold Collection Volume 03 - 18 Zlatnih Hitova
Doris Dragović,Doris Dragović,Priča Se,,,Gold Collection Volume 03 - 18 Zlatnih Hitova,,,,,,,,,,,,,,,,,nan-Gold Collection Volume 03 - 18 Zlatnih Hitova,nan-Gold Collection Volume 03 - 18 Zlatnih Hitova
Doris Dragović,Doris Dragović,Ko Me Zove,,,Gold Collection Volume 03 - 18 Zlatnih Hitova,,,,,,,,,,,,,,,,,nan-Gold Collection Volume 03 - 18 Zlatnih Hitova,nan-Gold Collection Volume 03 - 18 Zlatnih Hitova
Doris Dragović,Doris Dragović,Pred Tvojim Vratima,,,Gold Collection Volume 03 - 18 Zlatnih Hitova,,,,,,,,,,,,,,,,,nan-Gold Collection Volume 03 - 18 Zlatnih Hitova,nan-Gold Collection Volume 03 - 18 Zlatnih Hitova
Doris Dragović,Doris Dragović,S Druge Strane Mjeseca,,,Gold Collection Volume 03 - 18 Zlatnih Hitova,,,,,,,,,,,,,,,,,nan-Gold Collection Volume 03 - 18 Zlatnih Hitova,nan-Gold Collection Volume 03 - 18 Zlatnih Hitova
Doris Dragović,Doris Dragović,Sve Bi Da Za Nju,,,Gold Collection Volume 03 - 18 Zlatnih Hitova,,,,,,,,,,,,,,,,,nan-Gold Collection Volume 03 - 18 Zlatnih Hitova,nan-Gold Collection Volume 03 - 18 Zlatnih Hitova
Doris Dragović,Doris Dragović,Prorok,,,Gold Collection Volume 03 - 18 Zlatnih Hitova,,,,,,,,,,,,,,,,,nan-Gold Collection Volume 03 - 18 Zlatnih Hitova,nan-Gold Collection Volume 03 - 18 Zlatnih Hitova
Doris Dragović,Doris Dragović,"Sklopi Oči,Sanjaj Me",3:57,,The Platinum Collection,,,2007.0,,,,,,,,,,,,,,2007.0-The Platinum Collection,2007.0-The Platinum Collection
Doris Dragović,Doris Dragović,Molitva,4:29,,The Platinum Collection,,,2007.0,,,,,,Ivo Gamulin,,,,,,,,2007.0-The Platinum Collection,2007.0-The Platinum Collection/2014.0-Koncert U Lisinskom
Doris Dragović,Doris Dragović,Dobra Večer Dobri Judi,4:13,Jure Stanić,Ja Vjerujem,,Nenad Šiškov,2009.0,,Jure Stanić,,,,,,,,,,,,2009.0-Ja Vjerujem,2009.0-Ja Vjerujem
Doris Dragović,Doris Dragović,Ni Riči,3:54,Vjekoslava Huljić,Ja Vjerujem,,Remi Kazinoti,2009.0,,Ivan Huljić,,,,,,,,,,,,2009.0-Ja Vjerujem,2009.0-Ja Vjerujem/2014.0-Koncert U Lisinskom/2016.0-Live Spaladium Arena
Doris Dragović,Doris Dragović,Ja Vjerujem,4:21,Dado Pastuović,Ja Vjerujem,,Nenad Šiškov,2009.0,,Dado Pastuović,,,,,,,,,,,,2009.0-Ja Vjerujem,2009.0-Ja Vjerujem/2014.0-Koncert U Lisinskom/2016.0-Live Spaladium Arena
Doris Dragović,Doris Dragović,Obilanca Malinkonije,4:11,Branko Slivar,Ja Vjerujem,,Remi Kazinoti,2009.0,,Jure Stanić,,,,,,,,,,,,2009.0-Ja Vjerujem,2009.0-Ja Vjerujem
Doris Dragović,Doris Dragović,Zvir,3:59,Vjekoslava Huljić,Ja Vjerujem,,Remi Kazinoti,2009.0,,Ivan Huljić,,,,,,,,,,,,2009.0-Ja Vjerujem,2009.0-Ja Vjerujem/2014.0-Koncert U Lisinskom/2016.0-Live Spaladium Arena
Doris Dragović,Doris Dragović,O Meni Će Pričat Potiho,3:19,Vjekoslava Huljić,Ja Vjerujem,,Remi Kazinoti,2009.0,,Ivan Huljić,,,,,,,,,,,,2009.0-Ja Vjerujem,2009.0-Ja Vjerujem/2014.0-Koncert U Lisinskom
Doris Dragović,Doris Dragović,Teret Ljubavi,3:47,Vjekoslava Huljić,Ja Vjerujem,,Remi Kazinoti,2009.0,,Tonči Huljić,,,,,,,,,,,,2009.0-Ja Vjerujem,2009.0-Ja Vjerujem/2014.0-Koncert U Lisinskom
Doris Dragović,Doris Dragović,Svit Ne Mora Znat,4:01,Vjekoslava Huljić,Ja Vjerujem,,Remi Kazinoti,2009.0,,Ivan Huljić,,,,,,,,,,,,2009.0-Ja Vjerujem,2009.0-Ja Vjerujem
Doris Dragović,Doris Dragović,Sad Znam / É La Mia Vita,3:48,Giuseppe Marino,Ja Vjerujem,,Nenad Šiškov,2009.0,,Maurizio Fabrizio,,,,,,,,,,,,2009.0-Ja Vjerujem,2009.0-Ja Vjerujem
Doris Dragović,Doris Dragović,Triba Da Se Jubimo,3:07,Dado Pastuović,Ja Vjerujem,,Nenad Šiškov,2009.0,,Dado Pastuović,,,,,,,,,,,,2009.0-Ja Vjerujem,2009.0-Ja Vjerujem
Doris Dragović,Doris Dragović,Ti Si Čovjek Za mene,,,Koncert U Lisinskom,,,2014.0,,,,,,,,,,,,,,2014.0-Koncert U Lisinskom,2014.0-Koncert U Lisinskom
Doris Dragović,Doris Dragović,Ljubav To Si Ti ,,,Koncert U Lisinskom,,,2014.0,,,,,,,,,,,Ivo Gamulin,,,2014.0-Koncert U Lisinskom,2014.0-Koncert U Lisinskom
Doris Dragović,Doris Dragović,Dobra Večer Dobri Ljudi,,,Koncert U Lisinskom,,,2014.0,,,,,,,,,,,,,,2014.0-Koncert U Lisinskom,2014.0-Koncert U Lisinskom
Doris Dragović,Doris Dragović,"Lakše Mi Je S Njom, Providenca",,,Koncert U Lisinskom,,,2014.0,,,,,,,,,,,Petar Grašo,,,2014.0-Koncert U Lisinskom,2014.0-Koncert U Lisinskom
Doris Dragović,Doris Dragović,Ne Zovi Mama Doktora ,,,Koncert U Lisinskom,,,2014.0,,,,,,,,,,,Mladen Bodalec,,,2014.0-Koncert U Lisinskom,2014.0-Koncert U Lisinskom
Doris Dragović,Doris Dragović,Neću Propast ja,,,Koncert U Lisinskom,,,2014.0,,,,,,,,,,,,,,2014.0-Koncert U Lisinskom,2014.0-Koncert U Lisinskom
Doris Dragović,Doris Dragović,More More,,,Koncert U Lisinskom,,,2014.0,,,,,,,,,,,,,,2014.0-Koncert U Lisinskom,2014.0-Koncert U Lisinskom
Doris Dragović,Doris Dragović,Nešto Što Je Od Boga,3:43,,The Best Of Collection,,,2014.0,,,,,,,,,,,,,,2014.0-The Best Of Collection,2014.0-The Best Of Collection
Doris Dragović,Doris Dragović,Svit Ne More Znat,4:03,,The Best Of Collection,,,2014.0,,,,,,,,,,,,,,2014.0-The Best Of Collection,2014.0-The Best Of Collection/2016.0-Live Spaladium Arena
Doris Dragović,Doris Dragović,Jubavi Rič,4:16,Vjekoslava Huljić,Jubavi Rič,,Leo Škaro,2015.0,,,,,,,,,,,,Ivan Huljić,,2015.0-Jubavi Rič,2015.0-Jubavi Rič/2016.0-Live Spaladium Arena
Doris Dragović,Doris Dragović,Simply The Best,3:50,,Live Spaladium Arena,,,2016.0,,,,,,,,,,,Nataša Reić,,,2016.0-Live Spaladium Arena,2016.0-Live Spaladium Arena
Doris Dragović,Doris Dragović,Zar Je Voljeti Grijeh,4:37,,Live Spaladium Arena,,,2016.0,,,,,,,,,,,,,,2016.0-Live Spaladium Arena,2016.0-Live Spaladium Arena
Doris Dragović,Doris Dragović,Lastavica,4:39,,Live Spaladium Arena,,,2016.0,,,,,,,,,,,,,,2016.0-Live Spaladium Arena,2016.0-Live Spaladium Arena
Doris Dragović,Doris Dragović,Milord,4:43,,Live Spaladium Arena,,,2016.0,,,,,,,,,,,Ana Opačak,,,2016.0-Live Spaladium Arena,2016.0-Live Spaladium Arena
Doris Dragović,Doris Dragović,Moram/Ja Noćas Umirem/To - Medley,7:45,,Live Spaladium Arena,,,2016.0,,,,,,,,,,,,,,2016.0-Live Spaladium Arena,2016.0-Live Spaladium Arena
Doris Dragović,Doris Dragović,Ima Nešto U Tome,4:21,Vjekoslava Huljić,Ima Nešto U Tome,,,2016.0,,,,,,,,,,,,Tonči Huljić,,2016.0-Ima Nešto U Tome,2016.0-Ima Nešto U Tome
Doris Dragović,Doris Dragović,Jedina Jubav Moga Života,3:56,Robert Pilepić,Jedina Jubav Moga Života,,Leo Škaro,2018.0,,Pero Kozomara,,,,,,,,,,,,2018.0-Jedina Jubav Moga Života,2018.0-Jedina Jubav Moga Života
Doris Dragović,Doris Dragović,Brod Za Nabolje,3:54,Ivan Huljić,Brod Za Nabolje,,Leo Škaro,2019.0,,,,,,,,,,,,Ivan Huljić,,2019.0-Brod Za Nabolje,2019.0-Brod Za Nabolje
Doris Dragović,Doris Dragović,Sna'ću Se Ja,3:11,Vjekoslava Huljić,Sna'ću Se Ja,,Leo Škaro,2021.0,,,,,,,,,,,,Ivan Huljić,Leo Škaro,2021.0-Sna'ću Se Ja,2021.0-Sna'ću Se Ja
