Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Album_title_discogs,Lyrics By_discogs,Music By_discogs,Written-By_discogs,Backing Vocals_discogs,Guitar_discogs,Vocals_discogs,Album_year_discogs,Guest_discogs,Violin_discogs,Written By_discogs,Featuring_discogs,Arranged By_discogs,Vocals [Duet]_discogs,Film Director_discogs,Conductor_discogs,Leader_discogs,Orchestra_discogs,Performer_discogs,Acoustic Guitar_discogs,Mandolin_discogs,Bass Guitar_discogs,Electric Guitar_discogs,Keyboards_discogs,Programmed By_discogs,Producer_discogs,Drum_discogs,Recorded By_discogs,Mixed By_discogs,Mastered By_discogs,Clarinet_discogs,Kaval_discogs,Trumpet_discogs,Accordion_discogs,Cello_discogs,Viola_discogs,Album_year_title_discogs,All_albums_discogs
Severina,Severina,Trade Mark,,Virujen U Te [Najbolje Uživo!],,,,,,,2002.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002.0-Virujen U Te [Najbolje Uživo!],2002.0-Virujen U Te [Najbolje Uživo!]
Severina,Severina,Striptiz,,Virujen U Te [Najbolje Uživo!],,,,,,,2002.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002.0-Virujen U Te [Najbolje Uživo!],2002.0-Virujen U Te [Najbolje Uživo!]
Severina,Severina,Virujen U Te,,Virujen U Te [Najbolje Uživo!],,,,,,,2002.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002.0-Virujen U Te [Najbolje Uživo!],2002.0-Virujen U Te [Najbolje Uživo!]/nan-Virujen U Te [Najbolje Uživo!]/2005.0-Cocktail/2006.0-The Platinum Collection/2010.0-Najljepše Ljubavne Pjesme/nan-Tridesete Uživo/nan-Tridesete Uživo/2011.0-Brad Pitt/2012.0-Brad Pitt/2013.0-Komplet 4 CDa/nan-50 originalnih pjesama/2014.0-Dobrodošao U Klub - Live/nan-The Best Of Collection
Severina,Severina,"Ciao, Ciao Bambina",,Virujen U Te [Najbolje Uživo!],,,,,,,2002.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002.0-Virujen U Te [Najbolje Uživo!],2002.0-Virujen U Te [Najbolje Uživo!]
Severina,Severina,"Sija Sunce, Trava Miriše",,18 Velikih Hitova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-18 Velikih Hitova,nan-18 Velikih Hitova/2006.0-The Platinum Collection/2013.0-Komplet 4 CDa/nan-50 originalnih pjesama
Severina,Severina,Kreni,,18 Velikih Hitova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-18 Velikih Hitova,nan-18 Velikih Hitova/2006.0-The Best Of/2006.0-The Platinum Collection/2013.0-Komplet 4 CDa/nan-50 originalnih pjesama/nan-The Best Of Collection
Severina,Severina,'Ko Je Kriv,,18 Velikih Hitova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-18 Velikih Hitova,nan-18 Velikih Hitova/nan-Virujen U Te [Najbolje Uživo!]/2006.0-The Platinum Collection/2010.0-Najljepše Ljubavne Pjesme
Severina,Severina,Intro,0:43,Virujen U Te [Najbolje Uživo!],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Virujen U Te [Najbolje Uživo!],nan-Virujen U Te [Najbolje Uživo!]
Severina,Severina,Daj Mi Daj,2:55,Virujen U Te [Najbolje Uživo!],,,Severina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Virujen U Te [Najbolje Uživo!],nan-Virujen U Te [Najbolje Uživo!]/2004.0-Special Limited Edition/2005.0-Cocktail/2006.0-The Platinum Collection/nan-50 originalnih pjesama
Severina,Severina,Vrati Se Pod Hitno,3:33,Virujen U Te [Najbolje Uživo!],Severina,Đorđe Novković,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Virujen U Te [Najbolje Uživo!],nan-Virujen U Te [Najbolje Uživo!]/2006.0-The Best Of
Severina,Severina,Bojate Bane Buski,4:03,Bojate Bane Buski,,,,,,,2004.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004.0-Bojate Bane Buski,2004.0-Bojate Bane Buski/2004.0-Special Limited Edition/nan-Severgreen/2005.0-Cocktail
Severina,Severina,Bojate Bane Buski (Inst.),6:31,Bojate Bane Buski,,,,,,,2004.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004.0-Bojate Bane Buski,2004.0-Bojate Bane Buski
Severina,Severina,Bonus Video,,Bojate Bane Buski,,,,,,,2004.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004.0-Bojate Bane Buski,2004.0-Bojate Bane Buski
Severina,Severina,Gdje Je Nestala Slovenija?,10:02,Bojate Bane Buski,,,,,,,2004.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004.0-Bojate Bane Buski,2004.0-Bojate Bane Buski
Severina,Severina,S Najnovijeg Albuma 'Severgreen',,Special Limited Edition,,,,,,,2004.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004.0-Special Limited Edition,2004.0-Special Limited Edition
Severina,Severina,Iz Glave,,Special Limited Edition,,,,,,,2004.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004.0-Special Limited Edition,2004.0-Special Limited Edition/nan-Severgreen/2006.0-The Best Of
Severina,Severina,S Albuma 'Virujen U Te (Najbolje Uživo!)',,Special Limited Edition,,,,,,,2004.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004.0-Special Limited Edition,2004.0-Special Limited Edition
Severina,Severina,S DVD-a 'Virujen U Te (Najbolje Uživo!)',,Special Limited Edition,,,,,,,2004.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004.0-Special Limited Edition,2004.0-Special Limited Edition
Severina,Severina,Daj Mi Daj - Video,,Special Limited Edition,,,,,,,2004.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004.0-Special Limited Edition,2004.0-Special Limited Edition
Severina,Severina,Mili Moj - Video,,Special Limited Edition,,,,,,,2004.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004.0-Special Limited Edition,2004.0-Special Limited Edition
Severina,Severina,Adam I Seva (Turkish Chicken),3:34,Severgreen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Severgreen,nan-Severgreen
Severina,Severina,Broš (Recuerdo),4:26,Severgreen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Severgreen,nan-Severgreen
Severina,Severina,Hrvatica,4:12,Severgreen,,,,,,,,,,,Silver (21),,,,,,,,,,,,,,,,,,,,,,,,,nan-Severgreen,nan-Severgreen/2006.0-The Platinum Collection
Severina,Severina,"Niti S Tobom, Nit' Bez Tebe (Samoća)",4:24,Severgreen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Severgreen,nan-Severgreen
Severina,Severina,Sama Na Sceni (Minijatura),3:25,Severgreen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Severgreen,nan-Severgreen/2006.0-The Platinum Collection
Severina,Severina,Ma Daj (French Connection),4:18,Severgreen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Severgreen,nan-Severgreen
Severina,Severina,Tuge Od Sna,3:42,Severgreen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Severgreen,nan-Severgreen/2014.0-Dobrodošao U Klub - Live
Severina,Severina,Šta Me Sad Pitaš Šta Mi Je,4:42,Severgreen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Severgreen,nan-Severgreen/2006.0-The Best Of/nan-Tridesete Uživo/nan-Tridesete Uživo/2012.0-Grad Bez Ljudi
Severina,Severina,Raste Trava Zelena,3:36,Cocktail,,,,,,,2005.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005.0-Cocktail,2005.0-Cocktail
Severina,Severina,Sama Na Sceni,3:22,Cocktail,,,,,,,2005.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005.0-Cocktail,2005.0-Cocktail
Severina,Severina,Adam I Seva,,Adam I Seva,,,,,,,2005.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005.0-Adam I Seva,2005.0-Adam I Seva/2006.0-The Best Of/nan-Moja Štikla / Moj Sokole/nan-Tridesete Uživo/nan-Tridesete Uživo
Severina,Severina,Ko Je Kriv,,The Best Of,Zlatan Fazlić,Zlatan Fazlić,,,,,2006.0,,,,,,Boris Novković,,,,,,,,,,,,,,,,,,,,,,,2006.0-The Best Of,2006.0-The Best Of/2013.0-Komplet 4 CDa
Severina,Severina,"Niti S Tobom, Nit' Bez Tebe",,The Best Of,Traditional,Duško Rapotec - Ute,,,,,2006.0,,,,,Silvio Pasarić,,,,,,,,,,,,,,,,,,,,,,,,2006.0-The Best Of,2006.0-The Best Of
Severina,Severina,"Daj, Da Biram",,The Platinum Collection,,,,,,,2006.0,,,,Sarr E Roma,,,,,,,,,,,,,,,,,,,,,,,,,2006.0-The Platinum Collection,2006.0-The Platinum Collection/2013.0-Komplet 4 CDa/nan-50 originalnih pjesama
Severina,Severina,"Ajde, Ajde Zlato Moje",,The Platinum Collection,,,,,,,2006.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006.0-The Platinum Collection,2006.0-The Platinum Collection/nan-Tridesete Uživo/nan-Tridesete Uživo/nan-50 originalnih pjesama/nan-The Best Of Collection
Severina,Severina,Srce Je Moje Veliko K'o Kuća,,The Platinum Collection,,,,,,,2006.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006.0-The Platinum Collection,2006.0-The Platinum Collection
Severina,Severina,Moja Štikla,,The Platinum Collection,,,,,,,2006.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006.0-The Platinum Collection,2006.0-The Platinum Collection/nan-Moja Štikla / Moj Sokole/nan-Tridesete Uživo/nan-Tridesete Uživo/2011.0-Brad Pitt/2012.0-Italiana/2012.0-Brad Pitt/2014.0-Dobrodošao U Klub - Live
Severina,Severina,Rođena Da Budem Prva,,The Platinum Collection,,,,,,,2006.0,,,,,,Lana Jurčević,,,,,,,,,,,,,,,,,,,,,,,2006.0-The Platinum Collection,2006.0-The Platinum Collection/2013.0-Komplet 4 CDa/nan-50 originalnih pjesama
Severina,Severina,Moja Štikla / Eurosong 2006,,Moja Štikla / Moj Sokole,,Franjo Valentić,,,,,,,,,Stipe Žmire,Goran Bregović,,,,,,,,,,,,,,,,,,,,,,,,nan-Moja Štikla / Moj Sokole,nan-Moja Štikla / Moj Sokole
Severina,Severina,Moja Štikla / Instrumental Version,,Moja Štikla / Moj Sokole,,Franjo Valentić,,,,,,,,,,Goran Bregović,,,,,,,,,,,,,,,,,,,,,,,,nan-Moja Štikla / Moj Sokole,nan-Moja Štikla / Moj Sokole
Severina,Severina,Adam I Seva / Silver Club Mix,,Moja Štikla / Moj Sokole,,Silvio Pasarić,,,,,,,,,,Silvio Pasarić,,,,,,,,,,,,,,,,,,,,,,,,nan-Moja Štikla / Moj Sokole,nan-Moja Štikla / Moj Sokole
Severina,Severina,French Connection,,Moja Štikla / Moj Sokole,,Silvio Pasarić,,,,,,,,,,Silvio Pasarić,,,,,,,,,,,,,,,,,,,,,,,,nan-Moja Štikla / Moj Sokole,nan-Moja Štikla / Moj Sokole
Severina,Severina,Moj Sokole,,Moja Štikla / Moj Sokole,,Boris Novković,,,,,,,,,,Boris Novković,,,,,,,,,,,,,,,,,,,,,,,,nan-Moja Štikla / Moj Sokole,nan-Moja Štikla / Moj Sokole
Severina,Severina,Gas Gas,,Zdravo Marijo,,,,,,,,,,,,,,,Miodrag Kašić,Miodrag Kašić,Puhački Orkestar Lovran,,,,,,,,,,,,,,,,,,,nan-Zdravo Marijo,nan-Zdravo Marijo/2011.0-Grad Bez Ljudi/2012.0-Italiana/2014.0-Dobrodošao U Klub - Live/2014.0-Dobrodošao U Klub - Live
Severina,Severina,Pucajte U Tamburaše,,Zdravo Marijo,,Traditional,,Najbolji Hrvatski Tamburaši,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Zdravo Marijo,nan-Zdravo Marijo/nan-Tridesete Uživo/nan-Tridesete Uživo/nan-Tridesete Uživo
Severina,Severina,Muškarcu Samo Treba Kurva,,Zdravo Marijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Zdravo Marijo,nan-Zdravo Marijo/nan-Tridesete Uživo/nan-Tridesete Uživo/nan-Tridesete Uživo
Severina,Severina,Gade,,Zdravo Marijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Zdravo Marijo,nan-Zdravo Marijo/nan-Tridesete Uživo/nan-Tridesete Uživo/nan-Tridesete Uživo/2011.0-Grad Bez Ljudi/2012.0-Grad Bez Ljudi/2014.0-Dobrodošao U Klub - Live/2014.0-Dobrodošao U Klub - Live
Severina,Severina,Da Nisi Možda Gej?,,Zdravo Marijo,,,,,,,,,,,,,,,Tonči Ćićerić,Tonči Ćićerić,,"Gradska Glazba ""Zvonimir""",,,,,,,,,,,,,,,,,,nan-Zdravo Marijo,nan-Zdravo Marijo/nan-Tridesete Uživo/nan-Tridesete Uživo
Severina,Severina,Ljute Cigare,,Zdravo Marijo,,,,,,,,,,,,,,,Milivoj Častek,Milivoj Častek,"Puhački Orkestar ""Česká Beseda""",,,,,,,,,,,,,,,,,,,nan-Zdravo Marijo,nan-Zdravo Marijo/nan-Tridesete Uživo/nan-Tridesete Uživo/2012.0-Italiana
Severina,Severina,Haljinica Boje Lila,,Zdravo Marijo,Nikola Pejaković,Nikola Pejaković,,,,,,,,,,Goran Bregović,,,,,,,,,,,,,,,,,,,,,,,,nan-Zdravo Marijo,nan-Zdravo Marijo/nan-Tridesete Uživo/nan-Tridesete Uživo/nan-Tridesete Uživo
Severina,Severina,Šta To Ona Ima Što Ja Nemam,,Zdravo Marijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Zdravo Marijo,nan-Zdravo Marijo
Severina,Severina,Tridesete,,Zdravo Marijo,,Sezen Aksu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Zdravo Marijo,nan-Zdravo Marijo/nan-Tridesete Uživo/nan-Tridesete Uživo/nan-Tridesete Uživo/2011.0-Grad Bez Ljudi/2011.0-Brad Pitt/2012.0-Grad Bez Ljudi/2012.0-Brad Pitt/2014.0-Dobrodošao U Klub - Live/2014.0-Dobrodošao U Klub - Live
Severina,Severina,Zdravo Marijo,,Zdravo Marijo,,,,,,,,,,,,,,,Krunoslav Seletković,,Trenkovi Panduri,,,,,,,,,,,,,,,,,,,nan-Zdravo Marijo,nan-Zdravo Marijo/nan-Tridesete Uživo/nan-Tridesete Uživo/nan-Tridesete Uživo/2012.0-Italiana
Severina,Severina,Tvoja Prva Djevojka (1992. Live),,Tvoja Prva Djevojka,,,,,,,2009.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009.0-Tvoja Prva Djevojka,2009.0-Tvoja Prva Djevojka
Severina,Severina,Ja Samo Pjevam (1999. Live),,Tvoja Prva Djevojka,,,,,,,2009.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009.0-Tvoja Prva Djevojka,2009.0-Tvoja Prva Djevojka
Severina,Severina,Djevojka Sa Sela (1998. Live),,Tvoja Prva Djevojka,,,,,,,2009.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009.0-Tvoja Prva Djevojka,2009.0-Tvoja Prva Djevojka
Severina,Severina,Mili Moj (2001. Live),,Tvoja Prva Djevojka,,,,,,,2009.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009.0-Tvoja Prva Djevojka,2009.0-Tvoja Prva Djevojka
Severina,Severina,Pogled Ispod Obrva (2001. Live),,Tvoja Prva Djevojka,,,,,,,2009.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009.0-Tvoja Prva Djevojka,2009.0-Tvoja Prva Djevojka
Severina,Severina,Dalmatinka (1993. Live),,Tvoja Prva Djevojka,,,,,,,2009.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009.0-Tvoja Prva Djevojka,2009.0-Tvoja Prva Djevojka
Severina,Severina,Prijateljice (1998. Live),,Tvoja Prva Djevojka,,,,,,,2009.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009.0-Tvoja Prva Djevojka,2009.0-Tvoja Prva Djevojka
Severina,Severina,Hrvatica (2004. Live),,Tvoja Prva Djevojka,,,,,,,2009.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009.0-Tvoja Prva Djevojka,2009.0-Tvoja Prva Djevojka
Severina,Severina,Šta Me Sad Pitaš Kako Mi Je (2004),,Tvoja Prva Djevojka,,,,,,,2009.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009.0-Tvoja Prva Djevojka,2009.0-Tvoja Prva Djevojka
Severina,Severina,Tridesete (2008),,Tvoja Prva Djevojka,,,,,,,2009.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009.0-Tvoja Prva Djevojka,2009.0-Tvoja Prva Djevojka
Severina,Severina,"Ajde, Ajde Zlato Moje (2000)",,Tvoja Prva Djevojka,,,,,,,2009.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009.0-Tvoja Prva Djevojka,2009.0-Tvoja Prva Djevojka
Severina,Severina,Gas Gas (2008),,Tvoja Prva Djevojka,,,,,,,2009.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009.0-Tvoja Prva Djevojka,2009.0-Tvoja Prva Djevojka
Severina,Severina,Moja Štikla (2006),,Tvoja Prva Djevojka,,,,,,,2009.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009.0-Tvoja Prva Djevojka,2009.0-Tvoja Prva Djevojka
Severina,Severina,Gade (2008),,Tvoja Prva Djevojka,,,,,,,2009.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009.0-Tvoja Prva Djevojka,2009.0-Tvoja Prva Djevojka
Severina,Severina,Sama Na Sceni (Minijatura) (2004),,Tvoja Prva Djevojka,,,,,,,2009.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009.0-Tvoja Prva Djevojka,2009.0-Tvoja Prva Djevojka
Severina,Severina,Pucajte U Tamburaše (2008),,Tvoja Prva Djevojka,,,,,,,2009.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009.0-Tvoja Prva Djevojka,2009.0-Tvoja Prva Djevojka
Severina,Severina,Virujen U Te (2001),,Tvoja Prva Djevojka,,,,,,,2009.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009.0-Tvoja Prva Djevojka,2009.0-Tvoja Prva Djevojka
Severina,Severina,18 Ti Je Godina Tek (2008),,Tvoja Prva Djevojka,,,,,,,2009.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009.0-Tvoja Prva Djevojka,2009.0-Tvoja Prva Djevojka
Severina,Severina,Gardelin (2007),,Tvoja Prva Djevojka,,,,,,,2009.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009.0-Tvoja Prva Djevojka,2009.0-Tvoja Prva Djevojka
Severina,Severina,CD 1: Koncert - Prvi Dio,,Tridesete Uživo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Tridesete Uživo,nan-Tridesete Uživo
Severina,Severina,Oda Radosti,,Tridesete Uživo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Tridesete Uživo,nan-Tridesete Uživo/nan-Tridesete Uživo
Severina,Severina,CD 2: Koncert - Drugi Dio,,Tridesete Uživo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Tridesete Uživo,nan-Tridesete Uživo
Severina,Severina,Ederlezi,,Tridesete Uživo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Tridesete Uživo,nan-Tridesete Uživo/nan-Tridesete Uživo
Severina,Severina,"Gas, Gas",,Tridesete Uživo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Tridesete Uživo,nan-Tridesete Uživo/nan-Tridesete Uživo/nan-Tridesete Uživo
Severina,Severina,DVD 1: Koncert,,Tridesete Uživo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Tridesete Uživo,nan-Tridesete Uživo
Severina,Severina,DVD 2,,Tridesete Uživo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Tridesete Uživo,nan-Tridesete Uživo
Severina,Severina,Severina Tridesete Uživo - Karaoke,,Tridesete Uživo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Tridesete Uživo,nan-Tridesete Uživo
Severina,Severina,"Dokumentarni Film ""Kad Se Pretvorim U Severinu""",,Tridesete Uživo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Tridesete Uživo,nan-Tridesete Uživo
Severina,Severina,Fotogalerija,,Tridesete Uživo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Tridesete Uživo,nan-Tridesete Uživo
Severina,Severina,Spotovi,,Tridesete Uživo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Tridesete Uživo,nan-Tridesete Uživo
Severina,Severina,18 Ti Je Godina Tek,,Tridesete Uživo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Tridesete Uživo,nan-Tridesete Uživo
Severina,Severina,Lola,,Tridesete Uživo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Tridesete Uživo,nan-Tridesete Uživo/2011.0-Brad Pitt/2012.0-Brad Pitt/2014.0-Dobrodošao U Klub - Live
Severina,Severina,Grad Bez Ljudi,,Grad Bez Ljudi,Miloš Roganović,Miloš Roganović,,,,,2011.0,,,,,Miloš Roganović,,,,,,,,,,,,,,,,,,,,,,,,2011.0-Grad Bez Ljudi,2011.0-Grad Bez Ljudi/2012.0-Grad Bez Ljudi/nan-Dobrodošao U Klub/2014.0-Dobrodošao U Klub - Live/2014.0-Dobrodošao U Klub - Live
Severina,Severina,Brad Pitt,,Grad Bez Ljudi,Miloš Roganović,Miloš Roganović,,,,,2011.0,,,,,Miloš Roganović,,,,,,,,,,,,,,,,,,,,,,,,2011.0-Grad Bez Ljudi,2011.0-Grad Bez Ljudi/2011.0-Brad Pitt/2012.0-Brad Pitt/nan-Dobrodošao U Klub/2014.0-Dobrodošao U Klub - Live/2014.0-Dobrodošao U Klub - Live
Severina,Severina,Ajde Ajde Zlato Moje,,Brad Pitt,Severina,Đorđe Novković,,,,,2011.0,,,,,Muc Softić,,,,,,,,,,,,,,,,,,,,,,,,2011.0-Brad Pitt,2011.0-Brad Pitt/2012.0-Brad Pitt/2014.0-Dobrodošao U Klub - Live/2014.0-Dobrodošao U Klub - Live
Severina,Severina,Italiana,,Italiana,,,Miloš Roganović,,,,2012.0,,,,FM Band,,,,,,,,,,,,,,,,,,,,,,,,,2012.0-Italiana,2012.0-Italiana/nan-Dobrodošao U Klub/2014.0-Dobrodošao U Klub - Live/2014.0-Dobrodošao U Klub - Live/2014.0-Dobrodošao U Klub - Live
Severina,Severina,Da Nisi Možda Gej,,Italiana,,,,,,,2012.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012.0-Italiana,2012.0-Italiana
Severina,Severina,Dobrodošao U Klub,3:52,Dobrodošao U Klub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Dobrodošao U Klub,nan-Dobrodošao U Klub/2014.0-Dobrodošao U Klub - Live/2014.0-Dobrodošao U Klub - Live
Severina,Severina,Ko Me Tjero,3:08,Dobrodošao U Klub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Dobrodošao U Klub,nan-Dobrodošao U Klub/2014.0-Brazil/2014.0-Dobrodošao U Klub - Live/2014.0-Dobrodošao U Klub - Live
Severina,Severina,Uzbuna,3:32,Dobrodošao U Klub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Dobrodošao U Klub,nan-Dobrodošao U Klub/2014.0-Brazil/2014.0-Dobrodošao U Klub - Live/2014.0-Dobrodošao U Klub - Live
Severina,Severina,Kradeš Sve,3:58,Dobrodošao U Klub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Dobrodošao U Klub,nan-Dobrodošao U Klub/2014.0-Dobrodošao U Klub - Live/2014.0-Dobrodošao U Klub - Live
Severina,Severina,Slaba Na Slabića,3:43,Dobrodošao U Klub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Dobrodošao U Klub,nan-Dobrodošao U Klub
Severina,Severina,Kamen Oko Vrata,3:37,Dobrodošao U Klub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Dobrodošao U Klub,nan-Dobrodošao U Klub/2014.0-Dobrodošao U Klub - Live/2014.0-Dobrodošao U Klub - Live
Severina,Severina,Ostavljena,3:55,Dobrodošao U Klub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Dobrodošao U Klub,nan-Dobrodošao U Klub/2014.0-Dobrodošao U Klub - Live/2014.0-Dobrodošao U Klub - Live
Severina,Severina,Postelja Od Vina,4:33,Dobrodošao U Klub,,,,,,,,,,,Lawrence Chatters,,,,,,,,,,,,,,,,,,,,,,,,,nan-Dobrodošao U Klub,nan-Dobrodošao U Klub
Severina,Severina,Tarapana,3:20,Dobrodošao U Klub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Dobrodošao U Klub,nan-Dobrodošao U Klub/2014.0-Brazil/2014.0-Dobrodošao U Klub - Live/2014.0-Dobrodošao U Klub - Live
Severina,Severina,"Tango, Duet",3:18,Dobrodošao U Klub,,,,,,,,,,,,,Željko Bebek,,,,,,,,,,,,,,,,,,,,,,,nan-Dobrodošao U Klub,nan-Dobrodošao U Klub
Severina,Severina,Nina Badrić - Hitovi,,Komplet 4 CDa,,,,,,,2013.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013.0-Komplet 4 CDa,2013.0-Komplet 4 CDa
Severina,Severina,Dodiri Od Stakla,,Komplet 4 CDa,,,,,,,2013.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013.0-Komplet 4 CDa,2013.0-Komplet 4 CDa
Severina,Severina,Da Se Opet Tebi Vratim,,Komplet 4 CDa,,,,,,,2013.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013.0-Komplet 4 CDa,2013.0-Komplet 4 CDa
Severina,Severina,Čarobno Jutro,,Komplet 4 CDa,,,,,,,2013.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013.0-Komplet 4 CDa,2013.0-Komplet 4 CDa
Severina,Severina,Nek Ti Bude Kao Meni,,Komplet 4 CDa,,,,,,,2013.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013.0-Komplet 4 CDa,2013.0-Komplet 4 CDa
Severina,Severina,Ja Za Ljubav Neću Moliti,,Komplet 4 CDa,,,,,,,2013.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013.0-Komplet 4 CDa,2013.0-Komplet 4 CDa
Severina,Severina,I'm So Excited,,Komplet 4 CDa,,,,,,,2013.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013.0-Komplet 4 CDa,2013.0-Komplet 4 CDa
Severina,Severina,Takvi Kao Ti,,Komplet 4 CDa,,,,,,,2013.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013.0-Komplet 4 CDa,2013.0-Komplet 4 CDa/2013.0-Komplet 4 CDa
