Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Album_title_discogs,Lyrics By_discogs,Music By_discogs,Written-By_discogs,Backing Vocals_discogs,Guitar_discogs,Vocals_discogs,Album_year_discogs,Guest_discogs,Violin_discogs,Written By_discogs,Featuring_discogs,Arranged By_discogs,Vocals [Duet]_discogs,Film Director_discogs,Conductor_discogs,Leader_discogs,Orchestra_discogs,Performer_discogs,Acoustic Guitar_discogs,Mandolin_discogs,Bass Guitar_discogs,Electric Guitar_discogs,Keyboards_discogs,Programmed By_discogs,Producer_discogs,Drum_discogs,Recorded By_discogs,Mixed By_discogs,Mastered By_discogs,Clarinet_discogs,Kaval_discogs,Trumpet_discogs,Accordion_discogs,Cello_discogs,Viola_discogs,Album_year_title_discogs,All_albums_discogs
Severina,Severina,Odlazim,3:47,Severina,Jurica Pađen,Zrinko Tutić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Severina,nan-Severina
Severina,Severina,Zakuni Se Ljubavi,3:16,Severina,Željko Sabol,Đorđe Novković,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Severina,nan-Severina/2010.0-Najljepše Ljubavne Pjesme/nan-50 originalnih pjesama
Severina,Severina,Tvoja Prva Djevojka,4:48,Severina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Severina,nan-Severina/nan-Paloma Nera Uzivo/2002.0-Virujen U Te [Najbolje Uživo!]/nan-18 Velikih Hitova/nan-Virujen U Te [Najbolje Uživo!]/2005.0-Cocktail/2006.0-The Best Of/2006.0-The Platinum Collection/2010.0-Najljepše Ljubavne Pjesme/2013.0-Komplet 4 CDa/nan-50 originalnih pjesama/2014.0-Dobrodošao U Klub - Live/nan-The Best Of Collection
Severina,Severina,Zamisli,3:00,Severina,,,Husein Hasanefendić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Severina,nan-Severina
Severina,Severina,"Baby, Baby",3:05,Severina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Severina,nan-Severina
Severina,Severina,"Sve Što Imam, To Si Ti",3:45,Severina,Zvonko Špišić,Dino Dvornik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Severina,nan-Severina/2010.0-Najljepše Ljubavne Pjesme/nan-50 originalnih pjesama
Severina,Severina,Dalmatinka,4:18,Dalmatinka,,,,Klapa Nostalgija,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Dalmatinka,nan-Dalmatinka/nan-Paloma Nera Uzivo/2002.0-Virujen U Te [Najbolje Uživo!]/nan-18 Velikih Hitova/nan-Virujen U Te [Najbolje Uživo!]/2005.0-Cocktail/2006.0-The Best Of/2006.0-The Platinum Collection/2010.0-Najljepše Ljubavne Pjesme/nan-Tridesete Uživo/nan-Tridesete Uživo/nan-50 originalnih pjesama/nan-The Best Of Collection
Severina,Severina,Ljubi Me Noćas,3:16,Dalmatinka,,,Nenad Ninčević,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Dalmatinka,nan-Dalmatinka
Severina,Severina,Ne Bi' Ti Oprostila,3:10,Dalmatinka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Dalmatinka,nan-Dalmatinka
Severina,Severina,Maria Christina,2:54,Dalmatinka,,,Traditional,,Hrvoje Hegedušić,Matteo Cetinski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Dalmatinka,nan-Dalmatinka/nan-Paloma Nera Uzivo/2006.0-The Platinum Collection
