Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Lyrics By_discogs,Music By_discogs,Album_title_discogs,Album_year_discogs,Arranged By_discogs,Written By_discogs,Written-By_discogs,Backing Vocals_discogs,Conductor_discogs,Orchestra_discogs,Backing Band_discogs,Choir_discogs,Lyrics By [Croatian]_discogs,Trumpet [Solo]_discogs,Engineer_discogs,Lyrics By [Rendered From German]_discogs,Lyrics By [Rendered from English]_discogs,Lyrics By [Original]_discogs,Arranged By [Original]_discogs,Bass Guitar_discogs,Adapted By_discogs,Written By [Music]_discogs,Text By_discogs,Performer_discogs,Vocals_discogs,Featuring_discogs,Album_year_title_discogs,All_albums_discogs
Mišo Kovač,Mišo Kovač,"Sviraj, Maestro",,Milan Lentić,Milan Lentić,Ja Odlazim,,Stipica Kalogjera,,,,,,,,,,,,,,,,,,,,,,nan-Ja Odlazim,nan-Ja Odlazim
Mišo Kovač,Mišo Kovač,Da Je Duži Moj Dan (Je N'aurai Pas Le Temps - If I Only Had Time),,Ivica Krajač,Michel Fugain,Da Je Duži Moj Dan / Tražim,1968.0,,,,,,,,,,,,,,,,,,,,,,,1968.0-Da Je Duži Moj Dan / Tražim,1968.0-Da Je Duži Moj Dan / Tražim
Mišo Kovač,Mišo Kovač,Tražim,,Arsen Dedić,Stipica Kalogjera,Da Je Duži Moj Dan / Tražim,1968.0,,,,,,,,,,,,,,,,,,,,,,,1968.0-Da Je Duži Moj Dan / Tražim,1968.0-Da Je Duži Moj Dan / Tražim/nan-Rane Godine 1964-1969 / Ostala Si Uvijek Ista
Mišo Kovač,Mišo Kovač,Gdje Si Sada Mama (My Yidische Mom),,,,Gdje Si Sada Mama,1968.0,,,Lew Pollack,,,,,,,,,,,,,,,,,,,,1968.0-Gdje Si Sada Mama,1968.0-Gdje Si Sada Mama
Mišo Kovač,Mišo Kovač,Ista Priča,,,Pero Gotovac,Gdje Si Sada Mama,1968.0,,,,,,,,,,,,,,,,,,,,,,,1968.0-Gdje Si Sada Mama,1968.0-Gdje Si Sada Mama/nan-Rane Godine 1964-1969 / Ostala Si Uvijek Ista
Mišo Kovač,Mišo Kovač,"Šta Je Bilo, Bilo Je",,,Stipica Kalogjera,Gdje Si Sada Mama,1968.0,,,,,,,,,,,,,,,,,,,,,,,1968.0-Gdje Si Sada Mama,1968.0-Gdje Si Sada Mama
Mišo Kovač,Mišo Kovač,"Leila, Leila (Leila, Leila Jolly Fille)",,,,Gdje Si Sada Mama,1968.0,,,Elias Rahbani,,,,,,,,,,,,,,,,,,,,1968.0-Gdje Si Sada Mama,1968.0-Gdje Si Sada Mama
Mišo Kovač,Mišo Kovač,San Francisko (San Francisko - Be Sure To Wear Some Flowers In Your Hair),,Ivica Krajač,,San Francisko,,,,John Phillips,,,,,,,,,,,,,,,,,,,,nan-San Francisko,nan-San Francisko
Mišo Kovač,Mišo Kovač,"Ne Tuguj, Ljubavi",,Dragutin Britvić,Stjepan Mihaljinec,San Francisko,,,,,,,,,,,,,,,,,,,,,,,,nan-San Francisko,nan-San Francisko/nan-Rane Godine 1964-1969 / Ostala Si Uvijek Ista
Mišo Kovač,Mišo Kovač,Daj Da Odem (Release Me),,Ivica Krajač,,San Francisko,,,,Robert Yount,,,,,,,,,,,,,,,,,,,,nan-San Francisko,nan-San Francisko
Mišo Kovač,Mišo Kovač,Htjela To Ti Ili Ne (Lo Quieras O No),,Slobodan Šelebaj,Georgie Dann,San Francisko,,,,,,,,,,,,,,,,,,,,,,,,nan-San Francisko,nan-San Francisko
Mišo Kovač,Mišo Kovač,Malo Reči Treba Kad Se Voli,,Velja Marcikić,Jovan Adamov,Malo Reči Treba Kad Se Voli / Sve Što Mi Život Pruža,,Ozren Depolo,,,,,,,,,,,,,,,,,,,,,,nan-Malo Reči Treba Kad Se Voli / Sve Što Mi Život Pruža,nan-Malo Reči Treba Kad Se Voli / Sve Što Mi Život Pruža
Mišo Kovač,Mišo Kovač,Sve Što Mi Život Pruža,,,,Malo Reči Treba Kad Se Voli / Sve Što Mi Život Pruža,,Đorđe Novković,,Đorđe Novković,,,,,,,,,,,,,,,,,,,,nan-Malo Reči Treba Kad Se Voli / Sve Što Mi Život Pruža,nan-Malo Reči Treba Kad Se Voli / Sve Što Mi Život Pruža/nan-Ostala Si Uvijek Ista/nan-Rane Godine 1964-1969 / Ostala Si Uvijek Ista
Mišo Kovač,Mišo Kovač,Više Se Nećeš Vratiti,,Đorđe Novković,Đorđe Novković,Više Se Nećeš Vratiti / Reci Zbogom,,,,,"Kvartet ""Korone""",Julio Marić,Festivalski Zabavni Orkestar RTV Sarajevo,,,,,,,,,,,,,,,,,nan-Više Se Nećeš Vratiti / Reci Zbogom,nan-Više Se Nećeš Vratiti / Reci Zbogom/nan-Ostala Si Uvijek Ista/nan-Rane Godine 1964-1969 / Ostala Si Uvijek Ista/nan-Rane Godine 1964-1969 / Ostala Si Uvijek Ista/nan-Najdraže Pjesme Miše Kovača/2006.0-The Platinum Collection/2012.0-100 Originalnih Hitova
Mišo Kovač,Mišo Kovač,Reci Zbogom (Say Goodbye),,Ivica Krajač,,Više Se Nećeš Vratiti / Reci Zbogom,,,"Cara , Shakespeare",,"Vokalni Kvartet ""Admira""",Stipica Kalogjera,Zabavni Orkestar,,,,,,,,,,,,,,,,,nan-Više Se Nećeš Vratiti / Reci Zbogom,nan-Više Se Nećeš Vratiti / Reci Zbogom
Mišo Kovač,Mišo Kovač,Čemu Da Živim,,,,Čemu Da Živim / A Kad Se Opet Tebi Vratim,,,,Đorđe Novković,,,,,,,,,,,,,,,,,,,,nan-Čemu Da Živim / A Kad Se Opet Tebi Vratim,nan-Čemu Da Živim / A Kad Se Opet Tebi Vratim/nan-Mišo Kovač/nan-Najveći Uspjesi 1./nan-Ostala Si Uvijek Ista/1987.0-Najljepše Pjesme 1/nan-Najljepše Pjesme/1997.0-Najbolje/nan-Rane Godine 1964-1969 / Ostala Si Uvijek Ista/nan-Rane Godine 1964-1969 / Ostala Si Uvijek Ista/2003.0-Najveći Hitovi/nan-Najdraže Pjesme Miše Kovača/2006.0-The Platinum Collection/2010.0-Sve Najbolje/2012.0-100 Originalnih Hitova/2019.0-Original Album Collection – Vol. 1
Mišo Kovač,Mišo Kovač,A Kad Se Opet Tebi Vratim,,,,Čemu Da Živim / A Kad Se Opet Tebi Vratim,,,,Đorđe Novković,,,,,,,,,,,,,,,,,,,,nan-Čemu Da Živim / A Kad Se Opet Tebi Vratim,nan-Čemu Da Živim / A Kad Se Opet Tebi Vratim
