Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Lyrics By_discogs,Music By_discogs,Arranged By_discogs,Orchestra_discogs,Album_title_discogs,Written-By_discogs,Album_year_discogs,Ensemble_discogs,Producer_discogs,Vocals_discogs,Guest_discogs,Featuring_discogs,Album_year_title_discogs,All_albums_discogs
Zlatko Pejaković,Zlatko Pejaković,"Svirajte Mi, Pjesmu Njenu",2:48,,,,,"Koncert - Dom Športova, Zagreb '98",,,,,,,,"nan-Koncert - Dom Športova, Zagreb '98","nan-Koncert - Dom Športova, Zagreb '98"
Zlatko Pejaković,Zlatko Pejaković,"Ako Odem, Prijatelji",3:22,,,,,"Koncert - Dom Športova, Zagreb '98",,,,,,,,"nan-Koncert - Dom Športova, Zagreb '98","nan-Koncert - Dom Športova, Zagreb '98"
Zlatko Pejaković,Zlatko Pejaković,Pijem I Ja,2:39,,,,,"Koncert - Dom Športova, Zagreb '98",,,,,,,,"nan-Koncert - Dom Športova, Zagreb '98","nan-Koncert - Dom Športova, Zagreb '98"
Zlatko Pejaković,Zlatko Pejaković,Sve Su Seke,3:19,,,,,"Koncert - Dom Športova, Zagreb '98",,,,,,,,"nan-Koncert - Dom Športova, Zagreb '98","nan-Koncert - Dom Športova, Zagreb '98"
Zlatko Pejaković,Zlatko Pejaković,Kad Napuste Te Svi,3:33,,,,,"Koncert - Dom Športova, Zagreb '98",,,,,,,,"nan-Koncert - Dom Športova, Zagreb '98","nan-Koncert - Dom Športova, Zagreb '98"
Zlatko Pejaković,Zlatko Pejaković,Nećemo Noćas Doma,2:49,,,,,"Koncert - Dom Športova, Zagreb '98",,,,,,,,"nan-Koncert - Dom Športova, Zagreb '98","nan-Koncert - Dom Športova, Zagreb '98/2007.0-The Platinum Collection"
Zlatko Pejaković,Zlatko Pejaković,Živio Bi Kao Kralj,2:51,,,,,"Koncert - Dom Športova, Zagreb '98",,,,,,,,"nan-Koncert - Dom Športova, Zagreb '98","nan-Koncert - Dom Športova, Zagreb '98"
Zlatko Pejaković,Zlatko Pejaković,Jednom Kad Budem,3:16,Marina Tucaković,Josip Boček,Josip Boček,,CD Kolekcija ,,2000.0,,,,,,2000.0-CD Kolekcija ,2000.0-CD Kolekcija 
Zlatko Pejaković,Zlatko Pejaković,"Ma, Nije Moguće",4:04,Fayo,Branimir Mihaljević,,,2000,,,,,,,,nan-2000,nan-2000/2007.0-The Platinum Collection
Zlatko Pejaković,Zlatko Pejaković,Tebi,3:46,Fayo,Zlatko Pejaković,,,2000,,,,,,,,nan-2000,nan-2000
Zlatko Pejaković,Zlatko Pejaković,Šta Ćeš Kući,3:04,Fayo,Branimir Mihaljević,,,2000,,,,,,,,nan-2000,nan-2000
Zlatko Pejaković,Zlatko Pejaković,Ne Plači Dušo,3:34,Fayo,Branimir Mihaljević,,,2000,,,,,,,,nan-2000,nan-2000/2001.0-Pijem Da Je Zaboravim
Zlatko Pejaković,Zlatko Pejaković,"Moja Majka, Moja",4:37,Mario Mihaljević,Anita Šikić,,,2000,,,,,,Maja Blagdan,,nan-2000,nan-2000
Zlatko Pejaković,Zlatko Pejaković,Da Te Vidim Ano,3:36,Fayo,Zlatko Pejaković,,,2000,,,,,,,,nan-2000,nan-2000
Zlatko Pejaković,Zlatko Pejaković,"Guram, Guram",2:52,Fayo,Branimir Mihaljević,,,2000,,,,,,,,nan-2000,nan-2000
Zlatko Pejaković,Zlatko Pejaković,Dajte Vina,3:21,Fayo,Branimir Mihaljević,,,2000,,,,,,,,nan-2000,nan-2000
Zlatko Pejaković,Zlatko Pejaković,"Nemam Stranku, Nemam Partiju",3:12,Mario Mihaljević,Mario Mihaljević,,,2000,,,,,,,,nan-2000,nan-2000/2007.0-The Platinum Collection
Zlatko Pejaković,Zlatko Pejaković,Čerge (2000),5:04,Zlatko Pejaković,Zlatko Pejaković,,,2000,,,,,,,,nan-2000,nan-2000
Zlatko Pejaković,Zlatko Pejaković,Borim Se Borim (Bolna Ti Ležim),,,,,,Pijem Da Je Zaboravim,,2001.0,,,,,,2001.0-Pijem Da Je Zaboravim,2001.0-Pijem Da Je Zaboravim
Zlatko Pejaković,Zlatko Pejaković,Ne Dolazi U Moj San,,,,,,Pijem Da Je Zaboravim,,2001.0,,,,,,2001.0-Pijem Da Je Zaboravim,2001.0-Pijem Da Je Zaboravim
Zlatko Pejaković,Zlatko Pejaković,Rujno Vino (Ti Si Me Čekala),,,,,,Pijem Da Je Zaboravim,,2001.0,,,,,,2001.0-Pijem Da Je Zaboravim,2001.0-Pijem Da Je Zaboravim
Zlatko Pejaković,Zlatko Pejaković,Pijem Da Je Zaboravim,,,,,,Pijem Da Je Zaboravim,,2001.0,,,,,,2001.0-Pijem Da Je Zaboravim,2001.0-Pijem Da Je Zaboravim
Zlatko Pejaković,Zlatko Pejaković,"Odlazi, Odlazi",,,,,,Pijem Da Je Zaboravim,,2001.0,,,,,,2001.0-Pijem Da Je Zaboravim,2001.0-Pijem Da Je Zaboravim
Zlatko Pejaković,Zlatko Pejaković,Zelene Oči,,,,,,Pijem Da Je Zaboravim,,2001.0,,,,,,2001.0-Pijem Da Je Zaboravim,2001.0-Pijem Da Je Zaboravim
Zlatko Pejaković,Zlatko Pejaković,Ostarit Ću,,,,,,Pijem Da Je Zaboravim,,2001.0,,,,,,2001.0-Pijem Da Je Zaboravim,2001.0-Pijem Da Je Zaboravim
Zlatko Pejaković,Zlatko Pejaković,"E, Kad Bi Znala",,,,,,Pijem Da Je Zaboravim,,2001.0,,,,,,2001.0-Pijem Da Je Zaboravim,2001.0-Pijem Da Je Zaboravim
Zlatko Pejaković,Zlatko Pejaković,"Otrova, Otrova",,,,,,Pijem Da Je Zaboravim,,2001.0,,,,,,2001.0-Pijem Da Je Zaboravim,2001.0-Pijem Da Je Zaboravim
Zlatko Pejaković,Zlatko Pejaković,Bolje Mi Je,,,,,,Pijem Da Je Zaboravim,,2001.0,,,,,,2001.0-Pijem Da Je Zaboravim,2001.0-Pijem Da Je Zaboravim
Zlatko Pejaković,Zlatko Pejaković,Čerge (Matrica),,,,,,Pijem Da Je Zaboravim,,2001.0,,,,,,2001.0-Pijem Da Je Zaboravim,2001.0-Pijem Da Je Zaboravim
Zlatko Pejaković,Zlatko Pejaković,Pjesma Je Da Se Pjeva ,4:04,,,,,Pjesma Je Da Se Pjeva,,2001.0,,,,,,2001.0-Pjesma Je Da Se Pjeva,2001.0-Pjesma Je Da Se Pjeva
Zlatko Pejaković,Zlatko Pejaković,Čovek Koji Moli ,4:38,,,,,Pjesma Je Da Se Pjeva,,2001.0,,,,,,2001.0-Pjesma Je Da Se Pjeva,2001.0-Pjesma Je Da Se Pjeva
Zlatko Pejaković,Zlatko Pejaković,Dajte Neku Lošu,,,,,,Bezobrazno Zelene,,2002.0,,,,,,2002.0-Bezobrazno Zelene,2002.0-Bezobrazno Zelene
Zlatko Pejaković,Zlatko Pejaković,"Pola Vino, Pola Voda",,,,,,Bezobrazno Zelene,,2002.0,,,,,,2002.0-Bezobrazno Zelene,2002.0-Bezobrazno Zelene
Zlatko Pejaković,Zlatko Pejaković,Zlatne Strune,,,,,,Bezobrazno Zelene,,2002.0,,,,,,2002.0-Bezobrazno Zelene,2002.0-Bezobrazno Zelene
Zlatko Pejaković,Zlatko Pejaković,Sve Je Moje Tvoje,,,,,,Bezobrazno Zelene,,2002.0,,,,,,2002.0-Bezobrazno Zelene,2002.0-Bezobrazno Zelene
Zlatko Pejaković,Zlatko Pejaković,Nedjelja,,,,,,Bezobrazno Zelene,,2002.0,,,,,,2002.0-Bezobrazno Zelene,2002.0-Bezobrazno Zelene
Zlatko Pejaković,Zlatko Pejaković,Bezobrazno Zelene,,,,,,Bezobrazno Zelene,,2002.0,,,,,,2002.0-Bezobrazno Zelene,2002.0-Bezobrazno Zelene
Zlatko Pejaković,Zlatko Pejaković,Prava Ljubav,,,,,,Bezobrazno Zelene,,2002.0,,,,,,2002.0-Bezobrazno Zelene,2002.0-Bezobrazno Zelene
Zlatko Pejaković,Zlatko Pejaković,Kafu Mi Draga Ispeci,,,,,,Bezobrazno Zelene,,2002.0,,,,,,2002.0-Bezobrazno Zelene,2002.0-Bezobrazno Zelene
Zlatko Pejaković,Zlatko Pejaković,U Ranu Zoru,,,,,,Bezobrazno Zelene,,2002.0,,,,,,2002.0-Bezobrazno Zelene,2002.0-Bezobrazno Zelene
Zlatko Pejaković,Zlatko Pejaković,Po Lojtrici Gor I Dol,,,,,,Bezobrazno Zelene,,2002.0,,,,,,2002.0-Bezobrazno Zelene,2002.0-Bezobrazno Zelene
Zlatko Pejaković,Zlatko Pejaković,Ja Sam Svoje Grijehe Platio,,,,,,2004,,,,,,,,nan-2004,nan-2004
Zlatko Pejaković,Zlatko Pejaković,Hoću,,,,,,2004,,,,,,,,nan-2004,nan-2004/2007.0-The Platinum Collection
Zlatko Pejaković,Zlatko Pejaković,Jedan Dan U Životu Da Mi Je,,,,,,2004,,,,,,,,nan-2004,nan-2004
Zlatko Pejaković,Zlatko Pejaković,"Oteto, Prokleto",,,,,,2004,,,,,,,,nan-2004,nan-2004
Zlatko Pejaković,Zlatko Pejaković,Čekaj,,,,,,2004,,,,,,,,nan-2004,nan-2004
Zlatko Pejaković,Zlatko Pejaković,Nisam Pijan Kunem Ti Se,,,,,,2004,,,,,,,,nan-2004,nan-2004/2007.0-The Platinum Collection
Zlatko Pejaković,Zlatko Pejaković,Reci Što Da Učinim,,,,,,2004,,,,,,,,nan-2004,nan-2004
Zlatko Pejaković,Zlatko Pejaković,Udala Se,,,,,,2004,,,,,,,,nan-2004,nan-2004
Zlatko Pejaković,Zlatko Pejaković,Kao Lani,,,,,,2004,,,,,,,,nan-2004,nan-2004
Zlatko Pejaković,Zlatko Pejaković,Ti Znaš Tko Sam Ja,,,,,,2004,,,,,,,,nan-2004,nan-2004
Zlatko Pejaković,Zlatko Pejaković,Indexi - Sve Ove Godine,,,,,,Zlatna Kolekcija,,2005.0,,,,,,2005.0-Zlatna Kolekcija,2005.0-Zlatna Kolekcija
Zlatko Pejaković,Zlatko Pejaković,Sve Ove Godine,3:53,,,,,Zlatna Kolekcija,,2005.0,,,,,,2005.0-Zlatna Kolekcija,2005.0-Zlatna Kolekcija
Zlatko Pejaković,Zlatko Pejaković,Da Sam Ja Netko,3:56,,,,,Zlatna Kolekcija,,2005.0,,,,,,2005.0-Zlatna Kolekcija,2005.0-Zlatna Kolekcija
Zlatko Pejaković,Zlatko Pejaković,Svijet U Kojem Živim,4:34,,,,,Zlatna Kolekcija,,2005.0,,,,,,2005.0-Zlatna Kolekcija,2005.0-Zlatna Kolekcija
Zlatko Pejaković,Zlatko Pejaković,Sanjam,4:14,,,,,Zlatna Kolekcija,,2005.0,,,,,,2005.0-Zlatna Kolekcija,2005.0-Zlatna Kolekcija
Zlatko Pejaković,Zlatko Pejaković,Plima,5:11,,,,,Zlatna Kolekcija,,2005.0,,,,,,2005.0-Zlatna Kolekcija,2005.0-Zlatna Kolekcija
Zlatko Pejaković,Zlatko Pejaković,"Predaj Se, Srce",3:55,,,,,Zlatna Kolekcija,,2005.0,,,,,,2005.0-Zlatna Kolekcija,2005.0-Zlatna Kolekcija
Zlatko Pejaković,Zlatko Pejaković,Pozovi Me Na Kafu,3:38,,,,,Zlatna Kolekcija,,2005.0,,,,,,2005.0-Zlatna Kolekcija,2005.0-Zlatna Kolekcija
Zlatko Pejaković,Zlatko Pejaković,Pokaži Mi Dlan,4:25,,,,,Zlatna Kolekcija,,2005.0,,,,,,2005.0-Zlatna Kolekcija,2005.0-Zlatna Kolekcija
Zlatko Pejaković,Zlatko Pejaković,310 Poljubaca,4:24,,,,,Zlatna Kolekcija,,2005.0,,,,,,2005.0-Zlatna Kolekcija,2005.0-Zlatna Kolekcija
Zlatko Pejaković,Zlatko Pejaković,Krivac Si Ti,4:37,,,,,Zlatna Kolekcija,,2005.0,,,,,,2005.0-Zlatna Kolekcija,2005.0-Zlatna Kolekcija
Zlatko Pejaković,Zlatko Pejaković,Balada,4:19,,,,,Zlatna Kolekcija,,2005.0,,,,,,2005.0-Zlatna Kolekcija,2005.0-Zlatna Kolekcija
Zlatko Pejaković,Zlatko Pejaković,"Voljela Je ""Sjaj U Travi""",3:50,,,,,Zlatna Kolekcija,,2005.0,,,,,,2005.0-Zlatna Kolekcija,2005.0-Zlatna Kolekcija
Zlatko Pejaković,Zlatko Pejaković,"Njene Oči, Usne, Ruke",4:22,,,,,Zlatna Kolekcija,,2005.0,,,,,,2005.0-Zlatna Kolekcija,2005.0-Zlatna Kolekcija
Zlatko Pejaković,Zlatko Pejaković,Budi Kao More,4:52,,,,,Zlatna Kolekcija,,2005.0,,,,,,2005.0-Zlatna Kolekcija,2005.0-Zlatna Kolekcija
Zlatko Pejaković,Zlatko Pejaković,Modra Rijeka,6:52,,,,,Zlatna Kolekcija,,2005.0,,,,,,2005.0-Zlatna Kolekcija,2005.0-Zlatna Kolekcija
Zlatko Pejaković,Zlatko Pejaković,Massimo - Zlatna Kolekcija,,,,,,Zlatna Kolekcija,,2005.0,,,,,,2005.0-Zlatna Kolekcija,2005.0-Zlatna Kolekcija
Zlatko Pejaković,Zlatko Pejaković,Stranac U Noći,3:45,,,,,Zlatna Kolekcija,,2005.0,,,,,,2005.0-Zlatna Kolekcija,2005.0-Zlatna Kolekcija
Zlatko Pejaković,Zlatko Pejaković,Moja Ljubica,3:38,,,,,Zlatna Kolekcija,,2005.0,,,,,,2005.0-Zlatna Kolekcija,2005.0-Zlatna Kolekcija
Zlatko Pejaković,Zlatko Pejaković,Leđa Mi Okrećeš Ti,5:08,,,,,Zlatna Kolekcija,,2005.0,,,,,,2005.0-Zlatna Kolekcija,2005.0-Zlatna Kolekcija
Zlatko Pejaković,Zlatko Pejaković,"Sunce Sja, Trava Miriše",4:06,,,,,Zlatna Kolekcija,,2005.0,,,,,Plava Trava Zaborava,2005.0-Zlatna Kolekcija,2005.0-Zlatna Kolekcija
Zlatko Pejaković,Zlatko Pejaković,Da Li Znaš Da Te Volim,5:07,,,,,Zlatna Kolekcija,,2005.0,,,,,,2005.0-Zlatna Kolekcija,2005.0-Zlatna Kolekcija
Zlatko Pejaković,Zlatko Pejaković,Ponovo Zajedno,4:34,,,,,Zlatna Kolekcija,,2005.0,,,,,,2005.0-Zlatna Kolekcija,2005.0-Zlatna Kolekcija/2005.0-Zlatna Kolekcija
Zlatko Pejaković,Zlatko Pejaković,Zamisli Život U Ritmu Muzike Za Ples,4:00,,,,,Zlatna Kolekcija,,2005.0,,,,,Jura Stublić,2005.0-Zlatna Kolekcija,2005.0-Zlatna Kolekcija
Zlatko Pejaković,Zlatko Pejaković,Jedna Suza Na Tvom Licu,3:26,,,,,Zlatna Kolekcija,,2005.0,,,,,,2005.0-Zlatna Kolekcija,2005.0-Zlatna Kolekcija
Zlatko Pejaković,Zlatko Pejaković,Samo Jedan Dan,3:05,,,,,Zlatna Kolekcija,,2005.0,,,,,,2005.0-Zlatna Kolekcija,2005.0-Zlatna Kolekcija
Zlatko Pejaković,Zlatko Pejaković,Benzina,3:41,,,,,Zlatna Kolekcija,,2005.0,,,,,,2005.0-Zlatna Kolekcija,2005.0-Zlatna Kolekcija/2005.0-Zlatna Kolekcija
Zlatko Pejaković,Zlatko Pejaković,Zadnja Noć,4:47,,,,,Zlatna Kolekcija,,2005.0,,,,,,2005.0-Zlatna Kolekcija,2005.0-Zlatna Kolekcija
Zlatko Pejaković,Zlatko Pejaković,Kad Čovjek Voli Ženu,4:01,,,,,Zlatna Kolekcija,,2005.0,,,,,,2005.0-Zlatna Kolekcija,2005.0-Zlatna Kolekcija
Zlatko Pejaković,Zlatko Pejaković,Odmori Se Na Mojim Rukama,3:53,,,,,Zlatna Kolekcija,,2005.0,,,,,,2005.0-Zlatna Kolekcija,2005.0-Zlatna Kolekcija
Zlatko Pejaković,Zlatko Pejaković,"Mislim, Mislim (Nek' Živi Ljubav)",3:50,,,,,Zlatna Kolekcija,,2005.0,,,,,Dino Dvornik,2005.0-Zlatna Kolekcija,2005.0-Zlatna Kolekcija
Zlatko Pejaković,Zlatko Pejaković,Kad Liju Kiše,4:20,,,,,Zlatna Kolekcija,,2005.0,,,,,,2005.0-Zlatna Kolekcija,2005.0-Zlatna Kolekcija
Zlatko Pejaković,Zlatko Pejaković,Malaguena Salerosa,4:02,,,,,Zlatna Kolekcija,,2005.0,,,,,,2005.0-Zlatna Kolekcija,2005.0-Zlatna Kolekcija
Zlatko Pejaković,Zlatko Pejaković,Srebrna Krila - Zlatna Kolekcija,,,,,,Zlatna Kolekcija,,2005.0,,,,,,2005.0-Zlatna Kolekcija,2005.0-Zlatna Kolekcija
Zlatko Pejaković,Zlatko Pejaković,Ana,3:03,,,,,Zlatna Kolekcija,,2005.0,,,,,,2005.0-Zlatna Kolekcija,2005.0-Zlatna Kolekcija
Zlatko Pejaković,Zlatko Pejaković,Volio Sam Tanju (I Noću I Danju),3:06,,,,,Zlatna Kolekcija,,2005.0,,,,,,2005.0-Zlatna Kolekcija,2005.0-Zlatna Kolekcija
Zlatko Pejaković,Zlatko Pejaković,Ja Nisam Kockar,3:21,,,,,Zlatna Kolekcija,,2005.0,,,,,,2005.0-Zlatna Kolekcija,2005.0-Zlatna Kolekcija
Zlatko Pejaković,Zlatko Pejaković,Prva Noć Sa Njom,3:22,,,,,Zlatna Kolekcija,,2005.0,,,,,,2005.0-Zlatna Kolekcija,2005.0-Zlatna Kolekcija
Zlatko Pejaković,Zlatko Pejaković,Lili,2:22,,,,,Zlatna Kolekcija,,2005.0,,,,,,2005.0-Zlatna Kolekcija,2005.0-Zlatna Kolekcija
Zlatko Pejaković,Zlatko Pejaković,Sanjar Lutalica,3:41,,,,,Zlatna Kolekcija,,2005.0,,,,,,2005.0-Zlatna Kolekcija,2005.0-Zlatna Kolekcija
Zlatko Pejaković,Zlatko Pejaković,Zakuni Se Ljubavi,4:01,,,,,Zlatna Kolekcija,,2005.0,,,,,,2005.0-Zlatna Kolekcija,2005.0-Zlatna Kolekcija
Zlatko Pejaković,Zlatko Pejaković,"Bilo Mi Je Teško, Bilo Mi Je Žao",3:56,,,,,Zlatna Kolekcija,,2005.0,,,,,,2005.0-Zlatna Kolekcija,2005.0-Zlatna Kolekcija
Zlatko Pejaković,Zlatko Pejaković,Ja Sam Jedan Od Mnogih S Gitarom,3:16,,,,,Zlatna Kolekcija,,2005.0,,,,,,2005.0-Zlatna Kolekcija,2005.0-Zlatna Kolekcija
Zlatko Pejaković,Zlatko Pejaković,Kucni Tri Put Na Vrata,3:00,,,,,Zlatna Kolekcija,,2005.0,,,,,,2005.0-Zlatna Kolekcija,2005.0-Zlatna Kolekcija
Zlatko Pejaković,Zlatko Pejaković,Ljubio Sam Nadu U Studenskom Gradu,3:15,,,,,Zlatna Kolekcija,,2005.0,,,,,,2005.0-Zlatna Kolekcija,2005.0-Zlatna Kolekcija
Zlatko Pejaković,Zlatko Pejaković,Šesnaest Godina,3:10,,,,,Zlatna Kolekcija,,2005.0,,,,,,2005.0-Zlatna Kolekcija,2005.0-Zlatna Kolekcija
Zlatko Pejaković,Zlatko Pejaković,Nek' Živi Ljubav,3:34,,,,,Zlatna Kolekcija,,2005.0,,,,,,2005.0-Zlatna Kolekcija,2005.0-Zlatna Kolekcija
Zlatko Pejaković,Zlatko Pejaković,Kulminacija,2:54,,,,,Zlatna Kolekcija,,2005.0,,,,,,2005.0-Zlatna Kolekcija,2005.0-Zlatna Kolekcija
Zlatko Pejaković,Zlatko Pejaković,Manuela Cha-Cha-Cha,2:41,,,,,Zlatna Kolekcija,,2005.0,,,,,,2005.0-Zlatna Kolekcija,2005.0-Zlatna Kolekcija
Zlatko Pejaković,Zlatko Pejaković,Šalio Se Ja,2:37,,,,,Zlatna Kolekcija,,2005.0,,,,,,2005.0-Zlatna Kolekcija,2005.0-Zlatna Kolekcija
Zlatko Pejaković,Zlatko Pejaković,Julija I Romeo,3:01,,,,,Zlatna Kolekcija,,2005.0,,,,,,2005.0-Zlatna Kolekcija,2005.0-Zlatna Kolekcija
Zlatko Pejaković,Zlatko Pejaković,Ljiljana Čuvaj Se,3:15,,,,,Zlatna Kolekcija,,2005.0,,,,,,2005.0-Zlatna Kolekcija,2005.0-Zlatna Kolekcija
Zlatko Pejaković,Zlatko Pejaković,Dolina Našeg Sna,3:20,,,,,Zlatna Kolekcija,,2005.0,,,,,,2005.0-Zlatna Kolekcija,2005.0-Zlatna Kolekcija
Zlatko Pejaković,Zlatko Pejaković,Pošalji Mi Jastuk Na Kome Sanjaš,3:36,,,,,Zlatna Kolekcija,,2005.0,,,,,,2005.0-Zlatna Kolekcija,2005.0-Zlatna Kolekcija
Zlatko Pejaković,Zlatko Pejaković,Ćao Amore,3:05,,,,,Zlatna Kolekcija,,2005.0,,,,,,2005.0-Zlatna Kolekcija,2005.0-Zlatna Kolekcija
Zlatko Pejaković,Zlatko Pejaković,Oprosti Za Sve,3:31,,,,,Zlatna Kolekcija,,2005.0,,,,,,2005.0-Zlatna Kolekcija,2005.0-Zlatna Kolekcija
Zlatko Pejaković,Zlatko Pejaković,30 U Hladu,2:26,,,,,Zlatna Kolekcija,,2005.0,,,,,,2005.0-Zlatna Kolekcija,2005.0-Zlatna Kolekcija
Zlatko Pejaković,Zlatko Pejaković,Zlatko Pejaković - Sve Najbolje,,,,,,Zlatna Kolekcija,,2005.0,,,,,,2005.0-Zlatna Kolekcija,2005.0-Zlatna Kolekcija
Zlatko Pejaković,Zlatko Pejaković,Lipo Ti Je Rano Uraniti,3:09,,,,,1- Pjevat Će Slavonija,,2006.0,,,,,,2006.0-1- Pjevat Će Slavonija,2006.0-1- Pjevat Će Slavonija
Zlatko Pejaković,Zlatko Pejaković,Škripi Đeram,3:25,,,,,1- Pjevat Će Slavonija,,2006.0,,,,,,2006.0-1- Pjevat Će Slavonija,2006.0-1- Pjevat Će Slavonija
Zlatko Pejaković,Zlatko Pejaković,Tekla Voda Karašica,2:48,,,,,1- Pjevat Će Slavonija,,2006.0,,,,,,2006.0-1- Pjevat Će Slavonija,2006.0-1- Pjevat Će Slavonija
Zlatko Pejaković,Zlatko Pejaković,Našim Šorom Jagodo,2:50,,,,,1- Pjevat Će Slavonija,,2006.0,,,,,,2006.0-1- Pjevat Će Slavonija,2006.0-1- Pjevat Će Slavonija
Zlatko Pejaković,Zlatko Pejaković,Na Livadi Pala Kiša Rosulja,3:51,,,,,1- Pjevat Će Slavonija,,2006.0,,,,,,2006.0-1- Pjevat Će Slavonija,2006.0-1- Pjevat Će Slavonija
Zlatko Pejaković,Zlatko Pejaković,Gori Lampa Nasrid Vinkovaca,3:59,,,,,1- Pjevat Će Slavonija,,2006.0,,,,,,2006.0-1- Pjevat Će Slavonija,2006.0-1- Pjevat Će Slavonija
Zlatko Pejaković,Zlatko Pejaković,Djevojka Mara Tri Vijenca Plela,3:38,,,,,1- Pjevat Će Slavonija,,2006.0,,,,,,2006.0-1- Pjevat Će Slavonija,2006.0-1- Pjevat Će Slavonija
Zlatko Pejaković,Zlatko Pejaković,"Oj, Diko Moja (Oj, Lolo Moja)",3:11,,,,,1- Pjevat Će Slavonija,,2006.0,,,,,,2006.0-1- Pjevat Će Slavonija,2006.0-1- Pjevat Će Slavonija
Zlatko Pejaković,Zlatko Pejaković,Pjevat Će Slavonija,4:15,Miroslav Slavko Mađer,Branko Mihaljević,,,1- Pjevat Će Slavonija,,2006.0,,,,,,2006.0-1- Pjevat Će Slavonija,2006.0-1- Pjevat Će Slavonija
Zlatko Pejaković,Zlatko Pejaković,Ala Je Divan Taj Podravski Kraj,2:32,,,,,2 - Ala Je Divan Taj Podravski Kraj,,,,,,,,nan-2 - Ala Je Divan Taj Podravski Kraj,nan-2 - Ala Je Divan Taj Podravski Kraj
Zlatko Pejaković,Zlatko Pejaković,"Cvala Mi, Ruža Rumena",3:23,,,,,2 - Ala Je Divan Taj Podravski Kraj,,,,,,,,nan-2 - Ala Je Divan Taj Podravski Kraj,nan-2 - Ala Je Divan Taj Podravski Kraj
Zlatko Pejaković,Zlatko Pejaković,Junak Iz Doline,3:11,,,,,2 - Ala Je Divan Taj Podravski Kraj,,,,,,,,nan-2 - Ala Je Divan Taj Podravski Kraj,nan-2 - Ala Je Divan Taj Podravski Kraj
Zlatko Pejaković,Zlatko Pejaković,Na Malenom Brijegu,4:12,,,,,2 - Ala Je Divan Taj Podravski Kraj,,,,,,,,nan-2 - Ala Je Divan Taj Podravski Kraj,nan-2 - Ala Je Divan Taj Podravski Kraj
Zlatko Pejaković,Zlatko Pejaković,Podravino Moja Mila,2:51,,,,,2 - Ala Je Divan Taj Podravski Kraj,,,,,,,,nan-2 - Ala Je Divan Taj Podravski Kraj,nan-2 - Ala Je Divan Taj Podravski Kraj
Zlatko Pejaković,Zlatko Pejaković,Potočić Maleni,3:00,,,,,2 - Ala Je Divan Taj Podravski Kraj,,,,,,,,nan-2 - Ala Je Divan Taj Podravski Kraj,nan-2 - Ala Je Divan Taj Podravski Kraj
Zlatko Pejaković,Zlatko Pejaković,U Ravnoj Podravini,2:14,,,,,2 - Ala Je Divan Taj Podravski Kraj,,,,,,,,nan-2 - Ala Je Divan Taj Podravski Kraj,nan-2 - Ala Je Divan Taj Podravski Kraj
Zlatko Pejaković,Zlatko Pejaković,Podravska Zvona,3:05,,,,,2 - Ala Je Divan Taj Podravski Kraj,,,,,,,,nan-2 - Ala Je Divan Taj Podravski Kraj,nan-2 - Ala Je Divan Taj Podravski Kraj
Zlatko Pejaković,Zlatko Pejaković,Es Tike Tike,2:05,,,,,2 - Ala Je Divan Taj Podravski Kraj,,,,,,,,nan-2 - Ala Je Divan Taj Podravski Kraj,nan-2 - Ala Je Divan Taj Podravski Kraj
Zlatko Pejaković,Zlatko Pejaković,"Maro, Maro",2:41,,,,,2 - Ala Je Divan Taj Podravski Kraj,,,,,,,,nan-2 - Ala Je Divan Taj Podravski Kraj,nan-2 - Ala Je Divan Taj Podravski Kraj
Zlatko Pejaković,Zlatko Pejaković,Svirajte Mi Pjesmu Njenu,3:15,,,,,The Platinum Collection,,2007.0,,,,,,2007.0-The Platinum Collection,2007.0-The Platinum Collection
Zlatko Pejaković,Zlatko Pejaković,"Oj Ti Vilo, Vilo Velebita",3:30,,,,,"Ličanin Sam, Govor Me Odaje",,2007.0,,,,,,"2007.0-Ličanin Sam, Govor Me Odaje","2007.0-Ličanin Sam, Govor Me Odaje"
Zlatko Pejaković,Zlatko Pejaković,Moj Nevene,2:55,,,,,"Ličanin Sam, Govor Me Odaje",,2007.0,,,,,,"2007.0-Ličanin Sam, Govor Me Odaje","2007.0-Ličanin Sam, Govor Me Odaje"
Zlatko Pejaković,Zlatko Pejaković,Oj Livado Rosna Travo,3:20,,,,,"Ličanin Sam, Govor Me Odaje",,2007.0,,,,,,"2007.0-Ličanin Sam, Govor Me Odaje","2007.0-Ličanin Sam, Govor Me Odaje"
Zlatko Pejaković,Zlatko Pejaković,Preko Kapele,3:08,,,,,"Ličanin Sam, Govor Me Odaje",,2007.0,,,,,,"2007.0-Ličanin Sam, Govor Me Odaje","2007.0-Ličanin Sam, Govor Me Odaje"
Zlatko Pejaković,Zlatko Pejaković,Kukunješće,2:56,,,,,"Ličanin Sam, Govor Me Odaje",,2007.0,,,,,,"2007.0-Ličanin Sam, Govor Me Odaje","2007.0-Ličanin Sam, Govor Me Odaje"
Zlatko Pejaković,Zlatko Pejaković,"Pjevaj Mi, Pjevaj Sokole",3:41,,,,,"Ličanin Sam, Govor Me Odaje",,2007.0,,,,,,"2007.0-Ličanin Sam, Govor Me Odaje","2007.0-Ličanin Sam, Govor Me Odaje"
