Unnamed: 0,Song_ID,Artist,Artist_diskografija,Song_tekstovinet,Views_tekstovinet,Lyrics_tekstovinet,Url_tekstovinet,Writer_lyricstranslate,Song_lyricstranslate,EngTitle_lyricstranslate,Album_lyricstranslate,Lyrics_lyricstranslate,EngLyrics_lyricstranslate,Url_lyricstranslate,Skladba_diskografija,Stihovi_diskografija,Aranžman_diskografija,Izvedba_diskografija,Album_1_diskografija,Album_2_diskografija,Album_3_diskografija,Album_4_diskografija,Url_diskografija,Song_diskografija,Album_5_diskografija,Album_6_diskografija,Album_7_diskografija,Album_8_diskografija,Album_9_diskografija,Lyrics_cuspajz,Song_cuspajz,Url_cuspajz
10,wNGUjqQ7_1_10,Zlatko Pejaković,Zlatko Pejaković,"Dalmacijo, fala ti (feat. klapa Cambi)",2663,"Lipa
zemljo kakve nigdi nima
tebi cvita drac i stina
zemljo rajskih vrtova

Lipa
ko na tvoju grudu svrati
stoput ti se vrati
zauvik zacaran
 
Kad se misa
miris mora i lavande
to te prati zivot cili
tece venama

        Ref.
Dalmacijo, sveta moja mati
pokazi sto ja tebi mogu dati
jer jednom moras stat
moras nesto dat
ne mo's stalno uzimat

Za puno ljubavi
za sve sto dala si
majko zemljo, fala ti

Lipa
na cilom svitu nima para
k'o bi tu lipotu plati
ti sve dajes za nista

Lipa
covik k'o covik, uvik grinta
ceka sricu da ga nadje
da padne sa neba

Ma di to ima
na jednom mistu pisme, vina
i zlatnog ulja za posvetit
ribu s gradela

          Ref. 2x","https://tekstovi.net/2,685,41938.html",,,,,,,,,,,,,,,,,,,,,,,,,
11,wNGUjqQ7_1_11,Zlatko Pejaković,Zlatko Pejaković,Dinamit,4114,"Sve ima svoje granice, a ti i ja 
izgleda dosli smo do zadnje stanice
milo moje, nije lako kad se tako poslozi
da volim te i mrzim  jednako
da volim te i mrzim jednako

Ref. 
Dijagnoza ludilo, pred ocima crnilo
bolje ti je da smo kvit
nagazit ces na, nagazit ces na, 
nagazit ces na dinamit
 
Nisam dobre volje, ne diraj me bolje	
nek nas ne'ko rastavi
ako ima Boga, naces sebi svoga
mene u mom miru ostavi

Nisam dobre volje, siroko ti polje
ko nas samo sastavi
i da si od zlata, bijelog dijamanta
faliti mi neces, majke mi

Sve ima rok trajanja
vrijeme ljubavi izgleda kao fol
i vrijeme kajanja
moja ti, nije lako kad se tako poslozi
volio, mrzio il' tako nekako
volio, mrzio il' tako nekako

Ref. 2x","https://tekstovi.net/2,685,48183.html",,,,,,,,,,,['Zlatko Pejaković'],,,,,https://diskografija.com/pjesma/dinamit-24842.htm,Dinamit,,,,,,,,
12,wNGUjqQ7_1_12,Zlatko Pejaković,Zlatko Pejaković,Govore mi govore,5818,"Stalno kruze glasine
 svijet sve vidi i cuje
Lesiju me muke da tvoje ruke
 drugog su grlile

Cijele noci brinu se 
negdje iznad zavjese
sto se to sprema, zasto te nema
 dok zora ne svane
 
Ref.
Govore mi govore
 mi da me varas
da u srcu da u srcu boli stvaras
govore, briga me

Vidjaju te vidjaju je te kazu s drugim
dok za tobom, dok za tobom glavu gubim
govore sta mogu sta je tu je
kad imam samo nju

Stalno kruze glasine
 svijet sve vidi i cuje
Lesiju me muke da tvoje ruke
 drugog su grlile

Svi me redom pitaju
glede se i saznaju
i tako danas i tako sutra
 mira mi ne daju    

Ref.

Briga me, govore, briga me
briga me, govore, govore
briga me, briga me","https://tekstovi.net/2,685,32243.html",,,,,,,,['Tonči Huljić'],['Marina Tucaković'],,['Zlatko Pejaković'],1990 - Kad prođe sve,1996 - Sve najbolje,"1998 - Koncert Dom Sportova, Zagreb '98 - uživo",2003 - U ranu zoru,https://diskografija.com/pjesma/govore-mi-govore-12131.htm,"Govore mi, govore",,,,,,"Stalno kruže glasine svijet sve vidi i čuje
Lesiju me muke da tvoje ruke drugog su grlile

Cijele noći kriju se negdje iznad zavjese
Što se to sprema zašto te nema dok zora ne svane

Govore mi govore mi da me varaš
Da u srcu da u srcu boli stvaraš
govore, briga me

Viđaju te viđaju je te kažu s drugim
Ko za tobom ko za tobom glavu gubi
Govore šta mogu šta je tu je
Kad imam samo nju",Govore mi govore,https://cuspajz.com//tekstovi-pjesama/pjesma/zlatko-pejakovic/govore-mi-govore.html
13,wNGUjqQ7_1_13,Zlatko Pejaković,Zlatko Pejaković,"Guram, guram",3699,"Neka pukne na sva zvona
nismo skupa ja i ona
sve, propalo je sve

Svako srce sebi vuklo
rasteglo se pa je puklo
sve, propalo je sve
hej, sve, propalo je sve 
 
Neka neka neka nek je propalo
nije dala to sto mi je trebalo
neka neka neka nek je propalo
dosta mi je to, sto je ostalo

Ref.
Guram, guram, mogu ja i sam
ma mogu ja i sam, tebe ne trebam
guram, guram, mogu ja i sam
mogu ja i sam, nikog ne trebam

Ref. 2x

Guram, guram mogu ja i sam
mogu ja i sam, tebe ne trebam
guram, guram mogu ja i sam
mogu ja i sam, sto cu, takav sam","https://tekstovi.net/2,685,32906.html",,,,,,,,['Branimir Mihaljević'],['Faruk Buljubašić Fayo'],['Branimir Mihaljević'],['Zlatko Pejaković'],,,,,https://diskografija.com/pjesma/guram-guram-12164.htm,"Guram, guram",,,,,,,,
14,wNGUjqQ7_1_14,Zlatko Pejaković,Zlatko Pejaković,Hocu,33733,"Sve je jasno, vidi se
cak iz aviona
svi se slazu, svi se slazu
za mene je ona

Al' sto to ona ne vidi
muci me i tisti
pa mi srce, pa mi srce
istu pjesmu vristi
 
Ref.
Hocu tebe hocu i danju i nocu
znam ja dobro sto cu kraj sebe te hocu
hocu tebe hocu i danju i nocu
lijek si za samocu kraj sebe te hocu

Jos me nece, ali ja
pokucam u drvo
tek je proslo, tek je proslo
poluvrijeme prvo

To sto sa mnom nije jos
to me strasno muci
pjevam pjesmu, pjevam pjesmu
koja isto zvuci

Ref.

Uzmem novcic pa u zrak
bacim pismo glava
da joj pjevam, da joj pjevam
ili da se spava

Kada vidi kako noci
sa mnom kratko traju
garant ce mi, garant ce mi
pjevati na kraju

Ref. 2x

Hocu tebe hocu i danju i nocu
znam ja dobro sto cu i do toga doc' cu","https://tekstovi.net/2,685,23263.html",,,,,,,,['Branimir Mihaljević'],['Faruk Buljubašić Fayo'],['Branimir Mihaljević'],['Zlatko Pejaković'],2004 - Hrvatski Radijski Festival 2004,2004 - Zlatko 2004,2004 - Hrvatski Radijski Festival 2004 - 24 najbolja,2007 - The platinum collection,https://diskografija.com/pjesma/hocu-3011.htm,Hoću,,,,,,"Sve je jasno, vidi se
cak iz aviona
svi se slazu, svi se slazu
za mene je ona

Al' sto to ona ne vidi
muci me i tisti
pa mi srce, pa mi srce
istu pjesmu vristi

Hocu tebe hocu i danju i nocu
znam ja dobro sto cu kraj sebe te hocu
hocu tebe hocu i danju i nocu
lijek si za samocu kraj sebe te hocu

Jos me nece, ali ja
pokucam u drvo
tek je proslo, tek je proslo
poluvrijeme prvo

To sto sa mnom nije jos
to me strasno muci
pjevam pjesmu, pjevam pjesmu
koja isto zvuci

Uzmem novcic pa u zrak
bacim pismo glava
da joj pjevam, da joj pjevam
ili da se spava

Kada vidi kako noci
sa mnm kratko traju
garant ce mi, garant ce mi
pjevati na kraju

Hocu tebe hocu i danju i nocu
znam ja dobro sto cu i do toga doc' cu",Hoću,https://cuspajz.com//tekstovi-pjesama/pjesma/zlatko-pejakovic/hocu.html
15,wNGUjqQ7_1_15,Zlatko Pejaković,Zlatko Pejaković,Ja i kisna noc,948,"Ja i kisna noc
noc sto mi nosi zvuk
starih pesama o nasoj ljubavi
eto nestaje s tvojim odlaskom

Sam ih slusam sad
sam s mnogo nadanja
da ces ponovo doc' i reci mi
kako sve je ovo bio san
 
Ref. 2x
I samo vetar zna da sam ti saptao
ime dok si s drugim ljubav delila
i samo kisa zna kol'ko je suza s njom
tu niz moje lice teklo usnama

Ja i kisna noc
sam s mnogo nadanja
da ces ponovo doc' i reci mi
kako sve je ovo bio san

Ref. (2x)","https://tekstovi.net/2,685,56062.html",,,,,,,,['D. Petković'],['Zlatko Pejaković'],['Aleksandar Sanja Ilić'],['Zlatko Pejaković'],,,,,https://diskografija.com/pjesma/ja-i-kisna-noc-12090.htm,Ja i kišna noć,,,,,,,,
16,wNGUjqQ7_1_16,Zlatko Pejaković,Zlatko Pejaković,Ja sam svoje grijehe platio,2065,"Prosle nase lude godine
sad mi je sve puno jasnije
hvala Bogu sto te posla
da mi nemir mirom ugrijes
hvala Bogu sto si dosla
u dobru i u zlu da ostanes
 
Lutao sam svijetom bezglavo
djevojke i zene ljubio
al nijednu prije tebe
nisam u svom srcu nosio
al nijednu prije tebe
nisam tako ludo volio

Ref.
Ja sam svoje grijehe platio
nikada se nisam zalio
al sa tobom, pored sebe
sav se zivot moj isplatio

Prosle nase lude godine
sad mi je sve puno jasnije
hvala Bogu sto te posla
da mi nemir mirom ugrijes
hvala Bogu sto si dosla
u dobru i u zlu da ostanes

Ref.","https://tekstovi.net/2,685,51517.html",,,,,,,,['Maja Maria'],['Maja Maria'],['Branimir Mihaljević'],['Zlatko Pejaković'],,,,,https://diskografija.com/pjesma/ja-sam-svoje-grijehe-platio-12188.htm,Ja sam svoje grijehe platio,,,,,,,,
17,wNGUjqQ7_1_17,Zlatko Pejaković,Zlatko Pejaković,Jos te volim,5032,"Ptice su prestale pjevati
od kad' te nema
kao da su otisle s tobom
cak iznad neba
samo zvijezde sjaje
jos svake noci
pitam se kad' cu za tobom
i ja tamo poci
jer jos te volim
da jos te volim
 
Ja ni u govor cvijeca
ne vjerujem vise
od boja se oci moje umorise
tamo gdje danas si ti
kakve su boje
samo da lijepo je tebi
za to se molim
jer jos te volim
da jos te volim

Izgubljen je bez tebe vjeruj mi
svaki dan
noci su sve besane bez tebe
jer sam sam
ocajno sam

Koliko ti toga nisam
stigao reci
jer vremena smo imali malo
i to me boli
nadam se da me cujes
i da me gledas
i na nas novi susret
k'o i ja cekas
jer jos me volis
da jos me volis

Satovi su za mene svi
odavno stali
zasto bi mi vrijeme bez tebe
i oni krali
jer jos te volim
da jos te volim

Boze zasto si bas mene
tako kaznio
sto li sam na svijetu ovom
tako skrivio
ja skrivio

Ucini mi Boze samo
samo jos jednom
za mene to je mnogo
zato te molim
Ucini mi Boze samo
samo jos jednom
da cuje me kako joj kazem
jos te volim
(2x)","https://tekstovi.net/2,685,32244.html",,,,,,,,"['R. Livi', 'R. Ferro']",['Mario Mihaljević'],,['Zlatko Pejaković'],,,,,https://diskografija.com/pjesma/jos-te-volim-12155.htm,Još te volim,,,,,,"Ptice su prestale pjevati
Od kad' te nema
Kao da su otišle s tobom
Čak iznad neba
Samo zvijezde sjaje
Još svake noći
Pitam se kad' ću za tobom
I ja tamo poći

Jer još te volim
Da još te volim

Ja ni u govor cvijeća
Ne vjerujem više
Od boja se oči moje umoriše
Tamo gdje danas si ti
Kakve su boje
Samo da lijepo je tebi
Za to se molim

Izgubljen je bez tebe vjeruj mi
Svaki dan
Noći su sve besane bez tebe
Jer sam sam
Očajno sam

Koliko ti toga nisam
Stigao reći
Jer vremena smo imali malo
I to me boli
Nadam se da me čuješ
I da me gledaš
I na naš novi susret
K'o i ja čekaš

Satovi su za mene svi
Odavno stali
Zašto bi mi vrijeme bez tebe
I oni krali

Bože zašto si baš mene
Tako kaznio
Što li sam na svijetu ovom
Tako skrivio
Ja skrivio
Učini mi Bože samo
Samo još jednom
Za mene to je mnogo
Zato te molim

Učini mi Bože samo
Samo još jednom
Da čuje me kako joj kažem
Još te volim
Još te volim",Još te volim,https://cuspajz.com//tekstovi-pjesama/pjesma/zlatko-pejakovic/jos-te-volim.html
18,wNGUjqQ7_1_18,Zlatko Pejaković,Zlatko Pejaković,Kad jednom zazelis,1989,"Dugo te nema u zivotu mome
a ja te trazim, uspomeno moja
i srce bije, hoce da izludi
jer sve sto imam, to nisi ti

U mojoj sobi jos je slika tvoja
i pesme mnoge koje nisi cula
a na mom stolu uvenula ruza
jos uvek ceka da je uzmes ti
 
Ref.
Kad jednom zazelis da opet dodjes
ne cekaj, ne cekaj, vec odmah kreni
jos uvek u istoj te sobi sanjam
zaboravi vreme, budi jos mlada za mene

Kad jednom u prolece opet dodjes
sve ptice i ljudi pevace o ljubavi
i opet ozivece davni sati
a pesnik se nada kako ce da te vrati

Ref. 2x","https://tekstovi.net/2,685,54108.html",,,,,,,,,,,['Zlatko Pejaković'],1996 - Uspomene,2007 - The platinum collection,,,https://diskografija.com/pjesma/kad-jednom-zazelis-12143.htm,Kad jednom zaželiš,,,,,,,,
19,wNGUjqQ7_1_19,Zlatko Pejaković,Zlatko Pejaković,Kad napuste te svi,6523,"Kad napuste te svi
na kraju puta tvog
i suza zaboli
a nemas nikog svog
kad napuste te svi

Sjetit ces se svega tada
vjeruj mi
sjetit ces se ti
da i ja postojim
 
Kad zivot karte sve
iz ruku podijeli
i s nekim ko zna gdje
zelis krenuti
a nemas nikog svog

Sjetit ces se svega tada
vjeruj mi
sjetit ces se ti
da i ja postojim

Ref.
Ja svoj zivot kao da ne zivim
ali tebe zbog toga da krivim
necu nikada

Ja svoj zivot odavno sam dao
tebi koju jedinu sam znao
zeljo moga sna
budi sretna ti
kad ne mogu ja

Budi sretna ti
kad ne mogu ja","https://tekstovi.net/2,685,51515.html",,,,,,,,,,,,,,,,,,,,,,,,,
