Artist,ArtistDiskografija,Song,Song_ID,Lyrics,Url,Skladba,Stihovi,Aranžman,Izvedba,Album_1,Album_2,Album_3,Album_4,Album_5,Album_6,Album_7,Album_8
Severina,Severina,Da si moj,kxnrI/8e_1_10,"Haljina svilena, uveo od kašmira
Duša mi pustinja, žedna tvog dodira
Mjesec ko' dukat žut, srce na mukama
Moj život sada je, u tvojim rukama

Aj digi, digi daj, aj digi, digi daj
Aj digi, digi daj, aj digi, digi daj, aaaa
Da si moj, da si moj
Dala bih ti život svoj
Da mi je, da mi je
Leči kraj tebe
Aja, aja ja ...

Zlatna je prašina na našim usnama
Tisuću jedna noć još živi u nama",https://cuspajz.com//tekstovi-pjesama/pjesma/severina/da-si-moj.html,['Đorđe Novković'],"['Faruk Buljubašić Fayo', 'Severina Vučković', 'Jadranka Krištof']",['Ante Pecotić'],['Severina'],1999 - Ja samo pjevam,1999 - Melodije Jadrana 1999,1999 - Split 1999,2002 - 18 velikih hitova,2006 - The platinum collection,2006 - The best of,2007 - Đorđe Novković - Gold collection,2014 - Najljepše ljubavne pjesme - Valentinovo
Severina,Severina,Daj mi daj,kxnrI/8e_1_11,"Gore zvijezde kao baklje gore na nebu
noćas mi se vracaš, a opet mirišeš na nju
gotovo je među nama srca lome se
ne spavamo kao prije ne volimo se
zaplakat' ću, zapjevaću neka čuju svi
otići ću ja daleko, hoću najdraži

daj mi daj, vina daj na stol
nazdravite sa mnom da zaboravim na bol
daj mi daj bože hrabrosti
zapjevajte sa mnom kada on me ne voli

gotovo je među nama srca lome se
ne spavamo kao prije ne volimo se
zaplakat' ću neka čuju svi
otići ću ja daleko, hoću najdraži

daj mi daj, vina daj na stol
nazdravite sa mnom da zaboravim na bol
daj mi daj bože hrabrosti
zapjevajte sa mnom kada on me ne voli

solo

daj mi daj, vina daj na stol
nazdravite sa mnom da zaboravim na bol
daj mi daj bože hrabrosti
zapjevajte sa mnom kada on me ne voli",https://cuspajz.com//tekstovi-pjesama/pjesma/severina/daj-mi-daj.html,['Severina Vučković'],['Severina Vučković'],['Ante Pecotić'],['Severina'],2000 - Dora 2000,"2002 - Virujen u te (najbolje uživo) - uživo
Aranžman: Nikša Bratoš","2005 - Cocktail - uživo
Aranžman: Nikša Bratoš",2006 - The platinum collection,,,,
Severina,Severina,Dalmatinka,kxnrI/8e_1_12,"Ja san bila tvoja mala
I samo san za te cvala
I sad kad san procvitala
Zbog tebe san zaplakala

Ti si i sad ruža moja
Al ja nisan ljubav tvoja
Previše sam virovala
Lipoj riči od mornara

Dalmatinka, Dalmatinka
Tri ljubavi svoje ima
Prva mi je Gospe moja
Druga mi je ljubav tvoja
A treća je bila moja

Ti si moja zvizda sjajna
Ti si moja prva tajna
Sićaš li se našeg žala
Di sam tebi zakantala",https://cuspajz.com//tekstovi-pjesama/pjesma/severina/dalmatinka.html,['Zrinko Tutić'],['Nenad Ninčević'],['Nikša Bratoš'],['Severina'],1993 - Dalmatinka,1999 - Paloma nera - uživo,2002 - Virujen u te (najbolje uživo),2002 - 18 velikih hitova,2006 - Da te mogu pismom zvati - Libar VI,2006 - The platinum collection,2006 - The best of,
Severina,Severina,Djevojka sa sela,kxnrI/8e_1_13,"Ja sam djevojka sa sela
Noga mi je bosa
Rumeno mi lice
Umila ga rosa

Jednog jutra krenula sam u veliki svijet
Skupila sam svoje snove i u duši cvijet
Na stanici čekali su prvi rođaci
Sivo nebo, tuđi koraci

Vidjela sam svjetla grada, dobro i zlo
Svi su kao prijatelji, al' hvala im za to
Ja sam neka druga vrsta, ja bi iskreno
U meni je srce ostalo

Ja sam djevojka sa sela
Noga mi je bosa
Rumeno mi lice, umila ga rosa
Ne, ne, ne trebam ja zlato
Niti dukat žuti
Samo trebam rijeku da izvor pomuti
Ljubim tvoje oko plavo
Sve bi tebi dala sunce moje malo
Ti si sve to što mi treba
Ja sam tvoja mala
Djevojka sa sela

Svako krene svojim putem, pa ja krenula
sa mnom pošla samo sreća, tuga zastala
ali nisam našla ono što sam tražila
moja ljubav, moja sudbina",https://cuspajz.com//tekstovi-pjesama/pjesma/severina/djevojka-sa-sela.html,"['Zrinko Tutić', 'Severina Vučković']","['Zrinko Tutić', 'Severina Vučković']",['Nikša Bratoš'],['Severina'],1998 - Djevojka sa sela,2002 - 18 velikih hitova,2006 - The platinum collection,2006 - The best of,,,,
Severina,Severina,Esmeralda,kxnrI/8e_1_14,"Te quiero mucho, ma voli i ti mene
Ne slušaj nikog pa nam možda krene
Kad hombre ljubi on nikom se ne pravda
Što je od mene bolja Esmeralda

Kažu da ljubav uvijek prestaje
Kada se tome nadaš najmanje
Sve što je bilo sada se briše
Netko uvijek voli više

A samo na filmu sreća caruje
I onda kad se suzom kupuju
Ne telenovi i muškarac plače
Senorita voli ga još jače

Kad hombre ženu zavoli
On moli dok ne zaboli
On za njom svijetom putuje
I ako teba zbog nje ratuje",https://cuspajz.com//tekstovi-pjesama/pjesma/severina/esmeralda.html,['Maja Maria'],['Maja Maria'],['Nikša Bratoš'],['Severina'],,,,,,,,
Severina,Severina,Gardelin,kxnrI/8e_1_15,"Zasto su ti oci umorne i tuzne
ne vidin u njima modrog mora sjaj
daj, zaboravi na sve dane ruzne
svoju ruku mi daj

Voljela bih nocas dok je mjesec mlad
da jos jednom cujem rijeci te, volim te
hocu da te ljubim, da te usrecim
pivat cu ti bit cu samo tvoj gardelin

Kada brodovi prestanu da plove
kad se more smiri, ja cu doci u tvoj san
tad ces saznati da jos uvik zivin
nase ljubavi plam

Pivat cu ti bit cu samo tvoj mali gardelin",https://cuspajz.com//tekstovi-pjesama/pjesma/severina/gardelin.html,,,,['Severina'],,,,,,,,
Severina,Severina,Generale,kxnrI/8e_1_16,"Koliko dugo mi glumiš poštenje 
a spavaš pored nje
i nosiš ruže i bombonjere
i laži skrivene

Koliko puta sam rekla da nisam 
ja jučer rođena
il' idi drugoj il' voli ko muško
treće mi ne treba

To je ljeto kad sam ostavljena bila
pamtit ću te suze 200 godina
platila za sve a nisam bila kriva
ovo mi je kazna jer sam voljela

To je ljeto kad sam ostavljena bila
pamtit ću te suze 200 godina
generale moj ti pucaš u civila
gledaj me u oči kad me ostavljaš
ostavljaš

Toliko puta sam čekala sama
sa svojim suzama
jer znam da diraš i nju a i mene
tim istim rukama

Koliko puta sam rekla da nisam 
ja jučer rođena
il' idi drugoj il' voli ko muško
treće mi ne treba

To je ljeto kad sam ostavljena bila
pamtit ću te suze 200 godina
platila za sve a nisam bila kriva
ovo mi je kazna jer sam voljela

To je ljeto kad sam ostavljena bila
pamtit ću te suze 200 godina
generale moj ti pucaš u civila
gledaj me u oči kad me ostavljaš
ostavljaš

To je ljeto kad sam ostavljena bila
pamtit ću te suze 200 godina
platila za sve a nisam bila kriva
ovo mi je kazna jer sam voljela

To je ljeto kad sam ostavljena bila
pamtit ću te suze 200 godina
generale moj ti pucaš u civila
gledaj me u oči kad me ostavljaš
ostavljaš",https://cuspajz.com//tekstovi-pjesama/pjesma/severina/generale.html,,,,['Severina'],,,,,,,,
Severina,Severina,Haljinica boje lila,kxnrI/8e_1_17,"Od tebe sam, dragi
Dugo krila
Da sam nekog drugog
Poljubila

A ti nisi ništa znao
Ništa znao
Al si nešto, dušo
Osjećao

Haljinicu boje lila
Ja sam dušo
Oblačila
Kad san išla
Da ga ljubin
Da ga ljubin
A tvoja sam ljubav bila

Od tebe sam dragi
Dugo krila
Da sam tebe, dušo
Prevarila

Poljubila, prevarila
Zažalila
Haljinicu što sam
Oblačila",https://cuspajz.com//tekstovi-pjesama/pjesma/severina/haljinica-boje-lila.html,['Nikola Pejaković'],['Nikola Pejaković'],['Nino Ademović'],['Severina'],,,,,,,,
Severina,Severina,Hurem,kxnrI/8e_1_18,"Kao Hurem, robinja ne ljubi k'o dama
na koljena ti padam bez srama
Za dvoje krevet, al' spavam sama
kao da postim sred ramazana
Dobro znaš, da se za te čuvam oduvijek,
susret naš, prvi, pamtiti ću zauvijek.
Od tad mi ni'ko drugi ne postoji, 
dodiri na koži tvoji 
zauvijek vežu me...
...kao žig, na papiru, u futroli, 
i kad mazi, i kad boli, 
kao lanci ljubavi te...

Kao Hurem, ne dam nikom moje da dira,
iz ljubavi, niti iz hira;
Jer ljubav svoje žrtve ne bira,
sve dok je duša bez mira
K'o Hurem
robinja ne ljubi k'o dama
na koljena ti padam bez srama
Za dvoje krevet, al' spavam sama
kao da postim sred ramazana

Dobro znaš, da se za te čuvam oduvijek,
susret naš, prvi, pamtiti ću zauvijek.
Sanjam te; dođi, dođi, zlato moje, 
sve što vidiš, sve je tvoje,
sve tvoje godinama. 
Zovem te, dođi jer te one, koje 
svaku moju suzu broje,
nikad neće voljet k'o ja...

",https://cuspajz.com//tekstovi-pjesama/pjesma/severina/hurem.html,,,,['Severina'],,,,,,,,
Severina,Severina,Idi,kxnrI/8e_1_19,"Dobro večer, ja sam
Bit ću kratka ovaj put
Ionako sve na tebi piše
Znam ti imaš drugu
Mene voliš tek usput
Imaj sve, al' mene nikad više

Znam da će niz tvoje obraze
Krenut' suze jednom zbog mene
Idi, i sreća nek' prati te svud
Jednom pokazat' će vrijeme
Neka ti mjesec obasja put
I ne pitaj nikad za mene",https://cuspajz.com//tekstovi-pjesama/pjesma/severina/idi.html,['Ante Pecotić'],['Ante Pecotić'],['Ante Pecotić'],['Severina'],,,,,,,,
