Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Album_title_discogs,Album_year_discogs,Music By_discogs,Lyrics By_discogs,Vocals_discogs,Saxophone_discogs,Written-By_discogs,Arranged By_discogs,Producer_discogs,Adapted By_discogs,Voice_discogs,Narrator_discogs,Featuring_discogs,Songwriter_discogs,Goblet Drum_discogs,Vocals [Duet]_discogs,Trumpet_discogs,Trombone_discogs,Lead Vocals_discogs,Guest_discogs,Guitar_discogs,Album_year_title_discogs,All_albums_discogs
Crvena Jabuka,Crvena Jabuka,Da Nije Ljubavi,3:37,Nekako S Proljeća,,,,,,,,,,,,,,,,,,,,,nan-Nekako S Proljeća,nan-Nekako S Proljeća/nan-Ima Nešto Od Srca Do Srca - 18 Originalnih Hitova/nan-Moje Najmilije/nan-Riznice Sjećanja/nan-Zlatna Kolekcija/2008.0-The Ultimate Collection/2009.0-25 Godina - Da Nije Ljubavi/nan-18 Zlatnih Hitova/2013.0-Original Album Collection/2014.0-Bivše Djevojčice Bivši Dječaci - Unplugged Live U Lisinskom
Crvena Jabuka,Crvena Jabuka,Pusti Neka Gori,2:47,Nekako S Proljeća,,,,,,,,,,,,,,,,,,,,,nan-Nekako S Proljeća,nan-Nekako S Proljeća/2009.0-25 Godina - Da Nije Ljubavi/2013.0-Original Album Collection/nan-100 Originalnih Hitova
Crvena Jabuka,Crvena Jabuka,6.00,3:44,Nekako S Proljeća,,,,,,,,,,,,,,,,,,,,,nan-Nekako S Proljeća,nan-Nekako S Proljeća
Crvena Jabuka,Crvena Jabuka,100 Pijanih Noći,4:05,Nekako S Proljeća,,,,,,,,,,,,,,,,,,,,,nan-Nekako S Proljeća,nan-Nekako S Proljeća/2013.0-Original Album Collection/nan-100 Originalnih Hitova
Crvena Jabuka,Crvena Jabuka,Da Znaš Da Me Boliš,2:50,Nekako S Proljeća,,,,,,,,,,,,,,,,,,,,,nan-Nekako S Proljeća,nan-Nekako S Proljeća/nan-Ima Nešto Od Srca Do Srca - 18 Originalnih Hitova/nan-Riznice Sjećanja/nan-Zlatna Kolekcija/2008.0-The Ultimate Collection/2013.0-Original Album Collection/nan-100 Originalnih Hitova/2016.0-Greatest Hits Collection
Crvena Jabuka,Crvena Jabuka,Crvena Jabuka,4:05,Nekako S Proljeća,,,,,,,,,,,,,,,,,,,,,nan-Nekako S Proljeća,nan-Nekako S Proljeća/2009.0-25 Godina - Da Nije Ljubavi/2010.0-S Druge Strane Sjećanja/2013.0-Original Album Collection/nan-100 Originalnih Hitova
Crvena Jabuka,Crvena Jabuka,"Hajde, Dođi Mi",3:19,Nekako S Proljeća,,,,,,,,,,,,,,,,,,,,,nan-Nekako S Proljeća,nan-Nekako S Proljeća/2013.0-Original Album Collection/nan-100 Originalnih Hitova
Crvena Jabuka,Crvena Jabuka,Srce Si Mi Slomila,4:52,Nekako S Proljeća,,,,,,,,,,,,,,,,,,,,,nan-Nekako S Proljeća,nan-Nekako S Proljeća/2013.0-Original Album Collection/nan-100 Originalnih Hitova
Crvena Jabuka,Crvena Jabuka,Samo Da Me Ne Iznevjeriš Ti,3:54,Nekako S Proljeća,,,,,,,,,,,,,,,,,,,,,nan-Nekako S Proljeća,nan-Nekako S Proljeća/2013.0-Original Album Collection/nan-100 Originalnih Hitova
Crvena Jabuka,Crvena Jabuka,Nemoj Da Sudiš Preoštro O Meni,3:33,Nekako S Proljeća,,,,,,,,,,,,,,,,,,,,,nan-Nekako S Proljeća,nan-Nekako S Proljeća/2013.0-Original Album Collection/nan-100 Originalnih Hitova
Crvena Jabuka,Crvena Jabuka,Bijeli Božić,,Bijeli Božić,1995.0,,,,,,,,,,,,,,,,,,,,1995.0-Bijeli Božić,1995.0-Bijeli Božić/1995.0-Bijeli Božić/nan-U Tvojim Očima/2001.0-Live Dom Sportova Zagreb/nan-Zlatna Kolekcija/2014.0-Bivše Djevojčice Bivši Dječaci - Unplugged Live U Lisinskom/nan-100 Originalnih Hitova/nan-- Christmas Limited Edition -
Crvena Jabuka,Crvena Jabuka,Ne Govori Više,,U Tvojim Očima,,,,,,,,,,,,,Zlatan Fazlić,,,,,,,,nan-U Tvojim Očima,nan-U Tvojim Očima/nan-Moje Najmilije/nan-Riznice Sjećanja/nan-Zlatna Kolekcija/2008.0-The Ultimate Collection/2010.0-Najljepše Ljubavne Pjesme/2014.0-Bivše Djevojčice Bivši Dječaci - Unplugged Live U Lisinskom/nan-100 Originalnih Hitova
Crvena Jabuka,Crvena Jabuka,Kad Ćeš Mi Doć,,U Tvojim Očima,,,,,,,,,,,,,Zlatan Fazlić,,,,,,,,nan-U Tvojim Očima,nan-U Tvojim Očima/nan-Riznice Sjećanja
Crvena Jabuka,Crvena Jabuka,Sanjam Te,,U Tvojim Očima,,,,,,,,,,,,,Dražen Žerić,,,,,,,,nan-U Tvojim Očima,nan-U Tvojim Očima/nan-Zlatna Kolekcija/2008.0-The Ultimate Collection/2009.0-25 Godina - Da Nije Ljubavi/2010.0-Najljepše Ljubavne Pjesme/2010.0-S Druge Strane Sjećanja/nan-100 Originalnih Hitova/2016.0-Greatest Hits Collection
Crvena Jabuka,Crvena Jabuka,"Vraćam Se Tebi, Seko",,U Tvojim Očima,,,,,,,,,,,,,Zlatan Fazlić,,,,,,,,nan-U Tvojim Očima,nan-U Tvojim Očima/nan-Zlatna Kolekcija
Crvena Jabuka,Crvena Jabuka,Stari Moj,,U Tvojim Očima,,,,,,,,,,,,,Saša Lošić,,,,,,,,nan-U Tvojim Očima,nan-U Tvojim Očima/2009.0-25 Godina - Da Nije Ljubavi/2014.0-Bivše Djevojčice Bivši Dječaci - Unplugged Live U Lisinskom
Crvena Jabuka,Crvena Jabuka,Sad Je Srce Stijena,,U Tvojim Očima,,,,,,,,,,,,,Zlatan Fazlić,,,,,,,,nan-U Tvojim Očima,nan-U Tvojim Očima/2001.0-Live Dom Sportova Zagreb/2009.0-25 Godina - Da Nije Ljubavi/nan-100 Originalnih Hitova
Crvena Jabuka,Crvena Jabuka,Iza Prozora,,U Tvojim Očima,,,,,,,,,,,,,Saša Lošić,,,,,,,,nan-U Tvojim Očima,nan-U Tvojim Očima/2009.0-25 Godina - Da Nije Ljubavi/nan-100 Originalnih Hitova
Crvena Jabuka,Crvena Jabuka,Deni,,U Tvojim Očima,,,,,,,,,,,,,Goran Kovačević,,,,,,,,nan-U Tvojim Očima,nan-U Tvojim Očima/2009.0-25 Godina - Da Nije Ljubavi
Crvena Jabuka,Crvena Jabuka,Sjećanja,,U Tvojim Očima,,,,,,,,,,,,,Saša Lošić,,,,,,,,nan-U Tvojim Očima,nan-U Tvojim Očima/2014.0-Bivše Djevojčice Bivši Dječaci - Unplugged Live U Lisinskom
Crvena Jabuka,Crvena Jabuka,Kao Da Sanjam,,U Tvojim Očima,,,,,,,,,,,,,J.Šetka,,,,,,,,nan-U Tvojim Očima,nan-U Tvojim Očima/2009.0-25 Godina - Da Nije Ljubavi/2016.0-Greatest Hits Collection
Crvena Jabuka,Crvena Jabuka,Radio,,U Tvojim Očima,,,,,,,,,,,,,Tihomir Preradović,,,,,,,,nan-U Tvojim Očima,nan-U Tvojim Očima/nan-100 Originalnih Hitova
Crvena Jabuka,Crvena Jabuka,Mahala,,U Tvojim Očima,,,,,,,,,,,,,Zlatan Fazlić,,,,,,,,nan-U Tvojim Očima,nan-U Tvojim Očima/2009.0-25 Godina - Da Nije Ljubavi/nan-100 Originalnih Hitova/nan-Sarajevo 1985.-2020.
Crvena Jabuka,Crvena Jabuka,Svijet Je Lopta Šarena,3:52,Svijet Je Lopta Šarena,,,,,,,,,,,,,,,,,,,,,nan-Svijet Je Lopta Šarena,nan-Svijet Je Lopta Šarena/nan-Riznice Sjećanja/nan-Zlatna Kolekcija/2008.0-The Ultimate Collection/2010.0-S Druge Strane Sjećanja
Crvena Jabuka,Crvena Jabuka,Vjetar,3:53,Svijet Je Lopta Šarena,,,,,,,,,,,,,,,,,,,,,nan-Svijet Je Lopta Šarena,nan-Svijet Je Lopta Šarena/nan-Zlatna Kolekcija/2009.0-25 Godina - Da Nije Ljubavi/2010.0-S Druge Strane Sjećanja/nan-100 Originalnih Hitova/2016.0-Greatest Hits Collection/nan-- Christmas Limited Edition -
Crvena Jabuka,Crvena Jabuka,Mozart,4:04,Svijet Je Lopta Šarena,,,,,,,,,,,,,,,,,,,,,nan-Svijet Je Lopta Šarena,nan-Svijet Je Lopta Šarena/nan-100 Originalnih Hitova
Crvena Jabuka,Crvena Jabuka,Na Mom Licu Tople Ruke,3:29,Svijet Je Lopta Šarena,,,,,,,,,,,,,,,,,,,,,nan-Svijet Je Lopta Šarena,nan-Svijet Je Lopta Šarena/nan-100 Originalnih Hitova
Crvena Jabuka,Crvena Jabuka,Sestro Srca Mog,4:10,Svijet Je Lopta Šarena,,,,,,,,,,,,,,,,,,,,,nan-Svijet Je Lopta Šarena,nan-Svijet Je Lopta Šarena/nan-100 Originalnih Hitova
Crvena Jabuka,Crvena Jabuka,Jukebox,4:12,Svijet Je Lopta Šarena,,,,,,,,,,,,,,,,,,,,,nan-Svijet Je Lopta Šarena,nan-Svijet Je Lopta Šarena/nan-100 Originalnih Hitova
Crvena Jabuka,Crvena Jabuka,Zauvijek,4:11,Svijet Je Lopta Šarena,,Saša Lošić,Saša Lošić,,,,,,,,,,,,,,,,,,nan-Svijet Je Lopta Šarena,nan-Svijet Je Lopta Šarena/2009.0-25 Godina - Da Nije Ljubavi
Crvena Jabuka,Crvena Jabuka,Stižu Me Sjećanja,4:19,Svijet Je Lopta Šarena,,,,,,,,,,,,,,,,,,,,,nan-Svijet Je Lopta Šarena,nan-Svijet Je Lopta Šarena/nan-Zlatna Kolekcija/2005.0-Antologija/2008.0-The Ultimate Collection/2010.0-Najljepše Ljubavne Pjesme/2010.0-S Druge Strane Sjećanja/nan-18 Zlatnih Hitova/2014.0-Bivše Djevojčice Bivši Dječaci - Unplugged Live U Lisinskom/2016.0-Greatest Hits Collection/nan-Sarajevo 1985.-2020.
Crvena Jabuka,Crvena Jabuka,Imaš Me U Šaci,4:20,Svijet Je Lopta Šarena,,,,,,,,,,,,,,,,,,,,,nan-Svijet Je Lopta Šarena,nan-Svijet Je Lopta Šarena
Crvena Jabuka,Crvena Jabuka,Da Mi Je Do Nje,4:50,Svijet Je Lopta Šarena,,,,,,,,,,,,,,,,,,,,,nan-Svijet Je Lopta Šarena,nan-Svijet Je Lopta Šarena/2009.0-25 Godina - Da Nije Ljubavi/nan-100 Originalnih Hitova/2016.0-Greatest Hits Collection/nan-- Christmas Limited Edition -
Crvena Jabuka,Crvena Jabuka,Umoran,5:31,Svijet Je Lopta Šarena,,,,,,,,,,,,,,,,,,,,,nan-Svijet Je Lopta Šarena,nan-Svijet Je Lopta Šarena/2009.0-25 Godina - Da Nije Ljubavi
Crvena Jabuka,Crvena Jabuka,Reci Mi,4:16,Svijet Je Lopta Šarena,,,,,,,,,,,,,,,,,,,,,nan-Svijet Je Lopta Šarena,nan-Svijet Je Lopta Šarena/2009.0-25 Godina - Da Nije Ljubavi
Crvena Jabuka,Crvena Jabuka,Tebi Je Do Mene Stalo,4:58,Svijet Je Lopta Šarena,,,,,,,,,,,,,,,,,,,,,nan-Svijet Je Lopta Šarena,nan-Svijet Je Lopta Šarena/nan-Riznice Sjećanja/2009.0-25 Godina - Da Nije Ljubavi/nan-100 Originalnih Hitova
Crvena Jabuka,Crvena Jabuka,Nekako S' Proljeća,4:46,Moje Najmilije,,,,,,,,,,,,,,,,,,,,,nan-Moje Najmilije,nan-Moje Najmilije/nan-18 Zlatnih Hitova
Crvena Jabuka,Crvena Jabuka,Tamo Gde Ljubav Počinje,5:40,Moje Najmilije,,,,,,,,,,,,,,,,,,,,,nan-Moje Najmilije,nan-Moje Najmilije
Crvena Jabuka,Crvena Jabuka,Beži Kišo S' Prozora,3:16,Moje Najmilije,,,,,,,,,,,,,,,,,,,,,nan-Moje Najmilije,nan-Moje Najmilije
Crvena Jabuka,Crvena Jabuka,To Mi Radi ,3:10,Riznice Sjećanja,,,,,,,,,,,,,,,,,,,,,nan-Riznice Sjećanja,nan-Riznice Sjećanja
Crvena Jabuka,Crvena Jabuka,Čarolija,4:07,Riznice Sjećanja,,,,,,,,,,,,,,,,,,,,,nan-Riznice Sjećanja,nan-Riznice Sjećanja
Crvena Jabuka,Crvena Jabuka,Moj Grad,3:28,Riznice Sjećanja,,,,,,,,,,,,,,,,,,,,,nan-Riznice Sjećanja,nan-Riznice Sjećanja
Crvena Jabuka,Crvena Jabuka,Oči Su Se Navikle Na Mrak ,3:34,Riznice Sjećanja,,,,,,,,,,,,,,,,,,,,,nan-Riznice Sjećanja,nan-Riznice Sjećanja
Crvena Jabuka,Crvena Jabuka,Sviđa Mi Se Ova Stvar,3:10,Riznice Sjećanja,,,,,,,,,,,,,,,,,,,,,nan-Riznice Sjećanja,nan-Riznice Sjećanja/2001.0-Live Dom Sportova Zagreb/nan-18 Zlatnih Hitova
Crvena Jabuka,Crvena Jabuka,Ti Si Lijepa,3:35,Sve Što Sanjam,,,,,,,,,,,,,,,,,,,,,nan-Sve Što Sanjam,nan-Sve Što Sanjam/nan-Zlatna Kolekcija/nan-100 Originalnih Hitova
Crvena Jabuka,Crvena Jabuka,Tvoga Srca Vrata,4:49,Sve Što Sanjam,,,,,,,,,,,,,,,,,,,,,nan-Sve Što Sanjam,nan-Sve Što Sanjam/nan-Zlatna Kolekcija/2008.0-The Ultimate Collection/2009.0-25 Godina - Da Nije Ljubavi/2010.0-Najljepše Ljubavne Pjesme/2010.0-S Druge Strane Sjećanja/nan-18 Zlatnih Hitova/nan-100 Originalnih Hitova/2016.0-Greatest Hits Collection/nan-- Christmas Limited Edition -/nan-Sarajevo 1985.-2020.
Crvena Jabuka,Crvena Jabuka,Sve Što Sanjam,4:21,Sve Što Sanjam,,,,,,,,,,,,,,,,,,,,,nan-Sve Što Sanjam,nan-Sve Što Sanjam/nan-100 Originalnih Hitova/nan-- Christmas Limited Edition -
Crvena Jabuka,Crvena Jabuka,Neka Gore Svjetovi,3:24,Sve Što Sanjam,,,,,,,,,,,,,,,,,,,,,nan-Sve Što Sanjam,nan-Sve Što Sanjam/nan-100 Originalnih Hitova
Crvena Jabuka,Crvena Jabuka,Lud Za Tobom,4:46,Sve Što Sanjam,,,,,,,,,,,,,,,,,,,,,nan-Sve Što Sanjam,nan-Sve Što Sanjam
Crvena Jabuka,Crvena Jabuka,Andjeli,5:05,Sve Što Sanjam,,,,,,,,,,,,,,,,,,,,,nan-Sve Što Sanjam,nan-Sve Što Sanjam
Crvena Jabuka,Crvena Jabuka,"Da Tebe Nema, Bože",5:09,Sve Što Sanjam,,,,,,,,,,,,,,,,,,,,,nan-Sve Što Sanjam,nan-Sve Što Sanjam/2014.0-Bivše Djevojčice Bivši Dječaci - Unplugged Live U Lisinskom
Crvena Jabuka,Crvena Jabuka,"Ni Zadnji, Ni Prvi",4:01,Sve Što Sanjam,,,,,,,,,,,,,,,,,,,,,nan-Sve Što Sanjam,nan-Sve Što Sanjam/nan-Zlatna Kolekcija/2008.0-The Ultimate Collection/2009.0-25 Godina - Da Nije Ljubavi/2010.0-S Druge Strane Sjećanja/2014.0-Bivše Djevojčice Bivši Dječaci - Unplugged Live U Lisinskom
Crvena Jabuka,Crvena Jabuka,Niko Nije Lud Da Spava,4:21,Sve Što Sanjam,,,,,,,,,,,,Klapa Nostalgija,,,,,,,,,nan-Sve Što Sanjam,nan-Sve Što Sanjam/nan-Zlatna Kolekcija/2008.0-The Ultimate Collection/2009.0-25 Godina - Da Nije Ljubavi
Crvena Jabuka,Crvena Jabuka,Fura Me,4:39,Sve Što Sanjam,,,,,,,,,,,,,,,,,,,,,nan-Sve Što Sanjam,nan-Sve Što Sanjam/nan-100 Originalnih Hitova
Crvena Jabuka,Crvena Jabuka,Ona Mi Se Smije,4:00,Sve Što Sanjam,,,,,,,,,,,,,,,,,,,,,nan-Sve Što Sanjam,nan-Sve Što Sanjam
Crvena Jabuka,Crvena Jabuka,Ljubav Ne Pita,4:27,Sve Što Sanjam,,,,,,,,,,,,,,,,,,,,,nan-Sve Što Sanjam,nan-Sve Što Sanjam/nan-100 Originalnih Hitova
Crvena Jabuka,Crvena Jabuka,Opet Sam Sam,4:14,Sve Što Sanjam,,,,,,,,,,,,,,,,,,,,,nan-Sve Što Sanjam,nan-Sve Što Sanjam/2009.0-25 Godina - Da Nije Ljubavi/nan-100 Originalnih Hitova
Crvena Jabuka,Crvena Jabuka,Moje Pjesme Stih,5:09,Sve Što Sanjam,,,,,,,,,,,,,,,,,,,,,nan-Sve Što Sanjam,nan-Sve Što Sanjam/2009.0-25 Godina - Da Nije Ljubavi/nan-100 Originalnih Hitova
Crvena Jabuka,Crvena Jabuka,Ne Dam Da Ovaj Osećaj Ode,,Live Dom Sportova Zagreb,2001.0,,,,,,,,,,,,,,,,,,,,2001.0-Live Dom Sportova Zagreb,2001.0-Live Dom Sportova Zagreb
Crvena Jabuka,Crvena Jabuka,Tvojim Željama Vođen,4:53,Tvojim Željama Vođen,,,,,,,,,,,,,,,,,,,,,nan-Tvojim Željama Vođen,nan-Tvojim Željama Vođen/nan-Zlatna Kolekcija/2005.0-Antologija/2008.0-The Ultimate Collection/2010.0-S Druge Strane Sjećanja
Crvena Jabuka,Crvena Jabuka,Boje Kišnog Neba,3:49,Tvojim Željama Vođen,,,,,,,,,,,,,,,,,,,,,nan-Tvojim Željama Vođen,nan-Tvojim Željama Vođen/2008.0-The Ultimate Collection/2010.0-S Druge Strane Sjećanja
Crvena Jabuka,Crvena Jabuka,Principessa,4:40,Tvojim Željama Vođen,,,,,,,,,,,,,,,,,,,,,nan-Tvojim Željama Vođen,nan-Tvojim Željama Vođen/nan-Zlatna Kolekcija/2010.0-S Druge Strane Sjećanja
Crvena Jabuka,Crvena Jabuka,Gluho Doba,4:00,Tvojim Željama Vođen,,,,,,,,,,,,,,,,,,,,,nan-Tvojim Željama Vođen,nan-Tvojim Željama Vođen/nan-100 Originalnih Hitova
Crvena Jabuka,Crvena Jabuka,Nek' Ti Je Prosto,4:44,Tvojim Željama Vođen,,,,,,,,,,,,,,,,,,,,,nan-Tvojim Željama Vođen,nan-Tvojim Željama Vođen
Crvena Jabuka,Crvena Jabuka,Za Svaku Boru,4:24,Tvojim Željama Vođen,,,,,,,,,,,,,,,,,,,,,nan-Tvojim Željama Vođen,nan-Tvojim Željama Vođen
Crvena Jabuka,Crvena Jabuka,Nova Ljubav,4:23,Tvojim Željama Vođen,,,,,,Zlatan Fazlić,,,,,,,,,,,,,,,nan-Tvojim Željama Vođen,nan-Tvojim Željama Vođen/nan-100 Originalnih Hitova
Crvena Jabuka,Crvena Jabuka,Sanjam,3:43,Tvojim Željama Vođen,,Hrvoje Hegedušić,Maja Perfiljeva,,,,,,,,,,,,,,,,,,nan-Tvojim Željama Vođen,nan-Tvojim Željama Vođen/2009.0-25 Godina - Da Nije Ljubavi
Crvena Jabuka,Crvena Jabuka,"Mjeseče, Reci",3:13,Tvojim Željama Vođen,,,,,,,,,,,,,,,,,,,,,nan-Tvojim Željama Vođen,nan-Tvojim Željama Vođen/nan-100 Originalnih Hitova
Crvena Jabuka,Crvena Jabuka,Kad Te Jednom Pitam,4:27,Tvojim Željama Vođen,,,,,,,,,,,,,,,,,,,,,nan-Tvojim Željama Vođen,nan-Tvojim Željama Vođen
Crvena Jabuka,Crvena Jabuka,Došla Od Boga,4:00,Tvojim Željama Vođen,,,,,,,,,,,,,,,,,,,,,nan-Tvojim Željama Vođen,nan-Tvojim Željama Vođen/2008.0-The Ultimate Collection/nan-100 Originalnih Hitova
Crvena Jabuka,Crvena Jabuka,+Bonus,,Tvojim Željama Vođen,,,,,,,,,,,,,,,,,,,,,nan-Tvojim Željama Vođen,nan-Tvojim Željama Vođen
Crvena Jabuka,Crvena Jabuka,"Video for ""Tvojim Željama Vođen"" ",,Tvojim Željama Vođen,,,,,,,,,,,,,,,,,,,,,nan-Tvojim Željama Vođen,nan-Tvojim Željama Vođen
Crvena Jabuka,Crvena Jabuka,"Documentary ""S Druge Strane Svijeta""",,Tvojim Željama Vođen,,,,,,,,,,,,,,,,,,,,,nan-Tvojim Željama Vođen,nan-Tvojim Željama Vođen
Crvena Jabuka,Crvena Jabuka,S Tvojih Usana,3:43,Zlatna Kolekcija,,,,,,,,,,,,,,,,,,,,,nan-Zlatna Kolekcija,nan-Zlatna Kolekcija/2005.0-Antologija/2010.0-Najljepše Ljubavne Pjesme/2013.0-Original Album Collection/nan-100 Originalnih Hitova
Crvena Jabuka,Crvena Jabuka,Ti Mi Dušu Uzimaš,,Oprosti Što Je Ljubavna,,,,,,Dino Šaran,,,,,,,,Dalibor Marinković,,,,,,,nan-Oprosti Što Je Ljubavna,nan-Oprosti Što Je Ljubavna/nan-100 Originalnih Hitova
Crvena Jabuka,Crvena Jabuka,"Ako Me Pitaš, Kamarade",,Oprosti Što Je Ljubavna,,,,,,Asmir Spahić,,,,,,,,,,,,,,,nan-Oprosti Što Je Ljubavna,nan-Oprosti Što Je Ljubavna
Crvena Jabuka,Crvena Jabuka,Esma,,Oprosti Što Je Ljubavna,,,,,,Asmir Spahić,,,,,,,,,,,,,,,nan-Oprosti Što Je Ljubavna,nan-Oprosti Što Je Ljubavna
Crvena Jabuka,Crvena Jabuka,Znam,,Oprosti Što Je Ljubavna,,,,,,Dino Šaran,,,,,,,,,Arsen Dedić,,,,,,nan-Oprosti Što Je Ljubavna,nan-Oprosti Što Je Ljubavna/2008.0-The Ultimate Collection/nan-100 Originalnih Hitova
Crvena Jabuka,Crvena Jabuka,11-ta Božja Zapovijed,,Oprosti Što Je Ljubavna,,,,,,Saša Dragić,,,,,,,,,Tarik Filipović,Josip Grah,,,,,nan-Oprosti Što Je Ljubavna,nan-Oprosti Što Je Ljubavna
Crvena Jabuka,Crvena Jabuka,Četkice Za Zube,,Oprosti Što Je Ljubavna,,,,,,Dino Šaran,,,,,,,,,,,,,,,nan-Oprosti Što Je Ljubavna,nan-Oprosti Što Je Ljubavna/2008.0-The Ultimate Collection/nan-100 Originalnih Hitova
Crvena Jabuka,Crvena Jabuka,Dobro Neka Svira,,Oprosti Što Je Ljubavna,,,,,,Dino Šaran,,,,,,,,,,,Nenad Grahovac,,,,nan-Oprosti Što Je Ljubavna,nan-Oprosti Što Je Ljubavna/2008.0-The Ultimate Collection/2010.0-S Druge Strane Sjećanja
Crvena Jabuka,Crvena Jabuka,Bolujem,,Oprosti Što Je Ljubavna,,,,,,Saša Dragić,,,,,,,,,,,,,,,nan-Oprosti Što Je Ljubavna,nan-Oprosti Što Je Ljubavna/2009.0-25 Godina - Da Nije Ljubavi/nan-100 Originalnih Hitova
Crvena Jabuka,Crvena Jabuka,Osjećaj,,Oprosti Što Je Ljubavna,,,,,,Zlatan Fazlić,,,,,,,,,,,,,,,nan-Oprosti Što Je Ljubavna,nan-Oprosti Što Je Ljubavna
Crvena Jabuka,Crvena Jabuka,Oprosti Što Je Ljubavna,,Oprosti Što Je Ljubavna,,,,,,Saša Dragić,,,,,,,,,,,,,,,nan-Oprosti Što Je Ljubavna,nan-Oprosti Što Je Ljubavna
Crvena Jabuka,Crvena Jabuka,Dva I Dva (I Ona Mala Barka),,Oprosti Što Je Ljubavna,,,,,,Dino Šaran,,,,,,,,,,,,,,,nan-Oprosti Što Je Ljubavna,nan-Oprosti Što Je Ljubavna/2010.0-S Druge Strane Sjećanja
Crvena Jabuka,Crvena Jabuka,Zarjavele Trobente,,Oprosti Što Je Ljubavna,,,,,,Zoran Predin,,,,,,,,,,,,,,,nan-Oprosti Što Je Ljubavna,nan-Oprosti Što Je Ljubavna/nan-100 Originalnih Hitova
Crvena Jabuka,Crvena Jabuka,Oči Moje Srne,3:33,Oči Moje Srne / Tamo Da Putujem (Rastanak),2007.0,,,,,,,,,,,,,,,,,,,,2007.0-Oči Moje Srne / Tamo Da Putujem (Rastanak),2007.0-Oči Moje Srne / Tamo Da Putujem (Rastanak)
Crvena Jabuka,Crvena Jabuka,Tamo Da Putujem (Rastanak),3:35,Oči Moje Srne / Tamo Da Putujem (Rastanak),2007.0,,,,,,,,,,,,,,,,,,,,2007.0-Oči Moje Srne / Tamo Da Putujem (Rastanak),2007.0-Oči Moje Srne / Tamo Da Putujem (Rastanak)/nan-Duša Sarajeva/2016.0-Greatest Hits Collection
Crvena Jabuka,Crvena Jabuka,Oči Boje Srne,,Duša Sarajeva,,,,,,,,,,,,,,,,,,,,,nan-Duša Sarajeva,nan-Duša Sarajeva/2010.0-S Druge Strane Sjećanja/nan-100 Originalnih Hitova/2016.0-Greatest Hits Collection
Crvena Jabuka,Crvena Jabuka,Noći Su Hladne,,Duša Sarajeva,,,,,,,,,,,,,,,,,,,,,nan-Duša Sarajeva,nan-Duša Sarajeva/nan-100 Originalnih Hitova
Crvena Jabuka,Crvena Jabuka,Uzmi Me,,Duša Sarajeva,,,,,,,,,,,,,,,,,,,,,nan-Duša Sarajeva,nan-Duša Sarajeva
Crvena Jabuka,Crvena Jabuka,Puna Jedra,,Duša Sarajeva,,,,,,,,,,,,,,,,,,,,,nan-Duša Sarajeva,nan-Duša Sarajeva
Crvena Jabuka,Crvena Jabuka,"Duj, Duj",,Duša Sarajeva,,,,,,,,,,,,,,,,,,,,,nan-Duša Sarajeva,nan-Duša Sarajeva
Crvena Jabuka,Crvena Jabuka,Znaš Da Nekad...,,Duša Sarajeva,,,,,,,,,,,,,,,,,,,,,nan-Duša Sarajeva,nan-Duša Sarajeva
Crvena Jabuka,Crvena Jabuka,Dolaze Razglednice,,Duša Sarajeva,,,,,,,,,,,,,,,,,,,,,nan-Duša Sarajeva,nan-Duša Sarajeva
Crvena Jabuka,Crvena Jabuka,Napiši Jednu Ljubavnu,,Duša Sarajeva,,,,,,,,,,,,,,,,,,,,,nan-Duša Sarajeva,nan-Duša Sarajeva/2014.0-Bivše Djevojčice Bivši Dječaci - Unplugged Live U Lisinskom/nan-100 Originalnih Hitova/nan-Sarajevo 1985.-2020.
Crvena Jabuka,Crvena Jabuka,Ja Sam Bogu Blizu,,Duša Sarajeva,,,,,,,,,,,,,,,,,,,,,nan-Duša Sarajeva,nan-Duša Sarajeva/2009.0-25 Godina - Da Nije Ljubavi
Crvena Jabuka,Crvena Jabuka,Duša Sarajeva,,Duša Sarajeva,,,,,,,,,,,,,,,,,,,,,nan-Duša Sarajeva,nan-Duša Sarajeva/nan-100 Originalnih Hitova/2016.0-Greatest Hits Collection/nan-Sarajevo 1985.-2020.
Crvena Jabuka,Crvena Jabuka,Tamo Da Putujem (Rastanak) (Žera & Lira Bonus Track),,Duša Sarajeva,,,,,,,,,,,,,,,,,,,,,nan-Duša Sarajeva,nan-Duša Sarajeva
Crvena Jabuka,Crvena Jabuka,Godinama,,Godinama,2008.0,Queen,Asmir Spahić,,,,,,,,,Halid Bešlić,,,,,,,,,2008.0-Godinama,2008.0-Godinama/nan-Volim Te
Crvena Jabuka,Crvena Jabuka,Milion Žena,,Godinama,2008.0,,,,,Asmir Spahić,,,,,,,,,,,,,,,2008.0-Godinama,2008.0-Godinama/nan-Volim Te/2010.0-S Druge Strane Sjećanja
Crvena Jabuka,Crvena Jabuka,CD 1,,The Ultimate Collection,2008.0,,,,,,,,,,,,,,,,,,,,2008.0-The Ultimate Collection,2008.0-The Ultimate Collection/2014.0-Bivše Djevojčice Bivši Dječaci - Unplugged Live U Lisinskom/nan-100 Originalnih Hitova
Crvena Jabuka,Crvena Jabuka,Nek’ Te On Ljubi (Kad Ne Mogu Ja),3:13,The Ultimate Collection,2008.0,,,,,,,,,,,,,,,,,,,,2008.0-The Ultimate Collection,2008.0-The Ultimate Collection/2013.0-Original Album Collection
