Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Album_title_discogs,Album_year_discogs,Music By_discogs,Lyrics By_discogs,Vocals_discogs,Saxophone_discogs,Written-By_discogs,Arranged By_discogs,Producer_discogs,Adapted By_discogs,Voice_discogs,Narrator_discogs,Featuring_discogs,Songwriter_discogs,Goblet Drum_discogs,Vocals [Duet]_discogs,Trumpet_discogs,Trombone_discogs,Lead Vocals_discogs,Guest_discogs,Guitar_discogs,Album_year_title_discogs,All_albums_discogs
Crvena Jabuka,Crvena Jabuka,Sa Tvojih Usana (reprise),,Crvena Jabuka,,,,,,,,,,,,,,,,,,,,,nan-Crvena Jabuka,nan-Crvena Jabuka
Crvena Jabuka,Crvena Jabuka,Za Sve Ove Godine,,Za Sve Ove Godine / Umrijeću Noćas Od Ljepote,1987.0,,,,,,,,,,,,,,,,,,,,1987.0-Za Sve Ove Godine / Umrijeću Noćas Od Ljepote,1987.0-Za Sve Ove Godine / Umrijeću Noćas Od Ljepote/nan-Za Sve Ove Godine/nan-Uzmi Me (Kad Hoćeš Ti) Live/nan-Zlatna Kolekcija/2005.0-Antologija/2008.0-The Ultimate Collection/2009.0-25 Godina - Da Nije Ljubavi/2010.0-Najljepše Ljubavne Pjesme/2013.0-Original Album Collection/nan-100 Originalnih Hitova
Crvena Jabuka,Crvena Jabuka,Umrijeću Noćas Od Ljepote,,Za Sve Ove Godine / Umrijeću Noćas Od Ljepote,1987.0,,,,,,,,,,,,,,,,,,,,1987.0-Za Sve Ove Godine / Umrijeću Noćas Od Ljepote,1987.0-Za Sve Ove Godine / Umrijeću Noćas Od Ljepote/nan-Za Sve Ove Godine/2008.0-The Ultimate Collection/2013.0-Original Album Collection/nan-100 Originalnih Hitova
Crvena Jabuka,Crvena Jabuka,Nema Više Vremena,2:54,Nema Više Vremena,1987.0,,,,,Zlatko Arslanagić,,,,,,,,,,,,,,,1987.0-Nema Više Vremena,1987.0-Nema Više Vremena/nan-Za Sve Ove Godine/nan-Uzmi Me (Kad Hoćeš Ti) Live/2013.0-Original Album Collection/nan-100 Originalnih Hitova
Crvena Jabuka,Crvena Jabuka,Tugo Nesrećo,3:14,Nema Više Vremena,1987.0,,,,,Dražen Ričl,,,,,,,,,,,,,,,1987.0-Nema Više Vremena,1987.0-Nema Više Vremena
Crvena Jabuka,Crvena Jabuka,"Ako, Ako",,"Ako, Ako / Uzmi Me Kad Hoćeš Ti",1987.0,,,,,,,,,,,,,,,,,,,,"1987.0-Ako, Ako / Uzmi Me Kad Hoćeš Ti","1987.0-Ako, Ako / Uzmi Me Kad Hoćeš Ti/nan-Za Sve Ove Godine/2013.0-Original Album Collection"
Crvena Jabuka,Crvena Jabuka,Uzmi Me Kad Hoćeš Ti,,"Ako, Ako / Uzmi Me Kad Hoćeš Ti",1987.0,,,,,,,,,,,,,,,,,,,,"1987.0-Ako, Ako / Uzmi Me Kad Hoćeš Ti","1987.0-Ako, Ako / Uzmi Me Kad Hoćeš Ti/nan-Za Sve Ove Godine/nan-Zlatna Kolekcija/2005.0-Antologija/2013.0-Original Album Collection/nan-100 Originalnih Hitova"
Crvena Jabuka,Crvena Jabuka,,,"Ako, Ako / Uzmi Me Kad Hoćeš Ti",1987.0,,,,,,,,,,,,,,,,,,,,"1987.0-Ako, Ako / Uzmi Me Kad Hoćeš Ti","1987.0-Ako, Ako / Uzmi Me Kad Hoćeš Ti/1987.0-Ako, Ako / Uzmi Me Kad Hoćeš Ti/1988.0-Malo Ćemo Da Se Kupamo / Ti Znaš/1988.0-Malo Ćemo Da Se Kupamo / Ti Znaš/1990.0-Sve Što Imaš Ti / Sa Tvojih Usana/1990.0-Sve Što Imaš Ti / Sa Tvojih Usana"
Crvena Jabuka,Crvena Jabuka,Otrov,3:19,Za Sve Ove Godine,,,,,,,,,,,,,,,,,,,,,nan-Za Sve Ove Godine,nan-Za Sve Ove Godine/nan-Uzmi Me (Kad Hoćeš Ti) Live/2013.0-Original Album Collection
Crvena Jabuka,Crvena Jabuka,"Tugo, Nesrećo",3:14,Za Sve Ove Godine,,,,,,Dražen Ričl,,,,,,,,,,,,,,,nan-Za Sve Ove Godine,nan-Za Sve Ove Godine/nan-Uzmi Me (Kad Hoćeš Ti) Live/nan-Moje Najmilije/nan-Zlatna Kolekcija/2005.0-Antologija/nan-Oprosti Što Je Ljubavna/2008.0-The Ultimate Collection/2010.0-Najljepše Ljubavne Pjesme/nan-18 Zlatnih Hitova/2013.0-Original Album Collection/2014.0-Bivše Djevojčice Bivši Dječaci - Unplugged Live U Lisinskom/nan-100 Originalnih Hitova/2016.0-Greatest Hits Collection
