Song_ID,Artist,Artist_diskografija,Song_tekstovinet,Views_tekstovinet,Lyrics_tekstovinet,Url_tekstovinet,Writer_lyricstranslate,Song_lyricstranslate,EngTitle_lyricstranslate,Album_lyricstranslate,Lyrics_lyricstranslate,EngLyrics_lyricstranslate,Url_lyricstranslate
zT3Xu5sD_1_81,Mišo Kovač,Mate Mišo Kovač,Ostavi me zivote,16839,"Dobro jutro, zora mi se javi
vrijeme ide isto ko prije
zna i ono, nisam onaj stari
za me nista, nista isto nije

Ja sam zoru cekao sa pjesmom
pjevao o ljubavi i sreci
a sad za me kazaljke su stale
nema dalje, nema dalje
 
Ref.
Ostavi me zivote
ja sam tebi vjerovao
a ti si me izigrao
dusu uzeo, uzmi i tijelo

Najdraze sam izgubio
i s' njim srce sahranio 
kako pjevati, za kog' zivjeti","https://tekstovi.net/2,692,29009.html",,,,,,,
zT3Xu5sD_1_82,Mišo Kovač,Mate Mišo Kovač,Ovo je nasa noc,303,"Suti ovu noc
neka oci govore nam sve
suti ovu noc
neka ljubav umre nam u sreci

Sjenki nasih ples
i blagi dodir ruke
nek´ donesu san
da ljubav nece proci
i da ne postoji treci
 
Ref. 2x
Ovo je nasa noc
jedina noc za nas
ljubavi nase noc
pocetak njen i kraj","https://tekstovi.net/2,692,63948.html",,,,,,,
zT3Xu5sD_1_83,Mišo Kovač,Mate Mišo Kovač,Pjevajte do zore,2744,"Dodjoh na kraj puta svog
sto mogu, sudio mi Bog
takva je sudbina tuznog covjeka
kao sto sam ja, bez igdje ikoga

Ref.
A na kraju zivota mog
svirajte, pjevajte do zore
nek' se cuje do srca tog
sto ostavi me
 
A na kraju zivota mog
svirajte, pjevajte do zore
nek' se cuje do srca tog
sto ostavi, ostavi me

Zapjevajte ljudi zadnji put
kad umrem bez njene ljubavi
takva je sudbina tuznog covjeka
kao sto sam ja, bez igdje ikoga

Ref.","https://tekstovi.net/2,692,49048.html",,,,,,,
zT3Xu5sD_1_84,Mišo Kovač,Mate Mišo Kovač,Plesala je samo jedno ljeto,278,"Sreo sam je jednog ljeta
jednu zenu plave kose
posla je za nocnim suncem
pustom plazom, poljem rose

Voljela me jedno ljeto
dovoljno da tog se sjetim
voljela me onim zarom
kao sto se voli ljeti
 
Ref.
Plesala je samo jedno ljeto
u zagrljaju mom
pisala je da u duge zime
vracala se cesto ljetu tom

Plesala je dugo toplo ljeto
a sad je svemu kraj
pisala je da su bijele noci
odavno izgubile svoj sjaj

Sad joj vjetar mrsi kose
dok mi duga pisma pise
sjeverna joj mora nose
jata ptica, kapi kise

Ref. 2x","https://tekstovi.net/2,692,64037.html",,,,,,,
zT3Xu5sD_1_85,Mišo Kovač,Mate Mišo Kovač,Poljubi zemlju po kojoj hodas,39763,"Poljubi zemlju po kojoj hodas
jer stare rane djedova skriva
poljubi zemlju po kojoj hodas
ona ti nista
ona ti nista nije kriva

Poljubi zemlju po kojoj hodas
ne diraj sunce, sunce sa neba
i nemoj nikad dusu da prodas
ljubav je nada
ljubav je snaga sto ti treba
 
Ref.
Ostani tu, tu je tvoja mati
ostani tu, jos ce sunce sjati
ostani tu, snove cuvaj samo za nju
ostani tu

Poljubi zemlju po kojoj hodas
ne diraj sunce, sunce sa neba
i nemoj nikad dusu da prodas
ljubav je nada
ljubav je snaga sto ti treba

Ref.

Poljubi zemlju po kojoj hodas
jer stare rane djedova skriva
poljubi zemlju po kojoj hodas
ona ti nista
ona ti nista nije kriva","https://tekstovi.net/2,692,42745.html",,Poljubi zemlju,Kiss the land,,"Poljubi zemlju, po kojoj hodaš
Jer stare rane djedova skriva
Poljubi zemlju, po kojoj hodaš
Ona ti ništa, ona ti ništa nije kriva. Poljubi zemlju, po kojoj hodaš
Ne diraj sunce, sunce sa neba
I nemoj nikad dušu da prodaš
Ljubav je nada, ljubav je sada što ti treba. Ostani tu, tu je tvoja mati
Ostani tu, još će sunce sjati
Ostani tu, snove čuvaj samo za nju
Ostani tu","Kiss the land that you walk on
Because it hides old wounds of grandfathers
Kiss the land that you walk on
Nothing is, nothing is its fault. Kiss the land that you walk on
Don't touch the sun, sun from the sky
And don't you ever sell your soul
Love is hope, love is what you need now. Stay there, your mother is there
Stay there, the sun will still shine
Stay there, keep your dreams just for her
Stay there",https://lyricstranslate.com/en/poljubi-zemlju-kiss-land.html
zT3Xu5sD_1_86,Mišo Kovač,Mate Mišo Kovač,Posadi cvijet,349,"Ref.
Posadi cvijet za njih, Mari
probudi svijet zbog nas, Mari
i kazi bijelom golubu ti
nek´ nosi cvijet, cvijet ljubavi

Posadi cvijet za njih, Mari
probudi svijet zbog nas, Mari
ne skrivaj suze, pusti ih ti
nek´ raste cvijet, cvijet ljubavi
 
Ref.

Posadi cvijet za brata svog
jos jedan cvijet za druga mog
posadi klas za sina svog, za nas

Ne skrivaj suze, pusti ih ti
nek´ raste cvijet, cvijet ljubavi 

Ref.

I kazi bijelom golubu ti
nek´ nosi cvijet, cvijet ljubavi","https://tekstovi.net/2,692,63124.html",,,,,,,
zT3Xu5sD_1_87,Mišo Kovač,Mate Mišo Kovač,Potrazi me u pjesmi,385,"Ako odes, nemoj nista reci
nadji snage, njezno se nasmijesi
mirno treba preko svega prijeci
uzalud je vjetru da nas tjesi

Ostavimo vremenu da sudi
jednom mora i to da se desi
kad iz sna se odjednom probudis
i kad vise ne znas niti gdje si
 
Ref. 
Potrazi me u pjesmi
i zagrljaju jutra
u sjecanju me vrati
kad jednom budes sama

Potrazi me u sebi
kada podjem sutra
i sanjaj o svemu
o danima pred nama

Ako odes, ucini to bez suza
makar nije jednostavno reci
kad ostanu ruke sasvim same
kad bol se smijesi prosloj sreci

Ref.

I sanjaj o svemu
o danima pred nama","https://tekstovi.net/2,692,63163.html",,,,,,,
zT3Xu5sD_1_88,Mišo Kovač,Mate Mišo Kovač,Pozdravi mi zenu plave kose,609,"Bila mi je jedno davno ljeto
rana jesen, jedna topla zima
bila mi je sve sto moze biti
jedna zena, koja ljubav ima

Bila mi je, ali vise nije
plavu kosu prekrila je tuga
sada imam noci uz gitaru
jednu pjesmu za staroga druga
 
Ref.
Pozdravi mi zenu plave kose
kad je sretnes, prijatelju moj
samo kazi da ne sanjam vise
sve sam snove poklonio njoj

Bila mi je jedno modro more
jedna ladja sto je nosi plima
ostala je zena plave kose
sto u srcu dio mene ima

Ref. 2x","https://tekstovi.net/2,692,63125.html",,,,,,,
zT3Xu5sD_1_89,Mišo Kovač,Mate Mišo Kovač,Propinju se dusom jedra,244,"Nocas cete nosit' ladja
u svitanje nove zore
ponovo ce tvoje tijelo
oplakivat' toplo more

Jer je ljubav kao sunce
umre i opet se radja
propinju se dusom jedra
bez kormila plovi ladja
 
Ref. 2x
Propinju se dusom jedra
sa suzama ceka zora
pjene se i sume jedra
zanosnoga plavog mora

A oluje kratko traju
nestaje ih istog trena
cim osjetis da si zrela
cim osjetis da si zena

Ref. 2x","https://tekstovi.net/2,692,64027.html",,,,,,,
zT3Xu5sD_1_90,Mišo Kovač,Mate Mišo Kovač,Proplakat ce zora,39797,"Na tvojoj ruci prsten
u tvome oku suze
taj drugi sto te uze
ne voli kao ja

On nije s tobom bio
i slusao gitaru
i ne zna pjesmu staru
tu koju srce zna
 
On moze da te vodi
i dvore da ti  kupi
sva blaga da ti skupi
sigurnost da ti da

Al' falit ce ti barke
i pjesme s ovog mora
i falit ce ti noci
sa malog starog sna

Na tvojoj ruci prsten
u tvome oku suze
taj drugi sto te uze
ne voli kao ja

Ref. 4x
I proplakat ce noci
i proplakat ce zora
a kako ne bi covjek
kad voli kao ja","https://tekstovi.net/2,692,8348.html",,,,,,,
