,Song_ID,Song,Lyrics
10,QUgrhjBj_1_10,Budi mi zbogom,"The DJ took pills to stay awake, and play for seven days. Kao da jos sanjam, godine odnose sve, po celu crtaju valove, ponekad se pitam, da li sam ikada ikog, voljela vise od tebe. I sva zadrhtim kad cujem tvoje ime, kad ugledam nekog ko lici na tebe, iz oka suze mi krenu, kad sjetim se rijeci sto rekao si. Budi mi zbogom, moja mala, u srcu cuvam sve sto si mi dala, budi mi zbogom, moja mala, za svu tvoju ljubav zauvijek hvala. Kao da je moje srce, postalo pjesak na ulicama bez imena, i svaki osmijeh je maska na licu, pod kojom moram disati. I sva zadrhtim kad cujem tvoje ime, kad ugledam nekog ko lici na tebe, iz oka suze mi krenu, kad sjetim se rijeci sto rekao si. Bila sam uvijek tvoja mala, u srcu cuvaj  sve sto sam ti dala, bila sam uvijek tvoja mala, za svu tvoju ljubav zauvijek hvala"
11,QUgrhjBj_1_11,Bye bye,"Uhvatim se nekad, kako nisam svoja, znam da prema tebi mogu, biti bolja. Pojavi se neki strah u noci, znas da su u strahu velike oci. Razmisljam o tome ako, jednom odes, a ja tada shvatim koliko, te volim, koliko mi znaci sto te, imam kraj sebe, ne zelim kraj. A ti kazes bye bye, vise nema povratka, . i zato bye bye"
12,QUgrhjBj_1_12,C'est la vie,"Jos jednom hvala ti za sve, hvala sto postojis kraj mene, uvijek si bio svjetlo, ispred mojih koraka. Jer kako pronaci put, kad sve se vrti u krug, kao carousel. I kako pronaci put, kad dobro i lose se dogodi, bez razloga, u isti tren. C'est la vie i ljubav i bol, kad osjetis kao da nema nade, zagrli me, utjesi me, jer dok je tebe ja cu disati. C'est la vie i ljubav i bol, povedi me kroz ove hodnike tame, zagrli me, utjesi me, jer dok je tebe ja cu disati. Zivot je more sto nas baca, tvrdim hridima, dubinama, uvijek si bio mome srcu, luka sigurna. Jer kako pronaci put, kad sve se vrti u krug, kao carousel. I kako pronaci put, kad dobro i lose se dogodi, bez razloga, u isti tren"
13,QUgrhjBj_1_13,Čovjek s dva lica,"Odavno doživjela nisam neku lijepu gestu, što bi učinio da si na mome mjestu, nemaš takta ni stila, već dugo borim se s tim, ako ikad poludim, znaj da ti si kriv. Ti si potpuni stranac, više te ne poznam, hajde, reci već jednom, reci u čemu je stvar. Ti si čovjek s dva lica, ti si samo kukavica, ili me voli, ili me ostavi, ti si čovjek s dva lica, ti si samo varalica, ili me voli, ili zaboravi. I za koga sam isplakala, sve one besane noći, da bar možeš pogledat' sve, kroz moje oči"
14,QUgrhjBj_1_14,Crveni ruž,"Zadnji naklon iza zastora, to je to, gotova je predstava. Koliko vrijedim napokon znam, imam osmijeh od milion dolara. Crveni ruž na usnama, jer ja nisam vise robinja... Tuđih grijeha, lažnih glasova, mokrih suza s tuđih jastuka... Ja sam heroina u meni snage ima, za sve što nosi novi dan. U sebe sigurna baš u inat svima, svoju ljubav uzimam. Zadnji trag finog pudera, lice i tijelo više ne skriva. Skidam maske život osjećam, kako je lijepo opet biti slobodna. Crveni ruž na usnama, jer ja nisam vise robinja... Tuđih grijeha, lažnih glasova, mokrih suza s tuđih jastuka... Ja sam heroina u meni snage ima, za sve što nosi novi dan. U sebe sigurna baš u inat svima, svoju ljubav uzimam. Crveni ruž na usnama, jer ja nisam vise robinja... Tuđih grijeha, lažnih glasova, mokrih suza s tuđih jastuka... Ja sam heroina u meni snage ima, za sve što nosi novi dan. U sebe sigurna baš u inat svima, svoju ljubav uzimam."
15,QUgrhjBj_1_15,Daj mi 5 minuta,"Sanjam te dugo moja tugo, to vec znaju svi, ti si sretan s njom, na licu vidim ti. I znam da dobri smo prijatelji, izmedju jave i sna izgubljeni, sve je u redu sto puta ti kazem, a istina je da te lazem. Daj mi 5 minuta, daj mi samo tren, zaboravit ces da si bio njen, pokazat cu ti svijet, pokazat cu ti vatromet. Skrivamo pogled jedno od drugog, to vec znaju svi, ali smo probali ljubav, nismo varali"
16,QUgrhjBj_1_16,"Daj, daj","Ti si moja glazba, moja omiljena pjesma, moja radost, moja ceznja, svega tog sam svijesna. Tek onda kad nas sati razdvoje, kad me tvoje usne ne ljube, ti si moj put, moja jednosmjerna cesta, u mome srcu nema, za nikog drugog mjesta. I onda kad nas sati razdvoje, shvatim da ne mogu bez tebe. Daj, daj, malo sebe mi daj, tako volim taj osjecaj, dok treperim pod prstima tvojim, da ti kazem da te ludo volim. Ti si moja sreca, istina i tajna, moja proslost i buducnost, moja zvijezda sjajna"
17,QUgrhjBj_1_17,Daleko od oka,"Kada zbrojim dane i godine, naseg zivota, bilo je kao u filmu i proslo je, u jednom treptaju oka. Da li pamtis moje poljupce, meni su ostali tvoji, ali slatko gorkog okusa, oko srece i boli. I sada kada te pogledam, i sada vise te ne poznam. Ti si drugi covjek, ja sam druga zena, odvele nas ceste, ti na sjever, ja na jug. Jer daleko od oka, daleko od srca, svako za svojim suncem, svako je nasao svoj put. Kada zbrojim dane i godine, naseg zivota, bila je luda voznja i prosla je, u jednom treptaju oka. I sada kada te pogledam, i sada vise te ne poznam"
18,QUgrhjBj_1_18,Deja vu,"Jutro se budi, sjene plešu svoj poslednji ples, još samo fali jedna topla riječ, sve one ružne stvari, ostat će iza nas. Meni je lako oprostiti, nekome kog volim, i biti ponosna dok boli, ali je teško s usana tvojih, otopiti led. Sve je deja vu, sve je uzalud, shvati da je možda zadnji put, deja vu, već viđeno sve, ljubav polako umire. Jutro se budi, ovo je stranica na kraju priče, još samo fali točka na i, sve ono što smo bili, postaje zvjezdani trag. Ne, nije lako, izgubiti nekoga kog voliš, i biti ponosna dok boli, al' nisam mogla, s usana tvojih otopiti led. Sve je deja vu, sve je uzalud, shvati da je bilo zadnji put, deja vu, već viđeno sve, ljubav sa jutrom nestaje"
19,QUgrhjBj_1_19,Dio nje,"Ponovno ludim, Tonem u misli što ne daju sna, Telefon šuti, Satima biram pogrešan broj, I gledam kako naše kule se ruše, Sve mijenja se, Ljubavi imaš ali čuvaš ju samo za nju... Zauvijek u tebi. Ostat će, Barem mali dio nje, Sve ono što za mene osjećaš, Nestat će... I svakoga dana borim se, Sve više i više bojim se, Zauvijek u tebi ostat će dio nje... Najgore slutim, I sada tek vidim i sada tek znam, Koliko te trebam, Koliko mi znaći kad uz mene si, Ali ove ruže nisu za mene, Ti voliš ju još, Ljubavi imaš ali čuvaš ju samo za nju..."
